     Geometric_Altitude[m]   Geopotential_Altitude[m]   Temperature[K]          Pressure[N/m^2]         Density[kg/m^3]         Speed_of_Sound[m/s] Dynamic_Viscosity[kg/(m-s)]
  0.000000000000e+00  0.000000000000e+00  2.881500000000e+02  1.013250000000e+05  1.225000001054e+00  3.402939903970e+02  1.789297626035e-05
  5.000000000000e+03  4.996070273569e+03  2.556755432218e+02  5.404826271088e+04  7.364286095564e-01  3.205454090931e+02  1.628172926064e-05
  1.000000000000e+04  9.984293438773e+03  2.232520926480e+02  2.649987361806e+04  4.135103315586e-01  2.995316623490e+02  1.457595161189e-05
  1.500000000000e+04  1.496468796877e+04  2.166500000000e+02  1.211180794797e+04  1.947548953943e-01  2.950694955649e+02  1.421547414882e-05
  2.000000000000e+04  1.993727227877e+04  2.166500000000e+02  5.529300797694e+03  8.890979803219e-02  2.950694955649e+02  1.421547414882e-05
  2.500000000000e+04  2.490206472628e+04  2.215520647263e+02  2.549216515556e+03  4.008381253191e-02  2.983890408317e+02  1.448357563594e-05
  3.000000000000e+04  2.985908361133e+04  2.265090836113e+02  1.197027974773e+03  1.841012670984e-02  3.017086621442e+02  1.475207723499e-05
  3.500000000000e+04  3.480834717666e+04  2.365133720947e+02  5.745924800125e+02  8.463350719858e-03  3.082994980192e+02  1.528621533058e-05
  4.000000000000e+04  3.974987360801e+04  2.503496461024e+02  2.871427933323e+02  3.995664725881e-03  3.171892488500e+02  1.600855094110e-05
  4.500000000000e+04  4.468368103426e+04  2.641643068959e+02  1.491007471554e+02  1.966272854915e-03  3.258232233954e+02  1.671176339252e-05
  5.000000000000e+04  4.960978752775e+04  2.706500000000e+02  7.977869962054e+01  1.026873679389e-03  3.297987333016e+02  1.703599659099e-05
  5.500000000000e+04  5.452821110440e+04  2.655935777912e+02  4.275140895864e+01  5.607521709125e-04  3.267034737331e+02  1.678353313616e-05
  6.000000000000e+04  5.943896972400e+04  2.557720605520e+02  2.246047837614e+01  3.059172736761e-04  3.206059062127e+02  1.628665559790e-05
  6.500000000000e+04  6.434208129041e+04  2.392816748384e+02  1.144621493592e+01  1.666443361181e-04  3.100985157027e+02  1.543223220871e-05
  7.000000000000e+04  6.923756365177e+04  2.196997453929e+02  5.520390944135e+00  8.753432390960e-05  2.971390594738e+02  1.438257357600e-05
  7.500000000000e+04  7.412543460070e+04  2.001482615972e+02  2.490333107750e+00  4.334547041405e-05  2.836095682529e+02  1.329340065703e-05
  8.000000000000e+04  7.900571187457e+04  1.806500000000e+02  1.036583218317e+00  1.998960941091e-05  2.694411667941e+02  1.216261076881e-05
  8.500000000000e+04  8.387841315565e+04  1.806500000000e+02  4.124831171253e-01  7.954379594639e-06  2.694411667941e+02  1.216261076881e-05
  9.000000000000e+04  8.874355607137e+04  1.806500000000e+02  1.643724221886e-01  3.169779772056e-06  2.694411667941e+02  1.216261076881e-05
  9.500000000000e+04  9.360115819452e+04  1.806500000000e+02  0.000000000000e+00  0.000000000000e+00  2.694411667941e+02  1.216261076881e-05
  1.000000000000e+05  9.845123704344e+04  1.806500000000e+02  0.000000000000e+00  0.000000000000e+00  2.694411667941e+02  1.216261076881e-05
