numberIndependentVariables,"""=""",3.0,,,,,,
dh[deg],beta[deg] ,alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-25.0,-30.0,-20.0,-0.18370,0.3677,1.19400,-0.00600,0.20590,-0.06330
-25.0,-30.0,-15.0,-0.17140,0.4019,0.99600,-0.00480,0.16980,-0.06210
-25.0,-30.0,-10.0,-0.15310,0.4367,0.79300,-0.00330,0.14260,-0.06780
-25.0,-30.0,-5.0,-0.11510,0.5538,0.41000,0.02980,0.16200,-0.08500
-25.0,-30.0,0.0,-0.09070,0.6218,0.18000,0.02760,0.15300,-0.09950
-25.0,-30.0,5.0,-0.05140,0.6544,-0.09000,0.03900,0.14700,-0.10440
-25.0,-30.0,10.0,-0.00790,0.6255,-0.34000,0.05620,0.15000,-0.09810
-25.0,-30.0,15.0,0.03540,0.5885,-0.61000,0.07370,0.16700,-0.09760
-25.0,-30.0,20.0,0.07400,0.5783,-0.87000,0.07610,0.15100,-0.06770
-25.0,-30.0,25.0,0.10920,0.5005,-1.17000,0.09100,0.12000,-0.04880
-25.0,-30.0,30.0,0.09150,0.3751,-1.31500,0.07430,0.10800,-0.01020
-25.0,-30.0,35.0,0.10790,0.3292,-1.52000,0.07040,0.08200,-0.00280
-25.0,-30.0,40.0,0.13060,0.447,-1.60000,0.06650,0.11300,-0.00370
-25.0,-30.0,45.0,0.15350,0.1634,-1.56000,0.07880,0.09300,-0.01200
-25.0,-30.0,50.0,0.14710,0.1366,-1.30000,0.06050,-0.01500,-0.03730
-25.0,-30.0,55.0,0.15540,0.1735,-1.70500,0.04530,0.01900,-0.04490
-25.0,-30.0,60.0,0.15010,0.2233,-1.70000,0.06100,-0.03600,-0.00550
-25.0,-30.0,70.0,0.15010,0.2609,-1.69000,0.07130,-0.30700,0.02320
-25.0,-30.0,80.0,0.16850,0.3055,-1.93500,0.06140,-0.36500,0.02360
-25.0,-30.0,90.0,0.17120,0.3078,-1.96000,0.06010,-0.52600,0.0319
-25.0,-25.0,-20.0,-0.18530,0.307,1.27200,0.00650,0.19370,-0.06670
-25.0,-25.0,-15.0,-0.17650,0.322,1.05700,0.00590,0.16500,-0.05790
-25.0,-25.0,-10.0,-0.16270,0.3823,0.83200,0.00950,0.15790,-0.05880
-25.0,-25.0,-5.0,-0.12320,0.4778,0.41000,0.02450,0.17700,-0.07610
-25.0,-25.0,0.0,-0.09850,0.5258,0.15500,0.02850,0.15400,-0.08690
-25.0,-25.0,5.0,-0.05670,0.5514,-0.13000,0.03370,0.15300,-0.08240
-25.0,-25.0,10.0,-0.01080,0.5185,-0.40500,0.05580,0.16200,-0.07590
-25.0,-25.0,15.0,0.03580,0.4665,-0.66500,0.06700,0.17600,-0.06180
-25.0,-25.0,20.0,0.07560,0.4633,-0.95000,0.07080,0.17000,-0.05060
-25.0,-25.0,25.0,0.11240,0.4195,-1.23500,0.07130,0.14700,-0.03510
-25.0,-25.0,30.0,0.10100,0.3161,-1.38000,0.04290,0.06700,0.01550
-25.0,-25.0,35.0,0.11370,0.2952,-1.57000,0.05300,0.04700,0.03140
-25.0,-25.0,40.0,0.14370,0.3885,-1.67000,0.06050,0.05000,0.01670
-25.0,-25.0,45.0,0.16030,0.0894,-1.61500,0.05630,0.06600,0.00270
-25.0,-25.0,50.0,0.15840,0.1036,-1.48000,0.05680,-0.01100,-0.02740
-25.0,-25.0,55.0,0.16150,0.1355,-1.79500,0.03230,0.01700,-0.03240
-25.0,-25.0,60.0,0.15990,0.1713,-1.74000,0.04130,-0.02300,0.00680
-25.0,-25.0,70.0,0.15360,0.2279,-1.74000,0.06030,-0.30800,0.02800
-25.0,-25.0,80.0,0.16150,0.2595,-1.95000,0.05070,-0.39800,0.02370
-25.0,-25.0,90.0,0.16510,0.2498,-1.93500,0.04600,-0.52700,0.01990
-25.0,-20.0,-20.0,-0.19040,0.246,1.31100,0.01330,0.19180,-0.05650
-25.0,-20.0,-15.0,-0.17920,0.2651,1.09000,0.01780,0.17330,-0.04540
-25.0,-20.0,-10.0,-0.16920,0.3185,0.84100,0.01730,0.18070,-0.04930
-25.0,-20.0,-5.0,-0.12760,0.3758,0.42000,0.02330,0.15300,-0.06390
-25.0,-20.0,0.0,-0.10430,0.4208,0.13500,0.02620,0.14800,-0.07950
-25.0,-20.0,5.0,-0.06030,0.4294,-0.16000,0.03290,0.15600,-0.06910
-25.0,-20.0,10.0,-0.00990,0.4225,-0.46000,0.05400,0.16500,-0.06310
-25.0,-20.0,15.0,0.03880,0.3755,-0.72000,0.06290,0.19100,-0.04750
-25.0,-20.0,20.0,0.07460,0.3383,-1.01500,0.06540,0.19000,-0.02900
-25.0,-20.0,25.0,0.11020,0.3005,-1.29500,0.06270,0.17500,-0.01630
-25.0,-20.0,30.0,0.09750,0.2291,-1.44500,0.01010,0.09800,0.02870
-25.0,-20.0,35.0,0.11980,0.2112,-1.63500,0.04530,0.06800,0.05720
-25.0,-20.0,40.0,0.13500,0.3025,-1.73000,0.03530,0.06000,0.07700
-25.0,-20.0,45.0,0.16050,0.0444,-1.68500,0.03440,0.06500,0.03970
-25.0,-20.0,50.0,0.16460,0.0916,-1.60000,0.04690,-0.02500,-0.00960
-25.0,-20.0,55.0,0.15680,0.1795,-1.82500,0.02570,-0.08600,0.01020
-25.0,-20.0,60.0,0.16470,0.2083,-1.73000,0.03360,-0.07500,0.03740
-25.0,-20.0,70.0,0.15690,0.1739,-1.73500,0.05010,-0.28500,0.02030
-25.0,-20.0,80.0,0.15590,0.2165,-1.94500,0.04050,-0.40300,0.01610
-25.0,-20.0,90.0,0.16080,0.1998,-1.85000,0.03630,-0.51500,0.01080
-25.0,-15.0,-20.0,-0.18990,0.1844,1.35600,0.02170,0.18500,-0.04180
