numberIndependentVariables,"""=""",2,,,,,
beta[deg],alpha[deg] ,Cx,Cy,Cz,Cl,Cm,Cn
-30,-20,-0.0277,0.3692,1.183,-0.0205,0.0922,-0.0541
-30,-15,-0.0314,0.4368,0.96,-0.006,0.0372,-0.0678
-30,-10,-0.0295,0.5,0.709,-0.0081,0.0251,-0.078
-30,-5,-0.0148,0.5683,0.222,0.0106,-0.0006,-0.0881
-30,0,-0.0136,0.6293,-0.066,0.0238,-0.0273,-0.106
-30,5,-0.0029,0.6397,-0.317,0.039,-0.0319,-0.1051
-30,10,0.0085,0.6132,-0.569,0.0485,-0.0446,-0.0926
-30,15,0.0145,0.5416,-0.853,0.0462,-0.0682,-0.0632
-30,20,0.0165,0.475,-1.106,0.048,-0.0947,-0.0359
-30,25,0.0138,0.4878,-1.314,0.0731,-0.109,-0.0342
-30,30,0.0092,0.3436,-1.496,0.0752,-0.0135,-0.0265
-30,35,0.0099,0.2437,-1.594,0.0528,0.0202,0.0138
-30,40,0.0206,0.1976,-1.683,0.0555,-0.0116,0.0302
-30,45,0.0257,0.1741,-1.664,0.05,-0.0023,0.0003
-25,-20,-0.0285,0.2991,1.246,-0.017,0.0559,-0.0563
-25,-15,-0.031,0.3797,1.018,-0.0042,0.0062,-0.0728
-25,-10,-0.0298,0.4441,0.71,-0.0061,0.0006,-0.0773
-25,-5,-0.0153,0.4913,0.216,0.0102,-0.0193,-0.0851
-25,0,-0.0149,0.5313,-0.084,0.0232,-0.0246,-0.0929
-25,5,-0.001,0.5367,-0.347,0.0361,-0.0272,-0.0877
-25,10,0.0104,0.5192,-0.619,0.0463,-0.0368,-0.0797
-25,15,0.0168,0.4876,-0.929,0.0462,-0.0587,-0.067
-25,20,0.017,0.375,-1.168,0.0335,-0.0851,-0.0191
-25,25,0.0172,0.3708,-1.407,0.0573,-0.1235,-0.0208
-25,30,0.0122,0.3226,-1.51,0.0632,-0.0857,-0.0047
-25,35,0.0134,0.2267,-1.694,0.0479,-0.051,0.0391
-25,40,0.0202,0.1776,-1.755,0.0435,-0.0639,0.0357
-25,45,0.0274,0.1251,-1.783,0.0493,-0.0164,-0.0038
-20,-20,-0.0318,0.2417,1.279,-0.0076,0.0525,-0.0461
-20,-15,-0.0259,0.3249,1.055,-0.0007,-0.0067,-0.0658
-20,-10,-0.026,0.3671,0.702,-0.0001,0.0014,-0.0629
-20,-5,-0.0163,0.3913,0.231,0.0104,-0.0234,-0.0753
-20,0,-0.0143,0.4173,-0.09,0.0224,-0.023,-0.0754
-20,5,-0.0003,0.4267,-0.39,0.0353,-0.0204,-0.0728
-20,10,0.0116,0.4302,-0.679,0.043,-0.0266,-0.0731
-20,15,0.0196,0.4126,-1.018,0.045,-0.0425,-0.0653
-20,20,0.0205,0.295,-1.228,0.029,-0.0642,-0.0173
-20,25,0.0157,0.2508,-1.465,0.0371,-0.0938,-0.0017
-20,30,0.0129,0.2286,-1.589,0.0428,-0.0907,0.0128
-20,35,0.0162,0.1757,-1.807,0.0422,-0.0891,0.0533
-20,40,0.0236,0.1566,-1.912,0.0339,-0.0971,0.0675
-20,45,0.0266,0.1201,-1.859,0.0351,-0.0417,0.0214
-15,-20,-0.0256,0.1692,1.29,0.0047,-0.0338,-0.0495
