numberIndependentVariables,"""=""",1.0,
alpha[deg],Cx_q,Cz_q,Cm_q
-20.0,0.953,-23.90000,-6.84000
-15.0,0.95300,-23.90000,-6.84000
-10.0,0.95300,-23.90000,-6.84000
-5.0,1.55000,-29.50000,-3.42000
0.0,1.90000,-29.50000,-5.48000
5.0,2.46000,-30.50000,-5.45000
10.0,2.92000,-31.30000,-6.02000
15.0,3.30000,-30.10000,-6.70000
20.0,2.76000,-27.70000,-5.69000
25.0,2.05000,-28.20000,-6.00000
30.0,1.50000,-29.00000,-6.20000
35.0,1.49000,-29.80000,-6.40000
40.0,1.83000,-38.30000,-6.60000
45.0,1.21000,-35.30000,-6.00000
50.0,1.33000,-32.30000,-5.50000
55.0,1.61000,-27.30000,-5.00000
60.0,0.91000,-25.20000,-4.50000
70.0,3.43000,-27.30000,-3.50000
80.0,0.61700,-9.35000,-5.60000
90.0,0.27300,-2.16000,-4.04000
