numberIndependentVariables,"""=""",2.0,,
beta[deg],alpha[deg],Cy,Cn,Cl
-30.0,-20.0,0.37470,-0.06390,-0.05140
-30.0,-15.0,0.39720,-0.06190,-0.04920
-30.0,-10.0,0.42520,-0.06790,-0.04550
-30.0,-5.0,0.60080,-0.10800,-0.03430
-30.0,0.0,0.66280,-0.12340,-0.04030
-30.0,5.0,0.70240,-0.12450,-0.02450
-30.0,10.0,0.67150,-0.11180,-0.00290
-30.0,15.0,0.64650,-0.09670,0.01590
-30.0,20.0,0.58730,-0.06700,0.00720
-30.0,25.0,0.49950,-0.03530,0.02980
-30.0,30.0,0.37890,-0.01870,0.04020
-30.0,35.0,0.32860,0.00700,0.04110
-30.0,40.0,0.18120,0.00560,0.04480
-30.0,45.0,0.10540,0.00460,0.05730
-30.0,50.0,0.09470,-0.01090,0.04080
-30.0,55.0,0.12640,-0.01000,0.04720
-30.0,60.0,0.16550,0.00470,0.05170
-30.0,70.0,0.25610,0.04700,0.04180
-30.0,80.0,0.29460,0.04100,0.05980
-30.0,90.0,0.28330,0.03200,0.07160
-25.0,-20.0,0.31130,-0.06280,-0.03400
-25.0,-15.0,0.32930,-0.05540,-0.03620
-25.0,-10.0,0.36790,-0.05990,-0.03420
-25.0,-5.0,0.51480,-0.09940,-0.03020
-25.0,0.0,0.56680,-0.10940,-0.03710
-25.0,5.0,0.60940,-0.11000,-0.025
-25.0,10.0,0.58550,-0.10200,-0.00240
-25.0,15.0,0.53550,-0.08070,0.01460
-25.0,20.0,0.49730,-0.05610,0.00430
-25.0,25.0,0.41850,-0.03160,0.02600
-25.0,30.0,0.32020,0.00910,0.00790
-25.0,35.0,0.27120,0.03570,0.02280
-25.0,40.0,0.16700,0.03220,0.02820
-25.0,45.0,0.07750,0.01410,0.04120
-25.0,50.0,0.07170,-0.00430,0.02970
-25.0,55.0,0.10260,-0.01240,0.02960
-25.0,60.0,0.14440,-0.00080,0.03500
-25.0,70.0,0.22500,0.04260,0.04090
-25.0,80.0,0.25000,0.04140,0.04650
-25.0,90.0,0.22900,0.02870,0.05320
-20.0,-20.0,0.28550,-0.06160,-0.01990
-20.0,-15.0,0.28070,-0.04900,-0.02310
-20.0,-10.0,0.31450,-0.05440,-0.02750
-20.0,-5.0,0.41580,-0.08380,-0.02570
-20.0,0.0,0.45280,-0.09150,-0.03260
-20.0,5.0,0.48940,-0.09390,-0.02350
