numberIndependentVariables,"""=""",2.0,,
beta[deg],alpha[deg],Cy,Cn,Cl
-30.0,-20.0,0.37440,-0.06830,-0.05360
-30.0,-15.0,0.42250,-0.07330,-0.04670
-30.0,-10.0,0.47730,-0.07750,-0.04920
-30.0,-5.0,0.63130,-0.11490,-0.04130
-30.0,0.0,0.66630,-0.12250,-0.02930
-30.0,5.0,0.67070,-0.11620,-0.01630
-30.0,10.0,0.65220,-0.10240,0.00360
-30.0,15.0,0.59760,-0.07990,-0.00580
-30.0,20.0,0.49100,-0.03640,0.00880
-30.0,25.0,0.50280,-0.03700,0.03110
-30.0,30.0,0.34660,-0.01690,0.03960
-30.0,35.0,0.29870,0.02130,0.02910
-30.0,40.0,0.20260,0.01890,0.03730
-30.0,45.0,0.11610,0.00550,0.04480
-25.0,-20.0,0.30910,-0.06150,-0.04020
-25.0,-15.0,0.35830,-0.07020,-0.04550
-25.0,-10.0,0.40650,-0.06830,-0.04810
-25.0,-5.0,0.54630,-0.10670,-0.04410
-25.0,0.0,0.57530,-0.11060,-0.02900
-25.0,5.0,0.58370,-0.10300,-0.01860
-25.0,10.0,0.56920,-0.09440,0.00050
-25.0,15.0,0.54460,-0.08160,-0.00570
-25.0,20.0,0.41400,-0.02850,-0.00200
-25.0,25.0,0.37380,-0.01630,0.02470
-25.0,30.0,0.32960,0.00370,0.03180
-25.0,35.0,0.25570,0.05430,0.02480
-25.0,40.0,0.15760,0.04630,0.02820
-25.0,45.0,0.06610,0.00450,0.03990
-20.0,-20.0,0.26610,-0.05560,-0.03090
-20.0,-15.0,0.31680,-0.06630,-0.04450
-20.0,-10.0,0.35060,-0.06100,-0.04120
-20.0,-5.0,0.44030,-0.08980,-0.04220
-20.0,0.0,0.45430,-0.09090,-0.03050
-20.0,5.0,0.46370,-0.08730,-0.01720
-20.0,10.0,0.46520,-0.08270,-0.00380
-20.0,15.0,0.46460,-0.07890,-0.00520
-20.0,20.0,0.34300,-0.03040,-0.00150
-20.0,25.0,0.28280,-0.00250,0.00810
-20.0,30.0,0.23860,0.02100,0.01650
-20.0,35.0,0.16470,0.06020,0.02270
-20.0,40.0,0.14460,0.08030,0.01540
-20.0,45.0,0.08310,0.02240,0.02990
-15.0,-20.0,0.17220,-0.05190,-0.02040
-15.0,-15.0,0.25100,-0.05510,-0.04240
-15.0,-10.0,0.27360,-0.05270,-0.04140
-15.0,-5.0,0.33130,-0.07160,-0.04010
-15.0,0.0,0.33730,-0.07220,-0.03110
-15.0,5.0,0.33970,-0.06770,-0.02020
-15.0,10.0,0.34320,-0.06580,-0.02100
-15.0,15.0,0.33760,-0.06080,-0.00780
-15.0,20.0,0.27500,-0.03550,-0.00310
-15.0,25.0,0.19180,0.00280,-0.00990
-15.0,30.0,0.14660,0.03030,0.00320
-15.0,35.0,0.11670,0.06590,0.00100
-15.0,40.0,0.12060,0.07860,0.00240
-15.0,45.0,0.07910,0.04320,0.02120
-10.0,-20.0,0.11740,-0.03930,-0.01470
-10.0,-15.0,0.18900,-0.04370,-0.03780
-10.0,-10.0,0.19810,-0.04340,-0.03870
-10.0,-5.0,0.21020,-0.04820,-0.04400
-10.0,0.0,0.21310,-0.04820,-0.03520
-10.0,5.0,0.22090,-0.04650,-0.02690
-10.0,10.0,0.22620,-0.04500,-0.01910
-10.0,15.0,0.22230,-0.04330,-0.01450
-10.0,20.0,0.18370,-0.02730,-0.01330
-10.0,25.0,0.13540,-0.00870,-0.00180
-10.0,30.0,0.08650,0.02110,-0.00640
-10.0,35.0,0.06010,0.05150,-0.00620
-10.0,40.0,0.07180,0.05190,-0.00300
-10.0,45.0,0.05970,0.04190,0.00770
-8.0,-20.0,0.10990,-0.03140,-0.02280
-8.0,-15.0,0.15570,-0.03720,-0.03560
-8.0,-10.0,0.16270,-0.03850,-0.03660
-8.0,-5.0,0.17680,-0.04290,-0.04520
-8.0,0.0,0.17790,-0.04280,-0.03850
-8.0,5.0,0.18480,-0.04060,-0.03140
-8.0,10.0,0.19000,-0.04010,-0.02330
-8.0,15.0,0.18560,-0.03780,-0.01840
-8.0,20.0,0.15420,-0.02330,-0.01430
-8.0,25.0,0.13140,-0.01050,-0.00030
-8.0,30.0,0.08770,0.01330,-0.00230
-8.0,35.0,0.05750,0.04390,-0.00940
-8.0,40.0,0.05410,0.03920,0.00580
-8.0,45.0,0.03530,0.03550,0.00460
-6.0,-20.0,0.09350,-0.02640,-0.02440
-6.0,-15.0,0.11970,-0.03010,-0.03330
-6.0,-10.0,0.12300,-0.03010,-0.03800
-6.0,-5.0,0.13720,-0.03590,-0.04630
-6.0,0.0,0.13990,-0.03590,-0.04080
-6.0,5.0,0.14480,-0.03280,-0.03620
-6.0,10.0,0.14530,-0.03070,-0.02890
-6.0,15.0,0.14130,-0.02860,-0.02540
-6.0,20.0,0.11800,-0.01670,-0.01680
-6.0,25.0,0.10430,-0.00710,-0.00830
-6.0,30.0,0.07960,0.00960,-0.00950
-6.0,35.0,0.05560,0.03110,-0.00480
-6.0,40.0,0.05090,0.02870,0.00250
-6.0,45.0,0.01590,0.02740,0.00380
-4.0,-20.0,0.06420,-0.01990,-0.02280
-4.0,-15.0,0.08490,-0.02330,-0.02880
-4.0,-10.0,0.08900,-0.02400,-0.03850
-4.0,-5.0,0.09330,-0.02670,-0.04870
-4.0,0.0,0.09600,-0.02560,-0.04480
