numberIndependentVariables,"""=""",2.0,,
beta[deg],alpha[deg],Cy,Cn,Cl
-30.0,-20.0,0.4105,-0.07870,-0.01150
-30.0,-15.0,0.4387,-0.07580,-0.00780
-30.0,-10.0,0.4771,-0.08500,-0.00570
-30.0,-5.0,0.6048,-0.14220,0.02610
-30.0,0.0,0.6388,-0.15760,0.02920
-30.0,5.0,0.6674,-0.15910,0.04160
-30.0,10.0,0.7015,-0.15200,0.06400
-30.0,15.0,0.6695,-0.13060,0.08210
-30.0,20.0,0.6703,-0.12710,0.10880
-30.0,25.0,0.5815,-0.10410,0.09320
-30.0,30.0,0.4141,-0.05980,0.08180
-30.0,35.0,0.3632,-0.04670,0.07420
-30.0,40.0,0.2365,-0.02890,0.06130
-30.0,45.0,0.2134,-0.02430,0.08190
-30.0,50.0,0.1606,-0.03950,0.05290
-30.0,55.0,0.1895,-0.03640,0.05850
-30.0,60.0,0.2183,-0.01620,0.06270
-30.0,70.0,0.2689,0.02670,0.06690
-30.0,80.0,0.2915,0.02230,0.06620
-30.0,90.0,0.2988,0.00890,0.06700
-25.0,-20.0,0.3419,-0.08150,0.00420
-25.0,-15.0,0.3684,-0.07450,0.00480
-25.0,-10.0,0.4196,-0.08330,0.00550
-25.0,-5.0,0.5388,-0.12700,0.03170
-25.0,0.0,0.5698,-0.13810,0.03290
-25.0,5.0,0.6064,-0.14060,0.04360
-25.0,10.0,0.6015,-0.13500,0.06400
-25.0,15.0,0.5555,-0.10910,0.07710
-25.0,20.0,0.5583,-0.10710,0.09280
-25.0,25.0,0.4915,-0.09250,0.08380
-25.0,30.0,0.3541,-0.02950,0.05030
-25.0,35.0,0.3442,-0.02010,0.06520
-25.0,40.0,0.2465,-0.01110,0.06060
-25.0,45.0,0.1434,-0.01290,0.06290
-25.0,50.0,0.1156,-0.02470,0.04390
-25.0,55.0,0.1495,-0.03050,0.04350
-25.0,60.0,0.1833,-0.01270,0.04750
-25.0,70.0,0.2289,0.02970,0.05630
-25.0,80.0,0.2445,0.02610,0.05520
-25.0,90.0,0.2398,0.00770,0.05420
-20.0,-20.0,0.2886,-0.07410,0.01630
-20.0,-15.0,0.3134,-0.07080,0.01760
-20.0,-10.0,0.3728,-0.08280,0.01690
-20.0,-5.0,0.4738,-0.11700,0.03430
-20.0,0.0,0.4998,-0.11810,0.03390
-20.0,5.0,0.5234,-0.12160,0.04360
-20.0,10.0,0.5295,-0.11700,0.06260
-20.0,15.0,0.4755,-0.10260,0.07310
-20.0,20.0,0.4533,-0.08660,0.08080
-20.0,25.0,0.4035,-0.07380,0.07180
-20.0,30.0,0.2781,-0.01830,0.02340
-20.0,35.0,0.2822,0.00610,0.04320
-20.0,40.0,0.2035,0.03860,0.03890
-20.0,45.0,0.1134,0.02130,0.03990
-20.0,50.0,0.1116,-0.00630,0.02950
-20.0,55.0,0.1905,0.00880,0.03300
-20.0,60.0,0.2173,0.01810,0.03770
-20.0,70.0,0.1989,0.01770,0.04530
-20.0,80.0,0.2045,0.02150,0.04320
-20.0,90.0,0.1898,0.00680,0.04000
-15.0,-20.0,0.2323,-0.06560,0.02760
-15.0,-15.0,0.2471,-0.06100,0.02330
-15.0,-10.0,0.3013,-0.07490,0.02090
-15.0,-5.0,0.3628,-0.09320,0.03310
-15.0,0.0,0.3838,-0.09810,0.03300
-15.0,5.0,0.4034,-0.10260,0.04000
-15.0,10.0,0.4135,-0.09900,0.05520
-15.0,15.0,0.3615,-0.09060,0.06540
-15.0,20.0,0.3643,-0.08360,0.07080
-15.0,25.0,0.3185,-0.06830,0.06110
-15.0,30.0,0.2061,-0.00980,0.01680
-15.0,35.0,0.2202,0.01860,0.01350
-15.0,40.0,0.1755,0.04840,0.01170
-15.0,45.0,0.1274,0.04470,0.03130
-15.0,50.0,0.1286,0.01770,0.02430
-15.0,55.0,0.1755,0.00670,0.02650
-15.0,60.0,0.1883,0.00260,0.02970
-15.0,70.0,0.1729,0.00690,0.03430
-15.0,80.0,0.1515,0.01670,0.03230
-15.0,90.0,0.1568,0.00140,0.02790
-10.0,-20.0,0.18150,-0.06200,0.03500
-10.0,-15.0,0.20720,-0.06230,0.02420
-10.0,-10.0,0.22580,-0.06700,0.02370
-10.0,-5.0,0.25990,-0.07740,0.03110
-10.0,0.0,0.27360,-0.07910,0.02940
-10.0,5.0,0.28800,-0.08190,0.03360
-10.0,10.0,0.29630,-0.08160,0.04420
-10.0,15.0,0.25840,-0.07520,0.05190
-10.0,20.0,0.25240,-0.06770,0.05300
-10.0,25.0,0.22990,-0.05420,0.04490
-10.0,30.0,0.13230,-0.00490,0.00450
-10.0,35.0,0.13210,0.01590,0.00840
-10.0,40.0,0.12140,0.03210,0.00760
-10.0,45.0,0.09650,0.03250,0.02230
-10.0,50.0,0.09460,0.01960,0.01570
-10.0,55.0,0.12350,0.00060,0.01660
-10.0,60.0,0.13750,-0.00840,0.02090
-10.0,70.0,0.11630,-0.00160,0.02420
-10.0,80.0,0.10750,0.01090,0.02010
-10.0,90.0,0.10420,-0.00360,0.01840
-8.0,-20.0,0.17360,-0.06270,0.03490
-8.0,-15.0,0.19710,-0.06580,0.02470
-8.0,-10.0,0.20340,-0.06850,0.02520
-8.0,-5.0,0.22590,-0.07450,0.03120
-8.0,0.0,0.24450,-0.07830,0.02990
-8.0,5.0,0.25740,-0.07930,0.03200
-8.0,10.0,0.24620,-0.07790,0.04010
-8.0,15.0,0.23530,-0.07590,0.04820
-8.0,20.0,0.23160,-0.06850,0.04740
-8.0,25.0,0.22390,-0.06000,0.04270
-8.0,30.0,0.15690,-0.02810,0.02400
