numberIndependentVariables,"""=""",1.0,
alpha[deg],Cy_p,Cn_p,Cl_p
-20.0,0.03330,-0.00060,-0.366
-15.0,0.03330,-0.00060,-0.36600
-10.0,0.03330,-0.00060,-0.36600
-5.0,-0.17700,0.04240,-0.37700
0.0,0.00550,-0.00750,-0.34500
5.0,0.06790,-0.02140,-0.43400
10.0,0.31000,-0.03200,-0.40800
15.0,0.23400,-0.03200,-0.38800
20.0,0.34400,0.05000,-0.32900
25.0,0.36200,0.15000,-0.29400
30.0,0.61100,0.13000,-0.23000
35.0,0.52900,0.15800,-0.21000
40.0,0.29800,0.24000,-0.12000
45.0,-2.27000,0.15000,-0.10000
50.0,0.97100,0.00000,-0.10000
55.0,1.02000,-0.20000,-0.12000
60.0,2.90000,-0.30000,-0.14000
70.0,0.45100,0.15000,-0.10000
80.0,-0.29400,0.00000,-0.15000
90.0,-0.26100,0.00000,-0.20000
