numberIndependentVariables,"""=""",1.0,
alpha[deg],Cy_r,Cn_r,Cl_r
-20.0,1.44000,-0.51700,-0.155
-15.0,1.44000,-0.51700,-0.15500
-10.0,1.44000,-0.51700,-0.15500
-5.0,1.05000,-0.46100,-0.20100
0.0,0.98100,-0.41400,-0.00240
5.0,0.93900,-0.39700,0.08800
10.0,0.99900,-0.37300,0.20500
15.0,0.98100,-0.45500,0.22000
20.0,0.81900,-0.55000,0.31900
25.0,0.48300,-0.58200,0.43700
30.0,0.59000,-0.59500,0.68000
35.0,1.21000,-0.63700,0.10000
40.0,-0.49300,-1.02000,0.44700
45.0,-1.04000,-0.84000,-0.33000
50.0,-1.21000,-0.54100,-0.06800
55.0,-1.58000,-0.35000,0.11800
60.0,-1.37000,-0.35000,0.08020
70.0,-0.02590,-0.07000,0.05290
80.0,-0.12700,-0.15000,0.08680
90.0,0.19300,-0.15000,-0.01830
