numberIndependentVariables,"""=""",1.0,
alpha[deg],dCx,dCz,dCm
-20.0,-0.01010,-0.38580,-0.0034
-15.0,-0.01010,-0.38580,-0.0034
-10.0,-0.01010,-0.38580,-0.0034
-5.0,-0.01010,-0.38580,-0.0034
0.0,-0.01010,-0.38580,-0.0034
5.0,-0.03580,-0.26850,0.0289
10.0,-0.07900,-0.30210,0.0215
15.0,-0.12270,-0.42480,0.0122
20.0,-0.18270,-0.20940,0.0241
25.0,-0.18920,-0.09690,0.0263
30.0,-0.19880,0.04380,-0.0163
35.0,-0.20000,0.09470,-0.0428
40.0,-0.18740,0.00140,-0.0704
45.0,-0.16730,-0.00970,-0.0844
50.0,-0.14760,-0.01530,-0.0789
55.0,-0.13100,-0.05200,-0.0603
60.0,-0.12790,-0.00100,-0.045
70.0,-0.13250,-0.02020,-0.0578
80.0,-0.12500,-0.03690,-0.0107
90.0,-0.12500,-0.03690,-0.0107
