numberIndependentVariables,"""=""",1.0,
alpha[deg],dCx_q,dCz_q,dCm_q
-20.0,-1.22,15.10000,-0.36700
-15.0,-1.22000,15.10000,-0.36700
-10.0,-1.22000,15.10000,-0.36700
-5.0,-1.66000,3.70000,2.88000
0.0,-1.62000,0.60000,0.25000
5.0,-1.58000,-1.30000,0.27000
10.0,-1.96000,0.30000,-0.21000
15.0,-2.51000,-3.80000,0.36000
20.0,-2.04000,-4.60000,-1.26000
25.0,-1.64000,-0.20000,-2.51000
30.0,-0.82400,-2.70000,-1.66000
35.0,-0.81700,-3.50000,-1.72000
40.0,-1.10000,-1.30000,-1.20000
45.0,-0.55000,-0.65000,-0.60000
