numberIndependentVariables,"""=""",2.0
dh[deg],alpha[deg],dCm
-25.0,-20.0,0.00000
-25.0,-15.0,0.00000
-25.0,-10.0,0.00000
-25.0,-5.0,0.00000
-25.0,0.0,0.00000
-25.0,5.0,0.00000
-25.0,10.0,0.00000
-25.0,15.0,0.00000
-25.0,20.0,0.00000
-25.0,25.0,0.00000
-25.0,30.0,0.00000
-25.0,35.0,0.00000
-25.0,40.0,0.00000
-25.0,45.0,0.04800
-25.0,50.0,0.03900
-25.0,55.0,0.00000
-25.0,60.0,0.08400
-25.0,70.0,0.09900
-25.0,80.0,0.02000
-25.0,90.0,0.00000
-10.0,-20.0,0.00000
-10.0,-15.0,0.00000
-10.0,-10.0,0.00000
-10.0,-5.0,0.00000
-10.0,0.0,0.00000
-10.0,5.0,0.00000
-10.0,10.0,0.00000
-10.0,15.0,0.00000
-10.0,20.0,0.00000
-10.0,25.0,0.00000
-10.0,30.0,0.00000
-10.0,35.0,0.00000
-10.0,40.0,0.01000
-10.0,45.0,0.05700
-10.0,50.0,0.05400
-10.0,55.0,0.02500
-10.0,60.0,0.08000
-10.0,70.0,0.07500
-10.0,80.0,0.01000
-10.0,90.0,0.01000
0.0,-20.0,0.00000
0.0,-15.0,0.00000
0.0,-10.0,0.00000
0.0,-5.0,0.00000
0.0,0.0,0.00000
0.0,5.0,0.00000
0.0,10.0,0.00000
0.0,15.0,0.00000
0.0,20.0,0.00000
0.0,25.0,0.00000
0.0,30.0,0.00000
0.0,35.0,0.00000
0.0,40.0,0.01000
0.0,45.0,0.06400
0.0,50.0,0.10500
0.0,55.0,0.07500
0.0,60.0,0.10600
0.0,70.0,0.13200
0.0,80.0,0.05000
0.0,90.0,0.04000
10.0,-20.0,0.00000
10.0,-15.0,0.00000
10.0,-10.0,0.00000
10.0,-5.0,0.00000
10.0,0.0,0.00000
10.0,5.0,0.00000
10.0,10.0,0.00000
10.0,15.0,0.00000
10.0,20.0,0.00000
10.0,25.0,0.00000
10.0,30.0,0.00000
10.0,35.0,0.00000
10.0,40.0,0.02000
10.0,45.0,0.07000
10.0,50.0,0.07500
10.0,55.0,0.04000
10.0,60.0,0.10000
10.0,70.0,0.02000
10.0,80.0,0.00000
10.0,90.0,0.00000
15.0,-20.0,0.00000
15.0,-15.0,0.00000
15.0,-10.0,0.00000
15.0,-5.0,0.00000
15.0,0.0,0.00000
15.0,5.0,0.00000
15.0,10.0,0.00000
15.0,15.0,0.00000
15.0,20.0,0.00000
15.0,25.0,0.00000
15.0,30.0,0.00000
15.0,35.0,-0.01130
15.0,40.0,0.00410
15.0,45.0,0.07060
15.0,50.0,0.0792
15.0,55.0,0.0416
15.0,60.0,0.0886
15.0,70.0,0.02875
15.0,80.0,0.0218
15.0,90.0,-0.03445
20.0,-20.0,0.00000
20.0,-15.0,0.00000
20.0,-10.0,0.00000
20.0,-5.0,0.00000
20.0,0.0,0.00000
20.0,5.0,0.00000
20.0,10.0,0.00000
20.0,15.0,0.00000
20.0,20.0,0.00000
20.0,25.0,0.00000
20.0,30.0,0.00000
20.0,35.0,-0.01320
20.0,40.0,0.02970
20.0,45.0,0.05060
20.0,50.0,0.07470
20.0,55.0,0.05000
20.0,60.0,0.07760
20.0,70.0,0.03610
20.0,80.0,-0.02510
20.0,90.0,-0.03780
25.0,-20.0,0.00000
25.0,-15.0,0.00000
25.0,-10.0,0.00000
25.0,-5.0,0.00000
25.0,0.0,0.00000
25.0,5.0,0.00000
25.0,10.0,0.00000
25.0,15.0,0.00000
25.0,20.0,0.00000
25.0,25.0,0.00000
25.0,30.0,0.00000
25.0,35.0,0.00000
25.0,40.0,0.02540
25.0,45.0,0.04070
25.0,50.0,0.08220
25.0,55.0,0.05830
25.0,60.0,0.07850
25.0,70.0,0.04680
25.0,80.0,-0.02100
25.0,90.0,-0.03780
