     Geometric_Altitude[ft]   Geopotential_Altitude[ft]   Temperature[R]          Pressure[lbf/ft^2]         Density[slugs/ft^3]         Speed_of_Sound[ft/s] Dynamic_Viscosity[slugs/(ft-s)]
  0.000000000000e+00  0.000000000000e+00  5.186700000000e+02  2.116216623674e+03  2.376892408721e-03  1.116450099728e+03  3.737025789209e-07
  1.000000000000e+04  9.995207407009e+03  4.830254911534e+02  1.455602031309e+03  1.755549717231e-03  1.077404481615e+03  3.534089321643e-07
  2.000000000000e+04  1.998083881121e+04  4.474151318650e+02  9.732744834242e+02  1.267258463590e-03  1.036929156976e+03  3.324201697028e-07
  3.000000000000e+04  2.995690796760e+04  4.118388730823e+02  6.296674968229e+02  8.906856798565e-04  9.948495796106e+02  3.106763385369e-07
  4.000000000000e+04  3.992342860480e+04  3.899700000000e+02  3.931275774922e+02  5.872767974136e-04  9.680757728508e+02  2.968963504283e-07
  5.000000000000e+04  4.988041442522e+04  3.899700000000e+02  2.436096085312e+02  3.639181754433e-04  9.680757728508e+02  2.968963504283e-07
  6.000000000000e+04  5.982787910502e+04  3.899700000000e+02  1.510268133668e+02  2.256126213363e-04  9.680757728508e+02  2.968963504283e-07
  7.000000000000e+04  6.976583629425e+04  3.922463284245e+02  9.372683422450e+01  1.392020375279e-04  9.708970821283e+02  2.983460648415e-07
  8.000000000000e+04  7.969429961684e+04  3.976934805418e+02  5.851139691312e+01  8.571020347373e-05  9.776152962137e+02  3.018005147857e-07
  9.000000000000e+04  8.961328267074e+04  4.031354314045e+02  3.677834070897e+01  5.314735955367e-05  9.842813068992e+02  3.052312466793e-07
  1.000000000000e+05  9.952279902794e+04  4.085721884587e+02  2.327213885130e+01  3.318241798159e-05  9.908961767713e+02  3.086385900753e-07
  1.100000000000e+05  1.094228622345e+05  4.183845255818e+02  1.483726144044e+01  2.065944579086e-05  1.002724344385e+03  3.147381650683e-07
  1.200000000000e+05  1.193134858107e+05  4.335784223945e+02  9.601364622573e+00  1.290047890749e-05  1.020769259413e+03  3.240590190072e-07
  1.300000000000e+05  1.291946832510e+05  4.487578388528e+02  6.309490110881e+00  8.190732585935e-06  1.038483920005e+03  3.332252352945e-07
  1.400000000000e+05  1.390664680242e+05  4.639227956471e+02  4.206171352267e+00  5.281797896666e-06  1.055884971947e+03  3.422423967424e-07
  1.500000000000e+05  1.489288535734e+05  4.790733134287e+02  2.841871709096e+00  3.455755598756e-06  1.072987696209e+03  3.511158290803e-07
  1.600000000000e+05  1.587818533162e+05  4.871700000000e+02  1.941917719078e+00  2.322152936959e-06  1.082016841541e+03  3.558041863974e-07
  1.700000000000e+05  1.686254806445e+05  4.871700000000e+02  1.329700469864e+00  1.590061113833e-06  1.082016841541e+03  3.558041863974e-07
  1.800000000000e+05  1.784597489250e+05  4.785496866996e+02  9.083598969505e-01  1.105786916542e-06  1.072401148566e+03  3.508113504644e-07
  1.900000000000e+05  1.882846714987e+05  4.677689956579e+02  6.154958406375e-01  7.665389379070e-07  1.060252899333e+03  3.445076625820e-07
  2.000000000000e+05  1.981002616815e+05  4.569985448622e+02  4.134443381371e-01  5.270390112136e-07  1.047975575509e+03  3.381422821021e-07
