numberIndependentVariables,"""=""",9,,,,,,,,,,,,
velocity,elevator,aileron,rudder,p,q,r,alpha,beta,Cx,Cy,Cz,Cl,Cm,Cn
100,-20,-10,-30,-90,-30,-30,-20,-8,0.065608701,-0.010482764,0.026301374,4.91E-05,0.007426612,0.001590192
100,-20,-10,-30,-90,-30,-30,-20,-6,0.065744926,-0.010621359,0.026103035,5.88E-05,0.007358258,0.001612743
100,-20,-10,-30,-90,-30,-30,-20,-4,0.065879826,-0.010759904,0.025905532,6.84E-05,0.007289778,0.001635285
100,-20,-10,-30,-90,-30,-30,-20,-2,0.066013398,-0.010898398,0.02570886,7.80E-05,0.007221175,0.00165782
100,-20,-10,-30,-90,-30,-30,-20,0,0.066145643,-0.011036842,0.025513015,8.75E-05,0.007152446,0.001680348
100,-20,-10,-30,-90,-30,-30,-20,2,0.066138058,-0.011262087,0.025692652,9.90E-05,0.007176235,0.001711899
100,-20,-10,-30,-90,-30,-30,-20,4,0.066128993,-0.011486973,0.025873039,0.000110521,0.007199881,0.001743399
100,-20,-10,-30,-90,-30,-30,-20,6,0.06611845,-0.011711501,0.026054178,0.00012202,0.007223386,0.001774848
100,-20,-10,-30,-90,-30,-30,-20,8,0.066106428,-0.011935672,0.026236073,0.000133516,0.007246751,0.001806246
100,-20,-10,-30,-90,-30,-30,-15,-8,0.065625268,-0.010177576,0.026119488,4.27E-05,0.007361167,0.001534941
100,-20,-10,-30,-90,-30,-30,-15,-6,0.065761508,-0.010316218,0.025921047,5.24E-05,0.007292774,0.001557498
100,-20,-10,-30,-90,-30,-30,-15,-4,0.065896422,-0.010454808,0.025723442,6.20E-05,0.007224257,0.001580046
100,-20,-10,-30,-90,-30,-30,-15,-2,0.066030009,-0.010593348,0.025526668,7.16E-05,0.007155615,0.001602587
100,-20,-10,-30,-90,-30,-30,-15,0,0.066162268,-0.010731836,0.025330722,8.12E-05,0.007086849,0.00162512
100,-20,-10,-30,-90,-30,-30,-15,2,0.066154704,-0.010957099,0.02551026,9.27E-05,0.0071106,0.001656675
100,-20,-10,-30,-90,-30,-30,-15,4,0.066145659,-0.011182003,0.025690548,0.000104159,0.007134209,0.00168818
100,-20,-10,-30,-90,-30,-30,-15,6,0.066135136,-0.011406549,0.02587159,0.00011566,0.007157677,0.001719634
100,-20,-10,-30,-90,-30,-30,-15,8,0.066123135,-0.011630737,0.026053387,0.000127159,0.007181006,0.001751036
100,-20,-10,-30,-90,-30,-30,-10,-8,0.065632539,-0.009835478,0.025940171,3.72E-05,0.00729697,0.001474837
100,-20,-10,-30,-90,-30,-30,-10,-6,0.065768796,-0.009974169,0.025741613,4.69E-05,0.007228533,0.001497399
100,-20,-10,-30,-90,-30,-30,-10,-4,0.065903726,-0.010112809,0.025543891,5.65E-05,0.007159973,0.001519953
100,-20,-10,-30,-90,-30,-30,-10,-2,0.06603733,-0.010251397,0.025347001,6.61E-05,0.007091288,0.0015425
100,-20,-10,-30,-90,-30,-30,-10,0,0.066169608,-0.010389935,0.025150939,7.57E-05,0.007022478,0.001565039
100,-20,-10,-30,-90,-30,-30,-10,2,0.066162066,-0.010615216,0.025330364,8.72E-05,0.007046187,0.001596599
100,-20,-10,-30,-90,-30,-30,-10,4,0.066153045,-0.010840137,0.02551054,9.87E-05,0.007069754,0.001628109
100,-20,-10,-30,-90,-30,-30,-10,6,0.066142546,-0.0110647,0.025691469,0.000110175,0.00709318,0.001659568
