#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],                de [deg],                dr [deg],          tau [per-unit],           dadot [deg/s],           dedot [deg/s],           drdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],        deddot [deg/s/s],        drddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000000e+02,  2.0000000000000000e+01,  5.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  8.0000000000000000e+01,  6.0000000000000000e+01, -1.1999999999999999e+02, -1.1661271117226495e-02,  0.0000000000000000e+00, -2.2234076308475578e-12,  0.0000000000000000e+00, -5.7904718198256010e-02
 9.9933377748167886e-03, -1.0684248411519093e-01,  5.5261220869801075e-01,  2.1636603451559751e+00,  1.9607692712795907e+02,  1.9830666913081664e+01,  4.4292943625713139e+00,  6.3398999351883756e+00,  4.7973823088540504e-05, -1.2183760918560438e-04,  1.9816559058670951e+00,  1.9824731967133413e-01,  5.0573736033747624e-02,  7.9946702198534303e-01,  5.9960026648900733e-01, -1.1992005329780144e+00, -1.1653502115815950e-04,  8.0000000000000000e+01,  5.9999999999999993e+01, -1.1999999999999999e+02, -1.1950601821081871e-02,  0.0000000000000000e+00, -2.2234076308475578e-12,  0.0000000000000000e+00, -5.7904718198256010e-02
 1.9986675549633577e-02, -2.1955579922712332e-01,  1.2228485296539291e+00,  4.2566990143861325e+00,  1.9199058923197609e+02,  1.9582632919013840e+01,  3.9091628718602061e+00,  1.2679776796084557e+01,  2.4964688369929187e-04, -6.6070104730897583e-04,  3.9235268271808921e+00,  3.9284416176794412e-01,  1.0235965730761348e-01,  1.5989340439706861e+00,  1.1992005329780144e+00, -2.3984010659560289e+00, -2.3885280122082353e-04,  7.9999999999999986e+01,  5.9999999999999993e+01, -1.2000000000000000e+02, -1.2486104863930559e-02, -2.2234076308475578e-12,  1.1117038154237789e-12, -4.4468152616951156e-12, -4.9267290777194696e-02
 2.9980013324450366e-02, -3.3736045126931913e-01,  1.9979468636307518e+00,  6.2682071583161552e+00,  1.8774208347907754e+02,  1.9258651971911863e+01,  3.4427428362985864e+00,  1.9019613980173517e+01,  7.0098676326835695e-04, -1.8695881844905671e-03,  5.8239985788844963e+00,  5.8316584290843432e-01,  1.5549307820741051e-01,  2.3984010659560289e+00,  1.7988007994670216e+00, -3.5976015989340437e+00, -3.6609074795224128e-04,  8.0000000000000000e+01,  6.0000000000000014e+01, -1.1999999999999999e+02, -1.2937172703327225e-02,  4.4468152616951156e-12,  4.4468152616951156e-12,  8.8936305233902312e-12, -4.1006419480724823e-02
 3.9973351099267154e-02, -4.5940999804679450e-01,  2.8644830105248955e+00,  8.1884127887015161e+00,  1.8333273791552958e+02,  1.8861435729179114e+01,  3.0328537628457428e+00,  2.5359392840092788e+01,  1.5091570204171872e-03, -3.9909980805532541e-03,  7.6814675485358803e+00,  7.6857911077334817e-01,  2.1007487720217585e-01,  3.1978680879413721e+00,  2.3984010659560293e+00, -4.7968021319120577e+00, -4.9742387457180071e-04,  8.0000000000000014e+01,  6.0000000000000014e+01, -1.2000000000000000e+02, -1.3307373728218393e-02, -4.4468152616951172e-12, -6.6702228925426750e-12, -8.8936305233902345e-12, -3.3083145634160288e-02
 4.9966688874083939e-02, -5.8479584329552381e-01,  3.8084947378843634e+00,  1.0008661796989561e+01,  1.7876412252658073e+02,  1.8393629270858945e+01,  2.6819879716779358e+00,  3.1699092818229428e+01,  2.7911237687666280e-03, -7.2559333111712476e-03,  9.4943425304074989e+00,  9.4844346453754680e-01,  2.6617217483477978e-01,  3.9973351099267149e+00,  2.9980013324450363e+00, -5.9960026648900726e+00, -6.3206090907585999e-04,  7.9999999999999972e+01,  5.9999999999999993e+01, -1.2000000000000003e+02, -1.3599883241816780e-02,  0.0000000000000000e+00,  4.4468152616951156e-12,  0.0000000000000000e+00, -2.5457758353997471e-02
 5.9960026648900731e-02, -7.1255285560062021e-01,  4.8156043361552685e+00,  1.1721386189855995e+01,  1.7403805731045392e+02,  1.7857787248541154e+01,  2.3923035260582992e+00,  3.8038691594647808e+01,  4.6722134122412946e-03, -1.1883099630722427e-02,  1.1261046688819004e+01,  1.1221124464175651e+00,  3.2381904840935238e-01,  4.7968021319120577e+00,  3.5976015989340437e+00, -7.1952031978680875e+00, -7.6924032843889156e-04,  7.9999999999999972e+01,  5.9999999999999993e+01, -1.2000000000000007e+02, -1.3817476987152362e-02,  4.4468152616951124e-12,  0.0000000000000000e+00, -1.7787261046780450e-11, -1.8090003212497988e-02
 6.9953364423717523e-02, -8.4166582210264096e-01,  5.8711385261812667e+00,  1.3320060129072186e+01,  1.6915661742805088e+02,  1.7256350705685318e+01,  2.1656193853443804e+00,  4.4378165245454234e+01,  7.2846466007420261e-03, -1.8078294529914274e-02,  1.2980019629407854e+01,  1.2889349057233455e+00,  3.8301729892540870e-01,  5.5962691538974010e+00,  4.1972018654230512e+00, -8.3944037308461041e+00, -9.0822633853260282e-04,  8.0000000000000014e+01,  5.9999999999999972e+01, -1.2000000000000003e+02, -1.3962526632909592e-02,  0.0000000000000000e+00, -8.8936305233902312e-12,  3.5574522093560925e-11, -1.0939265891714884e-02
 7.9946702198534308e-02, -9.7107674770052199e-01,  6.9602446991333631e+00,  1.4799144500745083e+01,  1.6412213552593647e+02,  1.6591624802863045e+01,  2.0034126604490035e+00,  5.0717488408845512e+01,  1.0766070750292012e-02, -2.6033973363155383e-02,  1.4649719557899557e+01,  1.4482562337160334e+00,  4.4373728569027965e-01,  6.3957361758827442e+00,  4.7968021319120577e+00, -9.5936042638241172e+00, -1.0483048181039734e-03,  8.0000000000000000e+01,  5.9999999999999986e+01, -1.1999999999999997e+02, -1.4036996920301748e-02, -8.8936305233902377e-12,  8.8936305233902377e-12, -1.7787261046780475e-11, -3.9647209583673114e-03
 8.9940039973351094e-02, -1.0996930087602550e+00,  8.0680026009773336e+00,  1.6154020863434052e+01,  1.5893720136152936e+02,  1.5865757669848733e+01,  1.9068178250151873e+00,  5.7056634456290020e+01,  1.5258110549990024e-02, -3.5928979476011591e-02,  1.6268625506958827e+01,  1.5994195647670284e+00,  5.0591884336194193e-01,  7.1952031978680866e+00,  5.3964023984010652e+00, -1.0792804796802132e+01, -1.1887792416698795e-03,  8.0000000000000000e+01,  6.0000000000000036e+01, -1.1999999999999997e+02, -1.4042444083503506e-02,  8.8936305233902377e-12,  0.0000000000000000e+00,  1.7787261046780475e-11,  2.8745620295886737e-03
