#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000000e+02,  2.0000000000000000e+01,  5.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -5.8428529332975174e+01,  5.9999999999999943e+01, -4.9999999999999993e+01, -3.9374118293302660e-03,  9.8054485090145408e+03,  6.6702228925426734e-12,  1.6675557231356684e-11, -1.2441671622662308e-01
 9.9933377748167886e-03, -1.0575232699090975e-01,  5.3688051923651903e-01,  2.1705279049220927e+00,  1.9552536112759392e+02,  1.9955495247512633e+01,  4.4555254212434701e+00,  6.3399001270693827e+00,  5.3343013747607782e-05, -1.2389854055072647e-04,  1.9785021865605417e+00,  1.9887489008521486e-01,  5.0748645422332331e-02, -5.8389602931021156e-01,  5.9960026648900677e-01, -4.9966688874083937e-01, -3.9347886369056617e-05, -9.4339498408971938e+00,  5.9999999999999979e+01, -4.9999999999999908e+01, -4.5590809643733521e-03,  9.8054485090145408e+03,  6.6702228925426734e-12,  1.6675557231356684e-11, -1.2441671622662308e-01
 1.9986675549633577e-02, -2.1822785394704169e-01,  1.1931510728055583e+00,  4.2841881194525051e+00,  1.9118178711991794e+02,  1.9823610768995486e+01,  3.9244842090199206e+00,  1.2679777021631082e+01,  3.0059636092509415e-04, -6.6856314515462145e-04,  3.9134437526320212e+00,  3.9529870573434556e-01,  1.0284364407776744e-01, -1.8855329462152950e-01,  1.1992005329780142e+00, -9.9933377748167707e-01, -9.1120872039440748e-05,  5.9780314825590366e+01,  5.9999999999999979e+01, -4.9999999999999908e+01, -5.7534054781616445e-03,  4.0466329929051699e+03, -6.6702228925426734e-12, -1.6119705323644796e-11, -1.1460742979954043e-01
 2.9980013324450366e-02, -3.3674414628319482e-01,  1.9596251481648852e+00,  6.3288161504453306e+00,  1.8673235160963011e+02,  1.9605774345638221e+01,  3.4177290304056331e+00,  1.9019613344112223e+01,  8.7153379439034351e-04, -1.8857487339118961e-03,  5.8047911948846158e+00,  5.8857345851027842e-01,  1.5615511513707228e-01,  6.1091372736381289e-01,  1.7988007994670210e+00, -1.4990006662225164e+00, -1.5433933496655783e-04,  7.9999999999999957e+01,  5.9999999999999957e+01, -5.0000000000000000e+01, -6.8480760603643089e-03,  5.2805931232629498e-12,  2.2234076308475578e-12, -2.2234076308475578e-12, -1.0447264271861965e-01
 3.9973351099267154e-02, -4.6052948184376419e-01,  2.8260629404783773e+00,  8.2931520628916537e+00,  1.8214249865058616e+02,  1.9303545733962359e+01,  2.9406449601095370e+00,  2.5359389497801843e+01,  1.9001036043342658e-03, -4.0164852634916315e-03,  7.6512117283818117e+00,  7.7800357013729737e-01,  2.1056150945210844e-01,  1.4103807493491558e+00,  2.3984010659560280e+00, -1.9986675549633559e+00, -2.2799114639715512e-04,  7.9999999999999986e+01,  5.9999999999999979e+01, -4.9999999999999972e+01, -7.8403539789923659e-03, -3.3351114462713375e-12,  0.0000000000000000e+00,  8.8936305233902345e-12, -9.4115244729475300e-02
 4.9966688874083939e-02, -5.8872846643953380e-01,  3.7815425842283132e+00,  1.0166859628569714e+01,  1.7741453294251897e+02,  1.8918532701865715e+01,  2.4973664384643026e+00,  3.1699083786554560e+01,  3.5284754525075632e-03, -7.2901297025964595e-03,  9.4513078661403664e+00,  9.6289674297014383e-01,  2.6591647034447985e-01,  2.2098477713344984e+00,  2.9980013324450350e+00, -2.4983344437041946e+00, -3.1104194613895686e-04,  7.9999999999999943e+01,  5.9999999999999993e+01, -4.9999999999999986e+01, -8.7281263535728994e-03, -2.2234076308475578e-12,  4.4468152616951156e-12, -1.3340445785085347e-11, -8.3557599836575777e-02
 5.9960026648900731e-02, -7.2040855440025098e-01,  4.8144724280424782e+00,  1.1940524459040031e+01,  1.7255076248308967e+02,  1.8452363406326921e+01,  2.0918016824333852e+00,  3.8038672582744042e+01,  5.9058355910822204e-03, -1.1923634458071319e-02,  1.1203701227584158e+01,  1.1425637581827193e+00,  3.2204854887673351e-01,  3.0093147933198408e+00,  3.5976015989340424e+00, -2.9980013324450345e+00, -4.0243737598222307e-04,  7.9999999999999929e+01,  5.9999999999999922e+01, -5.0000000000000014e+01, -9.5094594806568056e-03,  4.4468152616951124e-12, -1.3340445785085336e-11,  4.4468152616951124e-12, -7.2813203330483828e-02
 6.9953364423717523e-02, -8.5456683516838439e-01,  5.9126965362893724e+00,  1.3605641158124516e+01,  1.6755350772906701e+02,  1.7906675538607427e+01,  1.7276237278600093e+00,  4.4378130506887793e+01,  9.1867692754518497e-03, -1.8121012499250355e-02,  1.2907032488495595e+01,  1.3163180790469293e+00,  3.7876331451823969e-01,  3.8087818153051836e+00,  4.1972018654230485e+00, -3.4976682211858741e+00, -5.0110442743123151e-04,  8.0000000000000412e+01,  6.0000000000000213e+01, -4.8887465080604990e+01, -1.0182548104582322e-02,  8.8936305233902312e-11,  6.6702228925426734e-11,  2.2265532186825698e+02, -6.1894266604475376e-02
 7.9946702198534308e-02, -9.9013767611450021e-01,  7.0636061482327026e+00,  1.5154591547905628e+01,  1.6242511267165133e+02,  1.7283112600638329e+01,  1.4082041449263358e+00,  5.0717430616813409e+01,  1.3529641689706126e-02, -2.6072972959809704e-02,  1.4559961491099973e+01,  1.4834754487905801e+00,  4.3584538950503976e-01,  4.6082488372905352e+00,  4.7968021319120613e+00, -3.9750992354551276e+00, -6.0595266121704627e-04,  8.0000000000000597e+01,  6.0000000000000256e+01, -3.8922959040307177e+01, -1.0746044818525273e-02, -5.7808598402036542e-11, -6.2255413663731657e-11,  1.7715744869966827e+03, -5.0880209079306606e-02
 8.9940039973351094e-02, -1.1260059520450341e+00,  8.2545355035707964e+00,  1.6580645929501760e+01,  1.5716806416557574e+02,  1.6583517462160923e+01,  1.1348029717805506e+00,  5.7056544608389366e+01,  1.9095776848296442e-02, -3.5956392439402407e-02,  1.6161167436887983e+01,  1.6433561794383378e+00,  4.9305385386065359e-01,  5.4077158592758812e+00,  5.3964023984010678e+00, -4.2756087749561704e+00, -7.1588213866091710e-04,  8.0000000000000185e+01,  6.0000000000000036e+01, -2.1681957566893953e+01, -1.1200306906950697e-02, -2.6680891570170713e-11,  1.7787261046780475e-11,  1.6789246078824187e+03, -4.0032776884235011e-02
