#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  9.0000000000000000e+01,  1.0000000000000000e+01,  2.5000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -7.7821888918566444e+01,  5.9999999999999993e+01, -5.0000000000000000e+01, -2.0652573261322194e-03,  2.8975792103381937e+03,  9.0325935003182036e-13, -2.2234076308475578e-12, -4.5276891168824010e-02
 9.9933377748167886e-03,  6.3368566589342470e+02,  1.9959124674661083e-01,  3.0357189106322526e+01,  8.8063171989171039e+01,  9.9179879802584257e+00,  2.3688584654510980e+00,  6.3399029237934661e+00,  2.4585167515443702e-05, -1.5000000069378326e+04,  8.9067221223222603e-01,  2.7441681554634001e+00,  2.5132651232051401e-02, -7.7770042223750602e-01,  6.3821234256175507e-01, -4.9966688874083942e-01,  2.7321810019484616e-01, -6.3343645029468199e+01,  6.0000000000000000e+01, -5.0000000000000007e+01, -2.2914909595540584e-03,  2.8975792103381937e+03,  9.0325935003182036e-13, -2.2234076308475578e-12, -4.5276891168824010e-02
 1.9986675549633577e-02,  6.3363245469191213e+02,  4.2606450801410906e-01,  3.1406328087212120e+01,  8.6362034485733261e+01,  9.7650685433911768e+00,  2.2374845060487885e+00,  1.2679791665275951e+01,  1.3973272908996093e-04, -1.5000000393815946e+04,  1.7632984538289722e+00,  2.8420175152125546e+00,  5.0450277552236265e-02, -1.2660288813351406e+00,  1.2378126090507624e+00, -9.9933377748167906e-01,  2.7319293972256459e-01, -3.2833338173788121e+01,  6.0000000000000014e+01, -5.0000000000000028e+01, -2.7159267438024103e-03,  3.2085502017119129e+03,  3.3351114462713367e-12, -1.1117038154237789e-12, -3.9666857118746221e-02
 2.9980013324450366e-02,  6.3357831332619037e+02,  6.7817291130879687e-01,  3.2413828577548571e+01,  8.4793215882395572e+01,  9.5416870512752023e+00,  2.1109147183052155e+00,  1.9019654775172349e+01,  4.0569198907064322e-04, -1.5000001144147740e+04,  2.6197165083969045e+00,  2.9376444636119925e+00,  7.5878591287941305e-02, -1.4339296995284079e+00,  1.8374128755397701e+00, -1.4990006662225188e+00,  2.7316381784820121e-01, -3.9504243641267194e+00,  6.0000000000000000e+01, -4.9999999999999986e+01, -3.0821148488554568e-03,  2.5718836153949901e+03, -6.6702228925426734e-12,  8.8936305233902312e-12, -3.3619588972536828e-02
 3.9973351099267154e-02,  6.3352368194606402e+02,  9.5363888854491197e-01,  3.3372090873225901e+01,  8.3268285692739369e+01,  9.2483046190188283e+00,  1.9939682841105495e+00,  2.5359479424227899e+01,  8.7999783468081165e-04, -1.5000002486090430e+04,  3.4607858435421570e+00,  3.0303706121936029e+00,  1.0136608594716694e-01, -1.3449847313843089e+00,  2.4370131420287771e+00, -1.9986675549633577e+00,  2.7313133849307381e-01,  1.8557545774834050e+01,  5.9628801355530292e+01, -4.9940350080954261e+01, -3.3857387168858247e-03,  1.9327114750823594e+03, -7.4289222046532473e+01,  1.1937937131677455e+01, -2.7145667815940657e-02
 4.9966688874083939e-02,  6.3346903756139875e+02,  1.2492805523337398e+00,  3.4273706811258435e+01,  8.1719695928653621e+01,  8.8855039724143801e+00,  1.8910046992069425e+00,  3.1699251457339038e+01,  1.6179737605782720e-03, -1.5000004579829640e+04,  4.2865873360786146e+00,  3.1195190647250195e+00,  1.2687976839424439e-01, -1.0630260531293263e+00,  3.0291943816463047e+00, -2.4971422401256684e+00,  2.7309614818697098e-01,  3.4765083214427065e+01,  5.3943490058202890e+01, -4.5930193303832830e+01, -3.6233128537363547e-03,  1.3109570178281911e+03, -1.0635310789252569e+03,  7.9062810586289072e+02, -2.0400836105745539e-02
 5.9960026648900731e-02,  6.3341493228071170e+02,  1.5612649738003119e+00,  3.5112433277357404e+01,  8.0100106988620396e+01,  8.4600008265046629e+00,  1.8051092741600390e+00,  3.8038955791323666e+01,  2.6733011340097073e-03, -1.5000007577045593e+04,  5.0966288901605159e+00,  3.2044348795165991e+00,  1.5239988704965857e-01, -6.5014629272154267e-01,  3.5151641758369627e+00, -2.9166594264590171e+00,  2.7305892051465136e-01,  4.5054532165336944e+01,  4.2537396127424586e+01, -3.6647198773474663e+01, -3.7956469567863257e-03,  7.4830469888057519e+02, -1.2192085197545048e+03,  1.0672085328127869e+03, -1.4088962384655552e-02
 6.9953364423717523e-02,  6.3336197853674503e+02,  1.8855862100654033e+00,  3.5884505504607205e+01,  7.8380861721916702e+01,  7.9870935118835744e+00,  1.7368879133321293e+00,  4.4378578113685435e+01,  4.0991388616068705e-03, -1.5000011609358598e+04,  5.8900402833024534e+00,  3.2845785146175297e+00,  1.7790994519176279e-01, -1.6253573670020655e-01,  3.8793755167713799e+00, -3.2295979118140363e+00,  2.7302028582274473e-01,  5.0162570731222836e+01,  3.1247702015148306e+01, -2.7129944332741054e+01, -3.9088840443456578e-03,  2.7398408610538445e+02, -1.0402355952490559e+03,  8.3751132259270128e+02, -8.5735534055519577e-03
 7.9946702198534308e-02,  6.3331073824697739e+02,  2.2182324707336876e+00,  3.6587742080353728e+01,  7.6549316761470124e+01,  7.4806642319511374e+00,  1.6857707772972821e+00,  5.0718105902617594e+01,  5.9490238258159776e-03, -1.5000016784559253e+04,  6.6657468346475266e+00,  3.3595562386618876e+00,  2.0338846564481025e-01,  3.5243673321895369e-01,  4.1397018576853633e+00, -3.4588968215171327e+00,  2.7298079491749588e-01,  5.0994187863446584e+01,  2.1641741796332163e+01, -1.9690489353660670e+01, -3.9709082497854462e-03, -1.0754977737634280e+02, -8.8223724321001760e+02,  6.5137160055392133e+02, -3.8395575764640479e-03
 8.9940039973351094e-02,  6.3326170043720674e+02,  2.5553214156957660e+00,  3.7221216587506696e+01,  7.4605781610424373e+01,  6.9524761470061804e+00,  1.6505596571183054e+00,  5.7057528590045280e+01,  8.2769780055101556e-03, -1.5000023188983210e+04,  7.4226142636122230e+00,  3.4291001797310359e+00,  2.2880710221814729e-01,  8.5666855104356221e-01,  4.3119219883836148e+00, -3.6231453339391662e+00,  2.7294092056791891e-01,  4.8460011956030691e+01,  1.3519911431695109e+01, -1.3929596849973528e+01, -3.9892711320879733e-03, -3.9962329422782415e+02, -7.4321174043267877e+02,  5.0157501918399896e+02,  1.6453273165166525e-04
