#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  9.0000000000000000e+01,  1.0000000000000000e+01,  2.5000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -7.7996758246166593e+01,  6.0000000000000000e+01, -5.0000000000000000e+01, -2.0525368203170636e-03,  2.8307327953685681e+03, -1.3201482808157375e-12,  1.1117038154237789e-12, -4.2891973386700838e-02
 9.9933377748167886e-03,  6.3368381028150861e+02,  1.9978573652716150e-01,  3.0373990084545653e+01,  8.8015433642087402e+01,  9.9065755608243844e+00,  2.3711335247991232e+00,  6.3398976165283987e+00,  2.5676834786596504e-05, -1.4999999982485897e+04,  8.9044369260603218e-01,  2.7441025224718283e+00,  2.5143533738341231e-02, -7.7944795049466953e-01,  6.3821234256175519e-01, -4.9966688874083942e-01,  2.7321822731515744e-01, -6.3852523758981881e+01,  6.0000000000000000e+01, -4.9999999999999993e+01, -2.2668538092579407e-03,  2.8307327953685681e+03, -1.3201482808157375e-12,  1.1117038154237789e-12, -4.2891973386700838e-02
 1.9986675549633577e-02,  6.3362869325396241e+02,  4.2617023360972139e-01,  3.1440415542361883e+01,  8.6278390520382615e+01,  9.7438687085082716e+00,  2.2418333071982923e+00,  1.2679770801169937e+01,  1.4203525681826594e-04, -1.5000000037066999e+04,  1.7623860459789926e+00,  2.8417942090674670e+00,  5.0489570967030065e-02, -1.2761996753960403e+00,  1.2378126090507624e+00, -9.9933377748167873e-01,  2.7319343213729402e-01, -3.3843299460954960e+01,  6.0000000000000021e+01, -5.0000000000000007e+01, -2.6656835706547199e-03,  3.1751132941432206e+03,  6.6702228925426734e-12, -3.3351114462713367e-12, -3.6927156194174644e-02
 2.9980013324450366e-02,  6.3357258332726826e+02,  6.7802233848627835e-01,  3.2465490495972993e+01,  8.4682519518530427e+01,  9.5072021434623419e+00,  2.1173086121046962e+00,  1.9019608193751626e+01,  4.0533103983831650e-04, -1.5000000318344391e+04,  2.6178488115295373e+00,  2.9371416989431909e+00,  7.5958569228585460e-02, -1.4558629963498653e+00,  1.8374128755397703e+00, -1.4990006662225184e+00,  2.7316494916251277e-01, -5.2783517212480842e+00,  5.9999999999999979e+01, -4.9999999999999993e+01, -3.0035161473962700e-03,  2.5416849134967829e+03, -1.5563853415932905e-11,  5.5585190771188945e-12, -3.0684403497700873e-02
 3.9973351099267154e-02,  6.3351605699265201e+02,  9.5322291960122951e-01,  3.3439560447562499e+01,  8.3117137840344242e+01,  9.1989873033544480e+00,  2.0024841342671587e+00,  2.5359397231745604e+01,  8.7053070319786886e-04, -1.5000000982531939e+04,  3.4576204073096233e+00,  3.0294494416295024e+00,  1.0149401615997333e-01, -1.3816963786854757e+00,  2.4370131420287766e+00, -1.9986675549633575e+00,  2.7313340183454793e-01,  1.6910539642031726e+01,  5.9520039384668081e+01, -4.9953213559101037e+01, -3.2779155756098083e-03,  1.8990518780076170e+03, -9.6056117815076576e+01,  9.3635263719070743e+00, -2.4232068735435201e-02
 4.9966688874083939e-02,  6.3345976879273030e+02,  1.2486180995737626e+00,  3.4352670846071085e+01,  8.1529979391393667e+01,  8.8240398694206164e+00,  1.9022867017637131e+00,  3.1699124214362968e+01,  1.5938346285444321e-03, -1.5000002206350664e+04,  4.2817093260060268e+00,  3.1180334595316692e+00,  1.2706144163564023e-01, -1.1178775271553605e+00,  3.0270205914225432e+00, -2.4973993382898274e+00,  2.7309943452742397e-01,  3.2766239470781528e+01,  5.3539852406598285e+01, -4.6055988691441307e+01, -3.4892515991790350e-03,  1.2742021810528452e+03, -1.1007786360626239e+03,  7.7060107714239211e+02, -1.8063314114886118e-02
 5.9960026648900731e-02,  6.3340428758859059e+02,  1.5603272797837446e+00,  3.5199348663547433e+01,  7.9884041125814136e+01,  8.3987337959169306e+00,  1.8197458744243247e+00,  3.8038774910404058e+01,  2.6324228097060727e-03, -1.5000004171245857e+04,  5.0897177023530471e+00,  3.2023170852648830e+00,  1.5265065266286088e-01, -7.2680818140136794e-01,  3.5070968010547250e+00, -2.9191736580567880e+00,  2.7306366329492410e-01,  4.2710308831066200e+01,  4.2017024027473603e+01, -3.6889828542308400e+01, -3.6418486546099626e-03,  7.1593756691879742e+02, -1.2053234168795254e+03,  1.0638531073707370e+03, -1.2476443245357127e-02
 6.9953364423717523e-02,  6.3335003630904464e+02,  1.8841354122206249e+00,  3.5977999488061698e+01,  7.8140053436579066e+01,  7.9282540977027427e+00,  1.7550416803606912e+00,  4.4378335753338057e+01,  4.0427363223000546e-03, -1.5000007031515346e+04,  5.8808566099189843e+00,  3.2818607384917193e+00,  1.7825606967159091e-01, -2.6424044192419044e-01,  3.8668012182208167e+00, -3.2347043724465578e+00,  2.7302664607996341e-01,  4.7511507243740894e+01,  3.0826091470813967e+01, -2.7404687243617460e+01, -3.7375212607864139e-03,  2.4494227540449577e+02, -1.0343552187932914e+03,  8.3443983787394518e+02, -6.6708343374230830e-03
 7.9946702198534308e-02,  6.3329737693976847e+02,  2.2157046999068664e+00,  3.6688678987553729e+01,  7.6288786700976644e+01,  7.4169918917581903e+00,  1.7073240477501090e+00,  5.0717793821947133e+01,  5.8778222000859248e-03, -1.5000010901694848e+04,  6.6540490804329249e+00,  3.3562153114286786e+00,  2.0385207891410626e-01,  2.2278889875334676e-01,  4.1232078897452107e+00, -3.4669022505341522e+00,  2.7298896267012490e-01,  4.8133471556074838e+01,  2.1244297469695240e+01, -1.9992066048207178e+01, -3.7777344982073669e-03, -1.2046648436273350e+02, -8.8328115396393912e+02,  6.4907275070083438e+02, -1.3771749117566731e-03
 8.9940039973351094e-02,  6.3324668615107691e+02,  2.5511353354637056e+00,  3.7332439915412657e+01,  7.4340786895294357e+01,  6.8767034660201816e+00,  1.6749078623391145e+00,  5.7057138008398915e+01,  8.1851708895354525e-03, -1.5000015841337025e+04,  7.4082858218818890e+00,  3.4250550036655185e+00,  2.2939902398650869e-01,  6.9778763714459335e-01,  4.2914040990275168e+00, -3.6342793101189197e+00,  2.7295114172623508e-01,  4.5574833405660698e+01,  1.3084528757542953e+01, -1.4247378465906754e+01, -3.7684171851171044e-03, -3.9160229747348228e+02, -7.4976055762813917e+02,  5.0063072410355761e+02,  3.2418798382211900e-03
