#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3344142881956122e+02,  1.5100926664786278e+00,  3.5070365981938977e+01,  8.9917911996094375e+01,  1.0835258017870439e+01,  3.9467093243808731e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  2.9999999999999996e+01,  2.8132121502433463e+00,  9.9512261370904755e-17, -1.4123015329114606e-02, -1.4630009588775994e-01, -1.7522490974045585e+01,  2.8335608103589116e-01, -7.9999999999999986e+01,  5.9999999999999972e+01, -4.9999999999999744e+01,  8.0275615572698699e-03, -7.6429637310384800e-13,  0.0000000000000000e+00, -3.5574522093560925e-11, -6.7376424528018180e-03
 9.9933377748167886e-03,  6.3338015222809213e+02,  1.7940843022421564e+00,  3.6131265516459450e+01,  8.7977986563788377e+01,  1.0790839554745668e+01,  3.8399325663590811e+00,  6.3378530504187749e+00, -1.6120336009070513e-01, -1.5000000048944155e+04,  3.0893043628543293e+01,  2.8867142429882091e+00,  8.8418165952717925e-02, -8.1359003731445756e-01,  4.5330017060124711e-01, -1.8022157862786422e+01,  2.8343630317004109e-01, -8.0000000000000000e+01,  5.9999999999999972e+01, -4.9999999999999922e+01,  7.9938957888514729e-03, -7.6429637310384800e-13,  0.0000000000000000e+00, -3.5574522093560925e-11, -6.7376424528018180e-03
 1.9986675549633577e-02,  6.3331774556700634e+02,  2.0940432761025982e+00,  3.7159879616989784e+01,  8.6322800697399487e+01,  1.0677795835967281e+01,  3.7629765626077329e+00,  1.2675742387191761e+01, -3.2040691552425610e-01, -1.5000000284090729e+04,  3.1768237461364922e+01,  2.9586505240660066e+00,  1.7676917703512285e-01, -1.6130570592998006e+00,  1.0529004370902542e+00, -1.8521824751527262e+01,  2.8351585243740052e-01, -7.9999999999999957e+01,  5.9999999999999979e+01, -4.9092109337998458e+01,  7.9288574645909188e-03,  6.6702228925426734e-12,  1.6675557231356684e-12,  1.8169918448859491e+02, -6.2786941758770955e-03
 2.9980013324450366e-02,  6.3325466602433164e+02,  2.4069285190653811e+00,  3.8148977041070125e+01,  8.4946336803858415e+01,  1.0497582077864887e+01,  3.7175134928249780e+00,  1.9013658906621981e+01, -4.7749895153868832e-01, -1.5000000834500468e+04,  3.2628385876767958e+01,  3.0283285394645492e+00,  2.6490343069074263e-01, -2.4125240812851430e+00,  1.6525007035792614e+00, -1.9003345924172134e+01,  2.8359477467166516e-01, -7.9999999999999943e+01,  5.9999999999999979e+01, -4.3764838186590048e+01,  7.8692098481720398e-03, -4.4468152616951156e-12, -2.2234076308475578e-12,  8.8446534861327507e+02, -5.6587821234211459e-03
 3.9973351099267154e-02,  6.3319140547523159e+02,  2.7296383196524538e+00,  3.9091556494631654e+01,  8.3842674157952473e+01,  1.0251622897839171e+01,  3.7047340643405620e+00,  2.5351592148725505e+01, -6.3236825783432504e-01, -1.5000001824186969e+04,  3.3476231723901762e+01,  3.0950607804414183e+00,  3.5266378158429224e-01, -3.2119911032704858e+00,  2.2521009700682684e+00, -1.9396538372844851e+01,  2.8367313178146791e-01, -8.0000000000000014e+01,  6.0000000000000000e+01, -3.5305335347214900e+01,  7.8161702092260799e-03, -4.4468152616951172e-12,  4.4468152616951172e-12,  8.0856315297367257e+02, -4.9562176176303433e-03
 4.9966688874083939e-02,  6.3312848635283876e+02,  3.0590908724426535e+00,  3.9980820409799925e+01,  8.3005885265333845e+01,  9.9412236298803816e+00,  3.7252244907262915e+00,  3.1689530335407404e+01, -7.8490389660127158e-01, -1.5000003371330173e+04,  3.4314456437284711e+01,  3.1581672143456774e+00,  4.3988077708592038e-01, -4.0114581252558290e+00,  2.8517012365572758e+00, -1.9708982206927928e+01,  2.8375099392967768e-01, -8.0000000000000057e+01,  6.0000000000000036e+01, -2.7930736631217446e+01,  7.7702538740285097e-03, -8.8936305233902312e-12,  4.4468152616951156e-12,  6.6733987005461745e+02, -4.2331715999098518e-03
 5.9960026648900731e-02,  6.3306645927992770e+02,  3.3922320910047778e+00,  4.0810151507518178e+01,  8.2430063072614132e+01,  9.5675648122189152e+00,  3.7792501317575047e+00,  3.8027460429895690e+01, -9.3499507777892166e-01, -1.5000005587633921e+04,  3.5145679890986735e+01,  3.2169768148625622e+00,  5.2636888923345970e-01, -4.8109251472411731e+00,  3.4513015030462837e+00, -1.9954780943755260e+01,  2.8382843332458640e-01, -7.9999999999999986e+01,  6.0000000000000014e+01, -2.1841514915599884e+01,  7.7314613648181204e-03,  1.7787261046780450e-11, -4.4468152616951124e-12,  5.5131636929764227e+02, -3.5305025767289862e-03
 6.9953364423717523e-02,  6.3300589785410443e+02,  3.7260411511697678e+00,  4.1573098503945047e+01,  8.2109350641520706e+01,  9.1317308441343172e+00,  3.8668553530131522e+00,  4.4365368210593921e+01, -1.0825311992005024e+00, -1.5000008577778304e+04,  3.5972460681211210e+01,  3.2708285610910521e+00,  6.1192412141704111e-01, -5.6103921692265155e+00,  4.0509017695352911e+00, -2.0145521479058505e+01,  2.8390552013950082e-01, -7.9999999999999972e+01,  6.0000000000000014e+01, -1.6808023987001427e+01,  7.6994428509178725e-03, -8.8936305233902312e-12,  0.0000000000000000e+00,  4.5605294854586322e+02, -2.8774693385078031e-03
 7.9946702198534308e-02,  6.3294739248249130e+02,  4.0575273855971750e+00,  4.2263365998662422e+01,  8.2037965031546833e+01,  8.6347365542161967e+00,  3.9879378593324999e+00,  5.0703238350414914e+01, -1.2274019683505533e+00, -1.5000012438898222e+04,  3.6797296722387010e+01,  3.3190724078290912e+00,  6.9632219487146141e-01, -6.4098591912118588e+00,  4.6505020360242986e+00, -2.0290717465813916e+01,  2.8398231959076065e-01, -8.0000000000000043e+01,  6.0000000000000036e+01, -1.2641205955709225e+01,  7.6736069129460915e-03,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.7786623345008417e+02, -2.2931630475784815e-03
 8.9940039973351094e-02,  6.3289154341531810e+02,  4.3837194333552132e+00,  4.2874808238615742e+01,  8.2210216152471105e+01,  8.0775508149655337e+00,  4.1423075918290087e+00,  5.7041054503105002e+01, -1.3694975883194109e+00, -1.5000017260088460e+04,  3.7622626116556084e+01,  3.3610702454161370e+00,  7.7931718158088537e-01, -7.2093262131972020e+00,  5.2501023025133060e+00, -2.0398177161051361e+01,  2.8405889003116530e-01, -8.0000000000000000e+01,  6.0000000000000036e+01, -9.1856871948369303e+00,  7.6532159186077390e-03,  8.8936305233902377e-12,  0.0000000000000000e+00,  3.1369825455915793e+02, -1.7877546193370670e-03
