#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3344142881956122e+02,  1.5100926664786278e+00,  3.5070365981938977e+01,  8.9917911996094375e+01,  1.0835258017870439e+01,  3.9467093243808731e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  2.9999999999999996e+01,  2.8132121502433463e+00,  9.9512261370904755e-17, -1.4123015329114606e-02, -1.4630009588775994e-01, -1.7522490974045585e+01,  2.8335608103589116e-01, -8.0000000000000000e+01,  5.9999999999999993e+01, -4.9999999999998323e+01,  8.0273821179698765e-03, -7.6429637310384800e-13,  2.2234076308475578e-12, -2.1344713256136555e-10, -6.7363963623382223e-03
 9.9933377748167886e-03,  6.3337811046115417e+02,  1.7955789495348233e+00,  3.6148253209230823e+01,  8.7928105941532678e+01,  1.0785406545033805e+01,  3.8344671581562610e+00,  6.3378466921067220e+00, -1.6124160216167935e-01, -1.4999999971345522e+04,  3.0892802188337573e+01,  2.8866984682003349e+00,  8.8379222099019369e-02, -8.1359003731445767e-01,  4.5330017060124722e-01, -1.8022157862786408e+01,  2.8343630137684356e-01, -8.0000000000000000e+01,  5.9999999999999993e+01, -4.9999999999999389e+01,  7.9937225758529296e-03, -7.6429637310384800e-13,  2.2234076308475578e-12, -2.1344713256136555e-10, -6.7363963623382223e-03
 1.9986675549633577e-02,  6.3331356659846131e+02,  2.0976520008582344e+00,  3.7194854550495691e+01,  8.6234460325626543e+01,  1.0667694678295062e+01,  3.7514296098842634e+00,  1.2675717164306265e+01, -3.2056488792640186e-01, -1.4999999967091469e+04,  3.1767270891122603e+01,  2.9586183955167256e+00,  1.7661812555344764e-01, -1.6130570592998008e+00,  1.0529004370902546e+00, -1.8521824751527252e+01,  2.8351584897544851e-01, -8.0000000000000043e+01,  6.0000000000000057e+01, -4.9046489301906760e+01,  7.9286036607850996e-03, -7.7819267079664523e-12,  9.4494824311021207e-12,  1.9082927437848488e+02, -6.2960691732368160e-03
 2.9980013324450366e-02,  6.3324822913430967e+02,  2.4132710569436666e+00,  3.8202933163459505e+01,  8.4828460496710051e+01,  1.0480025216921986e+01,  3.7002855003928601e+00,  1.9013602071301186e+01, -4.7787060964601569e-01, -1.5000000103703454e+04,  3.2626392240041810e+01,  3.0282579888423018e+00,  2.6455512016777627e-01, -2.4125240812851447e+00,  1.6525007035792629e+00, -1.9002434131312192e+01,  2.8359476780577331e-01, -7.9999999999999943e+01,  5.9999999999999979e+01, -4.3628081392783727e+01,  7.8686889561266037e-03,  2.8904299201018252e-11, -2.4457483939323136e-11,  8.9357476183400513e+02, -5.6948603857502186e-03
 3.9973351099267154e-02,  6.3318274466788102e+02,  2.7393823402490525e+00,  3.9163223993589305e+01,  8.3681802424197059e+01,  1.0224038452767575e+01,  3.6830203579750083e+00,  2.5351490988664967e+01, -6.3305514494839432e-01, -1.5000000497981824e+04,  3.3472838367395568e+01,  3.0949166326788733e+00,  3.5202632112171162e-01, -3.2119911032704858e+00,  2.2521009700682688e+00, -1.9393805059177826e+01,  2.8367311790861560e-01, -7.9999999999999957e+01,  5.9999999999999922e+01, -3.5110713344778937e+01,  7.8154836978931320e-03, -3.1127706831865816e-11,  1.1117038154237792e-11,  8.1103449684002214e+02, -4.9532852953753648e-03
 4.9966688874083939e-02,  6.3311779374379864e+02,  3.0730359502643569e+00,  4.0066871632375893e+01,  8.2804457883661968e+01,  9.9097494336570779e+00,  3.6991329852005483e+00,  3.1689372639172749e+01, -7.8599968171851575e-01, -1.5000001282244242e+04,  3.4309219076571587e+01,  3.1579042040884606e+00,  4.3886875566866124e-01, -4.0114581252558299e+00,  2.8517012365572758e+00, -1.9704180567250479e+01,  2.8375097334270655e-01, -8.0000000000000014e+01,  5.9999999999999879e+01, -2.7737502545696294e+01,  7.7713829880014925e-03,  1.7787261046780462e-11, -1.7787261046780462e-11,  6.6459075774971564e+02, -3.8727367776045934e-03
 5.9960026648900731e-02,  6.3305384465255804e+02,  3.4119516936591752e+00,  4.0909143470106059e+01,  8.2201623278686895e+01,  9.5518689155058816e+00,  3.7450735721663446e+00,  3.8027235019984275e+01, -9.3657676054341954e-01, -1.5000002583789934e+04,  3.5138262540822588e+01,  3.2166842616024929e+00,  5.2496127994818587e-01, -4.8109251472411723e+00,  3.4513015030462810e+00, -1.9948185523115793e+01,  2.8382844201896873e-01, -7.9999999999999943e+01,  6.0000000000000014e+01, -2.1694913997176400e+01,  7.7378461787884368e-03, -8.8936305233902248e-12,  4.8914967878646233e-11,  5.4473263042739791e+02, -2.8390966395677054e-03
 6.9953364423717523e-02,  6.3299125562992526e+02,  3.7528175132632255e+00,  4.1685619165358332e+01,  8.1855979487534398e+01,  9.1358739520292946e+00,  3.8242746536744114e+00,  4.4365064662124588e+01, -1.0846614264422954e+00, -1.5000004518604481e+04,  3.5962621996117264e+01,  3.2707359840424424e+00,  6.1016619504150860e-01, -5.6103921692265155e+00,  4.0509017695352911e+00, -2.0137789774389248e+01,  2.8390562716373496e-01, -7.9999999999999929e+01,  6.0000000000000192e+01, -1.6714139750184511e+01,  7.7124451759360444e-03,  1.7787261046780462e-11, -1.7787261046780462e-11,  4.5208632220391274e+02, -2.2444907312916258e-03
 7.9946702198534308e-02,  6.3293043899346492e+02,  4.0917782211708520e+00,  4.2391658571710160e+01,  8.1764147493410405e+01,  8.6493086079647608e+00,  3.9392221838494410e+00,  5.0702845523729891e+01, -1.2301418099574848e+00, -1.5000007192529518e+04,  3.6784791749020556e+01,  3.3193457057716440e+00,  6.9424509216523655e-01, -6.4098591912118570e+00,  4.6505020360242995e+00, -2.0282245611393964e+01,  2.8398258815839450e-01, -7.9999999999999645e+01,  6.0000000000000036e+01, -1.2569528117894817e+01,  7.6922875212285594e-03,  4.4468152616951189e-11, -1.7787261046780475e-11,  3.7738861913833267e+02, -1.7897278975004074e-03
 8.9940039973351094e-02,  6.3287193049359212e+02,  4.4255529509880134e+00,  4.3022186375532272e+01,  8.1928925035228247e+01,  8.0888301716312156e+00,  4.0901016614222119e+00,  5.7040560012620595e+01, -1.3729265021880177e+00, -1.5000010680229678e+04,  3.7607321445313687e+01,  3.3617888243617564e+00,  7.7691365952212821e-01, -7.2093262131971940e+00,  5.2501023025133060e+00, -2.0389012854693608e+01,  2.8405937041865625e-01, -7.9999999999999730e+01,  5.9999999999999808e+01, -9.0995626998080912e+00,  7.6758655832470405e-03, -6.2255413663731657e-11, -2.6680891570170713e-11,  3.1706712653475796e+02, -1.4968492905341000e-03
