#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277234e+02,  2.2655162823548201e-02,  2.9850264791017317e+01, -2.3684736621692553e-02,  8.8648634038056451e-02,  5.0847377862930254e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975633e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121464e-02, -2.6190755327598259e-01,  2.7433066213374302e-01, -2.0858956449848432e-03, -4.1227691113522633e+00, -1.5608740894899245e+00,  0.0000000000000000e+00, -1.3731287271011783e+00,  6.4512749490851917e+01, -1.5650609379355491e-02,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371067167657418e+02,  2.2026468328250254e-02,  2.9850662080088437e+01, -2.3666831283448465e-02,  9.1136706462839334e-02,  5.0845771622815705e-01,  6.3375879778707827e+00, -5.1277579074171603e-02, -1.4999999998983887e+04,  1.0000002757648996e+01,  2.6563041528686258e+00,  5.1632312695050848e-03,  5.2554933259292280e-03,  1.7170080342077479e-03, -2.7750070102313468e-01,  2.7433066213374302e-01, -8.9446804956400793e-03, -3.8005276054039516e+00, -1.5609522643619491e+00,  0.0000000000000000e+00, -1.3731287271011783e+00,  6.4512749490851917e+01, -1.5650609379355491e-02,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371065675984369e+02,  2.1408203084766899e-02,  2.9852093436577572e+01, -2.3618705486597089e-02,  9.7876845469517429e-02,  5.0840412414705982e-01,  1.2675180854723804e+01, -1.0199136685270736e-01, -1.4999999992333349e+04,  1.0000006161875580e+01,  2.6563488554695058e+00,  1.0334287800190481e-02,  5.0976165492429611e-03, -3.3031104847466984e-02, -2.9309541070579176e-01,  2.7433066213374302e-01, -1.8727004078114520e-02, -3.1724703681025606e+00, -1.5220879013150079e+00,  0.0000000000000000e+00, -5.8529245411020403e-01,  6.1224309416886769e+01,  7.7962960913770472e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371061072402620e+02,  2.0805019632421748e-02,  2.9854836969848076e+01, -2.3514599450217756e-02,  1.0784468154321789e-01,  5.0831081515417309e-01,  1.9012778904427364e+01, -1.5214207340653729e-01, -1.4999999975650353e+04,  1.0000010962462206e+01,  2.6564766975742766e+00,  1.5519274083275624e-02,  4.8813274102825844e-03, -6.1669013306502742e-02, -3.0791204770275521e-01,  2.7433066213374302e-01, -2.5951170911904537e-02, -2.6095326936367900e+00, -1.4217992933325565e+00,  0.0000000000000000e+00, -8.6098574601455879e-01,  5.1475813011160398e+01,  1.2281483226709677e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371052206237630e+02,  2.0221100706392690e-02,  2.9859070291839330e+01, -2.3339111478474509e-02,  1.2010454550809380e-01,  5.0817975837948504e-01,  2.5350382368859172e+01, -2.0173018249144484e-01, -1.4999999945830794e+04,  1.0000017997194435e+01,  2.6567147757219933e+00,  2.0722576498826847e-02,  4.5791116359181951e-03, -8.5169620204845406e-02, -3.2150298899415453e-01,  2.7433066213374302e-01, -3.0947973496923895e-02, -2.1208081396248053e+00, -1.5009162354832817e+00,  0.0000000000000000e+00, -1.3937413150631744e-01,  4.6366842702038809e+01, -2.8120695045284894e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3371038379487902e+02,  1.9660164743203843e-02,  2.9864886423737822e+01, -2.3079472212098859e-02,  1.3382938697432736e-01,  5.0801521938616123e-01,  3.1687991463152127e+01, -2.5075597700200808e-01, -1.4999999900943862e+04,  1.0000028202031812e+01,  2.6570815816692961e+00,  2.5947097991835047e-02,  4.2629862814729160e-03, -1.0404280230999537e-01, -3.3790038407604756e-01,  2.7433066213374302e-01, -2.1189736907820615e-02, -1.6933316786971544e+00, -1.5053792570731748e+00,  0.0000000000000000e+00,  2.0929730966447964e+00,  3.9213944775677056e+01,  2.7227198122988433e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3371019290046377e+02,  1.9125993908909091e-02,  2.9872300995254346e+01, -2.2772603493987763e-02,  1.4827696944354288e-01,  5.0781754089264208e-01,  3.8025606379176573e+01, -2.9921955414375279e-01, -1.4999999840139084e+04,  1.0000042393830249e+01,  2.6575878396865469e+00,  3.1194402859890571e-02,  4.1557402691285725e-03, -1.1900242097801532e-01, -3.5158049662798418e-01,  2.7433066213374302e-01, -8.7862620374676362e-03, -1.3084055378099522e+00, -1.5570010689509333e+00,  0.0000000000000000e+00,  3.9020257239986955e-01,  3.7848268629940719e+01, -3.7561884860915789e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370994982789375e+02,  1.8622619971515812e-02,  2.9881260817381044e+01, -2.2459570596733071e-02,  1.6277460314245620e-01,  5.0758420447583374e-01,  4.4363227288586195e+01, -3.4712083857533921e-01, -1.4999999763540674e+04,  1.0000060804892650e+01,  2.6582373920169160e+00,  3.6464815540744745e-02,  4.0874365904146216e-03, -1.3018477109740700e-01, -3.6900929654259967e-01,  2.7433066213374302e-01, -2.4813473029443459e-03, -9.2823550695740931e-01, -1.7417331931140583e+00,  0.0000000000000000e+00,  8.7204135745169298e-01,  3.8261771546738359e+01,  5.7851360345818426e-01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370965815197292e+02,  1.8154404966040944e-02,  2.9891641716517903e+01, -2.2161943119523752e-02,  1.7666608315505070e-01,  5.0731230033856889e-01,  5.0700854342989871e+01, -3.9445958949954818e-01, -1.4999999672203805e+04,  1.0000083388100510e+01,  2.6590275335960194e+00,  4.1757486380181952e-02,  4.1061629004383758e-03, -1.3754858495318834e-01, -3.8638036062626707e-01,  2.7433066213374302e-01,  3.3140584587888432e-03, -5.6991621349071608e-01, -1.7841042393578128e+00,  0.0000000000000000e+00,  2.8819887604729122e-01,  3.3473751005293735e+01, -9.0611970614576158e+00,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370932307810915e+02,  1.7725740516175800e-02,  2.9903270721518489e+01, -2.1901652341313946e-02,  1.8942996225102943e-01,  5.0699980861105465e-01,  5.7038487668959206e+01, -4.4123541440541275e-01, -1.4999999568027039e+04,  1.0000109789407604e+01,  2.6599496551944397e+00,  4.7070490147980967e-02,  4.1536515446361768e-03, -1.4157170842988884e-01, -4.0465573489140710e-01,  2.7433066213374302e-01,  7.5034781235512596e-03, -2.4471590606653482e-01, -2.0495313610218511e+00,  0.0000000000000000e+00,  5.5052294083814524e-01,  3.1631350541027302e+01, -4.4077312695683112e+01,  0.0000000000000000e+00
