#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205276722e+02,  2.2655162823548920e-02,  2.9850264791017331e+01, -2.3684736621692494e-02, -6.4980735254147683e+00,  5.0275138655398099e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975526e+00,  0.0000000000000000e+00,  5.2763314442607397e-03,  4.2903512643121422e-02, -2.6190755327598042e-01,  2.7433066213374385e-01,  1.2048725227611887e-01, -1.7857988082079892e+01, -4.7020114341952315e+01,  0.0000000000000000e+00, -4.4681574981035190e+00, -1.0986828530576075e+01,  2.8067998027023043e+02,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3374163662587898e+02,  2.2789079336709463e-02,  2.9135313991813646e+01, -2.2957541068368479e-02, -6.4334660038296629e+00,  5.0196697020045922e-01,  6.3375897812249438e+00, -5.1284127303295790e-02, -1.4999999959856243e+04,  9.9995233876487148e+00,  2.5918064514669394e+00, -6.2783864528085731e-03,  6.4800002981680212e-03, -1.3549796669833603e-01, -7.3163896528349603e-01,  2.7433066213374385e-01,  9.8168783254622777e-02, -1.7912867345469380e+01, -4.5618116438504607e+01,  0.0000000000000000e+00, -4.4681574981035190e+00, -1.0986828530576075e+01,  2.8067998027023043e+02,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3376602661884920e+02,  2.3262255190896721e-02,  2.8436838449319279e+01, -2.2478908664839432e-02, -6.3499208010488308e+00,  4.9991292539577692e-01,  1.2675189505029213e+01, -1.0202579870864804e-01, -1.4999999782909676e+04,  9.9991504075784885e+00,  2.5280376186924456e+00, -1.2433165111249738e-02,  7.2377456951023536e-03, -3.1499593481880428e-01, -1.1733584311681804e+00,  2.7433066213374385e-01,  6.6757958097437772e-02, -1.7944673635331849e+01, -3.4079075333741862e+01,  0.0000000000000000e+00, -1.8202896983649219e+00,  4.6192093001109482e+00,  2.0294360489032733e+03,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3378403605519236e+02,  2.4267090524284288e-02,  2.7756858165114320e+01, -2.2247532109340804e-02, -6.2476017645540578e+00,  4.9627068049669359e-01,  1.9012800314950514e+01, -1.5223779017752814e-01, -1.4999999384802091e+04,  9.9988761312237937e+00,  2.4651874954619202e+00, -1.8446675511453063e-02,  7.8138256347801641e-03, -4.9403290446720405e-01, -1.4125395713522644e+00,  2.7433066213374385e-01,  4.8795019434211155e-02, -1.7816479020250590e+01, -1.6536275635660854e+01,  0.0000000000000000e+00, -1.7758906220130439e+00,  2.1045352639156590e+01,  1.4826324506525439e+03,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3379591675334018e+02,  2.5931733479723957e-02,  2.7097331568589070e+01, -2.2249832602412842e-02, -6.1267837940384799e+00,  4.9125891983664244e-01,  2.5350421721234852e+01, -2.0193275037788785e-01, -1.4999998682172929e+04,  9.9986950588397843e+00,  2.4034422342241011e+00, -2.4302068862375736e-02,  8.2126711583233557e-03, -6.7096954161701783e-01, -1.5037535487638019e+00,  2.7433066213374385e-01,  3.4834153463704304e-02, -1.7468056767423064e+01, -5.8336147099965805e+00,  0.0000000000000000e+00, -1.0190747452824265e+00,  4.8708782376913007e+01,  6.6004026666544337e+02,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3380197411556139e+02,  2.8355362721575371e-02,  2.6460118951450422e+01, -2.2465011137797867e-02, -5.9879923098930012e+00,  4.8512989409923296e-01,  3.1688051747780811e+01, -2.5112349123310490e-01, -1.4999997593189837e+04,  9.9986014217055459e+00,  2.3429836791307768e+00, -2.9980409737095742e-02,  8.5098127169720584e-03, -8.4304502769244016e-01, -1.5290953098137345e+00,  2.7433066213374385e-01,  2.5120240782860667e-02, -1.6852541204691207e+01, -8.4060118301652620e-01,  0.0000000000000000e+00, -9.2565057342247092e-01,  7.4517433282006323e+01,  3.3956104143596360e+02,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3380256290102284e+02,  3.1626117884023135e-02,  2.5846943652749172e+01, -2.2874954024017069e-02, -5.8320531815344268e+00,  4.7806646160689609e-01,  3.8025687106865128e+01, -2.9982274951209548e-01, -1.4999996038137107e+04,  9.9985891928840189e+00,  2.2839866463892520e+00, -3.5461866775820472e-02,  8.7145740710678245e-03, -1.0076836516008580e+00, -1.5205487771957005e+00,  2.7433066213374385e-01,  1.6245942303738936e-02, -1.5985393099957903e+01,  1.8507820171141542e+00,  0.0000000000000000e+00, -8.5098398209769843e-01,  9.9085617285599668e+01,  1.9925387523019864e+02,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3379808028318337e+02,  3.5817651216583250e-02,  2.5259362218571567e+01, -2.3459696309742071e-02, -5.6600756860746619e+00,  4.7023006215381841e-01,  4.4363323398591888e+01, -3.4804301155206230e-01, -1.4999993940017697e+04,  9.9986521010253835e+00,  2.2266161203638251e+00, -4.0726611028546675e-02,  8.8344069687950142e-03, -1.1624335012180727e+00, -1.4921166481331321e+00,  2.7433066213374385e-01,  8.0788495772567710e-03, -1.4856147286495675e+01,  3.5029278188036743e+00,  0.0000000000000000e+00, -7.8406798174403070e-01,  1.2698939456953835e+02,  1.3150571426804322e+02,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3378895690347440e+02,  4.0987635371380893e-02,  2.4698735059806111e+01, -2.4198980651352578e-02, -5.4734533544352209e+00,  4.6177705672803943e-01,  5.0700955303337480e+01, -3.9579639016717405e-01, -1.4999991225130303e+04,  9.9987836828877459e+00,  2.1710245392111216e+00, -4.5755406334326856e-02,  8.8759896470369908e-03, -1.3045097712111613e+00, -1.4505602093874352e+00,  2.7433066213374385e-01,  5.5048843479714861e-04, -1.3470878560385549e+01,  4.6371985863743133e+00,  0.0000000000000000e+00, -7.2310991897638643e-01,  1.5034140439771107e+02,  9.5575293399598038e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3377564935812870e+02,  4.7176700507639745e-02,  2.4166193163465074e+01, -2.5072917096062467e-02, -5.2738766504160708e+00,  4.5286508460496577e-01,  5.7038576762139968e+01, -4.4309451781829734e-01, -1.4999987823655038e+04,  9.9989773329102700e+00,  2.1173488493432790e+00, -5.0530131675140443e-02,  8.8454057387210312e-03, -1.4315819240029986e+00, -1.3994653277260529e+00,  2.7433066213374385e-01, -6.3880518877228783e-03, -1.1910059215565223e+01,  5.4899607998189408e+00,  0.0000000000000000e+00, -6.6598585359212348e-01,  1.6213462843531636e+02,  7.5147701732017225e+01,  0.0000000000000000e+00
