#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205276745e+02,  2.2655162823548895e-02,  2.9850264791017334e+01, -2.3684736621692491e-02, -6.8176538582947543e+00,  5.0275138655398066e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975517e+00,  0.0000000000000000e+00,  5.2763314442607389e-03,  4.2903512643121422e-02, -2.6190755327598025e-01,  2.7433066213374396e-01,  1.5720161483438166e-01, -1.9044406677813321e+01, -4.7012881302721560e+01,  0.0000000000000000e+00, -8.6605270689178564e+00, -1.1197273990232929e+01,  3.0047627478553710e+02,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3374325645788383e+02,  2.2794380412547610e-02,  2.9100660227776167e+01, -2.2984796472860457e-02, -6.7497025989895523e+00,  5.0193090763292647e-01,  6.3375898817720984e+00, -5.1284468858416463e-02, -1.4999999957841306e+04,  9.9994980780819205e+00,  2.5886777115688813e+00, -6.8307545000189035e-03,  6.8467771469019143e-03, -1.4735030032204663e-01, -7.3156670714932248e-01,  2.7433066213374396e-01,  1.1394223886576101e-01, -1.9100337117324976e+01, -4.5512000809287308e+01,  0.0000000000000000e+00, -8.6605270689178564e+00, -1.1197273990232929e+01,  3.0047627478553710e+02,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3376917497840077e+02,  2.3287881675904468e-02,  2.8368424578141695e+01, -2.2582693051749116e-02, -6.6615158483871069e+00,  4.9977610550414464e-01,  1.2675190053626437e+01, -1.0202764933897381e-01, -1.4999999771833074e+04,  9.9991004523380518e+00,  2.5218195672597608e+00, -1.3531514365548281e-02,  7.5528996533668529e-03, -3.3872160458614881e-01, -1.1712382387762261e+00,  2.7433066213374396e-01,  6.2633973238312629e-02, -1.9137789342867851e+01, -3.3812292022746881e+01,  0.0000000000000000e+00, -1.6113877096973128e+00,  3.6993384365492417e+00,  2.0418054242798585e+03,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3378861840435695e+02,  2.4338795707287270e-02,  2.7655714462875622e+01, -2.2414976415835636e-02, -6.5532513813624051e+00,  4.9594867863546138e-01,  1.9012801871040317e+01, -1.5224300687190026e-01, -1.4999999353163152e+04,  9.9988020504092763e+00,  2.4559324440393135e+00, -2.0083136059263897e-02,  8.0982051836314371e-03, -5.2972371376595973e-01, -1.4071369773340752e+00,  2.7433066213374396e-01,  4.6300613495300506e-02, -1.9005683942659374e+01, -1.6287928661015741e+01,  0.0000000000000000e+00, -1.6585509108537126e+00,  2.2748162685187559e+01,  1.4665721207387144e+03,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3380183549430012e+02,  2.6082484987462129e-02,  2.6964622032603280e+01, -2.2475294938722166e-02, -6.4251959872153472e+00,  4.9068007386223061e-01,  2.5350425050190168e+01, -2.0194386562149455e-01, -1.4999998614090324e+04,  9.9985975096775057e+00,  2.3912154322447869e+00, -2.6467292598716066e-02,  8.4779868360901397e-03, -7.1845554949442803e-01, -1.4966713788564607e+00,  2.7433066213374396e-01,  3.2997582647414425e-02, -1.8628884619349058e+01, -5.7196866852607124e+00,  0.0000000000000000e+00, -1.0047158648930794e+00,  5.2687061841537158e+01,  6.4918992280744203e+02,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3380912874466935e+02,  2.8624420859491951e-02,  2.6297134164533666e+01, -2.2745267317694336e-02, -6.2779121798109605e+00,  4.8423185683912312e-01,  3.1688057814117798e+01, -2.5114370584208973e-01, -1.4999997468527745e+04,  9.9984811569331882e+00,  2.3278630375481137e+00, -3.2663492536527908e-02,  8.7574975442191380e-03, -9.0192920066604088e-01, -1.5214164315850385e+00,  2.7433066213374396e-01,  2.3375837268583721e-02, -1.7937606362403141e+01, -8.1178510286907868e-01,  0.0000000000000000e+00, -9.2155755994882915e-01,  8.5706845199037133e+01,  3.3337197398736311e+02,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3381084998207439e+02,  3.2057798039781253e-02,  2.5655085665561220e+01, -2.3207430023025694e-02, -6.1123228946144268e+00,  4.7679753353759879e-01,  3.8025697064356564e+01, -2.9985591264076294e-01, -1.4999995832683548e+04,  9.9984470466857207e+00,  2.2660621184701206e+00, -3.8650360106612970e-02,  8.9450365317661380e-03, -1.0768492830089762e+00, -1.5128908614312675e+00,  2.7433066213374396e-01,  1.4540047779399228e-02, -1.6941823210707891e+01,  1.8380822175981306e+00,  0.0000000000000000e+00, -8.4736749578590520e-01,  1.1364894177035049e+02,  1.9713146357017226e+02,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3380739359897041e+02,  3.6459813955835828e-02,  2.5040120252109631e+01, -2.3842518308929316e-02, -5.9297042498453472e+00,  4.6855077724746175e-01,  4.4363338569944133e+01, -3.4809358622760905e-01, -1.4999993625761419e+04,  9.9984889772048255e+00,  2.2059883454503750e+00, -4.4406642771331717e-02,  9.0480079893619798e-03, -1.2404271669139508e+00, -1.4846915121525084e+00,  2.7433066213374396e-01,  6.3834185106828980e-03, -1.5675614516332663e+01,  3.4722916857301711e+00,  0.0000000000000000e+00, -7.8558968381110372e-01,  1.3984603884357000e+02,  1.3003727194986220e+02,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3379918842535665e+02,  4.1890454211141119e-02,  2.4453665981851977e+01, -2.4630871309028583e-02, -5.7316145507946894e+00,  4.5965930498355806e-01,  5.0700977152510724e+01, -3.9586941071884479e-01, -1.4999990770587858e+04,  9.9986005387121324e+00,  2.1478031266796478e+00, -4.9911860687844721e-02,  9.0725773611504117e-03, -1.3900483742443941e+00, -1.4435144041739214e+00,  2.7433066213374396e-01, -1.1821801084532311e-03, -1.4144578934688173e+01,  4.5941750525726475e+00,  0.0000000000000000e+00, -7.2904315973994982e-01,  1.6666728460165911e+02,  9.4563778092000916e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3378669005468601e+02,  4.8391456765814786e-02,  2.3896901510155207e+01, -2.5553027250615590e-02, -5.5199202729127794e+00,  4.5029195648968440e-01,  5.7038606866328003e+01, -4.4319554689034996e-01, -1.4999987194193536e+04,  9.9987751640628826e+00,  2.0916507490645055e+00, -5.5146824000176016e-02,  9.0243880071751020e-03, -1.5230361366379901e+00, -1.3928998028103976e+00,  2.7433066213374396e-01, -8.1979216647976409e-03, -1.2422476488724001e+01,  5.4384942365831233e+00,  0.0000000000000000e+00, -6.7550829984020178e-01,  1.7809762508036604e+02,  7.4468922546897105e+01,  0.0000000000000000e+00
 9.9900099900099903e-02,  6.3377037320409443e+02,  5.5986299935064501e-02,  2.3370740675319389e+01, -2.6589838850869976e-02, -5.2966921259529895e+00,  4.4061632135327866e-01,  6.3376221171240275e+01, -4.9008353772771968e-01, -1.4999982828351789e+04,  9.9990061802654857e+00,  2.0376556711328644e+00, -6.0094096194653578e-02,  8.9087827224931162e-03, -1.6382497026904281e+00, -1.3348531806657671e+00,  2.7433066213374396e-01, -1.4690409441799526e-02, -1.0602681433788288e+01,  6.1226885546018748e+00,  0.0000000000000000e+00, -6.2428775311557516e-01,  1.8622534491776401e+02,  6.2506779920456971e+01,  0.0000000000000000e+00
 1.0989010989010989e-01,  6.3375072384117288e+02,  6.4681069999638505e-02,  2.2875836574126275e+01, -2.7722476038729196e-02, -5.0640781302754396e+00,  4.3079422482691426e-01,  6.9713813102970320e+01, -5.3654424522768907e-01, -1.4999977609909203e+04,  9.9992868690701755e+00,  1.9859212845710263e+00, -6.4738249082477980e-02,  8.7308733330132733e-03, -1.7348779235268670e+00, -1.2705683631580125e+00,  2.7433066213374396e-01, -2.0684754821184616e-02, -8.7362613966392519e+00,  6.7103878916928608e+00,  0.0000000000000000e+00, -5.7578019183731777e-01,  1.8743194651947414e+02,  5.5150627365157547e+01,  0.0000000000000000e+00
 1.1988011988011987e-01,  6.3372823101242977e+02,  7.4465197836799113e-02,  2.2412579669477861e+01, -2.8932523578039562e-02, -4.8242801340334971e+00,  4.2098052821036924e-01,  7.6051375432323056e+01, -5.8258780221086026e-01, -1.4999971481016491e+04,  9.9996105283723296e+00,  1.9365292469116524e+00, -6.9066041170182987e-02,  8.4955009078840332e-03, -1.8128003799459576e+00, -1.2007794965160596e+00,  2.7433066213374396e-01, -2.6205448729084438e-02, -6.8968339708925379e+00,  7.2386650373340089e+00,  0.0000000000000000e+00, -5.2946272852422671e-01,  1.8082142411501817e+02,  5.0610457192200393e+01,  0.0000000000000000e+00
 1.2987012987012986e-01,  6.3370337815266771e+02,  8.5313057838064740e-02,  2.1981117907724549e+01, -3.0201940626212849e-02, -4.5794271738301005e+00,  4.1131810772603478e-01,  8.2388900796437156e+01, -6.2822358284063962e-01, -1.4999964389230270e+04,  9.9999705294697598e+00,  1.8895395674310165e+00, -7.3066497840620803e-02,  8.2072879438207774e-03, -1.8726768040641804e+00, -1.1259396910834070e+00,  2.7433066213374396e-01, -3.1273863521771479e-02, -5.1014658009976337e+00,  7.7301350911036906e+00,  0.0000000000000000e+00, -4.8523391297172741e-01,  1.7861128349793984e+02,  4.7781847572491941e+01,  0.0000000000000000e+00
