#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277302e+02,  2.2655162823549249e-02,  2.9850264791017317e+01, -2.3684736621692556e-02, -5.7214172634185001e-01,  5.0275138655398399e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975642e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121471e-02, -2.6190755327598225e-01,  2.7433066213374341e-01,  9.6821941182430898e-02, -5.5836306737790666e+00, -1.1819351432409711e+02,  0.0000000000000000e+00, -5.2760361834497704e+00,  4.0220851247547927e+01,  1.0583638165160666e+04,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371043532914075e+02,  2.2718201280755242e-02,  2.9778657817142616e+01, -2.3182502697753272e-02, -5.6491076803613838e-01,  5.0265058983567257e-01,  6.3375877844793793e+00, -5.1278037294456028e-02, -1.4999999995170701e+04,  1.0000006020429051e+01,  2.6498358614209718e+00,  3.9679851899004368e-03,  6.2435836039253885e-03, -1.2877013568457610e-02, -1.4426619421281013e+00,  2.7433066213374341e-01,  7.0468114092272216e-02, -5.3827273208942117e+00, -6.5328188823794093e+01,  0.0000000000000000e+00, -5.2760361834497704e+00,  4.0220851247547927e+01,  1.0583638165160666e+04,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3370288772373442e+02,  2.2918610025714988e-02,  2.9709257622894569e+01, -2.2691904778332286e-02, -5.5347118145539498e-01,  5.0189467683357236e-01,  1.2675176755188843e+01, -1.0199376898557076e-01, -1.4999999970609153e+04,  1.0000127060906751e+01,  2.6434579838102725e+00,  7.9586462494689834e-03,  6.6842857717786704e-03, -6.4643486775344289e-02, -1.5671660712339062e+00,  2.7433066213374341e-01,  2.9544232687180139e-02, -4.7955468559631500e+00, -5.6025107628913497e+00,  0.0000000000000000e+00, -2.9169248738496645e+00,  7.7332677831650770e+01,  1.3734425826320644e+03,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3368836713104031e+02,  2.3242941537832452e-02,  2.9642645296221904e+01, -2.2350986308180994e-02, -5.3792755361957523e-01,  5.0095508656587606e-01,  1.9012758479037714e+01, -1.5214933879809170e-01, -1.4999999910423036e+04,  1.0000355968847119e+01,  2.6372141473557824e+00,  1.1974154350829189e-02,  6.8338779633096069e-03, -1.0869213556572332e-01, -1.5546002191089474e+00,  2.7433066213374341e-01,  1.0105722520027048e-02, -4.0496549647673872e+00,  2.5853761479545327e+00,  0.0000000000000000e+00, -9.7466486161438415e-01,  7.1994878785740838e+01,  2.6577237691928150e+02,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3366748735289536e+02,  2.3699285822742919e-02,  2.9579209732165868e+01, -2.2149023481612337e-02, -5.1908537689388001e-01,  4.9988579008368994e-01,  2.5350321321079193e+01, -2.0174728642960077e-01, -1.4999999798450919e+04,  1.0000683453352742e+01,  2.6311409848225527e+00,  1.6018650722061718e-02,  6.8861983096413486e-03, -1.4555567388358379e-01, -1.5155102041419075e+00,  2.7433066213374341e-01,  5.0856977430875931e-05, -3.3248040772894383e+00,  4.0098003495696437e+00,  0.0000000000000000e+00, -1.0383192200133691e+00,  7.3120268887344324e+01,  1.9397348244063956e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3364103464594189e+02,  2.4294079740652223e-02,  2.9519223622146260e+01, -2.2051007155749480e-02, -4.9765440815597062e-01,  4.9872916143198526e-01,  3.1687852119358109e+01, -2.5079012668239153e-01, -1.4999999619128956e+04,  1.0001099180073032e+01,  2.6252676273834981e+00,  2.0095360541404636e-02,  6.8348940867347992e-03, -1.7512178745961821e-01, -1.4744843280086548e+00,  2.7433066213374341e-01, -5.8836055563608811e-03, -2.6282798485758576e+00,  4.7912446449899706e+00,  0.0000000000000000e+00, -1.4976017925174012e-01,  6.6323881701114701e+01,  1.3704779969908509e+02,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3360988687758913e+02,  2.5031818411564287e-02,  2.9462864515262087e+01, -2.2038983087722813e-02, -4.7425400670353102e-01,  4.9752110905752822e-01,  3.8025337352415832e+01, -2.9928026538157254e-01, -1.4999999357849467e+04,  1.0001592379048400e+01,  2.6196166089776547e+00,  2.4206669966092494e-02,  6.7686437530707017e-03, -1.9806875777121330e-01, -1.4197810404058442e+00,  2.7433066213374341e-01, -7.0814002412293332e-03, -1.9945115668882991e+00,  5.9428494564344723e+00,  0.0000000000000000e+00, -9.0038316658924353e-02,  6.0556528292734356e+01,  9.3503483552104470e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3357495348922748e+02,  2.5914743785719140e-02,  2.9410232303457775e+01, -2.2100316180001432e-02, -4.4942833766167239e-01,  4.9628842328548062e-01,  4.4362763923681570e+01, -3.4721995543611806e-01, -1.4999999001177905e+04,  1.0002152106769515e+01,  2.6142047264365043e+00,  2.8354256436695209e-02,  6.6934075684285188e-03, -2.1497216841642738e-01, -1.3557460771308432e+00,  2.7433066213374341e-01, -9.1288310081684577e-03, -1.4174909555334816e+00,  6.2382011393312604e+00,  0.0000000000000000e+00, -3.1985732288228824e-01,  5.4962998100500080e+01, -3.4374076636167466e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3353713123287366e+02,  2.6942593716183315e-02,  2.9361365151818628e+01, -2.2213911676589919e-02, -4.2362607991566736e-01,  4.9506475387253429e-01,  5.0700119666485371e+01, -3.9461126552000675e-01, -1.4999998536984502e+04,  1.0002767496550925e+01,  2.6090437405985369e+00,  3.2539137253999872e-02,  6.5862495271332699e-03, -2.2639025538426988e-01, -1.2951416570026222e+00,  2.7433066213374341e-01, -1.0634410736638324e-02, -9.0648066329689136e-01,  6.2365750387970804e+00,  0.0000000000000000e+00,  1.8440261242622543e-02,  4.7341262405265446e+01,  3.4048531309223783e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3349727234655677e+02,  2.8113075756828535e-02,  2.9316250138691782e+01, -2.2369070306233384e-02, -3.9724917292331180e-01,  4.9387017263310884e-01,  5.7037393646841892e+01, -4.4145607727305636e-01, -1.4999997954481039e+04,  1.0003428133516483e+01,  2.6041412958832999e+00,  3.6761967561220431e-02,  6.4809318294347463e-03, -2.3308367018060103e-01, -1.2311391832487837e+00,  2.7433066213374341e-01, -1.0172111601673518e-02, -4.6725091987927025e-01,  6.5676274288083887e+00,  0.0000000000000000e+00,  7.4112025577330223e-02,  4.0592532226942211e+01,  3.2228157171041161e+01,  0.0000000000000000e+00
 9.9900099900099903e-02,  6.3345616275942780e+02,  2.9422154290003607e-02,  2.9274833993798271e+01, -2.2555223478506508e-02, -3.7063587897959993e-01,  4.9272240791909572e-01,  6.3374576307543670e+01, -4.8775606499102631e-01, -1.4999997244243164e+04,  1.0004124103824898e+01,  2.5995013307629371e+00,  4.1022948692860543e-02,  6.3830105340928400e-03, -2.3572593809914041e-01, -1.1639203297537033e+00,  2.7433066213374341e-01, -9.2804885450290392e-03, -9.3770088833838736e-02,  6.8908408757470090e+00,  0.0000000000000000e+00,  1.0439091036289415e-01,  3.4178330148353162e+01,  3.2479174906070618e+01,  0.0000000000000000e+00
 1.0989010989010989e-01,  6.3341450896084336e+02,  3.0864249635677254e-02,  2.9237031583747498e+01, -2.2763420544386969e-02, -3.4407187913210541e-01,  4.9163563125416859e-01,  6.9711659506632671e+01, -5.3351270125666783e-01, -1.4999996398167037e+04,  1.0004846151159215e+01,  2.5951246901699272e+00,  4.5321943859610379e-02,  6.2955074828807195e-03, -2.3495719842902937e-01, -1.0934600448722200e+00,  2.7433066213374341e-01, -8.1895901780456373e-03,  2.1799411827798237e-01,  7.2211191071924610e+00,  0.0000000000000000e+00,  1.1400694270718416e-01,  2.8236864115433423e+01,  3.3642527029307878e+01,  0.0000000000000000e+00
 1.1988011988011987e-01,  6.3337293117338493e+02,  3.2432451187033258e-02,  2.9202733047777198e+01, -2.2986133142672942e-02, -3.1779610272247105e-01,  4.9062088836371404e-01,  7.6048636482821777e+01, -5.7872726291438537e-01, -1.4999995409406103e+04,  1.0005585760202253e+01,  2.5910096190085712e+00,  4.9658539884710917e-02,  6.2193823587073128e-03, -2.3137041126041949e-01, -1.0196422257138940e+00,  2.7433066213374341e-01, -7.0856144946384531e-03,  4.7317648327311146e-01,  7.5614742233809533e+00,  0.0000000000000000e+00,  1.0700898911093434e-01,  2.2850645356591436e+01,  3.4496567231627097e+01,  0.0000000000000000e+00
 1.2987012987012986e-01,  6.3333196131111276e+02,  3.4118723444397085e-02,  2.9171809742260159e+01, -2.3217074169827837e-02, -2.9200605794728091e-01,  4.8968649195082020e-01,  8.2385501773252372e+01, -6.2340084053152622e-01, -1.4999994272290249e+04,  1.0006335205395832e+01,  2.5871522002269560e+00,  5.4032100324932636e-02,  6.1539367637071241e-03, -2.2550312283915702e-01, -9.4238163881066261e-01,  2.7433066213374341e-01, -6.1078096108983073e-03,  6.7749028990643156e-01,  7.9065146815568665e+00,  0.0000000000000000e+00,  8.8747548613841043e-02,  1.8052978731399403e+01,  3.4580532495191761e+01,  0.0000000000000000e+00
 1.3986013986013987e-01,  6.3329204455233275e+02,  3.5914105283030573e-02,  2.9144119187951791e+01, -2.3451033559337239e-02, -2.6686269224796660e-01,  4.8883837821809534e-01,  8.8722251102352359e+01, -6.6753435012137607e-01, -1.4999992982235206e+04,  1.0007087571277420e+01,  2.5835467422458303e+00,  5.8441811040777766e-02,  6.0973482006474065e-03, -2.1783414173181945e-01, -8.6166990440406632e-01,  2.7433066213374341e-01, -5.3400236217332111e-03,  8.3679424115368217e-01,  8.2519762288279992e+00,  0.0000000000000000e+00,  6.4963206417010963e-02,  1.3839672308300138e+01,  3.4580869268488826e+01,  0.0000000000000000e+00
 1.4985014985014986e-01,  6.3325354349514350e+02,  3.7808897792206551e-02,  2.9119509178275067e+01, -2.3683730961975812e-02, -2.4249481059924410e-01,  4.8808042965310611e-01,  9.5058881255994095e+01, -7.1112854620284871e-01, -1.4999991535645986e+04,  1.0007836750061202e+01,  2.5801861202627889e+00,  6.2886719161411184e-02,  6.0472429850511157e-03, -2.0878395718174078e-01, -7.7750698888402914e-01,  2.7433066213374341e-01, -4.8195477747695163e-03,  9.5682043430432584e-01,  8.6007625433338326e+00,  0.0000000000000000e+00,  3.9236058145122162e-02,  1.0189571560458480e+01,  3.5246150895576733e+01,  0.0000000000000000e+00
 1.5984015984015984e-01,  6.3321674402492135e+02,  3.9792837051900752e-02,  2.9097821181208207e+01, -2.3911685238444707e-02, -2.1900308118004064e-01,  4.8741476637708997e-01,  1.0139538995098593e+02, -7.5418403553325375e-01, -1.4999989929820003e+04,  1.0008577421471523e+01,  2.5770620756740521e+00,  6.7365766283003406e-02,  6.0010535398128508e-03, -1.9871685033712763e-01, -6.8982649694484899e-01,  2.7433066213374341e-01, -4.5569412990019266e-03,  1.0430649965820731e+00,  8.9640660724205041e+00,  0.0000000000000000e+00,  1.3337758303549260e-02,  7.0765898075465206e+00,  3.7487215627574884e+01,  0.0000000000000000e+00
 1.6983016983016982e-01,  6.3318186226401610e+02,  4.1855251523025723e-02,  2.9078893144836606e+01, -2.4132099901758446e-02, -1.9646365789638803e-01,  4.8684200814274176e-01,  1.0773177570672311e+02, -7.9670129103497311e-01, -1.4999988162851763e+04,  1.0009305019176436e+01,  2.5741654775658906e+00,  7.1877816637294353e-02,  5.9561952068492791e-03, -1.8794349770957150e-01, -5.9840476965484835e-01,  2.7433066213374341e-01, -4.5459496636798226e-03,  1.1008959085958525e+00,  9.3868082690398236e+00,  0.0000000000000000e+00, -1.1137232912063892e-02,  4.5011587776121242e+00,  4.7145772135613036e+01,  0.0000000000000000e+00
 1.7982017982017981e-01,  6.3314905208810490e+02,  4.3985195341005451e-02,  2.9062561790744454e+01, -2.4342761180066209e-02, -1.7493145421007969e-01,  4.8636150295217301e-01,  1.1406803772374201e+02, -8.3868066559154320e-01, -1.4999986233541133e+04,  1.0010015687532109e+01,  2.5714865499450523e+00,  7.6421680848339391e-02,  5.9102253747043629e-03, -1.7672092808746026e-01, -5.0227788018081665e-01,  2.7433066213374341e-01, -4.7732424256179901e-03,  1.1347940790177149e+00,  9.8281527169594138e+00,  0.0000000000000000e+00, -3.4366778027958567e-02,  2.2852549408450273e+00,  4.1211386337892272e+01,  0.0000000000000000e+00
 1.8981018981018982e-01,  6.3311841285420894e+02,  4.6171479532486258e-02,  2.9048664076970518e+01, -2.4540968701126663e-02, -1.5444592887489628e-01,  4.8597219429918148e-01,  1.2040417577231874e+02, -8.8012240620202287e-01, -1.4999984141308556e+04,  1.0010706233571083e+01,  2.5690150637297404e+00,  8.0996136017730147e-02,  5.8608257278159525e-03, -1.6527028933758917e-01, -4.0203808200331143e-01,  2.7433066213374341e-01, -5.1754200343938784e-03,  1.1430166618370265e+00,  9.2033973318863129e+00,  0.0000000000000000e+00, -4.6149179248974173e-02, -6.3909386041880933e-01, -1.6628741442952642e+02,  0.0000000000000000e+00
 1.9980019980019981e-01,  6.3308999673464893e+02,  4.8403234409328776e-02,  2.9037037697281395e+01, -2.4724937979896687e-02, -1.3503849541101232e-01,  4.8567490585594419e-01,  1.2674019009075597e+02, -9.2102666226747554e-01, -1.4999981886121024e+04,  1.0011374086297998e+01,  2.5667404218678618e+00,  8.5599951195589885e-02,  5.8068203790121774e-03, -1.5388343234646071e-01, -3.1839381760566537e-01,  2.7433066213374341e-01, -5.6700314895485682e-03,  1.1401129463583084e+00,  9.5172693794106955e+00,  0.0000000000000000e+00, -5.2872034072993158e-02,  5.7770021579098559e-02,  2.2912459834390575e+02,  0.0000000000000000e+00
 2.0979020979020979e-01,  6.3306381590395461e+02,  5.0669565267626893e-02,  2.9027527382112577e+01, -2.4894468399915007e-02, -1.1669653358911215e-01,  4.8546096482513840e-01,  1.3307608129540768e+02, -9.6139349781331518e-01, -1.4999979468403240e+04,  1.0012017223321598e+01,  2.5646519329077457e+00,  9.0231892288013565e-02,  5.7475383853674298e-03, -1.4249080988987073e-01, -2.1188284964745346e-01,  2.7433066213374341e-01, -5.9870851750855828e-03,  1.1572067437096865e+00,  1.1354982586450108e+01,  0.0000000000000000e+00, -1.0602113771517253e-02,  3.3644082081667963e+00,  1.3878558570538462e+02,  0.0000000000000000e+00
 2.1978021978021978e-01,  6.3303984950208758e+02,  5.2963176440346031e-02,  2.9019980082626521e+01, -2.5052053494147592e-02, -9.9413105021629145e-02,  4.8529714534491247e-01,  1.3941185030453269e+02, -1.0012229100932579e+00, -1.4999976888968442e+04,  1.0012634101885737e+01,  2.5627389982791007e+00,  9.4890721547189597e-02,  5.6871982975918861e-03, -1.3076241848612732e-01, -9.1521038655613396e-02,  2.7433066213374341e-01, -3.3081986134186656e-02,  1.2082063142993524e+00,  4.4358920826129680e+00,  0.0000000000000000e+00, -5.4137970582405206e+00,  6.8457058238841757e+00, -1.5239875045735805e+03,  0.0000000000000000e+00
 2.2977022977022976e-01,  6.3301804911837053e+02,  5.5260092406940992e-02,  2.9014271296841965e+01, -2.5109440258553481e-02, -8.3043972523671433e-02,  4.8529960675777450e-01,  1.4574749827069292e+02, -1.0405148379095275e+00, -1.4999974148910385e+04,  1.0013224060733732e+01,  2.5609918550736723e+00,  9.9575315321588240e-02,  5.0865596414276367e-03, -1.1835082359018338e-01, -1.2325363720763396e-01,  2.7433066213374341e-01, -2.9584804964593692e-02,  1.1452997438771113e+00,  4.5131295457306448e+00,  0.0000000000000000e+00,  6.1139327283930323e+00, -1.9439601222416812e+01,  1.5394504446897395e+03,  0.0000000000000000e+00
 2.3976023976023975e-01,  6.3299834554812207e+02,  5.7486177664157971e-02,  2.9010211687936820e+01, -2.5061862898788864e-02, -6.7936898450103644e-02,  4.8575639881227578e-01,  1.5208302651578495e+02, -1.0792694637074851e+00, -1.4999971249788670e+04,  1.0013787341049815e+01,  2.5593992406757740e+00,  1.0428699467698675e-01,  5.0960933032943101e-03, -1.0787930672035088e-01, -1.3486201594966624e-03,  2.7433066213374341e-01, -1.4774181813871372e-03,  1.0101978995542020e+00,  1.2043230327681059e+01,  0.0000000000000000e+00, -4.8683389439507624e-01, -7.6077880110292035e+00, -3.1924268143262580e+01,  0.0000000000000000e+00
