#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205276711e+02,  2.2655162823548933e-02,  2.9850264791017331e+01, -2.3684736621692497e-02, -6.1201532686963347e+00,  5.0275138655398111e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975530e+00,  0.0000000000000000e+00,  5.2763314442607397e-03,  4.2903512643121429e-02, -2.6190755327598053e-01,  2.7433066213374380e-01,  1.5423940042429965e-01, -1.6890747341485845e+01, -4.7131600317086601e+01,  0.0000000000000000e+00, -8.6068926587824741e+00, -1.3747164451398060e+01,  3.0000292061316600e+02,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373961177105627e+02,  2.2782403584461278e-02,  2.9176331597324786e+01, -2.3023949348701191e-02, -6.0592432942697290e+00,  5.0200951051782139e-01,  6.3375896644452068e+00, -5.1283743837328762e-02, -1.4999999962131362e+04,  9.9995544966333618e+00,  2.5955071131173524e+00, -5.6248708428326142e-03,  6.8171845953526444e-03, -1.2583522203705685e-01, -7.3275271128883368e-01,  2.7433066213374380e-01,  1.1124792860220938e-01, -1.6959414496587733e+01, -4.5633084230107755e+01,  0.0000000000000000e+00, -8.6068926587824741e+00, -1.3747164451398060e+01,  3.0000292061316600e+02,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3376187029197104e+02,  2.3232238356441951e-02,  2.8517929664648591e+01, -2.2647686230880558e-02, -5.9804139916012078e+00,  5.0006347283807617e-01,  1.2675188862283072e+01, -1.0202376390710195e-01, -1.4999999795119929e+04,  9.9992138289612296e+00,  2.5353974057948379e+00, -1.1132484938758624e-02,  7.4990672804687193e-03, -2.9594592784814200e-01, -1.1736574879434680e+00,  2.7433066213374380e-01,  5.9916042071298969e-02, -1.7027364869376957e+01, -3.3940660438497339e+01,  0.0000000000000000e+00, -1.6697510247057936e+00,  1.4349981899610870e-01,  2.0408203224672404e+03,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3377765250633615e+02,  2.4185483789775728e-02,  2.7876983517222378e+01, -2.2490897480712743e-02, -5.8837793074973588e+00,  4.9661829670641239e-01,  1.9012798452894597e+01, -1.5223212749072038e-01, -1.4999999419186999e+04,  9.9989729069200379e+00,  2.4761549109590053e+00, -1.6506107400803931e-02,  8.0143083130609152e-03, -4.6604231233429871e-01, -1.4108877849850840e+00,  2.7433066213374380e-01,  4.3300939741365146e-02, -1.6961300509012602e+01, -1.6374467878209138e+01,  0.0000000000000000e+00, -1.6565924617469558e+00,  1.3082585125947663e+01,  1.4759314281024563e+03,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3378722188760401e+02,  2.5761926182190201e-02,  2.7255368853167010e+01, -2.2545885307345481e-02, -5.7695282098953422e+00,  4.9188366723762400e-01,  2.5350417642223494e+01, -2.0192081687647864e-01, -1.4999998755370505e+04,  9.9988263663484673e+00,  2.4179564832674529e+00, -2.1729610885793879e-02,  8.3642209216548361e-03, -6.3483305090533682e-01, -1.5008196833122820e+00,  2.7433066213374380e-01,  3.0120348644146699e-02, -1.6670837910746584e+01, -5.7468193568684507e+00,  0.0000000000000000e+00, -9.8216187591617610e-01,  4.5068027046908334e+01,  6.5172380586994916e+02,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3379089579126639e+02,  2.8055594855517896e-02,  2.6654873451426628e+01, -2.2794549621030436e-02, -5.6381050517309657e+00,  4.8609292427917050e-01,  3.1688044136831486e+01, -2.5110199269022671e-01, -1.4999997726017769e+04,  9.9987685203562542e+00,  2.3609756020082022e+00, -2.6784804986704477e-02,  8.6161134807761341e-03, -7.9912598687469005e-01, -1.5257093505568813e+00,  2.7433066213374380e-01,  2.0802960808488081e-02, -1.6048956133810002e+01, -8.2131214567234778e-01,  0.0000000000000000e+00, -8.8317916878268066e-01,  7.9432704695796829e+01,  3.3436273781151073e+02,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3378904060326590e+02,  3.1149733107535250e-02,  2.6077142203276406e+01, -2.3220105049275505e-02, -5.4903471481691506e+00,  4.7942008374086570e-01,  3.8025674314316966e+01, -2.9978775118208906e-01, -1.4999996255429447e+04,  9.9987933899324641e+00,  2.3053791395572647e+00, -3.1652672810635142e-02,  8.7798644942520005e-03, -9.5549151511732477e-01, -1.5172295163926486e+00,  2.7433066213374380e-01,  1.2398745207732991e-02, -1.5152150684133245e+01,  1.8361438467872393e+00,  0.0000000000000000e+00, -7.9934479448848728e-01,  1.0010774632948853e+02,  1.9765995187889865e+02,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3378206553427242e+02,  3.5113420037194663e-02,  2.5523645523599935e+01, -2.3804184522551845e-02, -5.3274079476342004e+00,  4.7202078372037759e-01,  4.4363303410763692e+01, -3.4798994188966265e-01, -1.4999994270553658e+04,  9.9988947182476533e+00,  2.2513237376349235e+00, -3.6314342276773832e-02,  8.8638406577538163e-03, -1.1018662602839457e+00, -1.4890231598118815e+00,  2.7433066213374380e-01,  4.7601742082401741e-03, -1.4061177424145894e+01,  3.4745563406054312e+00,  0.0000000000000000e+00, -7.2989711960997428e-01,  1.1830510031997893e+02,  1.3035022938350326e+02,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3377041477152909e+02,  4.0000892147201032e-02,  2.4995669644927695e+01, -2.4528098311968401e-02, -5.1506288881270290e+00,  4.6404263652406469e-01,  5.0700925719517059e+01, -3.9572005341045602e-01, -1.4999991701510655e+04,  9.9990660251935335e+00,  2.1989534784986913e+00, -4.0751613041077092e-02,  8.8749728700410150e-03, -1.2364341209943657e+00, -1.4478078112856470e+00,  2.7433066213374380e-01, -2.2184693545459597e-03, -1.2768176310545618e+01,  4.5988267293359320e+00,  0.0000000000000000e+00, -6.6722732165981002e-01,  1.4055372262279838e+02,  9.4728702440342403e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3375455919296007e+02,  4.5850688304474425e-02,  2.4494290682224598e+01, -2.5373442010890264e-02, -4.9615802881154973e+00,  4.5563269149778679e-01,  5.7038534792506177e+01, -4.4298912399383078e-01, -1.4999988482057954e+04,  9.9993006680352394e+00,  2.1483979197825764e+00, -4.4947336899001780e-02,  8.8195155957249260e-03, -1.3569746780770648e+00, -1.3971385098750997e+00,  2.7433066213374380e-01, -8.5963974034247836e-03, -1.1306384891976002e+01,  5.4443315441547151e+00,  0.0000000000000000e+00, -6.0963387372573163e-01,  1.5209691937483709e+02,  7.4541361486378847e+01,  0.0000000000000000e+00
