#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205276722e+02,  2.2655162823548916e-02,  2.9850264791017331e+01, -2.3684736621692494e-02, -6.4116174251190543e+00,  5.0275138655398088e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975522e+00,  0.0000000000000000e+00,  5.2763314442607397e-03,  4.2903512643121422e-02, -2.6190755327598042e-01,  2.7433066213374385e-01,  1.2882108870703501e-01, -1.7860661083849628e+01, -4.7056309418575800e+01,  0.0000000000000000e+00, -5.5523774403987840e+00, -9.8531703493354161e+00,  2.9634567132677256e+02,  0.0000000000000000e+00
 1.0000000000000000e-02,  6.3374117158990396e+02,  2.2788332052262463e-02,  2.9144021002716997e+01, -2.2943587728225578e-02, -6.3476456408352213e+00,  5.0197292333121057e-01,  6.3439273510840728e+00, -5.1335058954131096e-02, -1.4999999960224786e+04,  9.9995306776442998e+00,  2.5925901694072815e+00, -6.1348400901750757e-03,  6.5645423313310898e-03, -1.3570309819537488e-01, -7.3247064746173840e-01,  2.7433066213374385e-01,  1.0105920150504108e-01, -1.7909926935596307e+01, -4.5574581061941934e+01,  0.0000000000000000e+00, -5.5523774403987840e+00, -9.8531703493354161e+00,  2.9634567132677256e+02,  0.0000000000000000e+00
 2.0000000000000000e-02,  6.3376500187555473e+02,  2.3259204074668739e-02,  2.8454128737365295e+01, -2.2486989407477235e-02, -6.2646843543444861e+00,  4.9993085256216246e-01,  1.2687864580905893e+01, -1.0212635023863563e-01, -1.4999999784713311e+04,  9.9991665395600577e+00,  2.5295997804376791e+00, -1.2146769713033903e-02,  7.2975154743615614e-03, -3.1529502606880472e-01, -1.1733991745148191e+00,  2.7433066213374385e-01,  6.4454289094976996e-02, -1.7924500473677050e+01, -3.3861250740555619e+01,  0.0000000000000000e+00, -1.7686050416140371e+00,  6.9384627331872695e+00,  2.0463203929504921e+03,  0.0000000000000000e+00
 2.9999999999999999e-02,  6.3378236159513551e+02,  2.4258007557953237e-02,  2.7782615773307199e+01, -2.2268050140171174e-02, -6.1629079646645515e+00,  4.9631571768920996e-01,  1.9031812763431642e+01, -1.5238657131710859e-01, -1.4999999389608764e+04,  9.9989024591949711e+00,  2.4675234445048977e+00, -1.8017931589309432e-02,  7.8536281132306294e-03, -4.9419310766891583e-01, -1.4096956622728507e+00,  2.7433066213374385e-01,  4.7575579289259665e-02, -1.7756739379883182e+01, -1.6305357294626276e+01,  0.0000000000000000e+00, -1.6071369195294267e+00,  2.6613756025585797e+01,  1.4648582962353762e+03,  0.0000000000000000e+00
 4.0000000000000001e-02,  6.3379350803506770e+02,  2.5910571755907847e-02,  2.7131440612286777e+01, -2.2279019529573726e-02, -6.0426412702726999e+00,  4.9135005541719445e-01,  2.5375771312187233e+01, -2.0212830191649167e-01, -1.4999998692064608e+04,  9.9987329502805835e+00,  2.4065476639505463e+00, -2.3731237150790615e-02,  8.2490270601467547e-03, -6.7042981366646837e-01, -1.4995063204073447e+00,  2.7433066213374385e-01,  3.4289365522224828e-02, -1.7340913924924678e+01, -5.7286566540630126e+00,  0.0000000000000000e+00, -1.0501058338775386e+00,  5.6551334966114503e+01,  6.5048183187727614e+02,  0.0000000000000000e+00
 5.0000000000000003e-02,  6.3379875290032066e+02,  2.8314705080737568e-02,  2.6502452463645479e+01, -2.2500688804768923e-02, -5.9044908367796829e+00,  4.8528360103454243e-01,  3.1719738123910883e+01, -2.5136427236639697e-01, -1.4999997610823502e+04,  9.9986521947630536e+00,  2.3468539754879916e+00, -2.9267639937008354e-02,  8.5394154236751261e-03, -8.4101138616740945e-01, -1.5242687953541110e+00,  2.7433066213374385e-01,  2.4349761553797009e-02, -1.6640758239834057e+01, -8.1647523522385701e-01,  0.0000000000000000e+00, -9.3781495980802720e-01,  8.3479802052011138e+01,  3.3195445189055494e+02,  0.0000000000000000e+00
 5.9999999999999998e-02,  6.3379845819855416e+02,  3.1556731540902487e-02,  2.5897350118459762e+01, -2.2914454069342779e-02, -5.7493884689207331e+00,  4.7830036807386406e-01,  3.8063709749360370e+01, -3.0010712012381180e-01, -1.4999996066839714e+04,  9.9986540952128387e+00,  2.2886159442578160e+00, -3.4607368511099329e-02,  8.7360222912226948e-03, -1.0032449784631494e+00, -1.5158358251118218e+00,  2.7433066213374385e-01,  1.5410620053318311e-02, -1.5691808933765863e+01,  1.8274876303621563e+00,  0.0000000000000000e+00, -8.5001334028771103e-01,  1.0631005916162611e+02,  1.9683812122664781e+02,  0.0000000000000000e+00
 7.0000000000000007e-02,  6.3379302953319359e+02,  3.5708236253363827e-02,  2.5317653617439838e+01, -2.3500219406079891e-02, -5.5785502404611895e+00,  4.7056336707351243e-01,  4.4407681591290867e+01, -3.4836921436437407e-01, -1.4999993983896860e+04,  9.9987322926999607e+00,  2.2319962266834117e+00, -3.9730828864818747e-02,  8.8476278247414924e-03, -1.1548475648427268e+00, -1.4877190427468678e+00,  2.7433066213374385e-01,  7.2665687919070184e-03, -1.4543557301909246e+01,  3.4668006043284119e+00,  0.0000000000000000e+00, -7.7879691199454726e-01,  1.2334026720969720e+02,  1.3102447356660323e+02,  0.0000000000000000e+00
 8.0000000000000002e-02,  6.3378290788107768e+02,  4.0825195629984198e-02,  2.4764688520362572e+01, -2.4237740760248712e-02, -5.3933920746372150e+00,  4.6222705289503296e-01,  5.0751648103660187e+01, -3.9616253825107561e-01, -1.4999991289146656e+04,  9.9988802194861499e+00,  2.1771441671956224e+00, -4.4619152908786583e-02,  8.8813536670608352e-03, -1.2941161245013344e+00, -1.4464998130252535e+00,  2.7433066213374385e-01, -1.9832453644220299e-04, -1.3188951017407121e+01,  4.5969086145132980e+00,  0.0000000000000000e+00, -7.1418175367529779e-01,  1.4758098969073001e+02,  9.4997128470373326e+01,  0.0000000000000000e+00
 8.9999999999999997e-02,  6.3376856129205396e+02,  4.6947239453851465e-02,  2.4239561955008529e+01, -2.5107140052297604e-02, -5.1955580082143396e+00,  4.5344475102844939e-01,  5.7095602995426340e+01, -4.4349859847673673e-01, -1.4999987913574509e+04,  9.9990911593523109e+00,  2.1241938707923449e+00, -4.9254581064414618e-02,  8.8436613340126483e-03, -1.4186265851908690e+00, -1.3957808704566019e+00,  2.7433066213374385e-01, -7.0433355288643060e-03, -1.1649840916615704e+01,  5.4453082934259198e+00,  0.0000000000000000e+00, -6.5482044480912371e-01,  1.6024103046755161e+02,  7.4682807312151894e+01,  0.0000000000000000e+00
 1.0000000000000001e-01,  6.3375047576819634e+02,  5.4097252202456939e-02,  2.3743140793364720e+01, -2.6089102628788430e-02, -4.9868998457911342e+00,  4.4436966861229255e-01,  6.3439539418131915e+01, -4.9038833783998803e-01, -1.4999983792495474e+04,  9.9993583046312740e+00,  2.0732618283266677e+00, -5.3620869988475858e-02,  8.7404869564835490e-03, -1.5271129428336485e+00, -1.3375936471567351e+00,  2.7433066213374385e-01, -1.3316005666856848e-02, -1.0001765280763861e+01,  6.1318613274133451e+00,  0.0000000000000000e+00, -5.9971358278938414e-01,  1.6937409670281670e+02,  6.2627799485333007e+01,  0.0000000000000000e+00
