#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277336e+02,  2.2655162823549263e-02,  2.9850264791017317e+01, -2.3684736621692560e-02, -3.8833930499349834e-01,  5.0275138655398410e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975646e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121471e-02, -2.6190755327598236e-01,  2.7433066213374363e-01,  1.5368795879760375e-01, -3.0971656486133083e+00,  1.4211437860622707e+01,  0.0000000000000000e+00, -1.2553222041665290e+01, -1.1647177405616233e+02, -2.6408215128085444e+03,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3370945832079758e+02,  2.2746976310047427e-02,  2.9798777348888535e+01, -2.3274008272390949e-02, -3.8188014642500917e-01,  5.0249446203667025e-01,  6.3375876027649989e+00, -5.1277838901748557e-02, -1.4999999995667162e+04,  1.0000020175203510e+01,  2.6516413564541148e+00,  4.2857946804886037e-03,  6.8116756879930494e-03,  1.1962796872758754e-02, -1.1993514707595530e-01,  2.7433066213374363e-01,  9.0984551996078841e-02, -3.6789427418009319e+00,  1.0205212132273833e+00,  0.0000000000000000e+00, -1.2553222041665290e+01, -1.1647177405616233e+02, -2.6408215128085444e+03,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3370096022554105e+02,  2.2681887583727387e-02,  2.9749045666323216e+01, -2.2974417209808220e-02, -3.7220155248187714e-01,  5.0329147764958548e-01,  1.2675175921599740e+01, -1.0199371522907581e-01, -1.4999999974795186e+04,  1.0000154010247417e+01,  2.6470556639460119e+00,  8.5991176322616769e-03,  7.0942046110155661e-03, -3.0601836843410637e-02, -2.4151751904566501e-01,  2.7433066213374363e-01,  1.5050558605233797e-02, -3.9589595701777180e+00, -5.3006372815878775e+00,  0.0000000000000000e+00, -2.6487634351818903e+00,  6.0412405015129899e+01,  1.3753255821465295e+03,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3368552516204397e+02,  2.2578619442087580e-02,  2.9701497784119919e+01, -2.2759906745730338e-02, -3.5978191528490983e-01,  5.0385116503862570e-01,  1.9012756418198581e+01, -1.5215020424669673e-01, -1.4999999924926684e+04,  1.0000394531842758e+01,  2.6425771185382558e+00,  1.2948038124281145e-02,  7.1123861496360822e-03, -6.7137294439483353e-02, -2.2584198586891988e-01,  2.7433066213374363e-01, -1.9371653112955391e-03, -3.3718477944363237e+00,  2.9215437867385590e+00,  0.0000000000000000e+00, -7.5217889290728346e-01,  5.7127372488297077e+01,  2.7075506773242313e+02,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3366376960195112e+02,  2.2453348967006966e-02,  2.9656421053307945e+01, -2.2628011788225180e-02, -3.4517874695605150e-01,  5.0421763495670158e-01,  2.5350317388058716e+01, -2.0174922064458228e-01, -1.4999999832977071e+04,  1.0000732982771547e+01,  2.6382302916393217e+00,  1.7333978124530379e-02,  7.0555000093912796e-03, -9.7971423145834693e-02, -1.8314501581412537e-01,  2.7433066213374363e-01, -9.9366463846924553e-03, -2.7866776969370162e+00,  4.3987304120684154e+00,  0.0000000000000000e+00, -8.4931721798677928e-01,  6.0023681031064235e+01,  2.4977694658613931e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3363648101250328e+02,  2.2321322247487702e-02,  2.9614009689012796e+01, -2.2551666783066544e-02, -3.2888345219652776e-01,  5.0442533020177283e-01,  3.1687845608799385e+01, -2.5079270188489106e-01, -1.4999999686122610e+04,  1.0001159501403281e+01,  2.6340345594935308e+00,  2.1757760844408558e-02,  6.9138517563355336e-03, -1.2281517050216101e-01, -1.3795526434907140e-01,  2.7433066213374363e-01, -1.4256451743496181e-02, -2.2126164630687826e+00,  5.2219112491051485e+00,  0.0000000000000000e+00, -1.5507814845725646e-02,  5.4903377989356287e+01,  1.3982310891613969e+02,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3360453740729145e+02,  2.2196384094941270e-02,  2.9574382853470407e+01, -2.2520089710761835e-02, -3.1132393714941498e-01,  5.0450401208909001e-01,  3.8025327504862055e+01, -2.9928252171637992e-01, -1.4999999472185265e+04,  1.0001663728101335e+01,  2.6300047264186346e+00,  2.6219656793114686e-02,  6.7706558187120352e-03, -1.4217954428607010e-01, -7.8811124723113440e-02,  2.7433066213374363e-01, -1.5281987803815077e-02, -1.6826527783023677e+00,  6.0974105108861183e+00,  0.0000000000000000e+00, -1.8980450443011820e-01,  5.1195351700879861e+01,  3.5451843292410935e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3356884763275889e+02,  2.2090198038224925e-02,  2.9537600083909659e+01, -2.2524127500018719e-02, -2.9287069651805447e-01,  5.0447993413696957e-01,  4.4362749930067913e+01, -3.4722044370202110e-01, -1.4999999179874878e+04,  1.0002235070005671e+01,  2.6261516297561376e+00,  3.0719485858855113e-02,  6.6085173346808867e-03, -1.5643460663207845e-01, -1.6128880515182912e-02,  2.7433066213374363e-01, -1.7004443867885050e-02, -1.1971712914452231e+00,  6.2889635414924703e+00,  0.0000000000000000e+00, -1.5503119959669054e-01,  4.5998041967920443e+01,  2.8970734349809035e+00,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3353030746421939e+02,  2.2012668144234308e-02,  2.9503672890462177e+01, -2.2553669342693469e-02, -2.7383890017157708e-01,  5.0437755933765638e-01,  5.0700100673064078e+01, -3.9460809125105556e-01, -1.4999998798939463e+04,  1.0002862996058331e+01,  2.6224826766294518e+00,  3.5256704336207499e-02,  6.4309066904825636e-03, -1.6609905060865199e-01,  4.6842492489523359e-02,  2.7433066213374363e-01, -1.5485726352935745e-02, -7.7594204513429732e-01,  7.3223289466144461e+00,  0.0000000000000000e+00,  4.5907844608954440e-01,  3.8332053143527055e+01,  2.0398268067043779e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3348976737641351e+02,  2.1971707070511402e-02,  2.9472574972849202e+01, -2.2603474632511850e-02, -2.5450347294308129e-01,  5.0421449826931297e-01,  5.7037368755963463e+01, -4.4144692976430355e-01, -1.4999998320241863e+04,  1.0003537289507605e+01,  2.6190023515618419e+00,  3.9830494665541276e-02,  6.2991122127441087e-03, -1.7193794419719927e-01,  1.3017139813845230e-01,  2.7433066213374363e-01, -1.4762647692046219e-02, -4.0780369163319208e-01,  7.9319276107997201e+00,  0.0000000000000000e+00, -3.1431809817946282e-01,  3.5369245227394138e+01, -8.1941028100544827e+01,  0.0000000000000000e+00
