#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277950e+02,  2.2655162823548954e-02,  2.9850264791017640e+01, -2.3684736621692241e-02,  2.3383828247939839e+01,  5.0275138655397644e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975078e+00,  0.0000000000000000e+00,  5.2763314442606799e-03,  4.2903512643120784e-02, -2.6190755327597548e-01,  2.7433066213374896e-01, -3.6218633513559591e-02,  1.5976330963364444e+02, -1.2354451166832540e+02,  0.0000000000000000e+00, -6.2889130773838025e+00, -2.7139171987176301e+03,  1.0494220771179213e+04,  0.0000000000000000e+00
 1.0000000000000000e-02,  6.3358306242965102e+02,  2.1556702965329577e-02,  3.2371081555088118e+01, -2.4210297079158644e-02,  2.3092344500717314e+01,  5.1015385243628997e-01,  6.3439162141113945e+00, -5.1301793587802770e-02, -1.5000000165911431e+04,  1.0001978263713685e+01,  2.8844293134176171e+00,  4.5413538953493780e-02,  4.9141451091250839e-03,  1.6405366089795652e+00, -1.4973526699592294e+00,  2.7433066213374896e-01, -6.7663198900478602e-02,  1.4619372364005631e+02, -7.1073407812429323e+01,  0.0000000000000000e+00, -6.2889130773838025e+00, -2.7139171987176301e+03,  1.0494220771179213e+04,  0.0000000000000000e+00
 2.0000000000000000e-02,  6.3344386079534991e+02,  1.8106722032856626e-02,  3.4808189737729727e+01, -2.4409757682218369e-02,  2.2633899650692104e+01,  5.2581175651271006e-01,  1.2687796920457613e+01, -1.0194386250576599e-01, -1.5000000943601723e+04,  1.0004149469365723e+01,  3.1088097866320048e+00,  9.0311964656659846e-02,  3.9230674662511077e-03,  2.9667779854442466e+00, -1.6833757095245621e+00,  2.7433066213374896e-01, -1.0719213602113709e-01,  1.2073798165681701e+02, -1.1457815684291274e+01,  0.0000000000000000e+00, -1.6168743467478905e+00, -2.3772311979302281e+03,  1.4288976544483983e+03,  0.0000000000000000e+00
 2.9999999999999999e-02,  6.3329456135869771e+02,  1.1660713371131063e-02,  3.7149640272112507e+01, -2.4224875607634765e-02,  2.2039702776278212e+01,  5.4846682952296222e-01,  1.9031605072395209e+01, -1.5186765365914950e-01, -1.5000002715261347e+04,  1.0006496390964237e+01,  3.3279472413084017e+00,  1.3450492781701387e-01,  2.7703023887023425e-03,  4.0552962421159053e+00, -1.7265089836450549e+00,  2.7433066213374896e-01, -1.1538415069769176e-01,  9.8447736786016591e+01, -1.8374791190411521e+00,  0.0000000000000000e+00, -2.1528588563047082e-02, -2.0808177762298551e+03,  4.9516965860162628e+02,  0.0000000000000000e+00
 4.0000000000000001e-02,  6.3313698214161082e+02,  1.7677364260038984e-03,  3.9386270331317405e+01, -2.3595395586066773e-02,  2.1337171064127954e+01,  5.7636404818698073e-01,  2.5375300354434373e+01, -2.0102116328011488e-01, -1.5000005817691064e+04,  1.0009000969757942e+01,  3.5406320761537637e+00,  1.7784126492557459e-01,  1.6153844522972729e-03,  4.9357327211645785e+00, -1.7201252919053851e+00,  2.7433066213374896e-01, -1.1015939076156808e-01,  7.8958488327711180e+01,  1.8538947281558467e+00,  0.0000000000000000e+00,  1.0664805757877718e+00, -1.8170319154312233e+03,  2.4310511083777342e+02,  0.0000000000000000e+00
 5.0000000000000003e-02,  6.3297310176338351e+02, -1.1867469139401376e-02,  4.1511360595348272e+01, -2.2490537820249394e-02,  2.0550308905758637e+01,  6.0797756029657513e-01,  3.1718841933266752e+01, -2.4935754976073157e-01, -1.5000010546735528e+04,  1.0011644661202144e+01,  3.7459104933119898e+00,  2.2019774400308850e-01,  5.6711457347098030e-04,  5.6344660086701293e+00, -1.6894310890819380e+00,  2.7433066213374896e-01, -9.5574744027272299e-02,  6.1961760500413789e+01,  3.8031497587492806e+00,  0.0000000000000000e+00,  1.8504487710713946e+00, -1.5823136500282603e+03,  1.4674589528091315e+02,  0.0000000000000000e+00
 5.9999999999999998e-02,  6.3280493542221188e+02, -2.9408924343947540e-02,  4.3520318147403103e+01, -2.0905515468924472e-02,  1.9700034917019558e+01,  6.4199976407430703e-01,  3.8062190320869526e+01, -2.9683468525510914e-01, -1.5000017161374039e+04,  1.0014408855734297e+01,  3.9430521390650788e+00,  2.6147562510216604e-01, -2.9611042824817280e-04,  6.1749679311728540e+00, -1.6440622967303995e+00,  2.7433066213374896e-01, -7.4350771265303831e-02,  4.7183425660423183e+01,  5.0474802052553933e+00,  0.0000000000000000e+00,  2.3943457813222935e+00, -1.3733533179698559e+03,  1.0212019402030975e+02,  0.0000000000000000e+00
 7.0000000000000007e-02,  6.3263444380665987e+02, -5.0910549360544288e-02,  4.5410386064180223e+01, -1.8856564408524436e-02,  1.8804484841032142e+01,  6.7731991621256293e-01,  4.4405308577389931e+01, -3.4341477054208841e-01, -1.5000025887392603e+04,  1.0017275225887982e+01,  4.1315208619167070e+00,  3.0159768401835430e-01, -9.1990085183509646e-04,  6.5781345218785932e+00, -1.5884814849768301e+00,  2.7433066213374896e-01, -4.8685572400305251e-02,  3.4380336284716364e+01,  5.9520154069207063e+00,  0.0000000000000000e+00,  2.7386939916774189e+00, -1.1872645571715075e+03,  7.8786846312752758e+01,  0.0000000000000000e+00
 8.0000000000000002e-02,  6.3246346864047848e+02, -7.6334871708392357e-02,  4.7180379261123207e+01, -1.6376225820339700e-02,  1.7879291469858153e+01,  7.1300339296741133e-01,  5.0748163028543971e+01, -3.8906398745623955e-01, -1.5000036920691866e+04,  1.0020226005622551e+01,  4.3109483745266104e+00,  3.4050554766640667e-01, -1.2698218762542781e-03,  6.8625746568671815e+00, -1.5250219885919853e+00,  2.7433066213374896e-01, -2.0405650868785673e-02,  2.3336265901836274e+01,  6.6736906452261078e+00,  0.0000000000000000e+00,  2.9172903146265030e+00, -1.0215495194045154e+03,  6.5548201348326685e+01,  0.0000000000000000e+00
 8.9999999999999997e-02,  6.3229368958353598e+02, -1.0556959786190082e-01,  4.8830445749294356e+01, -1.3509161715288496e-02,  1.6937842672294643e+01,  7.4827244805288373e-01,  5.7090723630579568e+01, -4.3375218130381532e-01, -1.5000050430276886e+04,  1.0023244206915413e+01,  4.4811105978345296e+00,  3.7815730234190731e-01, -1.3280138692108097e-03,  7.0448598399153184e+00, -1.4550076720723080e+00,  2.7433066213374896e-01,  8.9826684272445532e-03,  1.3858309404279941e+01,  7.2894319376381116e+00,  0.0000000000000000e+00,  2.9603735445795425e+00, -8.7404178010674866e+02,  5.7600057134075094e+01,  0.0000000000000000e+00
