#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3384412927568746e+02, -2.1574662143679650e-03,  2.6867721768434354e+01,  2.6456440198441894e-01,  8.8685470153919588e-02,  5.0296029454818547e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  9.9999999999999982e+00,  2.3903651108681085e+00, -2.4869723644862333e-17,  5.3708704059146186e-03,  1.7424682438704784e+00,  2.6790091075902210e-02,  2.7758322632433707e-01,  2.8685280453475110e+00,  3.1058341028317038e+00,  2.1027837524677859e+00,  0.0000000000000000e+00, -2.1792203408717947e+00, -8.7256942119529683e+01, -1.2568082467182462e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3384412251052959e+02, -8.3941155294007500e-04,  2.6867386609112884e+01,  2.5373964089623141e-01,  8.6922475876573313e-02,  5.0298490303261711e-01,  6.3376258175011788e+00, -4.6347344991527935e-02, -1.5000000000786502e+04,  1.0002808822018098e+01,  2.3903591002623750e+00,  5.1055149179127755e-03,  3.4027494235560084e-02,  1.7734955575850808e+00,  4.7796921769886085e-02,  2.7758322632433707e-01,  2.8576428288596398e+00,  2.6699852410957909e+00,  2.0400061177665747e+00,  0.0000000000000000e+00, -2.1792203408717947e+00, -8.7256942119529683e+01, -1.2568082467182462e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3384411856038378e+02,  3.8251630654546675e-04,  2.6866242021312960e+01,  2.3462186236215626e-01,  8.2229610183896282e-02,  5.0314073770241885e-01,  1.2675255392549680e+01, -9.2129145410636465e-02, -1.5000000005881479e+04,  1.0005467759155978e+01,  2.3903200780240055e+00,  1.0206164949831276e-02,  6.2466631222291041e-02,  1.7958146023339308e+00,  6.7549454068241366e-02,  2.7758322632433707e-01,  2.6815737373851571e+00,  1.7802780163415859e+00,  1.9003296155611737e+00,  0.0000000000000000e+00, -3.3069811772319738e+01, -9.0862444276262295e+01, -1.5395153274338904e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3384413874620770e+02,  1.4557348897840685e-03,  2.6864172153040290e+01,  2.0780028558703351e-01,  7.5617212438787232e-02,  5.0342495900998963e-01,  1.9012888466338282e+01, -1.3734501346571260e-01, -1.5000000018389568e+04,  1.0007895919086502e+01,  2.3902237910568718e+00,  1.5299009867957666e-02,  8.7605391086412368e-02,  1.8090655479215760e+00,  8.5765545457422016e-02,  2.7758322632433707e-01,  2.2674368065917099e+00,  8.8552181631744176e-01,  1.7557240828481528e+00,  0.0000000000000000e+00, -4.9840401772528381e+01, -8.8267746968571331e+01, -1.3554874374807818e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3384419924932843e+02,  2.3383622616162231e-03,  2.6861176811759201e+01,  1.7476047842310763e-01,  6.8088621428363832e-02,  5.0381170843099887e-01,  2.5350524935066900e+01, -1.8199478355608112e-01, -1.5000000040038998e+04,  1.0010023367694847e+01,  2.3900558856672123e+00,  2.0382689804917385e-02,  1.0777006392142610e-01,  1.8135073459166968e+00,  1.0262885632294971e-01,  2.7758322632433707e-01,  1.7901414709574366e+00,  4.4004259446330421e-02,  1.6788464197538329e+00,  0.0000000000000000e+00, -4.5714124421453036e+01, -8.0204067917025128e+01, -1.8360337766749826e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3384431024299624e+02,  2.9994265882030968e-03,  2.6857355876288302e+01,  1.3702092348311995e-01,  6.0574926745729014e-02,  5.0427013829990330e-01,  3.1688164838937091e+01, -2.2607848376953846e-01, -1.5000000071222510e+04,  1.0011795685351146e+01,  2.3898115712837367e+00,  2.5457228137514200e-02,  1.2337245344320431e-01,  1.8099447539045197e+00,  1.1930893046748861e-01,  2.7758322632433707e-01,  1.1798392704073082e+00, -6.9436617783155241e-01,  1.5544173555739489e+00,  0.0000000000000000e+00, -7.6468376128682763e+01, -6.7617693626006982e+01, -2.3074664872137912e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3384447535297454e+02,  3.4204743582080784e-03,  2.6852888365176742e+01,  9.6413338812081986e-02,  5.3881144816947071e-02,  5.0476088320557866e-01,  3.8025808337093252e+01, -2.6959630925300498e-01, -1.5000000111125619e+04,  1.0013174290173454e+01,  2.3894946872488569e+00,  3.0523822793143640e-02,  1.3134327611737631e-01,  1.7996338958101723e+00,  1.3368614614460703e-01,  2.7758322632433707e-01,  4.3966562073083759e-01, -1.2901285291676940e+00,  1.1057376698979342e+00,  0.0000000000000000e+00, -7.1714388536546608e+01, -5.1653929111488665e+01, -6.6751008200200118e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3384469169035219e+02,  3.5993869831863379e-03,  2.6848008083826709e+01,  5.5387226687247756e-02,  4.8645367664658101e-02,  5.0524466277530067e-01,  4.4363455671612030e+01, -3.1254856679401449e-01, -1.5000000157918985e+04,  1.0014143120613795e+01,  2.3891163164215832e+00,  3.5584508138488444e-02,  1.3215698132993434e-01,  1.7841679601149554e+00,  1.4140159120471008e-01,  2.7758322632433707e-01, -3.2038962179060504e-01, -1.7156788430735237e+00,  5.5295441229310216e-01,  0.0000000000000000e+00, -8.0448671016246180e+01, -3.3541243732458405e+01, -4.3916199972287203e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3384495033792257e+02,  3.5470309926705292e-03,  2.6842977578590311e+01,  1.6154028526650401e-02,  4.5310698786442352e-02,  5.0568975674680272e-01,  5.0701107124279517e+01, -3.5493564465120570e-01, -1.5000000209004929e+04,  1.0014708837333819e+01,  2.3886930233674719e+00,  4.0641967516289138e-02,  1.2494188507260898e-01,  1.7653545982462657e+00,  1.4473418635026342e-01,  2.7758322632433707e-01, -1.0788150118514568e+00, -1.9561128590124273e+00,  7.9340417651122958e-02,  0.0000000000000000e+00, -7.1388092073936406e+01, -1.4593646258509818e+01, -5.0901321755037110e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3384523766716961e+02,  3.2915158537329689e-03,  2.6838062227821791e+01, -1.8891084748577345e-02,  4.4112569037071517e-02,  5.0605370814648343e-01,  5.7038762971692506e+01, -3.9675795205958797e-01, -1.5000000261289306e+04,  1.0014901704539696e+01,  2.3882449232097938e+00,  4.5699114443829007e-02,  1.1060223583839675e-01,  1.7450847861087131e+00,  1.4298681433460264e-01,  2.7758322632433707e-01, -1.6454823843788839e+00, -2.0104444490776272e+00, -5.0820055902941808e-01,  0.0000000000000000e+00, -4.2058715906054864e+01,  3.7164619274565243e+00, -6.6724381776407228e+01,  0.0000000000000000e+00
