#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277313e+02,  2.2655162823548174e-02,  2.9850264791017317e+01,  1.8921217342656071e-01,  8.2398254140312974e-02,  5.1902739471899983e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975642e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598270e-01,  2.7433066213374346e-01,  4.0249228341602578e-01, -3.6843384009437332e-03, -1.5447098929786509e+00,  0.0000000000000000e+00, -6.4379806597060210e+00, -1.2368805605014686e+01,  1.1296034782644930e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371058536494252e+02,  2.1969664093595961e-02,  2.9849371230797711e+01,  1.8695061047848824e-01,  8.2472924102581474e-02,  5.1901732439712889e-01,  6.3375872936919544e+00, -5.1277237749098183e-02, -1.5000000000675407e+04,  1.0002122859676982e+01,  2.6562161893616336e+00,  5.2548086738229884e-03,  9.2972333764887744e-03,  4.2866706065689465e-02, -2.7733922053850668e-01,  2.7433066213374346e-01,  3.7033453786304860e-01, -6.5466584180237861e-02, -1.5390675179623448e+00,  0.0000000000000000e+00, -6.4379806597060210e+00, -1.2368805605014686e+01,  1.1296034782644930e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371049625696378e+02,  2.1279728142776753e-02,  2.9848385450704196e+01,  1.8423861331046970e-01,  8.2610976996474905e-02,  5.1902259403369078e-01,  1.2675177893962490e+01, -1.0198935191760147e-01, -1.5000000002599496e+04,  1.0004220810949612e+01,  2.6561270836093502e+00,  1.0509586858170456e-02,  1.2675622910055922e-02,  4.1595488983176658e-02, -2.9265815303547010e-01,  2.7433066213374346e-01,  3.1551334509650419e-01, -1.9123805224627169e-01, -1.6754388530455233e+00,  0.0000000000000000e+00, -4.5372221321561907e+00, -1.2810642301805281e+01, -2.8431144761916809e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371040454640183e+02,  2.0583178126097144e-02,  2.9847348390522324e+01,  1.8111913105641156e-01,  8.2945379172630243e-02,  5.1903296059890880e-01,  1.9012771766539238e+01, -1.5213626694152313e-01, -1.5000000005496329e+04,  1.0006289559580622e+01,  2.6560396390094199e+00,  1.5764632617863882e-02,  1.5601196315479866e-02,  3.9045765960868853e-02, -3.1081452229765799e-01,  2.7433066213374346e-01,  2.5069887542629382e-01, -3.0960655491613048e-01, -1.8014933990719477e+00,  0.0000000000000000e+00, -8.4386346958199159e+00, -1.0886731932700465e+01,  3.1950246474265662e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371030940207697e+02,  1.9879011939133065e-02,  2.9846315263918047e+01,  1.7767572986962801e-01,  8.3597562208008055e-02,  5.1903987033381449e-01,  2.5350368888236243e+01, -2.0171792227292318e-01, -1.5000000008930017e+04,  1.0008325430166893e+01,  2.6559562812056625e+00,  2.1020358370121235e-02,  1.7684591450041812e-02,  3.5409543830007217e-02, -3.2865202714280173e-01,  2.7433066213374346e-01,  1.9888238895855229e-01, -4.0573034889370396e-01, -1.7385975313366813e+00,  0.0000000000000000e+00, -1.9350258950219301e+00, -8.3572516216097164e+00,  9.3967280731737315e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3371020938364336e+02,  1.9167088844107939e-02,  2.9845351545409166e+01,  1.7400350918978733e-01,  8.4673452541116065e-02,  5.1903775117571538e-01,  3.1687969245011860e+01, -2.5073427012144195e-01, -1.5000000012334887e+04,  1.0010325824268918e+01,  2.6558804944076444e+00,  2.6277282919303986e-02,  1.9574870420545846e-02,  3.0939265483472169e-02, -3.4555173571097830e-01,  2.7433066213374346e-01,  1.7404670639011013e-01, -4.6036572922771407e-01, -1.6451196745791921e+00,  0.0000000000000000e+00, -3.0370777551801980e+00, -2.5807515212590468e+00,  9.3175388496757119e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3371010273071590e+02,  1.8447127136116959e-02,  2.9844521568844911e+01,  1.7007909307754543e-01,  8.6192070599735368e-02,  5.1902437106833466e-01,  3.8025572830185830e+01, -2.9918527841661463e-01, -1.5000000015060039e+04,  1.0012288305189045e+01,  2.6558164360648480e+00,  3.1536022382054517e-02,  2.1162048121172884e-02,  2.6211427361921023e-02, -3.6152155111041795e-01,  2.7433066213374346e-01,  1.4799822570739909e-01, -4.7916527337216430e-01, -1.5249209024948520e+00,  0.0000000000000000e+00, -2.1778280774985426e+00, -1.1829172164599189e+00,  1.4746255321609079e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370998765108993e+02,  1.7719104824050282e-02,  2.9843887177428893e+01,  1.6590394620197227e-01,  8.8163985092477207e-02,  5.1899845773658693e-01,  4.4363179640722251e+01, -3.4707091784708305e-01, -1.5000000016446529e+04,  1.0014210406283183e+01,  2.6557683388567610e+00,  3.6797192791619450e-02,  2.2531877927187187e-02,  2.1365533747764589e-02, -3.7601968581077555e-01,  2.7433066213374346e-01,  1.2320315086927758e-01, -4.7746444209481448e-01, -1.3674006766687743e+00,  0.0000000000000000e+00, -2.7861459050933837e+00,  1.5234236381853588e+00,  1.6789293888771674e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370986233965948e+02,  1.6983259799200838e-02,  2.9843500880424145e+01,  1.6151403081671586e-01,  9.0537041752620728e-02,  5.1895811512805767e-01,  5.0700789675350045e+01, -3.9439115650890832e-01, -1.5000000015864496e+04,  1.0016089821346227e+01,  2.6557402842559235e+00,  4.2061380607668244e-02,  2.3623649537142466e-02,  1.6671678269117536e-02, -3.8884224395095290e-01,  2.7433066213374346e-01,  9.8865376630870486e-02, -4.5213849246174898e-01, -1.1817362782163257e+00,  0.0000000000000000e+00, -2.0862764974357311e+00,  3.5468314783544193e+00,  2.0380718681408712e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370972531727750e+02,  1.6239965975165131e-02,  2.9843407422056607e+01,  1.5692822580289126e-01,  9.3260560134324114e-02,  5.1890300866881689e-01,  5.7038402932012573e+01, -4.4114595227564740e-01, -1.5000000012759925e+04,  1.0017924527034607e+01,  2.6557358297609270e+00,  4.7329071312850808e-02,  2.4507210127604179e-02,  1.2331797634642736e-02, -3.9963080026065217e-01,  2.7433066213374346e-01,  7.9927616520992464e-02, -4.2454894599082144e-01, -1.0277882450138747e+00,  0.0000000000000000e+00, -1.7050630765618373e+00,  1.9765957251252342e+00,  1.0439677565721821e+01,  0.0000000000000000e+00
