#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277336e+02,  2.2655162823548167e-02,  2.9850264791017317e+01,  8.1996148565614879e-02,  8.2926278265125955e-02,  5.1843729623016765e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975646e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598275e-01,  2.7433066213374363e-01,  2.0061963356292933e-01, -3.9979643917292546e-03, -1.3859405840310508e+00,  0.0000000000000000e+00, -6.0445418237512456e+00, -1.2343855882938625e+01,  2.5415606271661360e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371056667932260e+02,  2.1470230775099287e-02,  2.9849573859854743e+01,  7.9257667167854443e-02,  8.3006895827719418e-02,  5.1843730986843450e-01,  6.3375872469465246e+00, -5.1277384314806634e-02, -1.4999999999966547e+04,  1.0001049220665866e+01,  2.6562224754564427e+00,  5.2499760356554690e-03,  7.2805235877465525e-03,  4.2863572938908391e-02, -2.7575311355601323e-01,  2.7433066213374363e-01,  1.7042711696077525e-01, -6.5655586184629480e-02, -1.3732454760032480e+00,  0.0000000000000000e+00, -6.0445418237512456e+00, -1.2343855882938625e+01,  2.5415606271661360e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371045891152107e+02,  2.0274170387736917e-02,  2.9848789113242049e+01,  7.6069731603583712e-02,  8.3157563423709224e-02,  5.1843807025514776e-01,  1.2675177707041835e+01, -1.0198996647489914e-01, -1.4999999999782263e+04,  1.0002068701838876e+01,  2.6561398586305747e+00,  1.0499957909890389e-02,  8.6814686462742367e-03,  4.1591712719352650e-02, -2.8934502532399969e-01,  2.7433066213374363e-01,  1.3380154152214341e-01, -1.9136910841535498e-01, -1.4663380226690692e+00,  0.0000000000000000e+00, -1.2878983790628558e+00, -1.2823991267652616e+01, -2.1178688469663506e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371034854238133e+02,  1.9066195594953372e-02,  2.9847952026628203e+01,  7.2548821402860911e-02,  8.3508037564874835e-02,  5.1843112865307350e-01,  1.9012771345945236e+01, -1.5213771519405003e-01, -1.4999999999200181e+04,  1.0003054551033896e+01,  2.6560591733718986e+00,  1.5750116417704386e-02,  9.9538810607164505e-03,  3.9040014329210990e-02, -3.0505057654640422e-01,  2.7433066213374363e-01,  1.0453921958810633e-01, -3.1370964962764497e-01, -1.6249871993080747e+00,  0.0000000000000000e+00, -4.5704184721313652e+00, -1.1668585083047848e+01, -1.0582876693465456e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371023470423711e+02,  1.7846401401409560e-02,  2.9847119469655659e+01,  6.8791523751446093e-02,  8.4183737151717522e-02,  5.1841122535832229e-01,  2.5350368140574862e+01, -2.0172061925885876e-01, -1.4999999997809424e+04,  1.0004003919476903e+01,  2.6559829172571834e+00,  2.1000763473188567e-02,  1.0770164342340297e-02,  3.5323787651867236e-02, -3.2181230203345174e-01,  2.7433066213374363e-01,  7.7280793507166740e-02, -4.0775776269717062e-01, -1.7223444890149557e+00,  0.0000000000000000e+00, -8.8671842927273681e-01, -7.1598471534712038e+00, -8.9080527058521870e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3371011591473950e+02,  1.6615705742018490e-02,  2.9846355936061570e+01,  6.4890140873772595e-02,  8.5273654526478768e-02,  5.1837531467240616e-01,  3.1687968076778770e+01, -2.5073868518995107e-01, -1.4999999995069789e+04,  1.0004915048814112e+01,  2.6559145843015370e+00,  2.6252338286521106e-02,  1.1497952859061441e-02,  3.0893006083513273e-02, -3.3946305384940034e-01,  2.7433066213374363e-01,  6.8513281814386387e-02, -4.6127719364019210e-01, -1.6478364468696276e+00,  0.0000000000000000e+00, -8.6853741162189535e-01, -3.5547429213216901e+00,  2.3824562743347009e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370999043139352e+02,  1.5374888496340187e-02,  2.9845726569738073e+01,  6.0874361741802670e-02,  8.6813818899796460e-02,  5.1832317737328659e-01,  3.8025571147056048e+01, -2.9919193477511780e-01, -1.4999999990362476e+04,  1.0005786653928540e+01,  2.6558582967615032e+00,  3.1505386978265590e-02,  1.2139061081888477e-02,  2.6107460106608655e-02, -3.5473610716571202e-01,  2.7433066213374363e-01,  5.8247726811928302e-02, -4.8135907012394202e-01, -1.4413569856768815e+00,  0.0000000000000000e+00, -1.1866266998702086e+00, -4.6564875072511502e-01,  1.7512625387440654e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370985638473758e+02,  1.4124950813849157e-02,  2.9845292774076778e+01,  5.6777552351004998e-02,  8.8800053994868969e-02,  5.1825432277347061e-01,  4.4363177347819089e+01, -3.4708039661044304e-01, -1.4999999983053918e+04,  1.0006617751825429e+01,  2.6558183368839021e+00,  3.6760490512755283e-02,  1.2661743604554514e-02,  2.1275442244873072e-02, -3.6826139522156581e-01,  2.7433066213374363e-01,  3.8684559497230653e-02, -4.6456416589307697e-01, -1.3122663304392350e+00,  0.0000000000000000e+00, -2.7299193965322597e+00,  3.8279885777442879e+00,  8.3313237911361604e+00,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370971197689562e+02,  1.2867547580694978e-02,  2.9845106164574123e+01,  5.2664037296158275e-02,  9.1185223403920379e-02,  5.1816754495542816e-01,  5.0700786675579970e+01, -3.9440409336847815e-01, -1.4999999972558317e+04,  1.0007407919071051e+01,  2.6557986848680417e+00,  4.2018170881721724e-02,  1.2911979353561417e-02,  1.6825458790063658e-02, -3.8095521466699545e-01,  2.7433066213374363e-01,  2.5248523190132495e-02, -4.4091433042305223e-01, -1.2397080939233125e+00,  0.0000000000000000e+00,  4.0024927851205080e-02,  9.0670848335472942e-01,  6.1948351593517170e+00,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370955570481635e+02,  1.1604477382162783e-02,  2.9845209963404859e+01,  4.8578238342330202e-02,  9.3908148940223465e-02,  5.1806318927321282e-01,  5.7038399125867649e+01, -4.4116303791879785e-01, -1.4999999958363145e+04,  1.0008157218399552e+01,  2.6558028528495736e+00,  4.7278873059217352e-02,  1.3166209602359358e-02,  1.2465965113543361e-02, -3.9303078770754607e-01,  2.7433066213374363e-01,  2.1780763139689702e-02, -4.2489458796022656e-01, -1.1813455155727035e+00,  0.0000000000000000e+00, -7.3427048994984800e-01,  2.3004439577028930e+00,  5.4893530264400363e+00,  0.0000000000000000e+00
