#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277336e+02,  2.2655162823548167e-02,  2.9850264791017317e+01,  5.2593652815163025e-02,  8.2694673173981229e-02,  5.1801357396260095e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975646e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598275e-01,  2.7433066213374363e-01,  1.4183467756970980e-01, -5.9765695511201731e-03, -1.3340290954144138e+00,  0.0000000000000000e+00, -3.5256918013087639e+00, -1.2225849014443344e+01,  4.2288483361819225e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371070177915999e+02,  2.1364500639066395e-02,  2.9849554598210894e+01,  5.0614098746605461e-02,  8.2776596573519642e-02,  5.1801609100282842e-01,  6.3375879165772506e+00, -5.1277395972578139e-02, -1.4999999999966138e+04,  1.0000758936268561e+01,  2.6562209437804092e+00,  5.2454159271514205e-03,  6.6932612901119916e-03,  4.2843806653599791e-02, -2.7523451726613674e-01,  2.7433066213374363e-01,  1.2422382941132436e-01, -6.7044746446441580e-02, -1.3129059768520666e+00,  0.0000000000000000e+00, -3.5256918013087639e+00, -1.2225849014443344e+01,  4.2288483361819225e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371072900562410e+02,  2.0066709400174278e-02,  2.9848750144368012e+01,  4.8303309732517091e-02,  8.2930333093286498e-02,  5.1801569722100027e-01,  1.2675180385148767e+01, -1.0199001400462734e-01, -1.4999999999778815e+04,  1.0001496327048759e+01,  2.6561368364834812e+00,  1.0490844038876637e-02,  7.7583260378935991e-03,  4.1563957269566194e-02, -2.8813944092537469e-01,  2.7433066213374363e-01,  9.5353932344366524e-02, -1.9209938158513148e-01, -1.3806370635124392e+00,  0.0000000000000000e+00, -2.2540615914961983e+00, -1.2810088940322371e+01, -1.7788611885588502e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371075349823980e+02,  1.8761913637367914e-02,  2.9847892988039366e+01,  4.5755863394752565e-02,  8.3284234029439894e-02,  5.1800443388282102e-01,  1.9012777370511724e+01, -1.5213782454752800e-01, -1.4999999999189116e+04,  1.0002209343739345e+01,  2.6560547204307561e+00,  1.5736424076499413e-02,  8.5984347635259077e-03,  3.9005657171379382e-02, -3.0281967338027138e-01,  2.7433066213374363e-01,  6.6201730395590810e-02, -3.1607386078273270e-01, -1.5306570918981106e+00,  0.0000000000000000e+00, -3.5822092386486957e+00, -1.2009601795037408e+01, -1.2245397797222967e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371077437947429e+02,  1.7451098169883487e-02,  2.9847040604540517e+01,  4.3061594307144124e-02,  8.3966556483503443e-02,  5.1797718454942487e-01,  2.5350378848563373e+01, -2.0172081792099908e-01, -1.4999999997784216e+04,  1.0002896075864509e+01,  2.6559771094323521e+00,  2.0982438444491911e-02,  9.0810379339093996e-03,  3.5248795215965141e-02, -3.1872200020405822e-01,  2.7433066213374363e-01,  4.8950213971774521e-02, -4.1372422867591285e-01, -1.6280188952566130e+00,  0.0000000000000000e+00,  1.2845565060067629e-01, -7.5400018571773035e+00, -7.2464352351492671e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3371079019402930e+02,  1.6135711099033400e-02,  2.9846258967720242e+01,  4.0281471714937477e-02,  8.5073336136360936e-02,  5.1793186079068076e-01,  3.1687984804603762e+01, -2.5073900318493419e-01, -1.4999999995018015e+04,  1.0003555523461499e+01,  2.6559075435356299e+00,  2.6229307207316727e-02,  9.5764610167082161e-03,  3.0739438816216286e-02, -3.3534752343534857e-01,  2.7433066213374363e-01,  4.5735033272337147e-02, -4.6175476142401628e-01, -1.5453104804966540e+00,  0.0000000000000000e+00, -7.7213482662804311e-01, -2.0757107989930006e+00,  2.3804659870093186e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3371079910038725e+02,  1.4816944793451884e-02,  2.9845612286825240e+01,  3.7433886701806238e-02,  8.6624806453691375e-02,  5.1786832360962043e-01,  3.8025595230747200e+01, -2.9919240751474169e-01, -1.4999999990262080e+04,  1.0004186860944507e+01,  2.6558502236087249e+00,  3.1477574324847490e-02,  9.9948248124775742e-03,  2.6022925856843938e-02, -3.4959733447971564e-01,  2.7433066213374363e-01,  3.7929222833153177e-02, -4.7477753398761907e-01, -1.3392266047380144e+00,  0.0000000000000000e+00, -7.9058842329658485e-01, -5.3144826824031044e-01,  1.7453332056786362e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3371079927889707e+02,  1.3496255405841954e-02,  2.9845160853540346e+01,  3.4538885664155333e-02,  8.8615652634835007e-02,  5.1778644590506129e-01,  4.4363210121554182e+01, -3.4708105969678954e-01, -1.4999999982894571e+04,  1.0004789536463360e+01,  2.6558093351709977e+00,  3.6727781132936711e-02,  1.0334287646741247e-02,  2.1253374201079041e-02, -3.6210529775578842e-01,  2.7433066213374363e-01,  3.0641761094747730e-02, -4.7907882087379328e-01, -1.2567213317433221e+00,  0.0000000000000000e+00, -6.6836141673218441e-01, -3.2966936637177080e-01, -9.3577640324894817e-01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3371078899664701e+02,  1.2175294038239547e-02,  2.9844960299905360e+01,  3.1622310692705595e-02,  9.1025577528715956e-02,  5.1768661533646076e-01,  5.0700829473116812e+01, -3.9440498732232199e-01, -1.4999999972322968e+04,  1.0005363277064399e+01,  2.6557889113699442e+00,  4.1980449381032021e-02,  1.0607047811373633e-02,  1.6450921443781134e-02, -3.7470665179726453e-01,  2.7433066213374363e-01,  2.3102743889935468e-02, -4.6172854424156490e-01, -1.1483541531025998e+00,  0.0000000000000000e+00, -8.4094982767123494e-01,  3.8031947481439476e+00,  2.2630885567121737e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3371076664955251e+02,  1.0855756306718338e-02,  2.9845057230593202e+01,  2.8714598324953936e-02,  9.3799173687431903e-02,  5.1756931278389773e-01,  5.7038453282085577e+01, -4.4116421367488107e-01, -1.4999999958006836e+04,  1.0005908025011681e+01,  2.6557926924519339e+00,  4.7236069523466810e-02,  1.0795880931255442e-02,  1.2028028661787040e-02, -3.8504943667891728e-01,  2.7433066213374363e-01,  1.6972655154519165e-02, -4.2893830043538211e-01, -9.8514463586744594e-01,  0.0000000000000000e+00, -3.8629393715910681e-01,  2.7614120618537847e+00,  1.0043659783355912e+01,  0.0000000000000000e+00
