#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277313e+02,  2.2655162823548174e-02,  2.9850264791017317e+01,  1.5116005719873365e-01,  8.2715342186024859e-02,  5.1789717805608371e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975642e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598270e-01,  2.7433066213374346e-01,  3.4225011666631316e-01, -9.3767314741539519e-04, -1.3254856154000838e+00,  0.0000000000000000e+00, -6.6494995198025055e+00, -1.2930327444903263e+01, -1.2566816648817396e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371070166264633e+02,  2.1897899735672313e-02,  2.9849558623707534e+01,  1.5019081958721042e-01,  8.2802210428381137e-02,  5.1789076233752673e-01,  6.3375879167189675e+00, -5.1277375811768548e-02, -1.4999999999963975e+04,  1.0001748495876388e+01,  2.6562213435912567e+00,  5.2442577531752136e-03,  8.6954135288392978e-03,  4.2894145279011427e-02, -2.7514916781544407e-01,  2.7433066213374346e-01,  3.0903583335061630e-01, -6.5524723321757364e-02, -1.3882569273322387e+00,  0.0000000000000000e+00, -6.6494995198025055e+00, -1.2930327444903263e+01, -1.2566816648817396e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371072877826009e+02,  2.1141341241152870e-02,  2.9848762624650508e+01,  1.4899503913061868e-01,  8.2959026612625497e-02,  5.1789565475678168e-01,  1.2675180385530739e+01, -1.0198991967084452e-01, -1.4999999999770642e+04,  1.0003486129364672e+01,  2.6561375873784896e+00,  1.0488527057369053e-02,  1.1450873569148184e-02,  4.1594327361967477e-02, -2.8964495442148197e-01,  2.7433066213374346e-01,  2.4191800545560141e-01, -1.8215779240494975e-01, -1.5990305654482559e+00,  0.0000000000000000e+00, -6.7874896247794867e+00, -1.0419612985551849e+01, -2.9630065702009198e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371075319412250e+02,  2.0385342180401691e-02,  2.9847916165616176e+01,  1.4762175472137373e-01,  8.3305628078068780e-02,  5.1790045985686284e-01,  1.9012777370907092e+01, -1.5213757571282768e-01, -1.4999999999176283e+04,  1.0005210918624300e+01,  2.6560556816162180e+00,  1.5733056840222484e-02,  1.3528940111368796e-02,  3.9254628947244199e-02, -3.0709783046176287e-01,  2.7433066213374346e-01,  1.9620032408448052e-01, -3.0143580943489312e-01, -1.8365896689504770e+00,  0.0000000000000000e+00, -2.3651901857189110e+00, -1.3459846023842818e+01, -1.7929266819135535e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371077409741338e+02,  1.9630217378239324e-02,  2.9847074209872741e+01,  1.4608576329561454e-01,  8.3963797318025016e-02,  5.1789829575349089e-01,  2.5350378848205196e+01, -2.0172030220521375e-01, -1.4999999997778088e+04,  1.0006921122170619e+01,  2.6559780114941463e+00,  2.0978209853207343e-02,  1.5370959964442500e-02,  3.5571633866764818e-02, -3.2634005270221078e-01,  2.7433066213374346e-01,  1.7888546234351416e-01, -4.0804743942978061e-01, -1.9641599192737909e+00,  0.0000000000000000e+00, -1.1012451348225492e+00, -7.8838023011336791e+00, -7.6102972955919883e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3371079012939003e+02,  1.8876242553745971e-02,  2.9846300846328013e+01,  1.4435503701813238e-01,  8.5031381506067497e-02,  5.1788697877510748e-01,  3.1687984802153498e+01, -2.5073807268938958e-01, -1.4999999995043188e+04,  1.0008615096618025e+01,  2.6559079654640994e+00,  2.6224469624080378e-02,  1.7103075223127321e-02,  3.1101832954641188e-02, -3.4634178489280765e-01,  2.7433066213374346e-01,  1.5604548360107418e-01, -4.6242672903798143e-01, -1.9317982514517416e+00,  0.0000000000000000e+00, -3.4713186094139457e+00, -3.0029314784280876e+00,  1.4089103193566430e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3371079952174364e+02,  1.8123287730235842e-02,  2.9845662482359774e+01,  1.4238817436216078e-01,  8.6557910430108020e-02,  5.1786506211614136e-01,  3.8025595224928153e+01, -2.9919087773595821e-01, -1.4999999990347291e+04,  1.0010290630309783e+01,  2.6558496654588777e+00,  3.1472450352156171e-02,  1.8488751844583842e-02,  2.6332338581290665e-02, -3.6493742036358423e-01,  2.7433066213374346e-01,  1.3629946567657164e-01, -4.7275571452589543e-01, -1.7950250813264883e+00,  0.0000000000000000e+00, -4.8183417907145382e-01,  9.3506858374766633e-01,  1.3292885465509118e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3371080037510490e+02,  1.7371103385324816e-02,  2.9845216986366705e+01,  1.4015014950229371e-01,  8.8517402747428087e-02,  5.1783265183326621e-01,  4.4363210112053444e+01, -3.4707871082418240e-01, -1.4999999983055559e+04,  1.0011945273004430e+01,  2.6558073581893278e+00,  3.6722784276772391e-02,  1.9826341270611270e-02,  2.1656164332745174e-02, -3.8220642188234788e-01,  2.7433066213374346e-01,  1.1708541178341124e-01, -4.6766151307169596e-01, -1.6439393897752588e+00,  0.0000000000000000e+00, -3.3648194103392579e+00,  8.4790547383075385e-02,  1.6954469983047051e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3371079099622636e+02,  1.6620028766433800e-02,  2.9845017809838357e+01,  1.3769964951525654e-01,  9.0883001905750979e-02,  5.1778645562149206e-01,  5.0700829459665613e+01, -3.9440155862816306e-01, -1.4999999972577996e+04,  1.0013576598184239e+01,  2.6557850104912957e+00,  4.1976051998383390e-02,  2.0828120711385265e-02,  1.6988452206231804e-02, -3.9778336221723576e-01,  2.7433066213374346e-01,  9.3019882639613832e-02, -4.5773010916952267e-01, -1.4504045105354058e+00,  0.0000000000000000e+00, -1.4530995242489957e+00,  1.9034765138320837e+00,  2.1791212840771745e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3371076984103570e+02,  1.5870435203768844e-02,  2.9845112437562445e+01,  1.3503126359685313e-01,  9.3617616533880371e-02,  5.1772626367944719e-01,  5.7038453264636544e+01, -4.4115939923442632e-01, -1.4999999958375780e+04,  1.0015182493033178e+01,  2.6557863016727938e+00,  4.7232770364417843e-02,  2.1684880384289867e-02,  1.2510707606081389e-02, -4.1118553298195637e-01,  2.7433066213374346e-01,  7.8137360650597856e-02, -4.2826967170755903e-01, -1.2562183309237143e+00,  0.0000000000000000e+00, -1.5263813779519917e+00,  3.9945030660529572e+00,  1.7084860317488694e+01,  0.0000000000000000e+00
