#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277336e+02,  2.2655162823548167e-02,  2.9850264791017317e+01, -1.0593246490633959e-02,  8.3091559481777391e-02,  5.1807094374919471e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975646e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598275e-01,  2.7433066213374363e-01,  1.5763538431503087e-02, -3.8350159115578585e-03, -1.4844899742251350e+00,  0.0000000000000000e+00, -1.8091293755956093e+00, -1.2112485143730705e+01,  1.1244576057038788e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371069975608066e+02,  2.1030152164452087e-02,  2.9849597785895178e+01, -1.0937484352225477e-02,  8.3145069974872726e-02,  5.1807847264667761e-01,  6.3375879163668394e+00, -5.1277407993979035e-02, -1.4999999999970982e+04,  1.0000135641382190e+01,  2.6562246300298309e+00,  5.2466780686131562e-03,  5.4338093506693672e-03,  4.2865200795853160e-02, -2.7673762294856152e-01,  2.7433066213374363e-01,  6.7269281637927520e-03, -6.4336939706416518e-02, -1.4283232606535128e+00,  0.0000000000000000e+00, -1.8091293755956093e+00, -1.2112485143730705e+01,  1.1244576057038788e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371072507971269e+02,  1.9405038527198711e-02,  2.9848834532424711e+01, -1.1301482952812612e-02,  8.3261758689725227e-02,  5.1807321984073429e-01,  1.2675180383923925e+01, -1.0199007690547439e-01, -1.4999999999805383e+04,  1.0000267686370764e+01,  2.6561439209517794e+00,  1.0493306062307918e-02,  5.4107356033774832e-03,  4.1618059302333928e-02, -2.9044548056176722e-01,  2.7433066213374363e-01,  1.1326771970650985e-03, -1.8958658391411046e-01, -1.4856694497747120e+00,  0.0000000000000000e+00,  6.8916033205673299e-01, -1.2962493626649618e+01, -2.2725283119102851e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371074782880680e+02,  1.7782114379267442e-02,  2.9848015475289245e+01, -1.1665848691180673e-02,  8.3572077950953172e-02,  5.1804921210426036e-01,  1.9012777366931697e+01, -1.5213800135421807e-01, -1.4999999999266018e+04,  1.0000396038946930e+01,  2.6560648574263550e+00,  1.5739924620315555e-02,  5.4564402636976409e-03,  3.9077257061305500e-02, -3.0642132823876556e-01,  2.7433066213374363e-01, -1.2007062994313143e-02, -3.1558368928957192e-01, -1.5703913631537816e+00,  0.0000000000000000e+00, -3.3197363183706567e+00, -1.2262126869517781e+01,  5.7639560606130802e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371076717662459e+02,  1.6164108190533946e-02,  2.9847196059316833e+01, -1.1995748171447841e-02,  8.4198680874689291e-02,  5.1800263495321941e-01,  2.5350378840440818e+01, -2.0172119663764013e-01, -1.4999999997957548e+04,  1.0000520858724171e+01,  2.6559898617139375e+00,  2.0986727316397853e-02,  5.1708342448497481e-03,  3.5312690884959863e-02, -3.2182193137403059e-01,  2.7433066213374363e-01, -2.1788243429749988e-02, -4.0626398072631531e-01, -1.5309778264082787e+00,  0.0000000000000000e+00,  1.3615439951961985e+00, -5.8920674761182159e+00,  2.1266339958365443e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3371078169397083e+02,  1.4554029332212405e-02,  2.9846443078131074e+01, -1.2255775724915903e-02,  8.5254366174090629e-02,  5.1793192929650389e-01,  3.1687984789522876e+01, -2.5073969941320112e-01, -1.4999999995343203e+04,  1.0000642773951524e+01,  2.6559225020881136e+00,  2.6234078185446100e-02,  5.0211107246416970e-03,  3.0960094609231267e-02, -3.3701029579937053e-01,  2.7433066213374363e-01, -2.3844150157674444e-02, -4.6670213958998380e-01, -1.4112764091444279e+00,  0.0000000000000000e+00, -1.7731365221266739e+00, -6.2076519283881177e+00,  2.1837589740386480e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3371078955899100e+02,  1.2954582463907502e-02,  2.9845823720361555e+01, -1.2446170524951035e-02,  8.6775341232125602e-02,  5.1783671818556221e-01,  3.8025595205933357e+01, -2.9919356268748787e-01, -1.4999999990808708e+04,  1.0000762299302943e+01,  2.6558669930228116e+00,  3.1482468635971865e-02,  4.6944276482928163e-03,  2.5987972811233915e-02, -3.5001926222606711e-01,  2.7433066213374363e-01, -1.5642233118463644e-02, -4.8812916234941600e-01, -1.2604910215391840e+00,  0.0000000000000000e+00,  3.4151603133766728e+00,  1.9179619719497885e+00,  8.3496448581832556e+00,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3371078883564257e+02,  1.1368946188794979e-02,  2.9845397696887275e+01, -1.2573873385781410e-02,  8.8730830216196085e-02,  5.1771763462460219e-01,  4.4363210086244685e+01, -3.4708284410208434e-01, -1.4999999983703785e+04,  1.0000880478698562e+01,  2.6558277267707999e+00,  3.6732400418531222e-02,  4.7085785944026631e-03,  2.1207264192659517e-02, -3.6219493159435923e-01,  2.7433066213374363e-01,  4.9398581087535471e-03, -4.5953333066187751e-01, -1.1318145021187378e+00,  0.0000000000000000e+00,  7.0537435031220763e-01,  3.8069235318954102e+00,  1.7411394329790088e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3371077782984116e+02,  9.7988201538304794e-03,  2.9845213761048946e+01, -1.2709063660398074e-02,  9.1065805042753162e-02,  5.1757889319656880e-01,  5.0700829425342583e+01, -3.9440759593949598e-01, -1.4999999973464879e+04,  1.0000997423528194e+01,  2.6558085478314850e+00,  4.1984337953839768e-02,  4.7931261120041759e-03,  1.6806487683124472e-02, -3.7263293859207586e-01,  2.7433066213374363e-01,  9.4378691994031153e-03, -4.3965161834527816e-01, -9.6586830610586649e-01,  0.0000000000000000e+00,  1.9512747003583472e-01,  1.7339527388782816e-01,  1.5811034111986899e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3371075514596123e+02,  8.2460279696257906e-03,  2.9845318858001573e+01, -1.2859329704949317e-02,  9.3760748615068959e-02,  5.1742227936793106e-01,  5.7038453218106774e+01, -4.4116786446615291e-01, -1.4999999959590674e+04,  1.0001113047205378e+01,  2.6558129096468788e+00,  4.7238704077665700e-02,  4.8971474095755524e-03,  1.2423016073872745e-02, -3.8149299964842248e-01,  2.7433066213374363e-01,  1.1736048658831103e-02, -4.2434323338962154e-01, -8.2669739350559834e-01,  0.0000000000000000e+00,  2.6496805774164989e-01,  2.8913433942345295e+00,  1.2050982590586647e+01,  0.0000000000000000e+00
