#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277348e+02,  2.2655162823548160e-02,  2.9850264791017317e+01,  1.0155013928669031e-01,  8.3408562653831564e-02,  5.1627816750169531e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975646e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598275e-01,  2.7433066213374369e-01,  2.2153879832865778e-01,  4.7267104536928440e-03, -1.2503259352488703e+00,  0.0000000000000000e+00, -4.4203979111886493e+00, -1.3039157654378187e+01, -7.0985186316740503e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371069805673096e+02,  2.1810346902950434e-02,  2.9849630176812596e+01,  9.8329164135998182e-02,  8.3481861009700870e-02,  5.1627576635339789e-01,  6.3375879162969531e+00, -5.1277384771791834e-02, -1.4999999999970845e+04,  1.0001241252570608e+01,  2.6562309300686731e+00,  5.2295337033141827e-03,  7.4895062527388446e-03,  4.2950732527773747e-02, -2.7439832185988755e-01,  2.7433066213374369e-01,  1.9945888868236084e-01, -6.0403947160583810e-02, -1.2857830712712182e+00,  0.0000000000000000e+00, -4.4203979111886493e+00, -1.3039157654378187e+01, -7.0985186316740503e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371072159944595e+02,  2.0952287180167898e-02,  2.9848896309874881e+01,  9.4582405360465693e-02,  8.3619100137821714e-02,  5.1627440389155366e-01,  1.2675180383428943e+01, -1.0198996349357850e-01, -1.4999999999808209e+04,  1.0002447581097446e+01,  2.6561566502012104e+00,  1.0459035416659473e-02,  9.2615240253268952e-03,  4.1696640571980935e-02, -2.8759752472995315e-01,  2.7433066213374369e-01,  1.5832232963064921e-01, -1.7812229794853757e-01, -1.4536335419252926e+00,  0.0000000000000000e+00, -3.8151412109640206e+00, -1.0528056173370151e+01, -2.6505145593271603e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371074249041658e+02,  2.0079843090458609e-02,  2.9848102256201820e+01,  9.0433595765675640e-02,  8.3939143854662057e-02,  5.1626547279390234e-01,  1.9012777364859208e+01, -1.5213769662902821e-01, -1.4999999999284279e+04,  1.0003614359332190e+01,  2.6560840624955819e+00,  1.5688655209751712e-02,  1.0652789562042525e-02,  3.9391845455874895e-02, -3.0344194907118210e-01,  2.7433066213374369e-01,  1.2230101669845812e-01, -3.0171856991845120e-01, -1.6272945962387664e+00,  0.0000000000000000e+00, -3.3963256380606319e+00, -1.4215917475006572e+01, -8.2617974802859013e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371075993600334e+02,  1.9192857398170088e-02,  2.9847304213042349e+01,  8.6012204552953844e-02,  8.4571864825487369e-02,  5.1624317316386881e-01,  2.5350378834976691e+01, -2.0172056371755873e-01, -1.4999999998008743e+04,  1.0004738168788498e+01,  2.6560155248975992e+00,  2.0918678568150200e-02,  1.1705100782538846e-02,  3.5668297516667224e-02, -3.2011090327618225e-01,  2.7433066213374369e-01,  9.6880579278453616e-02, -4.0560182057055555e-01, -1.7274546126632997e+00,  0.0000000000000000e+00, -1.6928459334242656e+00, -6.5815093055447251e+00, -1.1790237807905699e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3371077254323541e+02,  1.8291950027280252e-02,  2.9846567624209051e+01,  8.1399520755261842e-02,  8.5616736924970169e-02,  5.1620475587421311e-01,  3.1687984777947456e+01, -2.5073856408510181e-01, -1.4999999995451615e+04,  1.0005816836811592e+01,  2.6559544686016410e+00,  2.6149528929107133e-02,  1.2588465471701938e-02,  3.1287912976942715e-02, -3.3795652674677251e-01,  2.7433066213374369e-01,  8.4731104540099175e-02, -4.6001920529456564e-01, -1.7294481015409187e+00,  0.0000000000000000e+00, -7.3947890919430137e-01, -4.3128511162020651e+00,  1.1391141334606498e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3371077854391376e+02,  1.7377822996830994e-02,  2.9845957489917499e+01,  7.6639479431338711e-02,  8.7109276040735845e-02,  5.1615013539002430e-01,  3.8025595184671097e+01, -2.9919171271220713e-01, -1.4999999991001059e+04,  1.0006848713642466e+01,  2.6559049751765906e+00,  3.1381739317885987e-02,  1.3398029944179188e-02,  2.6477104603688892e-02, -3.5466531089937742e-01,  2.7433066213374369e-01,  8.5546175281485351e-02, -4.9327495358262735e-01, -1.5655169853615556e+00,  0.0000000000000000e+00,  9.0265607161982020e-01, -2.3449496910678942e+00,  2.1427868124501856e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3371077606101460e+02,  1.6450796065191790e-02,  2.9845538316129019e+01,  7.1732989432736538e-02,  8.9061590441844876e-02,  5.1608080221799602e-01,  4.4363210050469576e+01, -3.4708003504261326e-01, -1.4999999984016720e+04,  1.0007832292650120e+01,  2.6558713892928227e+00,  3.6615912615951915e-02,  1.4297679763040307e-02,  2.1432269548718390e-02, -3.6923558739335705e-01,  2.7433066213374369e-01,  6.6286236214697106e-02, -4.8983453253697690e-01, -1.3877607221761095e+00,  0.0000000000000000e+00, -4.7584958727908271e+00,  3.0337219844071521e+00,  1.4158935765224465e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3371076328579022e+02,  1.5511870764149834e-02,  2.9845365018463188e+01,  6.6749780493520691e-02,  9.1433779021591305e-02,  5.1599576585462947e-01,  5.0700829372117248e+01, -3.9440355517730846e-01, -1.4999999973891017e+04,  1.0008766534553899e+01,  2.6558578718414365e+00,  4.1852623768390322e-02,  1.4722430268149161e-02,  1.6690200856696345e-02, -3.8239279785594305e-01,  2.7433066213374369e-01,  3.4539533740689014e-02, -4.5764805120639895e-01, -1.1860901397816683e+00,  0.0000000000000000e+00, -1.5971939625055975e+00,  3.4100115779746361e+00,  2.6215514830142837e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3371073865386813e+02,  1.4562775244997038e-02,  2.9845484244049363e+01,  6.1780848724873286e-02,  9.4171718261796086e-02,  5.1589321290752721e-01,  5.7038453146077366e+01, -4.4116228763579296e-01, -1.4999999960087498e+04,  1.0009651157296140e+01,  2.6558681352125566e+00,  4.7092365679148519e-02,  1.4987780337279847e-02,  1.2288452341797337e-02, -3.9293369208429946e-01,  2.7433066213374369e-01,  2.0490376151109473e-02, -4.2541815404233441e-01, -9.9891029820769695e-01,  0.0000000000000000e+00, -1.2154473869282236e+00,  3.0424138342710463e+00,  1.1257889452966099e+01,  0.0000000000000000e+00
