#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277097e+02,  2.2655162823548246e-02,  2.9850264791017320e+01,  2.8497114135674256e-01,  7.3683281156405656e-02,  5.1595982521954531e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975615e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121464e-02, -2.6190755327598236e-01,  2.7433066213374246e-01,  2.4790263954340594e+00,  6.5647433679982248e-01, -1.7701032303202027e+00,  0.0000000000000000e+00,  3.3783963578682101e+00,  1.7285538690125751e+01,  1.4077752224606610e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371074220830042e+02,  2.2787130615508404e-02,  2.9847355143836218e+01,  2.7757049047471982e-01,  7.3278556207258747e-02,  5.1602207573415915e-01,  6.3375878340870972e+00, -5.1276390757712571e-02, -1.5000000005571364e+04,  1.0003055663023700e+01,  2.6561345593321231e+00,  5.2096173719416768e-03,  3.0041829900145454e-02,  4.9461697825936873e-02, -2.7959090223023014e-01,  2.7433066213374246e-01,  2.4959015021167179e+00,  7.4281568889835270e-01, -1.7630713860521674e+00,  0.0000000000000000e+00,  3.3783963578682101e+00,  1.7285538690125751e+01,  1.4077752224606610e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371064493947983e+02,  2.2811979297031309e-02,  2.9844111829058829e+01,  2.6543413302424612e-01,  7.1714152218470301e-02,  5.1648556143370172e-01,  1.2675179448494935e+01, -1.0198610421426386e-01, -1.5000000022504862e+04,  1.0006015001197758e+01,  2.6559537049015547e+00,  1.0420431998946617e-02,  5.5144493324714647e-02,  5.7744984948782857e-02, -2.9713375479550619e-01,  2.7433066213374246e-01,  2.4489678629138507e+00,  9.1853892169215035e-01, -1.8450506635812070e+00,  0.0000000000000000e+00, -1.2774510926282291e+01,  1.7894252515192498e+01, -1.7820026583774325e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371031993721886e+02,  2.2624605484991907e-02,  2.9840377689223651e+01,  2.4843186940947451e-01,  6.8436398673330623e-02,  5.1754209885325819e-01,  1.9012773157250603e+01, -1.5212940990968682e-01, -1.5000000051302808e+04,  1.0008829565072967e+01,  2.6557479033752895e+00,  1.5634825625170875e-02,  7.8972256731591015e-02,  6.7814123833772041e-02, -3.1645505135273178e-01,  2.7433066213374246e-01,  2.2754718198000949e+00,  3.4330881436922506e-01, -1.9128650663789024e+00,  0.0000000000000000e+00, -2.1959396905091580e+01, -1.3305532000124211e+02,  4.2435831436756573e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370974329262629e+02,  2.2105633692667884e-02,  2.9836079130469731e+01,  2.2672654634221978e-01,  6.3820983631299122e-02,  5.1932816041859353e-01,  2.5350366545280767e+01, -2.0170680824491422e-01, -1.5000000092441365e+04,  1.0011451488607667e+01,  2.6554984279809704e+00,  2.0856241542450443e-02,  1.0060846574829296e-01,  6.4604301919196944e-02, -3.3535283704083890e-01,  2.7433066213374246e-01,  2.1451460612231275e+00, -1.4973291454027069e+00, -2.0254439333254193e+00,  0.0000000000000000e+00, -4.1318199620172296e+00, -2.3544039954509861e+02, -2.6781872306368413e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370891670205060e+02,  2.1131279670607801e-02,  2.9831511988073622e+01,  1.9994191397624039e-01,  6.0178179923242585e-02,  5.2191865507864998e-01,  3.1687956885869571e+01, -2.5071930483033311e-01, -1.5000000144550057e+04,  1.0013832591984070e+01,  2.6552001074978486e+00,  2.6091632276710488e-02,  1.2183231789489027e-01,  3.7897457591959713e-02, -3.5692346160898392e-01,  2.7433066213374246e-01,  1.9712935297645862e+00, -2.8319651499441019e+00, -2.0328573931215135e+00,  0.0000000000000000e+00, -3.0673456835982851e+01, -3.1753728564088426e+01,  2.5297697655190557e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370787300653444e+02,  1.9573082871406789e-02,  2.9827199563549318e+01,  1.6763208677919134e-01,  5.9592440294029041e-02,  5.2532059750910376e-01,  3.8025541568268501e+01, -2.9916856266843017e-01, -1.5000000203336607e+04,  1.0015919317694648e+01,  2.6548724286084218e+00,  3.1352884229596902e-02,  1.3999494985947350e-01,  8.0215816405935225e-03, -3.7596936837193806e-01,  2.7433066213374246e-01,  1.4060527782644763e+00, -2.6191667876038536e+00, -1.4711554818062049e+00,  0.0000000000000000e+00, -8.2487741614339015e+01,  7.4355960704605877e+01,  8.7155024990134024e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370669961176088e+02,  1.7336006792914204e-02,  2.9823347761800818e+01,  1.3099862761425901e-01,  6.1133960864662697e-02,  5.2938343140922950e-01,  4.4363118583683267e+01, -3.4705632327266517e-01, -1.5000000264206585e+04,  1.0017661179817615e+01,  2.6545396645303105e+00,  3.6652069995126296e-02,  1.4992528049757711e-01, -1.4433547155370038e-02, -3.8631717752918782e-01,  2.7433066213374246e-01,  5.3579505953628193e-01, -2.4667569302615115e+00, -1.4422648956991133e+00,  0.0000000000000000e+00, -9.1737853675045471e+01, -4.3843507264668986e+01, -8.1371129651494300e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370551228167130e+02,  1.4362954956857315e-02,  2.9820211398345343e+01,  9.2573940901989157e-02,  6.5203522425937285e-02,  5.3394342102466008e-01,  5.0700686966284749e+01, -3.9438391657841687e-01, -1.5000000323665918e+04,  1.0019027197985620e+01,  2.6542206035318632e+00,  4.1998504372947700e-02,  1.5070014585420441e-01, -4.1264271111884236e-02, -4.0478584980448779e-01,  2.7433066213374246e-01, -2.7348696720051435e-01, -2.5147343860089286e+00, -1.9460103510764744e+00,  0.0000000000000000e+00, -7.0280408077661178e+01,  3.4238420624036465e+01, -1.9478710515053120e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370438341751913e+02,  1.0615578921504786e-02,  2.9818117030097234e+01,  5.4833060657099079e-02,  7.2285774308451331e-02,  5.3891175805889013e-01,  5.7038246895178510e+01, -4.4115252340228678e-01, -1.5000000378117085e+04,  1.0020012948654175e+01,  2.6539421656985427e+00,  4.7401567429457898e-02,  1.4446100542863577e-01, -6.4677990432271681e-02, -4.2519850322502145e-01,  2.7433066213374246e-01, -9.3224623498333425e-01, -1.7946711603709793e+00, -2.7434920598551868e+00,  0.0000000000000000e+00, -6.1603197332459473e+01,  1.0991823714868067e+02, -1.4017712758244537e+02,  0.0000000000000000e+00
