#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277234e+02,  2.2655162823548201e-02,  2.9850264791017317e+01,  2.5685481215909373e-01,  5.6009491374186288e-02,  5.2186043271411697e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975633e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121464e-02, -2.6190755327598259e-01,  2.7433066213374302e-01,  2.5133204441811556e+00, -2.1186297523332556e-01, -1.7328075448752405e+00,  0.0000000000000000e+00, -1.2049031602928218e-02,  1.9361664416693397e+01, -7.1578937562106004e-01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371065277965033e+02,  2.1973593590225150e-02,  2.9846621346034389e+01,  2.4666673504919409e-01,  5.6359333116049383e-02,  5.2195782895914988e-01,  6.3375872025503863e+00, -5.1277441209107100e-02, -1.4999999999756425e+04,  1.0002764441191067e+01,  2.6559531541507400e+00,  5.2375556992138028e-03,  3.0384427789726835e-02,  4.0786999404027302e-02, -2.7921831796005092e-01,  2.7433066213374302e-01,  2.5132602592081144e+00, -1.1515136476033160e-01, -1.7363829163818392e+00,  0.0000000000000000e+00, -1.2049031602928218e-02,  1.9361664416693397e+01, -7.1578937562106004e-01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371046359768593e+02,  2.1147145635928646e-02,  2.9842874018606533e+01,  2.2917607860692785e-01,  5.6685629282358943e-02,  5.2245146559252520e-01,  1.2675176991047589e+01, -1.0199052215095802e-01, -1.4999999998632835e+04,  1.0005391651535382e+01,  2.6556038026268043e+00,  1.0478646938259221e-02,  5.5491321638229056e-02,  4.0602786074483470e-02, -2.9660051863825709e-01,  2.7433066213374302e-01,  2.4012553430611994e+00,  2.5365594677770411e-02, -1.8216943480432664e+00,  0.0000000000000000e+00, -2.2411335181009516e+01,  8.7698308628146275e+00, -1.6363559242996633e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371003718012071e+02,  2.0062779708669650e-02,  2.9839003290112643e+01,  2.0473300315181292e-01,  5.6637035507282753e-02,  5.2351296749417919e-01,  1.9012767777056560e+01, -1.5213982117225527e-01, -1.4999999996250099e+04,  1.0007809865929739e+01,  2.6552542905053498e+00,  1.5727572808075609e-02,  7.8361557521219316e-02,  4.1293804492494243e-02, -3.1561580743144485e-01,  2.7433066213374302e-01,  2.0426932376073585e+00, -3.8308494846957203e-01, -1.8632553353586698e+00,  0.0000000000000000e+00, -4.9372798330849285e+01, -9.0541629600912586e+01,  8.0430495824528130e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370934038999906e+02,  1.8602619212947816e-02,  2.9835061741087163e+01,  1.7462028418770226e-01,  5.6532380420141332e-02,  5.2526232394172956e-01,  2.5350357226896296e+01, -2.0172610239431010e-01, -1.4999999992213219e+04,  1.0009955239855840e+01,  2.6548995846262815e+00,  2.0989829997832603e-02,  9.6304373338675781e-02,  3.2948741150016496e-02, -3.3382839746660214e-01,  2.7433066213374302e-01,  1.6151236956911654e+00, -1.7487605132429265e+00, -1.9754465916452488e+00,  0.0000000000000000e+00, -3.6226623960772500e+01, -1.8286661846671299e+02, -3.0503739091025970e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370836748265174e+02,  1.6651616223410468e-02,  2.9831372362903007e+01,  1.4022477846586745e-01,  5.8023601268906981e-02,  5.2777411857953238e-01,  3.1687942642343707e+01, -2.5075047990016597e-01, -1.4999999984862836e+04,  1.0011778512538260e+01,  2.6545440065660788e+00,  2.6273621015719804e-02,  1.1063176123133252e-01,  6.3535344976305723e-03, -3.5508526980197930e-01,  2.7433066213374302e-01,  1.2350626266126716e+00, -2.7337821760918364e+00, -2.0317754824182361e+00,  0.0000000000000000e+00, -3.9861602068742066e+01, -1.4334718435638628e+01,  1.9226695158274072e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370715083007110e+02,  1.4093790662682421e-02,  2.9828427062412779e+01,  1.0267616058370722e-01,  6.2582003280476625e-02,  5.3112081876544903e-01,  3.8025521395662970e+01, -2.9921454664528041e-01, -1.4999999970369967e+04,  1.0013242742512476e+01,  2.6542097352888918e+00,  3.1591072782250089e-02,  1.2098094929497291e-01, -2.1672281349320890e-02, -3.7442331220023323e-01,  2.7433066213374302e-01,  6.7096965408412013e-01, -2.0205031631441095e+00, -1.6530114968522946e+00,  0.0000000000000000e+00, -7.3069811031473861e+01,  1.5713317682777335e+02,  5.6601854752027222e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370577833857431e+02,  1.0834390421652058e-02,  2.9826397349460031e+01,  6.3809698168234744e-02,  6.9066053771589531e-02,  5.3523759044541119e-01,  4.4363091427152966e+01, -3.4711992480557441e-01, -1.4999999944938219e+04,  1.0014324854404080e+01,  2.6539205146514266e+00,  3.6954810997840717e-02,  1.2403774832592034e-01, -3.4016159071682317e-02, -3.8811247253629089e-01,  2.7433066213374302e-01,  1.1218745536860870e-02, -8.7430930183631395e-01, -1.0750656212006653e+00,  0.0000000000000000e+00, -5.9012320859687570e+01,  7.2334834206047347e+01,  5.9102909553428965e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370437116385119e+02,  6.8301057706055554e-03,  2.9825271884977958e+01,  2.5660793760985769e-02,  7.6247981394703623e-02,  5.3987616036508457e-01,  5.0700651682656101e+01, -3.9446765967888620e-01, -1.4999999906874695e+04,  1.0015022598824045e+01,  2.6536860393262658e+00,  4.2373240015478056e-02,  1.2120510005495015e-01, -3.9140998668727764e-02, -3.9590314479165511e-01,  2.7433066213374302e-01, -6.3067571679841805e-01, -8.7186923564101326e-01, -1.3194713974517704e+00,  0.0000000000000000e+00, -6.9494950499835397e+01, -7.1846332953748131e+01, -1.0803294595890017e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370303183662361e+02,  2.0948803435915726e-03,  2.9825116409634006e+01, -9.8007434844694270e-03,  8.4157853719554240e-02,  5.4467935674578005e-01,  5.7038202234070347e+01, -4.4125822672468029e-01, -1.4999999855608459e+04,  1.0015352765910954e+01,  2.6535100464904970e+00,  4.7850621266536456e-02,  1.1143683490337453e-01, -5.1436123819754501e-02, -4.1447553742044213e-01,  2.7433066213374302e-01, -1.2412812671941580e+00, -8.5334270424029668e-01, -2.5555351149083334e+00,  0.0000000000000000e+00, -5.2748280689392040e+01,  7.5555344540171376e+01, -1.3942701027590397e+02,  0.0000000000000000e+00
