#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205276756e+02,  2.2655162823548528e-02,  2.9850264791017334e+01,  4.5828100902605906e-01, -3.6392291320462978e-03,  5.1155694384113426e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975513e+00,  0.0000000000000000e+00,  5.2763314442607397e-03,  4.2903512643121422e-02, -2.6190755327598081e-01,  2.7433066213374402e-01,  4.9175400446433972e+00, -1.7099658663019683e+00, -2.7527401927748723e+00,  0.0000000000000000e+00, -1.1954804328333910e+01,  1.4212443919419957e+01, -3.1906483387771392e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371268111177073e+02,  2.4127470241993045e-02,  2.9806533700346446e+01,  4.3989896493670638e-01, -1.8946762220024857e-03,  5.1175298789977786e-01,  6.3375881335606152e+00, -5.1248217514708497e-02, -1.5000000165647751e+04,  1.0004732091354224e+01,  2.6553893805942672e+00,  5.0335161826929424e-03,  5.4402605616522451e-02,  2.5820936556188671e-02, -2.8940745530170381e-01,  2.7433066213374402e-01,  4.8578257373090628e+00, -1.6389746379332373e+00, -2.7686774971643686e+00,  0.0000000000000000e+00, -1.1954804328333910e+01,  1.4212443919419957e+01, -3.1906483387771392e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371448282073550e+02,  2.5333252063091762e-02,  2.9763684498242952e+01,  4.0745144892012408e-01,  1.5304993853683137e-03,  5.1257073376367124e-01,  1.2675180766404637e+01, -1.0187459103710511e-01, -1.5000000657364044e+04,  1.0009211122238217e+01,  2.6544974803297001e+00,  1.0076043604977814e-02,  1.0233578673515109e-01,  1.0156766630469327e-02, -3.1722578498755660e-01,  2.7433066213374402e-01,  4.4858487744944808e+00, -1.4834400897544300e+00, -2.8534323368916397e+00,  0.0000000000000000e+00, -6.2514983627145511e+01,  1.6925572625977356e+01, -1.3777270574622440e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371599943014610e+02,  2.6100999232567632e-02,  2.9721886353029966e+01,  3.6217394343568537e-01,  6.2643219052827097e-03,  5.1419102207099687e-01,  1.9012776377632136e+01, -1.5188117963684702e-01, -1.5000001467489190e+04,  1.0013301685177106e+01,  2.6536430930867345e+00,  1.5137268389331191e-02,  1.4402995375827030e-01, -3.8182260762674660e-03, -3.4641909040443386e-01,  2.7433066213374402e-01,  3.6636411656972259e+00, -1.8052113904232883e+00, -2.8587804272453052e+00,  0.0000000000000000e+00, -1.0209097965406472e+02, -8.1344187019882838e+01,  1.2706582885818444e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371718409979439e+02,  2.6271343275511883e-02,  2.9681369010935072e+01,  3.0691764243943798e-01,  1.2491275944318718e-02,  5.1668747062348885e-01,  2.5350372655550821e+01, -2.0127020703099424e-01, -1.5000002588389312e+04,  1.0016889040492648e+01,  2.6528367049574673e+00,  2.0227776615599224e-02,  1.7553541042540535e-01, -2.5911393018347620e-02, -3.7434427504240786e-01,  2.7433066213374402e-01,  2.7247214294097573e+00, -3.0859925144082427e+00, -2.9358879362272510e+00,  0.0000000000000000e+00, -8.5880751550686313e+01, -1.7506819400190514e+02, -2.8143506184004025e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3371802043700905e+02,  2.5708989373840339e-02,  2.9642613211421814e+01,  2.4470182312476585e-01,  2.1741295011777878e-02,  5.2004998267131963e-01,  3.1687966866967379e+01, -2.5004417865142620e-01, -1.5000004011162406e+04,  1.0019889313388193e+01,  2.6520970493510143e+00,  2.5360065528767146e-02,  1.9846994235786586e-01, -6.5476418172336265e-02, -4.0507819002935397e-01,  2.7433066213374402e-01,  1.9353757076195284e+00, -3.8118342944432411e+00, -2.8823349480714655e+00,  0.0000000000000000e+00, -7.2146261951717690e+01,  2.9754669638898822e+01,  3.8864814412792462e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3371853727031646e+02,  2.4299701750082562e-02,  2.9606221038389027e+01,  1.7792534650571401e-01,  3.5291188415267696e-02,  5.2424147201891691e-01,  3.8025556342422789e+01, -2.9820594463041994e-01, -1.5000005724846791e+04,  1.0022245837719012e+01,  2.6514596710885039e+00,  3.0549367340405555e-02,  2.1420425573248883e-01, -1.0207191838184893e-01, -4.3193338489398558e-01,  2.7433066213374402e-01,  9.8145533142917618e-01, -2.9109685582314602e+00, -2.1590638379519560e+00,  0.0000000000000000e+00, -1.1882859736159068e+02,  1.5059865075069942e+02,  1.0593406183313316e+02,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3371882996168029e+02,  2.1973457738405602e-02,  2.9572305236879938e+01,  1.0953020098985328e-01,  5.1567568115571907e-02,  5.2905519215877783e-01,  4.4363139010087338e+01, -3.4575804057631659e-01, -1.5000007719643532e+04,  1.0023926676430404e+01,  2.6509577090111072e+00,  3.5809395312157072e-02,  2.1807943948931793e-01, -1.2363762812701080e-01, -4.4821632864977268e-01,  2.7433066213374402e-01, -1.8552699587723623e-01, -1.6366210055837149e+00, -1.1320475335086861e+00,  0.0000000000000000e+00, -1.1480126456515303e+02,  1.0452572928937913e+02,  9.9674602316409448e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3371902141151497e+02,  1.8718671866856391e-02,  2.9540820691722072e+01,  4.3091578626694958e-02,  6.9247599919179587e-02,  5.3419891664278862e-01,  5.0700713859676128e+01, -3.9270208540959711e-01, -1.5000009989126782e+04,  1.0024934078112114e+01,  2.6506096205477947e+00,  4.1148431929700337e-02,  2.1049742264802856e-01, -1.3477163877313195e-01, -4.5455171723182147e-01,  2.7433066213374402e-01, -1.3417807698661530e+00, -1.1889290095414258e+00, -1.1522401852351609e+00,  0.0000000000000000e+00, -1.1668074098742804e+02, -1.4897791681712734e+01, -1.0371717119204970e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3371921078502169e+02,  1.4581753777514443e-02,  2.9511837784741125e+01, -1.7891958908373515e-02,  8.8056920991695931e-02,  5.3931967155128224e-01,  5.7038280989894872e+01, -4.3903892638871794e-01, -1.5000012529046393e+04,  1.0025305092109779e+01,  2.6504250266326563e+00,  4.6569913101331538e-02,  1.9127063289858562e-01, -1.4739245349247385e-01, -4.7123811057255310e-01,  2.7433066213374402e-01, -2.4211838150154041e+00, -2.6867964878582129e-01, -2.3178327390503366e+00,  0.0000000000000000e+00, -9.9415748651452347e+01,  1.9913171370498455e+02, -1.2963445808174873e+02,  0.0000000000000000e+00
