#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277234e+02,  2.2655162823548201e-02,  2.9850264791017317e+01,  2.8980334086029819e-01,  5.7726539281664289e-02,  5.2223191103867084e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975633e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121464e-02, -2.6190755327598259e-01,  2.7433066213374302e-01,  2.5991824812265247e+00, -1.4964868057797368e-01, -1.7866396764321091e+00,  0.0000000000000000e+00, -1.2154191317957353e-02,  1.9380174402277010e+01, -7.1566935089208683e-01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371077994362020e+02,  2.2108134207367510e-02,  2.9846808619222202e+01,  2.7873773038240107e-01,  5.8026046004331464e-02,  5.2233439546014870e-01,  6.3375878771385876e+00, -5.1277417731544768e-02, -1.4999999999776424e+04,  1.0003089715780595e+01,  2.6559692148310718e+00,  5.2441387280367660e-03,  3.1242190397572679e-02,  4.1408520829155693e-02, -2.7975610149208757e-01,  2.7433066213374302e-01,  2.5991217709801813e+00, -5.2844612634532051e-02, -1.7902144484145872e+00,  0.0000000000000000e+00, -1.2154191317957353e-02,  1.9380174402277010e+01, -7.1566935089208683e-01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371072399082266e+02,  2.1421809341311337e-02,  2.9843228770988492e+01,  2.6013657042231497e-01,  5.8228574071099680e-02,  5.2283834617380409e-01,  1.2675179724133484e+01, -1.0199033453883929e-01, -1.4999999998768295e+04,  1.0006032259413972e+01,  2.6556350590264319e+00,  1.0491659001547358e-02,  5.7206836358949679e-02,  4.1847676226847097e-02, -2.9767607372382648e-01,  2.7433066213374302e-01,  2.4869951695191208e+00,  8.7767571196377431e-02, -1.8756121858186363e+00,  0.0000000000000000e+00, -2.2435591421186455e+01,  8.7703848006710654e+00, -1.6380957677398516e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371043621681622e+02,  2.0480987009548871e-02,  2.9839497712905906e+01,  2.3435580534837169e-01,  5.7983107481723410e-02,  5.2391352903335531e-01,  1.9012774001331678e+01, -1.5213918926539519e-01, -1.4999999996677861e+04,  1.0008753563807643e+01,  2.6552991461541531e+00,  1.5746796276023836e-02,  8.0932403574777878e-02,  4.3162118655257140e-02, -3.1723087043951287e-01,  2.7433066213374302e-01,  2.1280520703507504e+00, -3.2117387379424817e-01, -1.9172280164413082e+00,  0.0000000000000000e+00, -4.9424817032321201e+01, -9.0640462087794305e+01,  8.0494683867395693e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370988134917343e+02,  1.9163545834687802e-02,  2.9835660189080595e+01,  2.0268489246116644e-01,  5.7609729606667874e-02,  5.2567809999297010e-01,  2.5350368405585023e+01, -2.0172462700882915e-01, -1.4999999993191577e+04,  1.0011187544130793e+01,  2.6549557199332932e+00,  2.1014977100607995e-02,  9.9725359243080555e-02,  3.5430615811377603e-02, -3.3598232779857790e-01,  2.7433066213374302e-01,  1.7000379267594468e+00, -1.6883392934153956e+00, -2.0294395734496993e+00,  0.0000000000000000e+00, -3.6263614514657704e+01, -1.8306605492035936e+02, -3.0514222099819502e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370905203856512e+02,  1.7351259791700803e-02,  2.9832031847406167e+01,  1.6651734627541226e-01,  5.8763065387119222e-02,  5.2820485629586855e-01,  3.1687960244420676e+01, -2.5074767460779174e-01, -1.4999999986731520e+04,  1.0013282766975973e+01,  2.6546083996334016e+00,  2.6304328509362037e-02,  1.1489919531822337e-01,  9.4290658397647130e-03, -3.5777911366528109e-01,  2.7433066213374302e-01,  1.3196122379600694e+00, -2.6742494105294603e+00, -2.0858375401474314e+00,  0.0000000000000000e+00, -3.9897608382977758e+01, -1.4313150525876020e+01,  1.9223349166933655e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370798083999375e+02,  1.4922239821684715e-02,  2.9829097670663817e+01,  1.2698880510423127e-01,  6.2916671528105456e-02,  5.3156462584099617e-01,  3.8025546883690815e+01, -2.9920986573258357e-01, -1.4999999973548100e+04,  1.0015000181021284e+01,  2.6542786913311223e+00,  3.1626897333701026e-02,  1.2609123812340162e-01, -1.8000940842557652e-02, -3.7765740352579930e-01,  2.7433066213374302e-01,  7.5489679001481236e-01, -1.9924145622232836e+00, -1.7065678210260802e+00,  0.0000000000000000e+00, -7.3158424295662599e+01,  1.5081648715677233e+02,  5.6706448601160716e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370675743047138e+02,  1.1771646817046719e-02,  2.9827025973829059e+01,  8.5941240083192261e-02,  6.8953869050694311e-02,  5.3569285979020365e-01,  4.4363126268472698e+01, -3.4711284843302381e-01, -1.4999999949926625e+04,  1.0016314662442353e+01,  2.6539897356898940e+00,  3.6995233388835924e-02,  1.2998204826557228e-01, -3.0379416921939264e-02, -3.9187637282664134e-01,  2.7433066213374302e-01,  9.4306668904933499e-02, -9.0737880103119883e-01, -1.1278377233992640e+00,  0.0000000000000000e+00, -5.9091717950535134e+01,  6.6407672233883034e+01,  5.9155316943727861e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370550071321088e+02,  7.8519667204571125e-03,  2.9825818618582169e+01,  4.5416784112556410e-02,  7.5744302203170286e-02,  5.4034848416167003e-01,  5.0700697350016696e+01, -3.9445777100321172e-01, -1.4999999914179529e+04,  1.0017221988928725e+01,  2.6537512930688147e+00,  4.2417803390478979e-02,  1.2797548725237132e-01, -3.6130387416607582e-02, -4.0019162377353684e-01,  2.7433066213374302e-01, -5.4832257867002843e-01, -9.3555841147876251e-01, -1.3724365902920217e+00,  0.0000000000000000e+00, -6.9562657413972246e+01, -7.2049230245485234e+01, -1.0812401009565789e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370431113569259e+02,  3.1735390156915296e-03,  2.9825552267320635e+01,  7.3926146129597147e-03,  8.3340649213115750e-02,  5.4517786973129378e-01,  5.7038260183098224e+01, -4.4124524526802350e-01, -1.4999999865662345e+04,  1.0017737053334091e+01,  2.6535677985400303e+00,  4.7899071588198665e-02,  1.1902655218824904e-01, -4.9071892675760682e-02, -4.1929768332198641e-01,  2.7433066213374302e-01, -1.1593507117474977e+00, -9.1682000462868574e-01, -2.6108374724691212e+00,  0.0000000000000000e+00, -5.2765174828137248e+01,  7.5800659296870379e+01, -1.3980384651619772e+02,  0.0000000000000000e+00
 9.9900099900099903e-02,  6.3370325278535495e+02, -2.1993167057163363e-03,  2.9826423810130358e+01, -2.6205434152927868e-02,  9.2249425081588857e-02,  5.4983000397401383e-01,  6.3375815786565006e+01, -4.8747547898243210e-01, -1.4999999803193241e+04,  1.0017895011338073e+01,  2.6534507618774010e+00,  5.3440716535747917e-02,  1.0481163686780592e-01, -5.4448469427170736e-02, -4.5235620863805476e-01,  2.7433066213374302e-01, -1.6158038983761924e+00,  3.7345211746893275e-01, -3.8522818277751565e+00,  0.0000000000000000e+00, -3.8616753134927421e+01,  1.8251181954707283e+02, -1.0873331341607049e+02,  0.0000000000000000e+00
 1.0989010989010989e-01,  6.3370235510191037e+02, -8.1683661405529424e-03,  2.9828231504315255e+01, -5.4140406350263598e-02,  1.0046029781733581e-01,  5.5403078396493444e-01,  6.9713365784413824e+01, -5.3314807549030008e-01, -1.4999999726684162e+04,  1.0017746645946991e+01,  2.6534048904373271e+00,  5.9040025618041496e-02,  8.6742758014898530e-02, -4.1610311907150636e-02, -4.9626635120960194e-01,  2.7433066213374302e-01, -1.9889705519450900e+00,  1.4405796523550816e+00, -4.7713589894625485e+00,  0.0000000000000000e+00, -3.6091210909565596e+01,  3.1127112937133994e+01, -7.5265934353744797e+01,  0.0000000000000000e+00
 1.1988011988011987e-01,  6.3370161119213594e+02, -1.4621535688071736e-02,  2.9830714251846370e+01, -7.5310412512918090e-02,  1.0706037844818955e-01,  5.5763352184195047e-01,  7.6050911929753255e+01, -5.7826191728051324e-01, -1.4999999638216128e+04,  1.0017353886278318e+01,  2.6534182623854088e+00,  6.4688881428293432e-02,  6.5071965500271681e-02, -2.5665659190305983e-02, -5.4768805657936437e-01,  2.7433066213374302e-01, -2.1090611010443574e+00,  2.1061936679856097e+00, -5.2891073170503260e+00,  0.0000000000000000e+00,  1.2049082979892152e+01,  1.0212881299209772e+02, -2.8387280829328269e+01,  0.0000000000000000e+00
 1.2987012987012986e-01,  6.3370098274857185e+02, -2.1476036535905751e-02,  2.9833550404530541e+01, -8.9392847992169969e-02,  1.1119719436165211e-01,  5.6074147958968190e-01,  8.2388455756693645e+01, -6.2281577600044213e-01, -1.4999999540573877e+04,  1.0016787039948721e+01,  2.6534732413131579e+00,  7.0378188533564617e-02,  4.4603675076949352e-02,  4.7147966099338700e-04, -6.0194282108073727e-01,  2.7433066213374302e-01, -1.8886935840973835e+00,  2.7590549156173099e+00, -5.0977248647431308e+00,  0.0000000000000000e+00,  3.2068493912891356e+01,  2.8574008783769475e+01,  6.6702047781227179e+01,  0.0000000000000000e+00
 1.3986013986013987e-01,  6.3370043035296044e+02, -2.8679061553579101e-02,  2.9836288603160060e+01, -9.7293384995471244e-02,  1.1192732493410644e-01,  5.6354417817950930e-01,  8.8725998316235078e+01, -6.6680843975437398e-01, -1.4999999437723318e+04,  1.0016112541288059e+01,  2.6535418903673564e+00,  7.6098629895343453e-02,  2.7335829953870381e-02,  2.9460313149700258e-02, -6.4954070122957686e-01,  2.7433066213374302e-01, -1.5614623861051606e+00,  2.3033562444698998e+00, -4.7197728058727222e+00,  0.0000000000000000e+00,  3.3443191925151531e+01, -1.1980488274748090e+02,  8.9639544046285646e+00,  0.0000000000000000e+00
 1.4985014985014986e-01,  6.3369992878344783e+02, -3.6197933698335252e-02,  2.9838660322464758e+01, -1.0016897855424949e-01,  1.1000185187549016e-01,  5.6624185984250019e-01,  9.5063540240079476e+01, -7.1023896699839284e-01, -1.4999999333780528e+04,  1.0015386302941687e+01,  2.6535941373411593e+00,  8.1842915392609114e-02,  1.3405625404518541e-02,  4.6492583446605812e-02, -6.9624397604322930e-01,  2.7433066213374302e-01, -1.3031900269689911e+00,  1.5497444706016419e+00, -4.5398890839686299e+00,  0.0000000000000000e+00,  1.8262934373910003e+01, -3.1068194380944735e+01,  2.7048766720571894e+01,  0.0000000000000000e+00
 1.5984015984015984e-01,  6.3369946282240494e+02, -4.4020326915779583e-02,  2.9840538347885573e+01, -9.8908460935396833e-02,  1.0633229610455786e-01,  5.6902103292250250e-01,  1.0140108196532059e+02, -7.5310682532680540e-01, -1.4999999231422691e+04,  1.0014653563884366e+01,  2.6536107322238172e+00,  8.7607729252254726e-02,  1.2980671772671751e-03,  6.0424238636246533e-02, -7.4024777583434465e-01,  2.7433066213374302e-01, -1.1362610791679402e+00,  1.0141371724216701e+00, -4.5611328087951071e+00,  0.0000000000000000e+00,  1.5156240975860412e+01, -7.6160386714685657e+01, -3.1301760430832626e+01,  0.0000000000000000e+00
 1.6983016983016982e-01,  6.3369900358171424e+02, -5.2158348357518307e-02,  2.9841817446268315e+01, -9.4115608438138654e-02,  1.0147169498624026e-01,  5.7204528448880765e-01,  1.0773862367303866e+02, -7.9541178309745997e-01, -1.4999999132574019e+04,  1.0013952569498219e+01,  2.6535775487821858e+00,  9.3392560203628266e-02, -9.2968936597759583e-03,  6.6755064414071738e-02, -7.8737550069448015e-01,  2.7433066213374302e-01, -9.6127548906340265e-01,  1.4360618521383431e-01, -5.1850137851281897e+00,  0.0000000000000000e+00,  1.9875874163068058e+01, -9.8119916924323149e+01, -9.3599211031050444e+01,  0.0000000000000000e+00
