#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277166e+02,  2.2655162823548222e-02,  2.9850264791017317e+01,  1.5709150258676316e-01,  7.0578845969068701e-02,  5.1688125351777170e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975624e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121464e-02, -2.6190755327598247e-01,  2.7433066213374269e-01,  2.0926360448378176e+00,  3.5572640039201403e-01, -1.4863020085771812e+00,  0.0000000000000000e+00,  1.2033873817256773e+00,  1.9708602683933602e+01, -2.9105645881768063e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371071264794466e+02,  2.2010017671591896e-02,  2.9848164886176171e+01,  1.5265418789811219e-01,  7.0456633910767050e-02,  5.1701116006106551e-01,  6.3375878663483318e+00, -5.1277425864775600e-02, -1.4999999999973877e+04,  1.0001792340735667e+01,  2.6561034346406114e+00,  5.2134863059745771e-03,  2.6181786437645536e-02,  4.6457222936747977e-02, -2.7675572518984043e-01,  2.7433066213374269e-01,  2.0986469708204636e+00,  4.5417096924283118e-01, -1.5008402932334091e+00,  0.0000000000000000e+00,  1.2033873817256773e+00,  1.9708602683933602e+01, -2.9105645881768063e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371059091443465e+02,  2.1253163760955669e-02,  2.9845790391502423e+01,  1.4445024520494018e-01,  6.9644796482615387e-02,  5.1750197287970390e-01,  1.2675179648695629e+01, -1.0199035516733275e-01, -1.5000000000126513e+04,  1.0003522843374247e+01,  2.6558966320842528e+00,  1.0428875930104851e-02,  4.7207339852262012e-02,  5.1977857682938271e-02, -2.9189437232160503e-01,  2.7433066213374269e-01,  2.0227962292464410e+00,  5.8153188212115292e-01, -1.5498579094293052e+00,  0.0000000000000000e+00, -1.6388705844845067e+01,  5.7890520743063894e+00, -6.9027621742415466e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371024234570359e+02,  2.0294179349346742e-02,  2.9843052234252344e+01,  1.3238826718442992e-01,  6.7810213253151563e-02,  5.1852023778256051e-01,  1.9012773760530276e+01, -1.5213920894579350e-01, -1.5000000000997356e+04,  1.0005152926876480e+01,  2.6556754796404074e+00,  1.5649034922040610e-02,  6.6597295513498495e-02,  5.8076241560547234e-02, -3.0772191718642994e-01,  2.7433066213374269e-01,  1.8126289527792723e+00,  1.3719413528616523e-01, -1.6463275550260004e+00,  0.0000000000000000e+00, -2.5686782903882047e+01, -9.4745468990670901e+01, -1.2410460874216867e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370963467209356e+02,  1.9032427379132997e-02,  2.9839940179726913e+01,  1.1668271011505577e-01,  6.5311189070772963e-02,  5.2019371034218043e-01,  2.5350367855345063e+01, -2.0172460872028283e-01, -1.5000000003050540e+04,  1.0006645082085814e+01,  2.6554288183305168e+00,  2.0878150105090258e-02,  8.3423702545154563e-02,  5.4718999247097416e-02, -3.2478802976468196e-01,  2.7433066213374269e-01,  1.6328812861921285e+00, -1.3843295330797378e+00, -1.9182504623786161e+00,  0.0000000000000000e+00, -1.0298699946864073e+01, -2.0986356941618291e+02, -4.2028505177776850e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370876204790795e+02,  1.7362107514181567e-02,  2.9836742445600265e+01,  9.7054027831392622e-02,  6.3986185464517176e-02,  5.2260203392071025e-01,  3.1687959195111937e+01, -2.5074756696453981e-01, -1.5000000005358073e+04,  1.0007962130796077e+01,  2.6551556717018343e+00,  2.6123425011381818e-02,  9.9222296236617949e-02,  3.0417309830682339e-02, -3.4604859975143726e-01,  2.7433066213374269e-01,  1.4105208723532703e+00, -2.7596676640843576e+00, -2.0684125599373093e+00,  0.0000000000000000e+00, -3.4217854903675423e+01, -6.5479124410941807e+01,  1.1966053246526579e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370765676415749e+02,  1.5166662056056379e-02,  2.9833982632968251e+01,  7.3135853027629150e-02,  6.5752538501803084e-02,  5.2582882914935236e-01,  3.8025545104689797e+01, -2.9920965632813362e-01, -1.5000000004410384e+04,  1.0009062557502915e+01,  2.6548760205415936e+00,  3.1396621418149646e-02,  1.1160593775700811e-01, -4.1921581952310434e-04, -3.6611495403915367e-01,  2.7433066213374269e-01,  8.7021952831912264e-01, -2.4046472544822066e+00, -1.7087699357048365e+00,  0.0000000000000000e+00, -7.3950474171960849e+01,  1.3655421041329211e+02,  6.0034400124814361e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370640609896873e+02,  1.2350358866591367e-02,  2.9831933563673449e+01,  4.5936946484728271e-02,  6.9998055408305559e-02,  5.2978342193344796e-01,  4.4363123505921493e+01, -3.4711258535751183e-01, -1.4999999996034920e+04,  1.0009907597034932e+01,  2.6546168365268383e+00,  3.6710878538909301e-02,  1.1660929979943759e-01, -1.7627590358772354e-02, -3.8018985720807735e-01,  2.7433066213374269e-01,  1.2125063533726130e-01, -1.2327558765076481e+00, -1.4450301793272868e+00,  0.0000000000000000e+00, -7.5993098203007762e+01,  9.8058443457214551e+01, -7.2337008980289506e+00,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370512779480794e+02,  8.8723095740495909e-03,  2.9830630010713143e+01,  1.7457358397593686e-02,  7.5387027675057339e-02,  5.3418280736024226e-01,  5.0700693341534553e+01, -3.9445747893025240e-01, -1.4999999977858162e+04,  1.0010474139976040e+01,  2.6543933611588111e+00,  4.2075097956999347e-02,  1.1402852787363671e-01, -2.5049702862632958e-02, -3.9498668589384472e-01,  2.7433066213374269e-01, -5.4345146319788351e-01, -1.1259538373102516e+00, -1.7853297571020101e+00,  0.0000000000000000e+00, -5.7080261923728202e+01, -7.6676675209895734e+01, -6.0894274572470486e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370392162797975e+02,  4.7411632633899978e-03,  2.9830147788020529e+01, -1.0328530460194964e-02,  8.1764484737974694e-02,  5.3870788792557822e-01,  5.7038254651796379e+01, -4.4124481935250259e-01, -1.4999999948890940e+04,  1.0010759957191484e+01,  2.6542126236540375e+00,  4.7493518664212503e-02,  1.0575112870657279e-01, -4.0124170524811334e-02, -4.1586078142589972e-01,  2.7433066213374269e-01, -1.0985481219604158e+00, -1.2270152703423829e+00, -2.7947594992121330e+00,  0.0000000000000000e+00, -5.4050089160530909e+01,  5.6444176316862794e+01, -1.4119355979797641e+02,  0.0000000000000000e+00
