#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277222e+02,  2.2655162823548205e-02,  2.9850264791017317e+01,  2.3452577657258336e-01,  8.3727135970736236e-02,  5.1689594408265926e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975633e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121464e-02, -2.6190755327598259e-01,  2.7433066213374296e-01,  2.1791942406186249e+00,  2.3352954384626473e-01, -1.6729806338001150e+00,  0.0000000000000000e+00,  6.4047664300235407e-01,  2.0173569818990231e+01,  3.4219852024023352e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371064613033548e+02,  2.2406045848461155e-02,  2.9849593818981695e+01,  2.2532433716507647e-01,  8.3435462584779477e-02,  5.1700591819036446e-01,  6.3375878647894659e+00, -5.1277401465907813e-02, -1.5000000000010794e+04,  1.0002545444285108e+01,  2.6562318656184658e+00,  5.2362806552188265e-03,  2.7046503678213041e-02,  4.5236475119108124e-02, -2.7862064652073898e-01,  2.7433066213374296e-01,  2.1823934246496055e+00,  3.3429662585920294e-01, -1.6558878006212823e+00,  0.0000000000000000e+00,  6.4047664300235407e-01,  2.0173569818990231e+01,  3.4219852024023352e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371046161790071e+02,  2.2019346992276208e-02,  2.9848622152090702e+01,  2.0977196191311104e-01,  8.2430416579392665e-02,  5.1748503198031115e-01,  1.2675179645799140e+01, -1.0199024377685792e-01, -1.5000000000232598e+04,  1.0004968221883320e+01,  2.6561515542221201e+00,  1.0474130354152414e-02,  4.8880595673024094e-02,  4.9582765907041602e-02, -2.9499222461706714e-01,  2.7433066213374296e-01,  2.0859711943233430e+00,  6.1974343336707416e-01, -1.7387183335812404e+00,  0.0000000000000000e+00, -1.9944207154320171e+01,  3.6972881044085582e+01, -2.0004657900985929e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371005421998007e+02,  2.1388923792518826e-02,  2.9847220956366566e+01,  1.8814892256766000e-01,  8.0025299425281790e-02,  5.1851236685002822e-01,  1.9012773756303613e+01, -1.5213892360324685e-01, -1.5000000001196357e+04,  1.0007205701558158e+01,  2.6560535175295557e+00,  1.5716295553437482e-02,  6.8724249818539571e-02,  5.7618961300268445e-02, -3.1336027356531920e-01,  2.7433066213374296e-01,  1.7512792925980409e+00,  2.4813949064603999e-01, -1.7219625411196107e+00,  0.0000000000000000e+00, -4.7061111571085263e+01, -1.1136799037683659e+02,  2.3359167551804141e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370939626854420e+02,  2.0402313736419948e-02,  2.9845297347278105e+01,  1.6164555280019766e-01,  7.6237455228244322e-02,  5.2021568627406167e-01,  2.5350367841259967e+01, -2.0172398615878825e-01, -1.5000000003669831e+04,  1.0009202271332910e+01,  2.6559204535480871e+00,  2.0966017707220602e-02,  8.3871190929728209e-02,  5.4540597887981462e-02, -3.2939707059348294e-01,  2.7433066213374296e-01,  1.3453070033663490e+00, -1.4172940536856700e+00, -1.7779008695611203e+00,  0.0000000000000000e+00, -3.4214540733099419e+01, -2.2205180519837174e+02, -3.4558020905794393e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370848835339791e+02,  1.8950092026104745e-02,  2.9843101683006260e+01,  1.3156806448859062e-01,  7.3143942727004946e-02,  5.2266949542662644e-01,  3.1687959195154949e+01, -2.5074637429368751e-01, -1.5000000006876740e+04,  1.0010916048395780e+01,  2.6557454959557081e+00,  2.6229386068527781e-02,  9.5603510625060034e-02,  2.9301397790065246e-02, -3.4888276846164529e-01,  2.7433066213374296e-01,  9.8153404390039500e-01, -2.4702885083971426e+00, -1.7810493896884956e+00,  0.0000000000000000e+00, -3.8612805751984645e+01,  1.1242315365135051e+01,  3.3927687176293972e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370736294478422e+02,  1.6931892380979585e-02,  2.9841086735441618e+01,  9.8979574563636416e-02,  7.2564766129976227e-02,  5.2588125619300286e-01,  3.8025545192455084e+01, -2.9920757997909636e-01, -1.5000000007356912e+04,  1.0012316763679332e+01,  2.6555444183186911e+00,  3.1517082925792063e-02,  1.0348226073792791e-01,  5.1841841337928020e-03, -3.6498247298486147e-01,  2.7433066213374296e-01,  4.3186668007113910e-01, -1.9696940014493272e+00, -1.3075922386204608e+00,  0.0000000000000000e+00, -7.1430600486632315e+01,  8.8976704925817501e+01,  6.0858434467526472e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370611071132271e+02,  1.4280646233846514e-02,  2.9839330994169831e+01,  6.5684959687640029e-02,  7.3085718360338933e-02,  5.2970695446348692e-01,  4.4363123777395579e+01, -3.4710901538135913e-01, -1.5000000001742610e+04,  1.0013387496515058e+01,  2.6553334322491779e+00,  3.6839303499827586e-02,  1.0423221552158629e-01, -1.0053127713417822e-02, -3.7500848751500115e-01,  2.7433066213374296e-01, -1.4747570592792053e-01, -1.8139226301397315e+00, -1.0642872528024889e+00,  0.0000000000000000e+00, -4.4553745190379388e+01, -5.7791276389636437e+01, -1.2148776306768502e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370484543702196e+02,  1.0954868019870828e-02,  2.9838012848658899e+01,  3.3473749244833526e-02,  7.5308092665378287e-02,  5.3402261223927894e-01,  5.0700693894772961e+01, -3.9445170163838728e-01, -1.4999999987802928e+04,  1.0014131204164004e+01,  2.6551218186740897e+00,  4.2203482353416588e-02,  1.0053569318692050e-01, -3.1058026258609431e-02, -3.8624695356033578e-01,  2.7433066213374296e-01, -6.2252792563233472e-01, -1.9380017446726678e+00, -1.2569796210993933e+00,  0.0000000000000000e+00, -5.0551709194444300e+01,  3.2950637660142931e+01, -2.6428235826271617e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370364145772294e+02,  6.9268902759588059e-03,  2.9837391518797890e+01,  3.7732242990041625e-03,  7.9837842444591772e-02,  5.3872576144053264e-01,  5.7038255582071343e+01, -4.4123659323416570e-01, -1.4999999962987553e+04,  1.0014565913075783e+01,  2.6549288946614658e+00,  4.7617864372886565e-02,  9.1794095129331857e-02, -4.8774441293291282e-02, -4.0012296545904497e-01,  2.7433066213374296e-01, -1.0422961453512418e+00, -1.2774275422235479e+00, -1.9480561971737669e+00,  0.0000000000000000e+00, -3.3485888393281044e+01,  9.9296317670170623e+01, -1.1192529470381811e+02,  0.0000000000000000e+00
 9.9900099900099903e-02,  6.3370253654031012e+02,  2.2281082966209608e-03,  2.9837634681560839e+01, -2.2048912077761919e-02,  8.5967960960127335e-02,  5.4349759817289189e-01,  6.3375809559020617e+01, -4.8746426131610104e-01, -1.4999999925242644e+04,  1.0014724298409940e+01,  2.6547741123451400e+00,  5.3088337739676639e-02,  7.9710595377704876e-02, -5.6581054075263738e-02, -4.2516915530206939e-01,  2.7433066213374296e-01, -1.3297389435522657e+00,  8.6245284753615037e-02, -3.1672367099531638e+00,  0.0000000000000000e+00, -2.4060159806563934e+01,  1.7371098229065740e+02, -1.3215464395461711e+02,  0.0000000000000000e+00
 1.0989010989010989e-01,  6.3370155745286741e+02, -3.0861946362013542e-03,  2.9838599330833841e+01, -4.3268113944389945e-02,  9.1893316255484636e-02,  5.4812404380971158e-01,  6.9713356991874477e+01, -5.3313464531312915e-01, -1.4999999873997309e+04,  1.0014649133305173e+01,  2.6546645433889160e+00,  5.8615656044890808e-02,  6.5225884468946921e-02, -4.7051258780731540e-02, -4.6340441820536193e-01,  2.7433066213374296e-01, -1.5765260755785950e+00,  1.2958248874846294e+00, -3.9985295294485441e+00,  0.0000000000000000e+00, -2.5346624025107001e+01,  6.8446854176091662e+01, -3.4270178508357532e+01,  0.0000000000000000e+00
 1.1988011988011987e-01,  6.3370071208767581e+02, -8.9767482553190815e-03,  2.9840037992885517e+01, -5.9109332997939898e-02,  9.6443096531718772e-02,  5.5263486593630951e-01,  7.6050899259606396e+01, -5.7824714139536504e-01, -1.4999999810841629e+04,  1.0014390230830550e+01,  2.6545917208868728e+00,  6.4196547191144648e-02,  4.8211572888622073e-02, -3.0690446932713712e-02, -5.0505985519115115e-01,  2.7433066213374296e-01, -1.6196095342229295e+00,  2.0856632059464242e+00, -4.7426302955515700e+00,  0.0000000000000000e+00,  1.6721315604511233e+01,  8.9678777179959752e+01, -1.1469879486546833e+02,  0.0000000000000000e+00
 1.2987012987012986e-01,  6.3369998627791085e+02, -1.5390498101727905e-02,  2.9841615628308837e+01, -6.9450222763207836e-02,  9.8607348969101782e-02,  5.5695497851304610e-01,  8.2388437718091851e+01, -6.2280093459513586e-01, -1.4999999738475974e+04,  1.0014003058809813e+01,  2.6545383789196508e+00,  6.9826083569787201e-02,  3.2866053615341950e-02, -5.3796662543294776e-03, -5.5816226626833032e-01,  2.7433066213374296e-01, -1.3719871424930867e+00,  2.6562749573729367e+00, -5.1820482552316793e+00,  0.0000000000000000e+00,  3.2852687219802874e+01,  2.4557695455628686e+01,  2.6727319337508838e+01,  0.0000000000000000e+00
 1.3986013986013987e-01,  6.3369934851163111e+02, -2.2289625364024158e-02,  2.9842925390764975e+01, -7.5231580681087790e-02,  9.7645340021724994e-02,  5.6115422495897749e-01,  8.8725973407448393e+01, -6.6679497762336948e-01, -1.4999999660654141e+04,  1.0013538011122737e+01,  2.6544780528269927e+00,  7.5497258146188156e-02,  2.0799242369279658e-02,  2.2381979788024330e-02, -6.0859728286810788e-01,  2.7433066213374296e-01, -1.0758938659100121e+00,  2.2879786557044861e+00, -4.6713386370184091e+00,  0.0000000000000000e+00,  2.6425186752128592e+01, -9.8290615049652473e+01,  7.5516746228787923e+01,  0.0000000000000000e+00
 1.4985014985014986e-01,  6.3369877992818590e+02, -2.9662783170430040e-02,  2.9843714796745306e+01, -7.7478257533028644e-02,  9.4312861641116172e-02,  5.6534097274439021e-01,  9.5063507007311358e+01, -7.1022842183088064e-01, -1.4999999581241453e+04,  1.0013035285307053e+01,  2.6543834810812506e+00,  8.1204566304802189e-02,  1.1369672678078953e-02,  4.0334193000505447e-02, -6.5149570556939751e-01,  2.7433066213374296e-01, -8.9224368558100564e-01,  1.3192420723028597e+00, -4.3422284572741514e+00,  0.0000000000000000e+00,  1.0341579349738714e+01, -9.5650448947353567e+01, -9.6288882439865127e+00,  0.0000000000000000e+00
 1.5984015984015984e-01,  6.3369827433653893e+02, -3.7501273468211964e-02,  2.9843941807425665e+01, -7.6801148132259717e-02,  9.0020049187777063e-02,  5.6957279745770273e-01,  1.0140103909270033e+02, -7.5310074289610929e-01, -1.4999999502722458e+04,  1.0012526622198715e+01,  2.6542394224327426e+00,  8.6945153456203211e-02,  2.9721957043245080e-03,  4.8740462751118416e-02, -6.9535509420225672e-01,  2.7433066213374296e-01, -7.8811494415892158e-01,  3.9344863059777785e-01, -4.7702085352295125e+00,  0.0000000000000000e+00,  1.0504994682962570e+01, -8.9693398082003910e+01, -7.6052723362676758e+01,  0.0000000000000000e+00
 1.6983016983016982e-01,  6.3369780825373402e+02, -4.5826575145392748e-02,  2.9843662310766735e+01, -7.3592644045973946e-02,  8.5793841453572550e-02,  5.7403270579631915e-01,  1.0773857013071623e+02, -7.9541181310319020e-01, -1.4999999426191935e+04,  1.0012039351773653e+01,  2.6540426581061274e+00,  9.2719452339462327e-02, -4.3768796527686206e-03,  4.8195304500960545e-02, -7.4680456741214496e-01,  2.7433066213374296e-01, -6.6174847502637146e-01, -3.7506865213099838e-01, -5.4971745609950080e+00,  0.0000000000000000e+00,  1.4793572437373951e+01, -6.4163761920297176e+01, -6.9485874995575500e+01,  0.0000000000000000e+00
 1.7982017982017981e-01,  6.3369736378878065e+02, -5.4661132922094624e-02,  2.9843113438458381e+01, -6.8296496759361891e-02,  8.3077731220579237e-02,  5.7875973968929950e-01,  1.1407610041239653e+02, -8.3716193308925368e-01, -1.4999999351391652e+04,  1.0011596838670105e+01,  2.6538019614005330e+00,  9.8531562807417011e-02, -1.0249552048450140e-02,  4.1246583587661909e-02, -8.0518875176459448e-01,  2.7433066213374296e-01, -4.7191053381408299e-01, -5.3836394013453903e-01, -6.2843725729737114e+00,  0.0000000000000000e+00,  2.3211983393326033e+01,  3.1472045261988079e+01, -8.8111167002562595e+01,  0.0000000000000000e+00
 1.8981018981018982e-01,  6.3369693581765330e+02, -6.3998194643395276e-02,  2.9842431757679140e+01, -6.1561003650983652e-02,  8.1638457955061666e-02,  5.8361171662635525e-01,  1.2041363024062544e+02, -8.7835146511460205e-01, -1.4999999277241359e+04,  1.0011217138639061e+01,  2.6535328465053198e+00,  1.0438616315957056e-01, -1.3805661547155901e-02,  3.7438782220550165e-02, -8.7236645698204940e-01,  2.7433066213374296e-01, -2.6968700949093205e-01, -7.2881548355906756e-01, -7.1913950176377011e+00,  0.0000000000000000e+00,  1.7273166176168743e+01, -6.9600444255578680e+01, -9.3474726419167879e+01,  0.0000000000000000e+00
 1.9980019980019981e-01,  6.3369650188483183e+02, -7.3847565520039155e-02,  2.9841799838441968e+01, -5.4046655021065315e-02,  8.1815384950235853e-02,  5.8861441967289152e-01,  1.2675115980831497e+02, -9.1898069329962406e-01, -1.4999999202802474e+04,  1.0010911305137197e+01,  2.6532489537784354e+00,  1.1028726475442698e-01, -1.5637903886430805e-02,  2.6684835664403803e-02, -9.4887296790121201e-01,  2.7433066213374296e-01, -9.5652669385603878e-02, -1.3844709047514492e+00, -7.9275212968927944e+00,  0.0000000000000000e+00,  1.7568508712918003e+01, -6.1661771067135838e+01, -5.3897754687699560e+01,  0.0000000000000000e+00
 2.0979020979020979e-01,  6.3369605297650412e+02, -8.4224391533738258e-02,  2.9841515107599459e+01, -4.6271217755322162e-02,  8.4241934187654507e-02,  5.9375955666368596e-01,  1.3308868919463708e+02, -9.5905010040774408e-01, -1.4999999126334669e+04,  1.0010684731100802e+01,  2.6529700266158915e+00,  1.1624052462363034e-01, -1.5716803792622511e-02,  9.7770258818598871e-03, -1.0307584908860012e+00,  2.7433066213374296e-01,  1.0483291470532276e-01, -1.3575022399678198e+00, -8.4852625391904741e+00,  0.0000000000000000e+00,  2.2568705222085544e+01,  6.7060897756818406e+01, -5.7762042020296079e+01,  0.0000000000000000e+00
 2.1978021978021978e-01,  6.3369558435166050e+02, -9.5115824700092236e-02,  2.9841835669100941e+01, -3.8863031633392525e-02,  8.8775503543681647e-02,  5.9889652134169802e-01,  1.3942621857342161e+02, -9.9856009357948794e-01, -1.4999999045480177e+04,  1.0010537255059731e+01,  2.6527193967249900e+00,  1.2225073298310569e-01, -1.3543340156054727e-02, -4.3808621307509909e-04, -1.1184086829699527e+00,  2.7433066213374296e-01,  2.5423165958619010e-01, -1.1258697677403009e+00, -8.9448788462875974e+00,  0.0000000000000000e+00,  7.3409235030641256e+00, -2.0688076816869128e+01, -3.4253142660548036e+01,  0.0000000000000000e+00
