#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277222e+02,  2.2655162823548205e-02,  2.9850264791017317e+01,  2.5379426342142936e-01,  5.2965808033055985e-02,  5.2312029499645385e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975633e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121464e-02, -2.6190755327598259e-01,  2.7433066213374296e-01,  2.6046026288527209e+00, -3.6100150908629426e-02, -1.7901422685680379e+00,  0.0000000000000000e+00, -1.3575574227944141e-02,  1.5464861215929705e+01, -4.0319486652691017e-01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371080514111588e+02,  2.1815840238783458e-02,  2.9846279361661509e+01,  2.4354399994277859e-01,  5.3237668081519036e-02,  5.2322919266388201e-01,  6.3375878764952089e+00, -5.1277444780842507e-02, -1.4999999999784590e+04,  1.0002734101347954e+01,  2.6559207894298758e+00,  5.2446337975905043e-03,  3.1296337726505710e-02,  4.2542871774903387e-02, -2.7979109242251643e-01,  2.7433066213374296e-01,  2.6045348187916426e+00,  4.1146908111998476e-02, -1.7921562289403001e+00,  0.0000000000000000e+00, -1.3575574227944141e-02,  1.5464861215929705e+01, -4.0319486652691017e-01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371077567590737e+02,  2.0827501638595342e-02,  2.9842150152365896e+01,  2.2572580214661603e-01,  5.3297796091084287e-02,  5.2371675331512291e-01,  1.2675179716837684e+01, -1.0199052238438024e-01, -1.4999999998887377e+04,  1.0005328988128936e+01,  2.6555373291385544e+00,  1.0492364896502642e-02,  5.7314989162375478e-02,  4.3725628689315239e-02, -2.9771487053752704e-01,  2.7433066213374296e-01,  2.4921426949577925e+00,  1.2736260828595397e-01, -1.8756027112039311e+00,  0.0000000000000000e+00, -2.2487327617308868e+01,  1.7955219588961837e+00, -1.6302790882651944e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371051638851236e+02,  1.9577331274647485e-02,  2.9837849398447013e+01,  2.0069703124282123e-01,  5.2866873492558052e-02,  5.2476731208339666e-01,  1.9012773978851957e+01, -1.5213980051165912e-01, -1.4999999997090383e+04,  1.0007710263771854e+01,  2.6551504436973268e+00,  1.5747162247228406e-02,  8.1089398564823237e-02,  4.5087579233164206e-02, -3.1726567206695061e-01,  2.7433066213374296e-01,  2.1324691043054242e+00, -2.7340399514055241e-01, -1.9616442880559715e+00,  0.0000000000000000e+00, -4.9519325231295220e+01, -8.2028995964882768e+01, -9.2273280312661254e-01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370999204433610e+02,  1.7946590427297758e-02,  2.9833419334580370e+01,  1.6975015378998226e-01,  5.2265078661299633e-02,  5.2649615514434267e-01,  2.5350368363950608e+01, -2.0172604726589161e-01, -1.4999999994085503e+04,  1.0009811544849475e+01,  2.6547541603069504e+00,  2.1014358138369122e-02,  9.9921764473173164e-02,  3.8263011403789716e-02, -3.3690856260657742e-01,  2.7433066213374296e-01,  1.7036011895825673e+00, -1.5760528993161942e+00, -2.1109661371090804e+00,  0.0000000000000000e+00, -3.6340031296220637e+01, -1.7876131465108062e+02, -2.8971501377305863e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370919517005473e+02,  1.5819870107152981e-02,  2.9829151260012054e+01,  1.3428150881822359e-01,  5.3037703289925950e-02,  5.2896670698204429e-01,  3.1687960176578205e+01, -2.5075037346309459e-01, -1.4999999988387666e+04,  1.0011581117312319e+01,  2.6543511428671311e+00,  2.6301725252811204e-02,  1.1512738437066874e-01,  1.3598010815258224e-02, -3.5944281766353564e-01,  2.7433066213374296e-01,  1.3224661631235950e+00, -2.5964409535284885e+00, -2.2180004283367074e+00,  0.0000000000000000e+00, -3.9963201000865737e+01, -2.5520373802220366e+01,  7.5432362735351095e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370815977176198e+02,  1.3082998573148364e-02,  2.9825521165958303e+01,  9.5429451204652113e-02,  5.6711174509679697e-02,  5.3222951192327816e-01,  3.8025546778758986e+01, -2.9921436711526844e-01, -1.4999999976381490e+04,  1.0012979667851630e+01,  2.6539615706459703e+00,  3.1620771720295732e-02,  1.2634466483528295e-01, -1.3613930724651597e-02, -3.8122425548043770e-01,  2.7433066213374296e-01,  7.5576681749963714e-01, -1.9770460236773251e+00, -1.8158952864925137e+00,  0.0000000000000000e+00, -7.3490007993050526e+01,  1.4952323875842299e+02,  7.2958213123672294e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370697491242925e+02,  9.6485005802744665e-03,  2.9822707322696864e+01,  5.5040558306760967e-02,  6.2275685898770472e-02,  5.3618345665171729e-01,  4.4363126124758814e+01, -3.4711966478155726e-01, -1.4999999954337156e+04,  1.0013981835302653e+01,  2.6536083916516895e+00,  3.6983319547775000e-02,  1.3022762048454761e-01, -2.5903408239233795e-02, -3.9572444176928018e-01,  2.7433066213374296e-01,  9.7175076303886401e-02, -9.8596156249646438e-01, -1.3395099177167715e+00,  0.0000000000000000e+00, -5.8360058594338753e+01,  4.8891870369985298e+01,  2.2414137705231290e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370575825222295e+02,  5.4774032657693662e-03,  2.9820721348706236e+01,  1.5163862869569311e-02,  6.8663132874419136e-02,  5.4058716827167463e-01,  5.0700697165106007e+01, -3.9446737391497805e-01, -1.4999999920479835e+04,  1.0014583236215824e+01,  2.6533016576535289e+00,  4.2397126713816582e-02,  1.2828622480139457e-01, -3.3313462442862679e-02, -4.0798769039985372e-01,  2.7433066213374296e-01, -5.1832569202865031e-01, -1.0970812172575604e+00, -1.4760011893356162e+00,  0.0000000000000000e+00, -6.4863195225835085e+01, -7.1138025253156627e+01, -4.9739690283323867e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370461053063798e+02,  5.9359622208461529e-04,  2.9819672483908533e+01, -2.2316759864384420e-02,  7.6045483691924876e-02,  5.4508843025173304e-01,  5.7038259965490532e+01, -4.4125806716797028e-01, -1.4999999873889736e+04,  1.0014798279000809e+01,  2.6530475759196341e+00,  4.7866125293730862e-02,  1.1987146280165750e-01, -4.7823112879744480e-02, -4.2521497502273903e-01,  2.7433066213374296e-01, -1.1067213110822836e+00, -1.1858919299833690e+00, -2.5710890543709075e+00,  0.0000000000000000e+00, -5.2933607708702411e+01,  5.3358120565449468e+01, -1.6949690029674167e+02,  0.0000000000000000e+00
