#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277120e+02,  2.2655162823548236e-02,  2.9850264791017320e+01,  7.9000984555625187e-01,  8.8648634038056590e-02,  5.0275138655398344e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975619e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121464e-02, -2.6190755327598242e-01,  2.7433066213374246e-01,  3.2309474745213307e+00,  6.2837512973718118e-02, -2.6498085246419061e+00,  0.0000000000000000e+00, -1.0600423277488668e+01, -3.2261401092908599e+00,  7.0879845803499741e-01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371067128545849e+02,  2.6860065842941361e-02,  2.9850055820372418e+01,  7.6641614304320016e-01,  8.8674198571086896e-02,  5.0275552051770889e-01,  6.3375879075055419e+00, -5.1277276573968696e-02, -1.4999999999991980e+04,  1.0008018650842100e+01,  2.6563056718683842e+00,  5.1052883137658496e-03,  3.7553528991926384e-02,  4.3531260025476290e-02, -2.8837916690876869e-01,  2.7433066213374246e-01,  3.1779983073011073e+00,  4.6722927013224308e-02, -2.6462680728035695e+00,  0.0000000000000000e+00, -1.0600423277488668e+01, -3.2261401092908599e+00,  7.0879845803499741e-01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371066684185405e+02,  3.0894980650086681e-02,  2.9849446589542296e+01,  7.3382842186118158e-01,  8.8570563752192633e-02,  5.0305475493809415e-01,  1.2675180330456698e+01, -1.0198955866462223e-01, -1.5000000000041886e+04,  1.0015756336718740e+01,  2.6563041642331462e+00,  1.0211909471514886e-02,  6.8772801120606547e-02,  4.3837037658370701e-02, -3.1478004224308670e-01,  2.7433066213374246e-01,  3.1103270395518972e+00, -1.3564617882212205e-02, -2.6370444923819152e+00,  0.0000000000000000e+00, -2.9473645259033514e+00, -8.8434263787755327e+00,  1.1377623423802090e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371065609042796e+02,  3.4676156364316736e-02,  2.9848470595255137e+01,  6.9256957055904933e-01,  8.8350454088054420e-02,  5.0365744901373166e-01,  1.9012777151539531e+01, -1.5213685380827502e-01, -1.5000000000277078e+04,  1.0023125148026860e+01,  2.6562989275781317e+00,  1.5322312779169199e-02,  9.9697925386569672e-02,  4.3260238689168354e-02, -3.4106736855476100e-01,  2.7433066213374246e-01,  3.0902508419460193e+00, -1.1464136634958147e-01, -2.6057250328407973e+00,  0.0000000000000000e+00, -1.0718902347933066e+00, -1.1392138664391796e+01,  5.1323934577515065e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371063693662859e+02,  3.8126976025757722e-02,  2.9847184684205629e+01,  6.4285981338914444e-01,  8.8078918821556662e-02,  5.0453208899035495e-01,  2.5350378222140847e+01, -2.0171918948309925e-01, -1.5000000000778480e+04,  1.0030039729551252e+01,  2.6562875934033872e+00,  2.0438831782562832e-02,  1.3051607468596158e-01,  4.1546500868169273e-02, -3.6684248046168405e-01,  2.7433066213374246e-01,  2.9484520668756145e+00, -2.2133371127696405e-01, -2.5460777924584694e+00,  0.0000000000000000e+00, -2.7316224534301629e+01, -9.9676687900702028e+00,  6.8089840667904733e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3371060763131720e+02,  4.1181265822666513e-02,  2.9845664204525320e+01,  5.8515812470572537e-01,  8.7829648032856172e-02,  5.0561946380547740e-01,  3.1687983369457839e+01, -2.5073659932688536e-01, -1.5000000001538247e+04,  1.0036417406107308e+01,  2.6562681617054968e+00,  2.5563561091921042e-02,  1.5860805659287566e-01,  3.8837986715602638e-02, -3.9193805371876639e-01,  2.7433066213374246e-01,  2.4969425884916605e+00, -3.0065247803621747e-01, -2.4664740489167651e+00,  0.0000000000000000e+00, -6.3075973038166104e+01, -5.9119483151323067e+00,  9.1276853902588915e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3371056690363741e+02,  4.3789410034375309e-02,  2.9843993298680545e+01,  5.2109881448791950e-01,  8.7645652730561852e-02,  5.0684496224929254e-01,  3.8025592401976212e+01, -2.9918909006366834e-01, -1.5000000002468545e+04,  1.0042185563411184e+01,  2.6562390190278249e+00,  3.0698145364185792e-02,  1.8040503749298775e-01,  3.5539458349963131e-02, -4.1612268123924179e-01,  2.7433066213374246e-01,  1.9392845353612878e+00, -3.3850959649023910e-01, -2.3654308166916689e+00,  0.0000000000000000e+00, -4.8567169198534387e+01, -1.6670467993628519e+00,  1.1101169701205217e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3371051436826167e+02,  4.5914215817071481e-02,  2.9842254785562588e+01,  4.5248436746263121e-01,  8.7523429143013906e-02,  5.0817207208023596e-01,  4.4363205115447670e+01, -3.4707662121621013e-01, -1.5000000003446785e+04,  1.0047290228972800e+01,  2.6561986663244403e+00,  3.5843688755730879e-02,  1.9735500035633796e-01,  3.2074558214299158e-02, -4.3919940869762092e-01,  2.7433066213374246e-01,  1.4849991754707685e+00, -3.4328877141490638e-01, -2.2135168548098969e+00,  0.0000000000000000e+00, -4.2380759851547552e+01,  7.1025597944446694e-01,  1.9312005467525552e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3371045092539225e+02,  4.7522244739913594e-02,  2.9840523151104403e+01,  3.8077130219272420e-01,  8.7425520617847308e-02,  5.0961016484587973e-01,  5.0700821301263062e+01, -3.9439914292496270e-01, -1.5000000004369982e+04,  1.0051693408557167e+01,  2.6561453818442562e+00,  4.1001042682579106e-02,  2.1007535068920691e-01,  2.8680541838176789e-02, -4.6034879222445452e-01,  2.7433066213374246e-01,  9.1307558310305714e-01, -3.3635251209919570e-01, -2.0691428052695766e+00,  0.0000000000000000e+00, -7.2118343340468456e+01,  6.7838313556085383e-01,  9.5916792504468376e+00,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3371037885631290e+02,  4.8587278934434715e-02,  2.9838862364615959e+01,  3.0766790251044768e-01,  8.7312119431992810e-02,  5.1116378344338820e-01,  5.7038440758388141e+01, -4.4115661622023578e-01, -1.5000000005174470e+04,  1.0055371919295423e+01,  2.6560771565023611e+00,  4.6170966967695327e-02,  2.1559826875000543e-01,  2.5354228302227319e-02, -4.8054092328842163e-01,  2.7433066213374246e-01,  1.8088022789812822e-01, -3.3577587664359859e-01, -1.5651770002664074e+00,  0.0000000000000000e+00, -7.4467166771558269e+01, -5.6294071735035744e-01,  9.1302274911187325e+01,  0.0000000000000000e+00
