#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277325e+02,  2.2655162823548170e-02,  2.9850264791017317e+01,  3.6178401458121090e-01,  8.8648634038056326e-02,  5.0275138655398410e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975642e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598275e-01,  2.7433066213374357e-01,  1.9553822648969832e+00,  3.4056897523830260e-03,  9.8348658158994851e-04,  0.0000000000000000e+00, -2.3933063800118120e+01,  5.6834914109199697e-01, -3.2154656480084678e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371067194765442e+02,  2.4641533033297070e-02,  2.9850004680660650e+01,  3.4979098459139357e-01,  8.8681950870322657e-02,  5.0276871010501645e-01,  6.3375879093239096e+00, -5.1277360427756137e-02, -1.4999999999985863e+04,  1.0003795630916274e+01,  2.6563058024565231e+00,  5.1054606633748030e-03,  2.4810619804869968e-02,  4.2937535517770652e-02, -2.6189772823520763e-01,  2.7433066213374357e-01,  1.8358364916696202e+00,  6.2445965510443497e-03, -1.5077780391479320e-02,  0.0000000000000000e+00, -2.3933063800118120e+01,  5.6834914109199697e-01, -3.2154656480084678e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371067177849432e+02,  2.6533322622489697e-02,  2.9849255277534425e+01,  3.3248233332238386e-01,  8.8706627427450890e-02,  5.0293694037563352e-01,  1.2675180364529583e+01, -1.0198994237227947e-01, -1.4999999999917769e+04,  1.0007444279855816e+01,  2.6563055605955532e+00,  1.0211943933440087e-02,  4.1956381227869537e-02,  4.3028279806978501e-02, -2.6220880762945886e-01,  2.7433066213374357e-01,  1.5173385706834288e+00,  1.1796472841954861e-02, -6.7507061271586719e-02,  0.0000000000000000e+00, -3.9830219981317427e+01,  5.4313649234828687e-01, -7.2808763841890345e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371067178529165e+02,  2.8291181647456427e-02,  2.9848069639447782e+01,  3.1083338961505586e-01,  8.8731552909352071e-02,  5.0323430120699930e-01,  1.9012777316534468e+01, -1.5213779033360952e-01, -1.4999999999747575e+04,  1.0010897441914359e+01,  2.6563042001900716e+00,  1.5320708238821970e-02,  5.5127074763579829e-02,  4.3173229280846673e-02, -2.6324652066820636e-01,  2.7433066213374357e-01,  9.6967660955681390e-01,  1.7421138711684537e-02, -1.5162898121433369e-01,  0.0000000000000000e+00, -6.9811704636230829e+01,  5.8292161477159521e-01, -9.5603319883489135e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371067211329171e+02,  2.9889603503918370e-02,  2.9846511841877177e+01,  2.8664356556498877e-01,  8.8757011387009005e-02,  5.0361693627522741e-01,  2.5350378714820948e+01, -2.0172090084163527e-01, -1.4999999999407823e+04,  1.0014119993063877e+01,  2.6563005282600387e+00,  2.0432522887651367e-02,  6.1330539260972712e-02,  4.3376354506512657e-02, -2.6523835770367132e-01,  2.7433066213374357e-01,  2.4365132260175859e-01,  2.2661688235440271e-02, -2.4804994912381001e-01,  0.0000000000000000e+00, -7.5538557812171277e+01,  4.6623639988430321e-01, -9.7431457871282507e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3371067281879641e+02,  3.1321132500767346e-02,  2.9844650877729837e+01,  2.6210828653457352e-01,  8.8772099807052085e-02,  5.0403059776483949e-01,  3.1687984504544691e+01, -2.5073919304659437e-01, -1.4999999998805670e+04,  1.0017097413630493e+01,  2.6562930960175235e+00,  2.5547501852307020e-02,  5.9995233057321261e-02,  4.3626010264571753e-02, -2.6820256360774303e-01,  2.7433066213374357e-01, -5.4206509514112666e-01,  2.5049086725979056e-02, -3.3645339681617187e-01,  0.0000000000000000e+00, -8.1761869019954474e+01,  1.1720777921559674e-02, -7.9552244408825699e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3371067405610279e+02,  3.2598653807443312e-02,  2.9842553456798687e+01,  2.3972537302175612e-01,  8.8756835042527710e-02,  5.0441154203319061e-01,  3.8025594625337895e+01, -2.9919250264092634e-01, -1.4999999997809311e+04,  1.0019838525840644e+01,  2.6562803420905858e+00,  3.0665098437023659e-02,  5.0500067829581573e-02,  4.3876835759778972e-02, -2.7196070329440403e-01,  2.7433066213374357e-01, -1.2591368997423475e+00,  2.0867044834450958e-02, -3.9832514459878660e-01,  0.0000000000000000e+00, -6.1795906261210085e+01, -8.4896556460548278e-01, -4.4314994651969215e+00,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3371067632315146e+02,  3.3753649337784672e-02,  2.9840277034263259e+01,  2.2163980882878209e-01,  8.8688245824359177e-02,  5.0470215979702127e-01,  4.4363209013769868e+01, -3.4708058543746140e-01, -1.4999999996223629e+04,  1.0022376016447819e+01,  2.6562608101859415e+00,  3.5784166768868211e-02,  3.4837652642888739e-02,  4.4042934237288056e-02, -2.7616110795537113e-01,  2.7433066213374357e-01, -1.6712893125769317e+00,  6.5373788123343482e-03, -4.1998543679311157e-01,  0.0000000000000000e+00, -2.0717006788273739e+01, -2.0198335730222619e+00,  9.5108967893060573e-02,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3371068059207425e+02,  3.4829735952751226e-02,  2.9837864455287519e+01,  2.0915554385153223e-01,  8.8548699983964974e-02,  5.0486249860594878e-01,  5.0700827609474892e+01, -3.9440314822848360e-01, -1.4999999993762251e+04,  1.0024760256156698e+01,  2.6562333956513187e+00,  4.0903189305260441e-02,  1.7107673971900609e-02,  4.4007452719066371e-02, -2.8035202071284782e-01,  2.7433066213374357e-01, -1.5419521414851003e+00, -1.9782710308941305e-02, -3.9751361874482655e-01,  0.0000000000000000e+00,  4.6610308440858660e+01, -3.2494482690571238e+00,  4.4037490053736565e+00,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3371068816725756e+02,  3.5867540702739169e-02,  2.9835341680369609e+01,  2.0169517796956760e-01,  8.8333390392399708e-02,  5.0489976944309356e-01,  5.7038450362494281e+01, -4.4115990723845155e-01, -1.4999999990026170e+04,  1.0027046101020249e+01,  2.6561975506700728e+00,  4.6020665674203029e-02,  4.0294180477818530e-03,  4.3647675290056462e-02, -2.8410343800022281e-01,  2.7433066213374357e-01, -1.1555808631230693e+00, -5.6991511611531556e-02, -3.3964510762467898e-01,  0.0000000000000000e+00,  3.0741221487219825e+01, -4.1997537517214507e+00,  7.1815269208798354e+00,  0.0000000000000000e+00
