#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277166e+02,  2.2655162823548222e-02,  2.9850264791017317e+01,  3.3797314843811926e-01, -1.0405837482808220e+00,  5.5301773582141434e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975624e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121464e-02, -2.6190755327598247e-01,  2.7433066213374269e-01, -3.0779490713778981e+00, -2.4966754130394149e+00, -1.1693619187692696e+00,  0.0000000000000000e+00,  9.3239203811664009e+00,  9.5994620555301200e+00, -1.4464564697382995e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371475873297061e+02,  1.8896867116688438e-02,  2.9727237074637593e+01,  3.3436543251927042e-01, -1.0297645043847876e+00,  5.5379473428648840e-01,  6.3375881415010227e+00, -5.1278442688074723e-02, -1.4999999993114845e+04,  1.0003546705438191e+01,  2.6451593802382876e+00,  3.6482735399311008e-03, -2.5472410527546428e-02,  1.7961700325045390e-02, -2.7358949052642473e-01,  2.7433066213374269e-01, -3.0313760425009426e+00, -2.4487260521226810e+00, -1.2416124916832705e+00,  0.0000000000000000e+00,  9.3239203811664009e+00,  9.5994620555301200e+00, -1.4464564697382995e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371531357011133e+02,  1.4994104568622458e-02,  2.9606118526045755e+01,  3.3964433012884337e-01, -1.0165366960666260e+00,  5.5429073216122871e-01,  1.2675180787203129e+01, -1.0199555626996440e-01, -1.4999999962805328e+04,  1.0007155663712791e+01,  2.6341300679101254e+00,  7.3157089711848285e-03, -5.5290622451861990e-02, -6.0220828038851492e-03, -2.8671499566725661e-01,  2.7433066213374269e-01, -2.7861198954852009e+00, -2.3326519776692476e+00, -1.3445579213088301e+00,  0.0000000000000000e+00,  3.9776360251385277e+01,  1.3638567650047378e+01, -6.1451103136539791e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371245945585429e+02,  1.1041845089535696e-02,  2.9487263482694125e+01,  3.5298342682368122e-01, -1.0011214167906670e+00,  5.5451702152872506e-01,  1.9012775890428273e+01, -1.5215343481604243e-01, -1.4999999894411696e+04,  1.0010909743321312e+01,  2.6232398757152988e+00,  1.1004722209883046e-02, -8.1139141706071907e-02, -2.8644732795219282e-02, -3.0045378465846928e-01,  2.7433066213374269e-01, -2.1030941816429611e+00, -2.2429049564477994e+00, -1.4295924079158668e+00,  0.0000000000000000e+00,  9.6965387659831038e+01,  4.3287859984864152e+00, -1.0878793905074845e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370636957163924e+02,  7.1262819512444685e-03,  2.9371014242377075e+01,  3.7204026807048884e-01, -9.8372304955413126e-01,  5.5453167112063106e-01,  2.5350369824170876e+01, -2.0175431851333900e-01, -1.4999999773118878e+04,  1.0014875972313263e+01,  2.6125078610099215e+00,  1.4717953174927648e-02, -9.7310486220952119e-02, -5.0835368646998023e-02, -3.1527828054070051e-01,  2.7433066213374269e-01, -1.1626543705564876e+00, -2.2860394561667867e+00, -1.5063690801235576e+00,  0.0000000000000000e+00,  9.1310662519680875e+01, -1.2964312842227811e+01, -4.4918958709048926e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3369726497185241e+02,  3.3143167256346803e-03,  2.9257733959002632e+01,  3.9371073468652040e-01, -9.6433146840218109e-01,  5.5441745616467852e-01,  3.1687957495138075e+01, -2.5080065364037601e-01, -1.4999999583902065e+04,  1.0019092053958321e+01,  2.6019513401461909e+00,  1.8458827743490426e-02, -1.0436899925964808e-01, -7.4319846804545703e-02, -3.3055106897662229e-01,  2.7433066213374269e-01, -5.6751842327074087e-01, -2.4858543005183567e+00, -1.5191238692857563e+00,  0.0000000000000000e+00,  2.7835554126925626e+01, -2.7038618996956277e+01,  1.9383870806328434e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3368540953999127e+02, -3.3807857515699902e-04,  2.9147814699566354e+01,  4.1615166726763492e-01, -9.4279071019746230e-01,  5.5422327566251706e-01,  3.8025532501656691e+01, -2.9929508808497862e-01, -1.4999999311378502e+04,  1.0023568857928050e+01,  2.5915879998669888e+00,  2.2231765492718093e-02, -1.0864951565693096e-01, -1.0050278723877337e-01, -3.4563040580115517e-01,  2.7433066213374269e-01, -5.6390921039979569e-01, -2.8546294764725899e+00, -1.4580590710981407e+00,  0.0000000000000000e+00, -2.7112989710162424e+01, -4.6790171229081359e+01,  1.0286785516527678e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3367110351253166e+02, -3.7786329587147301e-03,  2.9041710759259388e+01,  4.3934446414112011e-01, -9.1866323139286077e-01,  5.5396336553430969e-01,  4.4363087308642548e+01, -3.4724040627233860e-01, -1.4999998939655778e+04,  1.0028307710661943e+01,  2.5814380879872023e+00,  2.6042068693830463e-02, -1.1563591655035330e-01, -1.3135540078002203e-01, -3.5968311834921252e-01,  2.7433066213374269e-01, -9.2232874820349409e-01, -3.2784501031961093e+00, -1.3449725922131763e+00,  0.0000000000000000e+00, -4.4642601758137978e+01, -3.8058718240967224e+01,  1.2353127556242212e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3365467589169623e+02, -6.9556955759068556e-03,  2.8939923577050024e+01,  4.6464545792738232e-01, -8.9148618798819357e-01,  5.5362347111182442e-01,  5.0700613442782064e+01, -3.9463946529909932e-01, -1.4999998452195996e+04,  1.0033316911373682e+01,  2.5715265699212342e+00,  2.9895809810142105e-02, -1.2707766247418359e-01, -1.6600628580413021e-01, -3.7250298506615370e-01,  2.7433066213374269e-01, -1.0049023911401489e+00, -3.6692078004966815e+00, -1.2018784215307001e+00,  0.0000000000000000e+00,  2.8111358442219878e+01, -4.0170972758606887e+01,  1.6294325414389682e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3363647649395364e+02, -9.8289986682691521e-03,  2.8842982223736243e+01,  4.9194807791937090e-01, -8.6084395611126208e-01,  5.5323029384983224e-01,  5.7038101666035466e+01, -4.4149514240797821e-01, -1.4999997831995384e+04,  1.0038613842488516e+01,  2.5618827612996933e+00,  3.3799599635959153e-02, -1.3571388640330331e-01, -2.0466624594479085e-01, -3.8369667322495077e-01,  2.7433066213374269e-01, -1.4411493166335874e+00, -4.2238807280962147e+00, -1.0492932815162881e+00,  0.0000000000000000e+00, -1.1544799292600635e+02, -7.0874547346820137e+01,  1.4253219616495457e+01,  0.0000000000000000e+00
