#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277018e+02,  2.2655162823548274e-02,  2.9850264791017320e+01,  4.6646516812220862e-01, -1.1414330076552119e+00,  5.3059718768897723e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975606e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121457e-02, -2.6190755327598220e-01,  2.7433066213374263e-01, -1.5876673009990703e+00, -2.7981853617553631e+00, -5.6265669857710765e-01,  0.0000000000000000e+00,  1.9335315312765147e+01,  8.7964878873231740e+00, -1.7485805484585249e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371528818021295e+02,  2.2067227779887028e-02,  2.9712948868635092e+01,  4.6486937536671930e-01, -1.1311329679909314e+00,  5.3125128153527379e-01,  6.3375876150797694e+00, -5.1275648155911027e-02, -1.5000000008686962e+04,  1.0004825802465730e+01,  2.6442029549614445e+00,  3.2520982855918073e-03, -1.0584480753532164e-02,  1.4949612925285660e-02, -2.6752849931571354e-01,  2.7433066213374263e-01, -1.4910873044318116e+00, -2.7542468608196828e+00, -6.4999838431429668e-01,  0.0000000000000000e+00,  1.9335315312765147e+01,  8.7964878873231740e+00, -1.7485805484585249e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371628944902841e+02,  2.1349802693733384e-02,  2.9577770147628417e+01,  4.6792805269983773e-01, -1.1185748184476612e+00,  5.3175390212153528e-01,  1.2675178574505265e+01, -1.0198463249779821e-01, -1.5000000023192733e+04,  1.0009714064691210e+01,  2.6322098479504654e+00,  6.5235756472378694e-03, -2.4515622690240987e-02, -1.2126394665963118e-02, -2.7489453398156255e-01,  2.7433066213374263e-01, -1.2195638365179970e+00, -2.6490983908590033e+00, -7.6635365126053134e-01,  0.0000000000000000e+00,  3.5023682963580598e+01,  1.2254235798805013e+01, -5.8085189580509020e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371380707509286e+02,  2.0563433309278189e-02,  2.9445067358001694e+01,  4.7467758403451538e-01, -1.1039736505259405e+00,  5.3212640013892887e-01,  1.9012770659239081e+01, -1.5212942227610998e-01, -1.5000000025997568e+04,  1.0014704177004052e+01,  2.6203468661363578e+00,  9.8179177097468921e-03, -3.4951390574071560e-02, -3.7979425853115992e-02, -2.8284026057966022e-01,  2.7433066213374263e-01, -5.2335002822471077e-01, -2.5486869543510471e+00, -8.6142179434522637e-01,  0.0000000000000000e+00,  1.0435832145673527e+02,  7.8481337900876733e+00, -1.3224123287505083e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370802318732058e+02,  1.9756721306993075e-02,  2.9315164250560983e+01,  4.8256134076557683e-01, -1.0875557996914462e+00,  5.3244023947663177e-01,  2.5350360058153761e+01, -2.0171261740421387e-01, -1.4999999999409765e+04,  1.0019819019103158e+01,  2.6086314543034397e+00,  1.3138893538231826e-02, -3.4972166710714729e-02, -6.3049210936713312e-02, -2.9210575864380484e-01,  2.7433066213374263e-01,  4.4772971978867260e-01, -2.5615406455554055e+00, -9.5350720602260575e-01,  0.0000000000000000e+00,  9.0051844095544084e+01, -1.0421442769200288e+01, -5.2113761303062809e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3369916906488470e+02,  1.8951228626497760e-02,  2.9188394843609146e+01,  4.8818462574712523e-01, -1.0694012995497724e+00,  5.3278955263014460e-01,  3.1687941487604466e+01, -2.5073703288450327e-01, -1.4999999925572454e+04,  1.0025048585524992e+01,  2.5970787192264098e+00,  1.6491033271101189e-02, -2.6005741827045133e-02, -8.9159059130946280e-02, -3.0189135360708491e-01,  2.7433066213374263e-01,  8.7700894186542266e-01, -2.7131228634582341e+00, -9.8623892120035073e-01,  0.0000000000000000e+00, -4.1101438357787696e+00, -1.9925317254945785e+01, -1.3415132482782046e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3368752039897299e+02,  1.8155759498254254e-02,  2.9065112328983041e+01,  4.9031628921892201e-01, -1.0494589486109824e+00,  5.3322518259635399e-01,  3.8025508364914010e+01, -2.9920570575519106e-01, -1.4999999786310565e+04,  1.0030356933356744e+01,  2.5857032052897737e+00,  1.9879643036799868e-02, -1.7449510529587407e-02, -1.1725745995685784e-01, -3.1181083199446119e-01,  2.7433066213374263e-01,  6.0789819930460143e-01, -2.9756386427558694e+00, -9.6331417185055734e-01,  0.0000000000000000e+00, -4.9765826824897523e+01, -3.2630341760441055e+01,  5.9310480681067670e+00,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3367339105410940e+02,  1.7381638200098568e-02,  2.8945700160034683e+01,  4.9041817563771373e-01, -1.0275738242974495e+00,  5.3374709807572596e-01,  4.4363053003137090e+01, -3.4712180545686216e-01, -1.4999999563038336e+04,  1.0035710071004379e+01,  2.5745203274703470e+00,  2.3310369735999360e-02, -1.3859923659121027e-02, -1.4861237866652810e-01, -3.2113839000769545e-01,  2.7433066213374263e-01,  2.8184049809371120e-01, -3.3951996845898300e+00, -8.9299270885173898e-01,  0.0000000000000000e+00, -1.5510924957522665e+01, -5.1365778814717821e+01,  8.1473088242566600e+00,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3365712365070874e+02,  1.6637370624701091e-02,  2.8830586852624691e+01,  4.8950818012945507e-01, -1.0033733312542505e+00,  5.3435511023339166e-01,  5.0700566821727158e+01, -3.9448859366741473e-01, -1.4999999236602047e+04,  1.0041088790019110e+01,  2.5635478607055266e+00,  2.6788981720939433e-02, -1.1818331746496272e-02, -1.8509361749112019e-01, -3.2965284415933110e-01,  2.7433066213374263e-01,  2.3948445840112803e-01, -3.8594283874329487e+00, -7.9954825251611827e-01,  0.0000000000000000e+00,  7.0312458110674863e+00, -4.1572807494474056e+01,  1.0560271334134734e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3363907941193486e+02,  1.5924729428415944e-02,  2.8720243334046049e+01,  4.8831041900020034e-01, -9.7637582406849377e-01,  5.3503486843588055e-01,  5.7038040539019121e+01, -4.4130943837729719e-01, -1.4999998787184419e+04,  1.0046481448261073e+01,  2.5528084357896534e+00,  3.0321671415761243e-02, -9.0750193953622275e-03, -2.2572383495889467e-01, -3.3711338006795755e-01,  2.7433066213374263e-01, -2.8367606611100937e-01, -4.4639724603368212e+00, -7.0551339986881390e-01,  0.0000000000000000e+00, -1.1176798281839733e+02, -7.9456915900881725e+01,  8.2655061658555056e+00,  0.0000000000000000e+00
