#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277166e+02,  2.2655162823548222e-02,  2.9850264791017317e+01,  3.3460404134445942e-01, -1.1025239241406568e+00,  5.5520954960904023e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975624e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121464e-02, -2.6190755327598247e-01,  2.7433066213374269e-01, -3.0779486246221275e+00, -2.6236595507341645e+00, -1.2350416814330376e+00,  0.0000000000000000e+00,  6.8543970459503853e+00,  9.5995118962840014e+00, -1.5026957460706408e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371494729498852e+02,  1.8605261915101843e-02,  2.9720505901704666e+01,  3.3108565899807807e-01, -1.0911055205013132e+00,  5.5623635338714161e-01,  6.3375875456692770e+00, -5.1278502007109643e-02, -1.4999999992748746e+04,  1.0003509604347464e+01,  2.6445490509777518e+00,  3.5623487831209348e-03, -2.5472406064451818e-02,  1.6693127520902039e-02, -2.7424563201157726e-01,  2.7433066213374269e-01, -3.0437108771398576e+00, -2.5757099408626161e+00, -1.3101014090089937e+00,  0.0000000000000000e+00,  6.8543970459503853e+00,  9.5995118962840014e+00, -1.5026957460706408e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371565942409211e+02,  1.4350088881571956e-02,  2.9592802948753430e+01,  3.3646373533658541e-01, -1.0771464984176591e+00,  5.5696740433197067e-01,  1.2675178341901804e+01, -1.0199588172411106e-01, -1.4999999960855343e+04,  1.0007082572369226e+01,  2.6329159805157851e+00,  7.1441409725811131e-03, -5.5537072694397754e-02, -8.5592234380496863e-03, -2.8808340560383450e-01,  2.7433066213374269e-01, -2.8777496791502788e+00, -2.4596329325233617e+00, -1.4181123366096955e+00,  0.0000000000000000e+00,  2.6371034791563407e+01,  1.3639105173234791e+01, -6.5968302449540266e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371293040920500e+02,  9.9921886175527823e-03,  2.9467523839968067e+01,  3.5018287245973795e-01, -1.0608688292905093e+00,  5.5740334704278238e-01,  1.9012770239565729e+01, -1.5215436319450271e-01, -1.4999999888940036e+04,  1.0010802869929444e+01,  2.6214298923737256e+00,  1.0748022267244167e-02, -8.2969902151370470e-02, -3.2450387614429858e-02, -3.0257954483095179e-01,  2.7433066213374269e-01, -2.2670885157975262e+00, -2.3698715221555910e+00, -1.5071938085060450e+00,  0.0000000000000000e+00,  9.5883330111657628e+01,  4.3311291823928881e+00, -1.1237280428695188e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370693291358464e+02,  5.6276684773237037e-03,  2.9345024113403156e+01,  3.7011175157117049e-01, -1.0424777746713796e+00,  5.5759528230873523e-01,  2.5350359498482355e+01, -2.0175630471572700e-01, -1.4999999761478475e+04,  1.0014741785366128e+01,  2.6101111452263530e+00,  1.4376777153089089e-02, -1.0083354653650617e-01, -5.5909303800798754e-02, -3.1819716801154768e-01,  2.7433066213374269e-01, -1.3320786234907420e+00, -2.4129733327169149e+00, -1.5871612428870907e+00,  0.0000000000000000e+00,  9.1305650328160482e+01, -1.2960111656770064e+01, -4.7721999343902528e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3369788828601770e+02,  1.3325800260875599e-03,  2.9225679858227000e+01,  3.9313533023685671e-01, -1.0219642142743590e+00,  5.5762554903303485e-01,  3.1687940907285000e+01, -2.5080426940644640e-01, -1.4999999562750249e+04,  1.0018941887683292e+01,  2.5989783535756632e+00,  1.8033958029326110e-02, -1.0958485966367301e-01, -8.0661643013369227e-02, -3.3429105817534921e-01,  2.7433066213374269e-01, -7.3701819671772995e-01, -2.6127405395166940e+00, -1.6023932548655591e+00,  0.0000000000000000e+00,  2.7825447111796578e+01, -2.7033283144545546e+01,  1.7227511363010373e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3368606119231026e+02, -2.8282407623479683e-03,  2.9109895747873857e+01,  4.1740009712820442e-01, -9.9917325545640356e-01,  5.5754272594235454e-01,  3.8025507947913887e+01, -2.9930102310394946e-01, -1.4999999276692412e+04,  1.0023418807483431e+01,  2.5880504945726641e+00,  2.1724111702028547e-02, -1.1555918483256471e-01, -1.0811191198295048e-01, -3.5021301725961079e-01,  2.7433066213374269e-01, -7.3369378223128234e-01, -2.9814419889736734e+00, -1.5423013060335307e+00,  0.0000000000000000e+00, -2.7159899331609804e+01, -4.6780747036741921e+01,  1.0307657019870899e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3367175300446365e+02, -6.7939506092246802e-03,  2.8998138353513355e+01,  4.4287825106403017e-01, -9.7366850322415366e-01,  5.5736087954240932e-01,  4.4363052973878339e+01, -3.4724946846424171e-01, -1.4999998886748963e+04,  1.0028178535823349e+01,  2.5773490979167364e+00,  2.5452668295285925e-02, -1.2424407609187046e-01, -1.4023091352233374e-01, -3.6510626908511007e-01,  2.7433066213374269e-01, -1.0921872310055911e+00, -3.4052210718664617e+00, -1.4263197118422990e+00,  0.0000000000000000e+00, -4.4610489113006793e+01, -3.8059825358394214e+01,  1.2911858137213690e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3365529384624108e+02, -1.0504750275063835e-02,  2.8890921071614169e+01,  4.7091744374366390e-01, -9.4498817124890389e-01,  5.5706652259965317e-01,  5.0700567407613377e+01, -3.9465258071991516e-01, -1.4999998375736139e+04,  1.0033233954120579e+01,  2.5669004012734704e+00,  2.9225832216689510e-02, -1.3738110752997912e-01, -1.7614829703522744e-01, -3.7871091360011627e-01,  2.7433066213374269e-01, -1.1741079084112678e+00, -3.7958751168288876e+00, -1.2775679841989247e+00,  0.0000000000000000e+00,  2.8209969496390510e+01, -4.0149114443083008e+01,  1.6868237736990022e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3363703378438595e+02, -1.3912761400219291e-02,  2.8788784596479598e+01,  5.0140034738522288e-01, -9.1271764712399639e-01,  5.5668801686408531e-01,  5.7038041908724324e+01, -4.4151335557144006e-01, -1.4999997726022993e+04,  1.0038606933200469e+01,  2.5567349822425616e+00,  3.3050360238859031e-02, -1.4770277556062705e-01, -2.1607257419823556e-01, -3.9063210293523842e-01,  2.7433066213374269e-01, -1.6090664690237908e+00, -4.3504027524920916e+00, -1.1193650272522286e+00,  0.0000000000000000e+00, -1.1528867333101770e+02, -7.0867318216691061e+01,  1.4803994243738368e+01,  0.0000000000000000e+00
