#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277086e+02,  2.2655162823548250e-02,  2.9850264791017320e+01,  8.2455894874556601e-01, -1.1340788227167202e+00,  5.4996645250586929e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975615e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121457e-02, -2.6190755327598231e-01,  2.7433066213374246e-01, -2.0035367568068363e+00, -2.5642011140109893e+00, -1.3388462569993718e+00,  0.0000000000000000e+00,  7.5488101302040755e-02,  8.4283889884276562e+00, -1.0040570916093856e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371564575228660e+02,  2.1786041845862945e-02,  2.9708110835725027e+01,  8.0828899369534446e-01, -1.1223039374503618e+00,  5.5041645387229299e-01,  6.3375882140185968e+00, -5.1270570321034777e-02, -1.5000000037028884e+04,  1.0008337960431000e+01,  2.6442486885241530e+00,  3.4567654553447290e-03, -1.4739020771591765e-02,  1.7287117897756929e-02, -2.7528264075849351e-01,  2.7433066213374246e-01, -2.0031596933637688e+00, -2.5221012689139481e+00, -1.3889989588779623e+00,  0.0000000000000000e+00,  7.5488101302040755e-02,  8.4283889884276562e+00, -1.0040570916093856e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371703023626571e+02,  2.0761653610024362e-02,  2.9568430185374581e+01,  7.9807842787935779e-01, -1.1080874663257549e+00,  5.5066942033885313e-01,  1.2675181031428089e+01, -1.0196437788847582e-01, -1.5000000135410786e+04,  1.0016597356211381e+01,  2.6323165033588953e+00,  6.9349775897359044e-03, -3.4746839252318057e-02, -7.4881211014129687e-03, -2.8965978022659095e-01,  2.7433066213374246e-01, -1.9218287759134050e+00, -2.4234090302260825e+00, -1.4288992118017763e+00,  0.0000000000000000e+00,  1.6206961572260859e+01,  1.1329797196883035e+01,  2.0525402807463626e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371495451003432e+02,  1.9656604092518862e-02,  2.9431582102441784e+01,  7.9377413536993924e-01, -1.0916334928646569e+00,  5.5071119497092269e-01,  1.9012776334340433e+01, -1.5208396189950757e-01, -1.5000000275917333e+04,  1.0024835736660224e+01,  2.6205316041536966e+00,  1.0437571894913029e-02, -5.3137198112518935e-02, -3.1132642945921041e-02, -3.0383207555972780e-01,  2.7433066213374246e-01, -1.3562825375680767e+00, -2.3614217138619820e+00, -1.4465669748360526e+00,  0.0000000000000000e+00,  9.7015395344473845e+01,  1.0800635392098417e+00, -5.5896264402085301e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370959726916101e+02,  1.8539812971556661e-02,  2.9297917564942047e+01,  7.9338852366902535e-01, -1.0731146063124144e+00,  5.5058378238047623e-01,  2.5350370421036221e+01, -2.0163197256196383e-01, -1.5000000439153939e+04,  1.0033101126802817e+01,  2.6089137213106937e+00,  1.3967401110393452e-02, -6.1845391451480429e-02, -5.4669374125628396e-02, -3.1856221728625234e-01,  2.7433066213374246e-01, -4.1211176252014897e-01, -2.4464971165305123e+00, -1.4842018141869195e+00,  0.0000000000000000e+00,  9.2007593820121244e+01, -1.8112159153449625e+01, -1.9448683978350674e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370118444374145e+02,  1.7459209723636165e-02,  2.9167812520680329e+01,  7.9382540524466028e-01, -1.0524748887598951e+00,  5.5036345243843776e-01,  3.1687958119983751e+01, -2.5061125743775325e-01, -1.5000000605505758e+04,  1.0041413314571876e+01,  2.5974812742168076e+00,  1.7527947767555164e-02, -6.1371199361672762e-02, -8.0013704215261952e-02, -3.3348645746156436e-01,  2.7433066213374246e-01,  1.8365813101437820e-01, -2.7022232022974539e+00, -1.4759447550525691e+00,  0.0000000000000000e+00,  2.7265538865491155e+01, -3.3084203217091932e+01,  3.5979316365321270e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3368998392638741e+02,  1.6451531811717882e-02,  2.9041680261969482e+01,  7.9328195316330052e-01, -1.0294920540464310e+00,  5.5009037431284225e-01,  3.8025532948267397e+01, -2.9902486909785214e-01, -1.5000000754969198e+04,  1.0049765465242311e+01,  2.5862536741888742e+00,  2.1123592292718912e-02, -5.8175898324320026e-02, -1.0865984769800509e-01, -3.4805162298160836e-01,  2.7433066213374246e-01,  1.8530194228986027e-01, -3.1352327712652164e+00, -1.3952500741827680e+00,  0.0000000000000000e+00, -2.6936447848139547e+01, -5.3604312490254316e+01,  1.2557143473601936e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3367629900429586e+02,  1.5550206349997729e-02,  2.8920006925373414e+01,  7.9180550957674689e-01, -1.0036576492165332e+00,  5.4976669979748305e-01,  4.4363087287297134e+01, -3.4687600622047082e-01, -1.5000000866978920e+04,  1.0058141740132424e+01,  2.5752536310995464e+00,  2.4759513824517763e-02, -5.7668862852384845e-02, -1.4265571762715440e-01, -3.6136358182086042e-01,  2.7433066213374246e-01, -1.4530116538236157e-01, -3.6336333858020278e+00, -1.2607342007065248e+00,  0.0000000000000000e+00, -3.9250294307839248e+01, -4.6175490540015311e+01,  1.4372934396341947e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3366046053608045e+02,  1.4787019819790293e-02,  2.8803339868608603e+01,  7.9066725849328445e-01, -9.7442094156078529e-01,  5.4936975423152279e-01,  5.0700612579057562e+01, -3.9416796355576300e-01, -1.5000000920212517e+04,  1.0066533379388369e+01,  2.5645094046902002e+00,  2.8441595916229790e-02, -6.1079018511779798e-02, -1.8125991534639727e-01, -3.7324111750121924e-01,  2.7433066213374246e-01, -2.1709838918755073e-01, -4.0781057815561059e+00, -1.0983258836745644e+00,  0.0000000000000000e+00,  2.4876490102040446e+01, -4.2807883089950650e+01,  1.8141210673456694e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3364281940011426e+02,  1.4180175836303939e-02,  2.8692252423554365e+01,  7.8981656917075582e-01, -9.4129789773483075e-01,  5.4891848342269078e-01,  5.7038099499493939e+01, -4.4090408451072277e-01, -1.5000000892787473e+04,  1.0074940059315066e+01,  2.5540544935858764e+00,  3.2176247713627905e-02, -6.2006493005982259e-02, -2.2413635262328035e-01, -3.8330815492125131e-01,  2.7433066213374246e-01, -6.8629267567219077e-01, -4.6509595255056402e+00, -9.2959423873188252e-01,  0.0000000000000000e+00, -1.1880918625626536e+02, -7.1877436448746593e+01,  1.5638864644068068e+01,  0.0000000000000000e+00
