#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277166e+02,  2.2655162823548222e-02,  2.9850264791017317e+01,  3.1941983483214864e-01, -1.0213755775334337e+00,  5.5490375784953072e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975624e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121464e-02, -2.6190755327598247e-01,  2.7433066213374269e-01, -3.1592577978272569e+00, -2.4306097356623226e+00, -1.2209776699749650e+00,  0.0000000000000000e+00,  9.3252289375212385e+00,  9.5894569857858425e+00, -1.4440811570135393e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371465806936590e+02,  1.8592829122805892e-02,  2.9729320063214455e+01,  3.1635541630457631e-01, -1.0107612988787491e+00,  5.5572118016790684e-01,  6.3375881355170760e+00, -5.1278411335251239e-02, -1.4999999993232626e+04,  1.0003366326125217e+01,  2.6453441795269050e+00,  3.6999968356091779e-03, -2.6284685517050512e-02,  1.8621697102039318e-02, -2.7410513239661149e-01,  2.7433066213374269e-01, -3.1126782327047731e+00, -2.3827103501189368e+00, -1.2931095958997172e+00,  0.0000000000000000e+00,  9.3252289375212385e+00,  9.5894569857858425e+00, -1.4440811570135393e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371511127804081e+02,  1.4396000850582628e-02,  2.9610231319117808e+01,  3.2240720782380322e-01, -9.9781009122612030e-01,  5.5625258370470654e-01,  1.2675180754933415e+01, -1.0199529850183085e-01, -1.4999999963433171e+04,  1.0006801559837159e+01,  2.6344973897473789e+00,  7.4186398002378381e-03, -5.6915041836553902e-02, -4.7030877588553014e-03, -2.8774390883841439e-01,  2.7433066213374269e-01, -2.8674687048810665e+00, -2.2667551498165750e+00, -1.3958004575650331e+00,  0.0000000000000000e+00,  3.9765718532784838e+01,  1.3624774114747133e+01, -6.1178989352607900e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371215505196062e+02,  1.0162835780424293e-02,  2.9493345574285296e+01,  3.3674365242022558e-01, -9.8274211567697678e-01,  5.5651037097303979e-01,  1.9012775798835580e+01, -1.5215255212598577e-01, -1.4999999896171059e+04,  1.0010390827925756e+01,  2.6237867423176713e+00,  1.1158215723471166e-02, -8.3576767532656235e-02, -2.6668116081109028e-02, -3.0199325342688188e-01,  2.7433066213374269e-01, -2.1843437255599309e+00, -2.1770871125338274e+00, -1.4804790328273336e+00,  0.0000000000000000e+00,  9.6995902327306524e+01,  4.3267669492588929e+00, -1.0834751832251838e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370596306913626e+02,  5.9823549637232744e-03,  2.9378997998249993e+01,  3.5701701370174088e-01, -9.6576084313198729e-01,  5.5655375842452970e-01,  2.5350369627171304e+01, -2.0175220522786733e-01, -1.4999999776852581e+04,  1.0014203366364358e+01,  2.6132305986137978e+00,  1.4921258408495647e-02, -1.0055827311647260e-01, -4.8201331765525178e-02, -3.1732390949430517e-01,  2.7433066213374269e-01, -1.2434704895643598e+00, -2.2201523364664788e+00, -1.5566691311015810e+00,  0.0000000000000000e+00,  9.1366919519006686e+01, -1.2948424780575831e+01, -4.4185058422525518e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3369675689231121e+02,  1.9228452537114512e-03,  2.9267544778446080e+01,  3.8011667754662343e-01, -9.4685547767848566e-01,  5.5646676091911940e-01,  3.1687957133199014e+01, -2.5079650185788338e-01, -1.4999999590667272e+04,  1.0018279028688251e+01,  2.6028455828709074e+00,  1.8711109745863014e-02, -1.0842133275871738e-01, -7.1026804122397327e-02, -3.3309553376857182e-01,  2.7433066213374269e-01, -6.4639331013708867e-01, -2.4197241976222998e+00, -1.5669272350889003e+00,  0.0000000000000000e+00,  2.8167931802333051e+01, -2.7005861822819298e+01,  2.3648334239913522e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3368480092201048e+02, -1.9601211291013533e-03,  2.9159371169984606e+01,  4.0418948653062431e-01, -9.2586955367559576e-01,  5.5629940974811953e-01,  3.8025531901218855e+01, -2.9928790913694281e-01, -1.4999999322442838e+04,  1.0022630759678679e+01,  2.5926486916793210e+00,  2.2532125856694948e-02, -1.1347322436796288e-01, -9.6547469580156531e-02, -3.4863114695861885e-01,  2.7433066213374269e-01, -6.4026886286825235e-01, -2.7880352373611355e+00, -1.5019154578609912e+00,  0.0000000000000000e+00, -2.6941817459112038e+01, -4.6730008332895764e+01,  1.0650524377035913e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3367039591968694e+02, -5.6170593409416913e-03,  2.9054924744189830e+01,  4.2920267724099720e-01, -9.0236546993737665e-01,  5.5606686471213518e-01,  4.4363086381318169e+01, -3.4722907145878673e-01, -1.4999998956496383e+04,  1.0027261828919448e+01,  2.5826594823148770e+00,  2.6389562018926258e-02, -1.2121391743140973e-01, -1.2673180386987257e-01, -3.6310383462493528e-01,  2.7433066213374269e-01, -1.0019131087993745e+00, -3.2113509373446556e+00, -1.3857142153936144e+00,  0.0000000000000000e+00, -4.5459360576298614e+01, -3.8017794803805025e+01,  1.2612964364932937e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3365387142342900e+02, -9.0000262603811970e-03,  2.8954700329193621e+01,  4.5651864895160693e-01, -8.7588030749039503e-01,  5.5575526328657798e-01,  5.0700612084336555e+01, -3.9462276573419963e-01, -1.4999998476502175e+04,  1.0032182412401518e+01,  2.5729022271147128e+00,  3.0289454634246121e-02, -1.3349146830001832e-01, -1.6071032547115865e-01, -3.7631774466878098e-01,  2.7433066213374269e-01, -1.0834618447950335e+00, -3.6016937654765169e+00, -1.2403581606267542e+00,  0.0000000000000000e+00,  2.9133303629967873e+01, -4.0128839388193150e+01,  1.6487317799392684e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3363557779135863e+02, -1.2070133092868496e-02,  2.8859220517692357e+01,  4.8603023398563372e-01, -8.4599827352143853e-01,  5.5539192406627980e-01,  5.7038099755420724e+01, -4.4147183965261916e-01, -1.4999997865668412e+04,  1.0037411882781395e+01,  2.5634055486113363e+00,  3.4238382792299842e-02, -1.4286150673800380e-01, -1.9869371726600674e-01, -3.8788621545663865e-01,  2.7433066213374269e-01, -1.5125745407055975e+00, -4.1557594755134923e+00, -1.0859952756352507e+00,  0.0000000000000000e+00, -1.1504166535126286e+02, -7.0795115761209800e+01,  1.4416131775906125e+01,  0.0000000000000000e+00
