#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277075e+02,  2.2655162823548253e-02,  2.9850264791017320e+01,  4.7852327070485262e-01, -1.1931467865852250e+00,  5.2196426809838214e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975610e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121457e-02, -2.6190755327598231e-01,  2.7433066213374252e-01, -1.1427867695188176e+00, -3.0138887314401650e+00, -4.3537016654910232e-01,  0.0000000000000000e+00,  8.5084356850368004e-01,  9.8810654642426243e+00, -1.6729603775343467e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371550048609311e+02,  2.3024983945154707e-02,  2.9710698180523522e+01,  4.7624160266554844e-01, -1.1807181703381542e+00,  5.2305199502493160e-01,  6.3375881875340321e+00, -5.1278615307581703e-02, -1.4999999992165021e+04,  1.0004935715637366e+01,  2.6437195768651462e+00,  3.0784253704679281e-03, -6.1401197996834881e-03,  1.2794734107255673e-02, -2.6625690558916015e-01,  2.7433066213374252e-01, -1.1385368016441739e+00, -2.9645327600903020e+00, -5.1893462097139742e-01,  0.0000000000000000e+00,  8.5084356850368004e-01,  9.8810654642426243e+00, -1.6729603775343467e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371669282165874e+02,  2.3147624859627888e-02,  2.9573474092478943e+01,  4.7788138488837473e-01, -1.1653220964169835e+00,  5.2398244243629422e-01,  1.2675181030417152e+01, -1.0199661942121384e-01, -1.4999999957638514e+04,  1.0009923105614554e+01,  2.6312685099982205e+00,  6.1795067676749587e-03, -1.7471656600577895e-02, -1.6327911134906548e-02, -2.7227587737131492e-01,  2.7433066213374252e-01, -1.0191472605008327e+00, -2.8454838917551286e+00, -6.3424550493812537e-01,  0.0000000000000000e+00,  2.3050942568393278e+01,  1.3952517976459090e+01, -6.3556351947954486e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371437377224674e+02,  2.3088463484324050e-02,  2.9439005868111593e+01,  4.8307197832967025e-01, -1.1471880000758583e+00,  5.2474919966982225e-01,  1.9012776560155832e+01, -1.5215664307811447e-01, -1.4999999879735558e+04,  1.0014997555235031e+01,  2.6189798221326615e+00,  9.3079332513674347e-03, -2.6502702427072748e-02, -4.4058090902836800e-02, -2.7892914345006176e-01,  2.7433066213374252e-01, -3.5229349316186431e-01, -2.7520867459090774e+00, -7.3695314651490029e-01,  0.0000000000000000e+00,  1.1045318165286815e+02,  4.7455906219203525e+00, -1.4206434648874913e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370871875505179e+02,  2.2902372233953465e-02,  2.9307692948377351e+01,  4.8930563481114642e-01, -1.1265302813090556e+00,  5.2541120659348017e-01,  2.5350371215863593e+01, -2.0176143410723993e-01, -1.4999999741655398e+04,  1.0020181265626821e+01,  2.6068777426729857e+00,  1.2468403970314249e-02, -2.4510487632782976e-02, -7.1314659304918079e-02, -2.8700021596302122e-01,  2.7433066213374252e-01,  6.4582800444137300e-01, -2.7975279024380728e+00, -8.4984969364154672e-01,  0.0000000000000000e+00,  8.9370742167299980e+01, -1.3842910159025374e+01, -8.3954540858797362e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3369995149554711e+02,  2.2617692100984896e-02,  2.9179954717428235e+01,  4.9311040428772723e-01, -1.1033425706273756e+00,  5.2606127713494255e-01,  3.1687959959722416e+01, -2.5081394951977320e-01, -1.4999999526437183e+04,  1.0025462808713218e+01,  2.5949846965602759e+00,  1.5666385256084738e-02, -1.3599045994677681e-02, -9.9952754288212889e-02, -2.9590915730903372e-01,  2.7433066213374252e-01,  1.0880509778439582e+00, -3.0204488719487110e+00, -8.9900667183382610e-01,  0.0000000000000000e+00, -8.3770289210249527e-01, -3.0785867937004227e+01, -1.4457729482145443e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3368833888536597e+02,  2.2252813379579572e-02,  2.9056242772904330e+01,  4.9323992949693524e-01, -1.0774450588427362e+00,  5.2673630517143299e-01,  3.8025536437997111e+01, -2.9931734175647812e-01, -1.4999999216795484e+04,  1.0030804815864743e+01,  2.5833235974024142e+00,  1.8908251937678908e-02, -2.7712073561804189e-03, -1.3166328811508213e-01, -3.0496238722843233e-01,  2.7433066213374252e-01,  8.3502645785642082e-01, -3.4262294045106563e+00, -8.7870132250641464e-01,  0.0000000000000000e+00, -4.9817806009402425e+01, -5.0451394681897391e+01,  5.5109038835622579e+00,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3367418434699289e+02,  2.1830987387200615e-02,  2.8937076050485594e+01,  4.9089445532598203e-01, -1.0483575617757290e+00,  5.2742177033086812e-01,  4.4363093159324436e+01, -3.4727487197467988e-01, -1.4999998794934709e+04,  1.0036170350408582e+01,  2.5719203633179442e+00,  2.2201034147590521e-02,  3.0847993171389211e-03, -1.6840888624646777e-01, -3.1346562728918187e-01,  2.7433066213374252e-01,  4.1273494677578720e-01, -3.8714465898344206e+00, -8.0608119248869825e-01,  0.0000000000000000e+00, -3.4724954508940414e+01, -3.8681085819920227e+01,  9.0276461459845638e+00,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3365782013535079e+02,  2.1374352690354242e-02,  2.8823020149784110e+01,  4.8753872421749944e-01, -1.0155981523664566e+00,  5.2810332802374882e-01,  5.0700621691597362e+01, -3.9468985869895490e-01, -1.4999998242423333e+04,  1.0041537229256910e+01,  2.5608060449547478e+00,  2.5552393371156310e-02,  5.4752451268522935e-03, -2.0901486833155408e-01, -3.2106790555987486e-01,  2.7433066213374252e-01,  1.3629601225972171e-01, -4.2736989319892604e+00, -7.0072999772871247e-01,  0.0000000000000000e+00, -2.0618120181175925e+01, -4.1849833079478103e+01,  1.2063663044964697e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3363959849562355e+02,  2.0897446583928118e-02,  2.8714666455809905e+01,  4.8406651284598373e-01, -9.7874179302009545e-01,  5.2877600653526902e-01,  5.7038112830160557e+01, -4.4156564593103709e-01, -1.4999997540412753e+04,  1.0046894794902732e+01,  2.5500161773489851e+00,  2.8970508009876394e-02,  5.8079963652852076e-03, -2.5379747629620319e-01, -3.2746622664440089e-01,  2.7433066213374252e-01, -5.1500158555060049e-01, -4.8332781391550510e+00, -6.0229014917088031e-01,  0.0000000000000000e+00, -1.0977165890045059e+02, -7.0177924195113775e+01,  7.6439946363132201e+00,  0.0000000000000000e+00
