#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277166e+02,  2.2655162823548222e-02,  2.9850264791017317e+01, -9.3621060920580264e-03, -9.9759170882093950e-01,  5.5701460532736347e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975624e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121464e-02, -2.6190755327598247e-01,  2.7433066213374263e-01, -3.2548407080671033e+00, -2.4347936569369941e+00, -1.0047956586978475e+00,  0.0000000000000000e+00,  2.4571230055303812e+00,  9.9575558932270205e+00, -2.0732664713334170e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371450902437380e+02,  1.6562714543800365e-02,  2.9731824016339619e+01, -4.7884002961016171e-03, -9.8893440566326807e-01,  5.5849265677513915e-01,  6.3375881276859714e+00, -5.1278484724737915e-02, -1.4999999993372528e+04,  1.0000123095192276e+01,  2.6455653922583036e+00,  3.7596964617908003e-03, -2.7239559745220809e-02,  1.8579899686707937e-02, -2.7194547194429264e-01,  2.7433066213374263e-01, -3.2425673663811372e+00, -2.3850556155122837e+00, -1.1083554225007153e+00,  0.0000000000000000e+00,  2.4571230055303812e+00,  9.9575558932270205e+00, -2.0732664713334170e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371476800060236e+02,  1.0189537590913341e-02,  2.9614988889176797e+01,  9.1330879853364043e-03, -9.7844862837124924e-01,  5.5964683828429895e-01,  1.2675180710660143e+01, -1.0199578661944850e-01, -1.4999999964145940e+04,  1.0000393051964464e+01,  2.6349182902143844e+00,  7.5327123108583889e-03, -5.9510229322595150e-02, -4.7499462082728162e-03, -2.8405251676251025e-01,  2.7433066213374263e-01, -3.0401620920262973e+00, -2.2680686794133007e+00, -1.2714466268548497e+00,  0.0000000000000000e+00,  3.8064412920308691e+01,  1.3463228713789531e+01, -1.1918194398363459e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371158070057481e+02,  3.6466074643908774e-03,  2.9500050418118025e+01,  3.1692049147111323e-02, -9.6636346948142393e-01,  5.6048678709152344e-01,  1.9012775664963666e+01, -1.5215410136078350e-01, -1.4999999898103082e+04,  1.0000897912118237e+01,  2.6243807691060397e+00,  1.1320503207073118e-02, -8.7982059086405565e-02, -2.6736157844027327e-02, -2.9734900095238154e-01,  2.7433066213374263e-01, -2.3659043453951614e+00, -2.1557081230103332e+00, -1.4070308917267049e+00,  0.0000000000000000e+00,  9.6921987955244646e+01,  9.0313546780844245e+00, -1.5225775428982043e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370512961750808e+02, -2.9642854558100634e-03,  2.9387283748608933e+01,  6.0555324339940299e-02, -9.5291795748818131e-01,  5.6107635389326282e-01,  2.5350369319383610e+01, -2.0175579023522089e-01, -1.4999999780841390e+04,  1.0001710401678084e+01,  2.6139660009504095e+00,  1.5124806793055780e-02, -1.0678104541440657e-01, -4.7821037577110641e-02, -3.1216502209171515e-01,  2.7433066213374263e-01, -1.4544381406849898e+00, -2.1554623233202039e+00, -1.5118257796579779e+00,  0.0000000000000000e+00,  8.5553546227731673e+01, -8.9821455801207062e+00, -5.7541611348588386e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3369564590925461e+02, -9.5609013328811620e-03,  2.9276973280044693e+01,  9.2651147764983358e-02, -9.3820594500850130e-01,  5.6150474289605046e-01,  3.1687956528307190e+01, -2.5080343376506575e-01, -1.4999999597768263e+04,  1.0002873973226498e+01,  2.6036846653106167e+00,  1.8948123472215143e-02, -1.1704176219699478e-01, -6.9802338130145303e-02, -3.2755531023625722e-01,  2.7433066213374263e-01, -9.3891019702870748e-01, -2.2920596158253734e+00, -1.5411267819346262e+00,  0.0000000000000000e+00,  1.7655148092256098e+01, -1.8364632379414005e+01, -1.1189952092601861e-01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3368340461576861e+02, -1.6070728814717467e-02,  2.9169422193609496e+01,  1.2641908178076530e-01, -9.2218910251411990e-01,  5.6182665606764071e-01,  3.8025530836045490e+01, -2.9929982151771573e-01, -1.4999999333945887e+04,  1.0004406814229009e+01,  2.5935467134514565e+00,  2.2793819339789897e-02, -1.2554048991048464e-01, -9.3616434496698514e-02, -3.4295676598651287e-01,  2.7433066213374263e-01, -9.6292756329167639e-01, -2.5399776907251947e+00, -1.5091879173076419e+00,  0.0000000000000000e+00, -2.2463424818102528e+01, -3.1268566215530420e+01,  6.5060602192481323e+00,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3366871862572975e+02, -2.2425277189690764e-02,  2.9064958922391323e+01,  1.6191338518806264e-01, -9.0472418929837661e-01,  5.6207157016536602e-01,  4.4363084661659300e+01, -3.4724787259971435e-01, -1.4999998974009664e+04,  1.0006319881725645e+01,  2.5835627650736765e+00,  2.6665848735439892e-02, -1.3628107415087443e-01, -1.2055114313963972e-01, -3.5770891497766866e-01,  2.7433066213374263e-01, -1.2407532536733190e+00, -2.9593846155642818e+00, -1.4326761275762987e+00,  0.0000000000000000e+00, -3.3157278396302317e+01, -5.2696700137254773e+01,  8.8116000849667948e+00,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3365193045420449e+02, -2.8560612919324723e-02,  2.8963957532611605e+01,  2.0018589718981761e-01, -8.8542980373922708e-01,  5.6224791449430056e-01,  5.0700609504855088e+01, -3.9465058206998616e-01, -1.4999998502049186e+04,  1.0008629739967223e+01,  2.5737456831193133e+00,  3.0568606875558089e-02, -1.5033076470915235e-01, -1.5274499824423662e-01, -3.7158166364038497e-01,  2.7433066213374263e-01, -1.2554375560079367e+00, -3.4400477255491890e+00, -1.3253696107640054e+00,  0.0000000000000000e+00,  3.0217481068912058e+01, -4.3532054481723200e+01,  1.2671164580854509e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3363340332250823e+02, -3.4427454986732428e-02,  2.8866843198796079e+01,  2.4088962380006343e-01, -8.6378184261962576e-01,  5.6239841206401509e-01,  5.7038096152862813e+01, -4.4151101989844060e-01, -1.4999997901469726e+04,  1.0011358995057375e+01,  2.5641133884005956e+00,  3.4507191455380087e-02, -1.6136474160358044e-01, -1.8928336542833477e-01, -3.8418982628164478e-01,  2.7433066213374263e-01, -1.7957530081720470e+00, -4.0531228402171600e+00, -1.2106377723846433e+00,  0.0000000000000000e+00, -1.3838863459216702e+02, -7.9205583474805124e+01,  1.0298149462693623e+01,  0.0000000000000000e+00
