#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277132e+02,  2.2655162823548236e-02,  2.9850264791017320e+01,  3.1753794075515845e-01, -1.2197997193233072e+00,  5.4485824631077484e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975619e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121464e-02, -2.6190755327598242e-01,  2.7433066213374246e-01, -2.3358797525447086e+00, -2.9694537281241336e+00, -9.1147531332423526e-01,  0.0000000000000000e+00,  1.8694236487523170e+01,  9.6680276714795728e+00, -1.5141476522911939e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371568737531481e+02,  1.9793016717437970e-02,  2.9707783003316525e+01,  3.1331325902911411e-01, -1.2072285317670981e+00,  5.4482688931155998e-01,  6.3375881956570632e+00, -5.1278647560321654e-02, -1.4999999992035477e+04,  1.0003323215522807e+01,  2.6434183277456098e+00,  3.2596256520190598e-03, -1.8059130619122957e-02,  1.3238640234288963e-02, -2.7101320076173901e-01,  2.7433066213374246e-01, -2.2425019479117254e+00, -2.9211618816132465e+00, -9.8710706418793126e-01,  0.0000000000000000e+00,  1.8694236487523170e+01,  9.6680276714795728e+00, -1.5141476522911939e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371715986862785e+02,  1.6965120626215812e-02,  2.9567653105604229e+01,  3.1564125651018854e-01, -1.1917528563453590e+00,  5.4462113279900326e-01,  1.2675181078286737e+01, -1.0199669644984051e-01, -1.4999999957000267e+04,  1.0006691266426971e+01,  2.6306671228562046e+00,  6.5451512483982247e-03, -3.9528902280249259e-02, -1.5461360116383957e-02, -2.8162997214087615e-01,  2.7433066213374246e-01, -2.0078193241862579e+00, -2.8042963146441591e+00, -1.0880726059728096e+00,  0.0000000000000000e+00,  2.8289224782315568e+01,  1.3728458835731793e+01, -5.0718249424206654e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371520985557675e+02,  1.4230096435740231e-02,  2.9430278741731843e+01,  3.2376483953191498e-01, -1.1735997740263433e+00,  5.4427167203444748e-01,  1.9012776713109020e+01, -1.5215670532072759e-01, -1.4999999878034076e+04,  1.0010163497152954e+01,  2.6180790048726945e+00,  9.8603389222828176e-03, -5.8175400832634595e-02, -4.2791256162197720e-02, -2.9275291316878815e-01,  2.7433066213374246e-01, -1.4436751828205259e+00, -2.7101670193264349e+00, -1.1657865935343115e+00,  0.0000000000000000e+00,  8.4652432319103895e+01,  5.1162260868764324e+00, -1.0486515367392050e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371000792701136e+02,  1.1637886942482594e-02,  2.9296050131793088e+01,  3.3577682586675844e-01, -1.1529814671185432e+00,  5.4384520178079876e-01,  2.5350371585424345e+01, -2.0176133809642907e-01, -1.4999999738163242e+04,  1.0013786618085581e+01,  2.6056777922832279e+00,  1.3209159914342055e-02, -6.8373561277662365e-02, -6.9610551311717325e-02, -3.0492241157213112e-01,  2.7433066213374246e-01, -5.3436572505560098e-01, -2.7381055172518427e+00, -1.2414844633954907e+00,  0.0000000000000000e+00,  9.7391321125434018e+01, -1.0709513371543164e+01, -4.6681981788160876e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370177246146682e+02,  9.2176555755619644e-03,  2.9165374384859486e+01,  3.4875014263594112e-01, -1.1299115750670150e+00,  5.4342887102645610e-01,  3.1687960713697070e+01, -2.5081342222988418e-01, -1.4999999520260988e+04,  1.0017581600270454e+01,  2.5934854437755592e+00,  1.6596268640608779e-02, -6.8852038695883369e-02, -9.7498659104292493e-02, -3.1755779755231445e-01,  2.7433066213374246e-01,  7.6207362909693113e-02, -2.9173182674027847e+00, -1.2581019238877333e+00,  0.0000000000000000e+00,  2.4845411085217858e+01, -2.5168879208675225e+01,  1.3413825882692221e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3369076471400706e+02,  6.9834665070053698e-03,  2.9038683388939756e+01,  3.6076134329890241e-01, -1.1042632348824017e+00,  5.4308198944149111e-01,  3.8025537805725541e+01, -2.9931596073983829e-01, -1.4999999206922603e+04,  1.0021542064837471e+01,  2.5815240243703523e+00,  2.0027223412638726e-02, -6.6850936644102063e-02, -1.2789862858250223e-01, -3.3005931314830961e-01,  2.7433066213374246e-01,  6.0805864310706045e-02, -3.2679793421068166e+00, -1.1912164523110811e+00,  0.0000000000000000e+00, -2.7928791104735048e+01, -4.5033467947072118e+01,  1.2049088821376452e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3367728244393857e+02,  4.9435362883128780e-03,  2.8916468671104806e+01,  3.7190901606288213e-01, -1.0756230399583777e+00,  5.4282213705136062e-01,  4.4363095434038051e+01, -3.4727206199941585e-01, -1.4999998780313454e+04,  1.0025652843946609e+01,  2.5698179236302519e+00,  2.3508361700996478e-02, -6.7637136312053078e-02, -1.6279295165387925e-01, -3.4135832607001837e-01,  2.7433066213374246e-01, -3.4037570488436819e-01, -3.6823174811549908e+00, -1.0602832847927293e+00,  0.0000000000000000e+00, -5.2387759048118795e+01, -3.7917027490372341e+01,  1.4163731315797577e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3366165229352055e+02,  3.1043198597057835e-03,  2.8799267564802477e+01,  3.8356557786707207e-01, -1.0435425338775299e+00,  5.4262387851974525e-01,  5.0700625232299124e+01, -3.9468487796123719e-01, -1.4999998222031920e+04,  1.0029906288536232e+01,  2.5583960725144408e+00,  2.7046606949934486e-02, -7.3651650028405125e-02, -2.0147140542875580e-01, -3.5124379436294956e-01,  2.7433066213374246e-01, -7.9597371407034390e-01, -4.0714056485955314e+00, -9.1370098285366830e-01,  0.0000000000000000e+00, -3.8822962390913482e+01, -3.9978423631223414e+01,  1.5182045532402570e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3364422181624604e+02,  1.4772374198963121e-03,  2.8687645578951212e+01,  3.9706287421765168e-01, -1.0076081188365260e+00,  5.4244475751610977e-01,  5.7038118070629373e+01, -4.4155753621396304e-01, -1.4999997513271326e+04,  1.0034308945208515e+01,  2.5472917690022268e+00,  3.0648990850410486e-02, -8.3540707022749253e-02, -2.4413971785958413e-01, -3.5961408996319855e-01,  2.7433066213374246e-01, -1.1398138094964063e+00, -4.6294733203485565e+00, -7.7231782668940840e-01,  0.0000000000000000e+00, -3.0013824713384366e+01, -7.1746724253732694e+01,  1.3122862331682157e+01,  0.0000000000000000e+00
