#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277313e+02,  2.2655162823548174e-02,  2.9850264791017317e+01,  2.0284174089162204e-02,  7.2446343592420553e-02,  5.0585246690447128e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975642e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598270e-01,  2.7433066213374346e-01, -1.8123687294794597e+00, -5.7954115037394882e-01, -1.1159059796712383e+00,  0.0000000000000000e+00, -2.6896429829635828e+01, -3.0971969959372920e+01,  2.3549328296640820e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371069535107654e+02,  2.2566064029070743e-02,  2.9847331915086119e+01,  2.1966314862859191e-02,  7.2647067818616032e-02,  5.0577094256443922e-01,  6.3375874283085238e+00, -5.1276322288411010e-02, -1.5000000005735114e+04,  1.0000444312686456e+01,  2.6561418034342319e+00,  5.1076824355626672e-03, -1.2829250268820772e-02,  3.7113890761263840e-02, -2.7305546516081025e-01,  2.7433066213374346e-01, -1.9467165308262924e+00, -7.3424629502616101e-01, -9.9827696720050485e-01,  0.0000000000000000e+00, -2.6896429829635828e+01, -3.0971969959372920e+01,  2.3549328296640820e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371061873649830e+02,  2.2552517021310524e-02,  2.9844599125990829e+01,  2.8336870535721193e-02,  7.3170051655647300e-02,  5.0550771092561364e-01,  1.2675178021969435e+01, -1.0198567563615975e-01, -1.5000000021829641e+04,  1.0000928166037562e+01,  2.6559814315154924e+00,  1.0214175769436583e-02, -3.3619103737083753e-02,  2.8233256998243129e-02, -2.8185314702624253e-01,  2.7433066213374346e-01, -2.0828401131243086e+00, -1.1932922715384633e+00, -7.4482575481030200e-01,  0.0000000000000000e+00, -3.5551134642698490e-01, -6.0929034538390006e+01,  2.7191604423877841e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371038796979167e+02,  2.2663905809766370e-02,  2.9842203760036291e+01,  4.0100235123326687e-02,  7.4513214751844470e-02,  5.0504234329725795e-01,  1.9012770641323147e+01, -1.5212802484342738e-01, -1.5000000046135343e+04,  1.0001502577438234e+01,  2.6558301850220314e+00,  1.5318531240614509e-02, -5.4444437344231524e-02,  1.3271887333921919e-02, -2.8793709862355354e-01,  2.7433066213374346e-01, -1.8177762059907232e+00, -1.4207283226236624e+00, -4.2461325682261752e-01,  0.0000000000000000e+00,  5.3421305554570665e+01,  1.5396337111133114e+01,  3.6914937673256567e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370998856073027e+02,  2.2941674745414795e-02,  2.9840305391955233e+01,  5.6377038071417980e-02,  7.7039384510145553e-02,  5.0440658984736253e-01,  2.5350363773077397e+01, -2.0170348592583306e-01, -1.5000000075772492e+04,  1.0002218687791185e+01,  2.6556990164690744e+00,  2.0420795415207176e-02, -6.9938308651983319e-02, -1.5292327395791843e-04, -2.9033692838133979e-01,  2.7433066213374346e-01, -1.1626303750906526e+00, -1.0484974274928291e+00, -7.7638914638409481e-02,  0.0000000000000000e+00,  7.7738889791623421e+01,  5.9124288094059672e+01,  3.2549325632021862e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370946805451490e+02,  2.3405403407678885e-02,  2.9838907423774501e+01,  7.4901873614239486e-02,  8.0067356356777974e-02,  5.0367877989894283e-01,  3.1687956028592087e+01, -2.5071222304395085e-01, -1.5000000108227907e+04,  1.0003110309976822e+01,  2.6555967752425484e+00,  2.5521275168702277e-02, -7.7673815467920890e-02, -7.6771122163843590e-03, -2.8948832568925603e-01,  2.7433066213374346e-01, -1.3697186713328863e-01, -7.3640623552706674e-01,  1.9783543566012241e-01,  0.0000000000000000e+00,  1.2759794350144089e+02,  3.3563685374859853e+00,  2.2600639297744205e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370891676053134e+02,  2.4043601210209032e-02,  2.9837982110011829e+01,  9.2612093728808006e-02,  8.3426836526139775e-02,  5.0297934155766655e-01,  3.8025546704177074e+01, -2.9915440309452324e-01, -1.5000000141927690e+04,  1.0004185578420850e+01,  2.6555267449069238e+00,  3.0620269085108568e-02, -7.2675009294007067e-02, -1.4866334573200008e-02, -2.8638417242409459e-01,  2.7433066213374346e-01,  9.6975828853702695e-01, -5.7323680295803492e-01,  3.8711611999972306e-01,  0.0000000000000000e+00,  9.3969433663756320e+01,  2.9310151862834132e+01,  1.5293353707043874e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370840188564171e+02,  2.4815644841063099e-02,  2.9837564329476788e+01,  1.0688405313752053e-01,  8.7440448218224567e-02,  5.0241520871890477e-01,  4.4363135938686355e+01, -3.4703035364967338e-01, -1.5000000175681842e+04,  1.0005422052357272e+01,  2.6554939929120627e+00,  3.5719631354849284e-02, -5.8298025487161106e-02, -1.9130394992768675e-02, -2.8175373787707375e-01,  2.7433066213374346e-01,  1.7208792491963745e+00,  1.0291458798366387e-01,  4.9845790004573837e-01,  0.0000000000000000e+00,  5.6404982660245018e+01,  1.0605535660369394e+02,  6.9972706581683806e+00,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370795177252091e+02,  2.5670724607543778e-02,  2.9837567276714200e+01,  1.1602693188455038e-01,  9.1422825617838446e-02,  5.0204458642979355e-01,  5.0700724371504130e+01, -3.9434042837162681e-01, -1.5000000209005613e+04,  1.0006776538267072e+01,  2.6555021774867229e+00,  4.0821722739483132e-02, -3.8291807511861717e-02, -1.2810099049050880e-02, -2.7642497362198193e-01,  2.7433066213374346e-01,  2.0174881437527188e+00,  1.0340826379379888e+00,  5.2850244188942663e-01,  0.0000000000000000e+00,  2.9761180299348382e+00,  8.0364486997161833e+01, -9.8235338106206160e-01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370756583968966e+02,  2.6556898660569910e-02,  2.9837775061340867e+01,  1.1954107215067292e-01,  9.4369680910390205e-02,  5.0187673004913169e-01,  5.7038312739591845e+01, -4.4108476803087071e-01, -1.5000000242940818e+04,  1.0008194135641435e+01,  2.6555456126574208e+00,  4.5927584686006696e-02, -1.7988572065528383e-02,  1.5305967742240958e-03, -2.7119424852863366e-01,  2.7433066213374346e-01,  1.9820848611292357e+00,  1.5625919355701565e+00,  4.8864680975091790e-01,  0.0000000000000000e+00, -1.0063855211155882e+01,  2.5443074388798415e+01, -6.9967441730673210e+00,  0.0000000000000000e+00
