#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277382e+02,  2.2655162823548153e-02,  2.9850264791017313e+01,  1.8739188205516847e-02,  7.6494843230234755e-02,  5.0649111779815059e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975650e+00,  0.0000000000000000e+00,  5.2763314442607458e-03,  4.2903512643121471e-02, -2.6190755327598281e-01,  2.7433066213374385e-01, -1.8840695668561702e+00, -3.4684670630014658e-01, -1.2015630077191286e+00,  0.0000000000000000e+00, -2.4389872881159313e+01, -3.1392122371568465e+01,  1.9421035868576134e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371056172399119e+02,  2.2482868445500046e-02,  2.9848962855216751e+01,  2.0522433220076828e-02,  7.6776244830447038e-02,  5.0641367140944993e-01,  6.3375871378236646e+00, -5.1277375070082468e-02, -1.4999999999843607e+04,  1.0000428941825273e+01,  2.6561808124378441e+00,  5.1210709980176183e-03, -1.3545542350506191e-02,  3.9438510582180945e-02, -2.7391117972672335e-01,  2.7433066213374385e-01, -2.0058971037250983e+00, -5.0365051434993913e-01, -1.1045548365474196e+00,  0.0000000000000000e+00, -2.4389872881159313e+01, -3.1392122371568465e+01,  1.9421035868576134e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371035326067636e+02,  2.2380731129747769e-02,  2.9847793281962876e+01,  2.8085406239799136e-02,  7.7522665930357421e-02,  5.0617025082907030e-01,  1.2675176854495307e+01, -1.0198985356288554e-01, -1.4999999998826177e+04,  1.0000904253015010e+01,  2.6560608853414829e+00,  1.0241324598453708e-02, -3.4801532766030922e-02,  3.2840565303462348e-02, -2.8397658097922795e-01,  2.7433066213374385e-01, -2.1937796243733159e+00, -9.3881538414172327e-01, -8.8876692528269829e-01,  0.0000000000000000e+00, -1.3224207752613852e+01, -5.5727884560746681e+01,  2.3779703966621128e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3370999083923550e+02,  2.2403293950934235e-02,  2.9846907256930535e+01,  4.1940004649911086e-02,  7.9238644381951454e-02,  5.0574071788264274e-01,  1.9012767995427808e+01, -1.5213733778360072e-01, -1.4999999995652221e+04,  1.0001486491257490e+01,  2.6559530170182839e+00,  1.5360245880957519e-02, -5.7377303077245763e-02,  2.0680960449479185e-02, -2.9166876065145259e-01,  2.7433066213374385e-01, -2.1227001444256266e+00, -1.1590679735706209e+00, -5.8407269337669676e-01,  0.0000000000000000e+00,  2.7454319638141218e+01,  1.1633316157081389e+01,  3.7220081260960349e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370945747183953e+02,  2.2604953693724384e-02,  2.9846476629425638e+01,  6.1810142997197559e-02,  8.2233770951989443e-02,  5.0512237785514891e-01,  2.5350359017412462e+01, -2.0171982636057900e-01, -1.4999999988327720e+04,  1.0002237914914209e+01,  2.6558692319091879e+00,  2.0478068434592711e-02, -7.7213124063246236e-02,  9.6823640333200730e-03, -2.9564636506267844e-01,  2.7433066213374385e-01, -1.6247906508380656e+00, -6.9076199385048698e-01, -2.2481409351395484e-01,  0.0000000000000000e+00,  7.2227160978088392e+01,  8.2121540982889371e+01,  3.4703490431560574e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370879704925403e+02,  2.3026564698736717e-02,  2.9846534231635253e+01,  8.6029154766403354e-02,  8.5939431614674489e-02,  5.0435605531859751e-01,  3.1687948478299393e+01, -2.5073730159653812e-01, -1.4999999975099014e+04,  1.0003211141176751e+01,  2.6558201886021839e+00,  2.5594974856893132e-02, -8.9840652744339985e-02,  6.8795220109080122e-03, -2.9616055073165148e-01,  2.7433066213374385e-01, -5.0876929232595614e-01, -9.7119459195858487e-02,  8.5940661286281292e-02,  0.0000000000000000e+00,  1.5120031499603601e+02,  3.6725694454967289e+01,  2.7509611479446701e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370810587404083e+02,  2.3680098542818485e-02,  2.9846990800638114e+01,  1.1136601715068159e-01,  8.9591377658348181e-02,  5.0354695000145755e-01,  3.8025535605017645e+01, -2.9918964176425761e-01, -1.4999999955393760e+04,  1.0004435548135460e+01,  2.6558088273690812e+00,  3.0710479092728539e-02, -8.7378344689139464e-02,  7.7419152981380857e-03, -2.9392926893308241e-01,  2.7433066213374385e-01,  7.4477630748628987e-01, -1.0956800232427398e-02,  3.3011565248924257e-01,  0.0000000000000000e+00,  9.9759514086375674e+01, -1.9475930130488383e+01,  2.1374221759386156e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370747304915346e+02,  2.4538593786107191e-02,  2.9847844856216884e+01,  1.3368686678865607e-01,  9.3396747969811095e-02,  5.0282238207147723e-01,  4.4363120590273375e+01, -3.4707680366577415e-01, -1.4999999929307469e+04,  1.0005900211520377e+01,  2.6558350529501022e+00,  3.5824848898659389e-02, -7.4960007240118406e-02,  6.6606049233470252e-03, -2.8956483339919908e-01,  2.7433066213374385e-01,  1.5320440940351954e+00,  4.6600759846316636e-01,  5.0580240879711746e-01,  0.0000000000000000e+00,  5.7851496780715230e+01,  1.1496420274934623e+02,  1.3798266853450393e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370693535976704e+02,  2.5561745728316057e-02,  2.9849009917241496e+01,  1.5103592356065479e-01,  9.6764920488782297e-02,  5.0222755488570703e-01,  5.0700704296257463e+01, -3.9439883945186499e-01, -1.4999999897128466e+04,  1.0007564140492688e+01,  2.6558988928872722e+00,  4.0939213635950787e-02, -5.6768073080044647e-02,  1.7052756426273279e-02, -2.8382332669937377e-01,  2.7433066213374385e-01,  1.9871147681521033e+00,  1.2774553527271573e+00,  6.0706547443256365e-01,  0.0000000000000000e+00,  3.3253652177489542e+01,  4.7487637654304585e+01,  6.4745988867658557e+00,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370648636216663e+02,  2.6698449359184893e-02,  2.9850231812193776e+01,  1.6205957498255835e-01,  9.8607298505591898e-02,  5.0179582144045476e-01,  5.7038287686924001e+01, -4.4115561355755489e-01, -1.4999999860523372e+04,  1.0009370354167926e+01,  2.6559896821495332e+00,  4.6053167228980792e-02, -3.5257414469846635e-02,  3.2184188394419083e-02, -2.7743565309085616e-01,  2.7433066213374385e-01,  2.1469293122094117e+00,  1.4687627453571246e+00,  6.3739467106589109e-01,  0.0000000000000000e+00, -1.2587804572161014e+00, -9.1878976497848779e+00, -4.0269372077361609e-01,  0.0000000000000000e+00
 9.9900099900099903e-02,  6.3370609939189558e+02,  2.7893340733292547e-02,  2.9851305172388564e+01,  1.6649666347798439e-01,  9.8717651008019991e-02,  5.0154169859798248e-01,  6.3375871465592958e+01, -4.8734690469419772e-01, -1.4999999821863836e+04,  1.0011253415319876e+01,  2.6560905723482189e+00,  5.1165490629770140e-02, -1.3872382526410041e-02,  4.6398665424417632e-02, -2.7108816843631900e-01,  2.7433066213374385e-01,  2.1308475656393426e+00,  1.2373628927032745e+00,  6.0466978832681750e-01,  0.0000000000000000e+00, -1.9607852061118041e+00, -3.7138352851515890e+01, -6.1488278035889037e+00,  0.0000000000000000e+00
