#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277097e+02,  2.2655162823548243e-02,  2.9850264791017320e+01,  1.0370155222046366e-01,  7.3585532084473479e-02,  5.0783758632107534e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975615e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121464e-02, -2.6190755327598236e-01,  2.7433066213374246e-01, -2.2203553902142219e+00, -6.7873734227299254e-01, -1.4860723004382914e+00,  0.0000000000000000e+00, -2.1628503360244913e+01, -3.4275029354819033e+01,  2.2346464458379092e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371144591420671e+02,  2.2780815882784359e-02,  2.9833331419816844e+01,  1.0404874912169886e-01,  7.4071306510950868e-02,  5.0772870803764170e-01,  6.3375879874026273e+00, -5.1264002992277249e-02, -1.5000000075618022e+04,  1.0001270064106334e+01,  2.6561505514854682e+00,  5.1292847715324712e-03, -1.6905041085351864e-02,  3.6122919813221438e-02, -2.7675343040323802e-01,  2.7433066213374246e-01, -2.3283898725331276e+00, -8.4994128510425648e-01, -1.3744515988479862e+00,  0.0000000000000000e+00, -2.1628503360244913e+01, -3.4275029354819033e+01,  2.2346464458379092e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371209974664657e+02,  2.2985975816580184e-02,  2.9816954904991299e+01,  1.1116475213549507e-01,  7.5407842085677884e-02,  5.0742099004490648e-01,  1.2675180239776564e+01, -1.0193673460121599e-01, -1.5000000299410231e+04,  1.0002577188174032e+01,  2.6560042653182068e+00,  1.0257978452535319e-02, -4.1244944730227322e-02,  2.5921668784894561e-02, -2.8936912368253553e-01,  2.7433066213374246e-01, -2.4566324480307657e+00, -1.2344146312919595e+00, -1.1248724056385615e+00,  0.0000000000000000e+00, -4.0456602543821267e+00, -4.2696534551959090e+01,  2.7619290022147794e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371257493470341e+02,  2.3332212191471344e-02,  2.9801325691249360e+01,  1.2536503547187952e-01,  7.8042579768432069e-02,  5.0690046852297277e-01,  1.9012775578269675e+01, -1.5201865706713791e-01, -1.5000000666300297e+04,  1.0003991016907431e+01,  2.6558776667727626e+00,  1.5385908802600511e-02, -6.5988606480571949e-02,  1.1459290816379095e-02, -2.9922840354286961e-01,  2.7433066213374246e-01, -2.2865540287232746e+00, -1.2716339057138371e+00, -7.8692608721291724e-01,  0.0000000000000000e+00,  3.8095359799741736e+01,  3.5245235812699121e+01,  4.0037562926666141e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371285266405368e+02,  2.3877623931638010e-02,  2.9786600897546993e+01,  1.4603911347612974e-01,  8.2048904500413203e-02,  5.0617670610839549e-01,  2.5350372412447438e+01, -2.0151031271413050e-01, -1.5000001170692125e+04,  1.0005580094001814e+01,  2.6557849869785981e+00,  2.0513481494349464e-02, -8.6930339909513529e-02,  5.1439794146125280e-04, -3.0509192262784857e-01,  2.7433066213374246e-01, -1.7472586700071404e+00, -6.4318510421086661e-01, -3.9835367873428690e-01,  0.0000000000000000e+00,  6.9871571015228284e+01,  9.0570214248195484e+01,  3.7754633250755631e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3371297758240598e+02,  2.4664923013605514e-02,  2.9772734089480135e+01,  1.7137577808548821e-01,  8.6644964376895617e-02,  5.0529919250437882e-01,  3.1687969221666506e+01, -2.5041214009898832e-01, -1.5000001807828132e+04,  1.0007400506552795e+01,  2.6557365917082429e+00,  2.5640724357890200e-02, -1.0089886961757775e-01, -1.3915604166052562e-03, -3.0718751800309513e-01,  2.7433066213374246e-01, -6.6069081024017728e-01,  7.7397573409525265e-03, -4.0546095789840600e-02,  0.0000000000000000e+00,  1.4765931451011781e+02,  3.9744943034478702e+01,  3.3878444854722524e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3371304694817320e+02,  2.5709411173244396e-02,  2.9759559644478006e+01,  1.9825362302068952e-01,  9.1043180479864594e-02,  5.0437136226925328e-01,  3.8025565122703910e+01, -2.9872435273518078e-01, -1.5000002574845377e+04,  1.0009485326932971e+01,  2.6557340649464205e+00,  3.0766840563872584e-02, -1.0013095549872786e-01,  6.6903844777399058e-04, -3.0590203443184139e-01,  2.7433066213374246e-01,  5.7641554760981484e-01,  2.4731826212967392e-01,  2.6456128110815624e-01,  0.0000000000000000e+00,  1.0000937833145061e+02,  8.2186736242233334e+00,  2.7204052000256446e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3371315159978519e+02,  2.6989080905684085e-02,  2.9746989696614250e+01,  2.2261298252191927e-01,  9.5261919664092060e-02,  5.0351304929898411e-01,  4.4363160173954789e+01, -3.4644713865842880e-01, -1.5000003470106771e+04,  1.0011828261580098e+01,  2.6557752677005722e+00,  3.5891613712153832e-02, -8.9382075459539495e-02,  3.5498634021694482e-03, -3.0190157832061448e-01,  2.7433066213374246e-01,  1.4618888388526114e+00,  8.5661441308010844e-01,  4.9543496250011326e-01,  0.0000000000000000e+00,  7.7262374575357256e+01,  1.1376241579605366e+02,  1.9016859014413338e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3371333123739055e+02,  2.8466134637317730e-02,  2.9734833734620551e+01,  2.4218604643072181e-01,  9.8503727081136791e-02,  5.0277609449837901e-01,  5.0700755079645091e+01, -3.9358066742550601e-01, -1.5000004492817867e+04,  1.0014392205909559e+01,  2.6558556217266109e+00,  4.1015217383392581e-02, -7.0922387289884467e-02,  1.7784211536287651e-02, -2.9600323398228867e-01,  2.7433066213374246e-01,  2.1047621816272102e+00,  1.5775291741962127e+00,  6.4407786039673087e-01,  0.0000000000000000e+00,  5.1440868648117174e+01,  3.0564719379390240e+01,  1.0741449144489422e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3371358356639632e+02,  3.0086180278992226e-02,  2.9722791887893383e+01,  2.5499932229235295e-01,  9.9843644129936571e-02,  5.0221031306248798e-01,  5.7038350644854283e+01, -4.4012491053463271e-01, -1.5000005643759754e+04,  1.0017118854855148e+01,  2.6559598135080558e+00,  4.6136421946445030e-02, -4.7328885017437414e-02,  3.5068927821674187e-02, -2.8903288980119929e-01,  2.7433066213374246e-01,  2.3363785613617001e+00,  1.5958259375965185e+00,  7.1115682812714232e-01,  0.0000000000000000e+00, -5.0712694252719839e+00, -2.6901707346648880e+01,  2.6877601951390702e+00,  0.0000000000000000e+00
 9.9900099900099903e-02,  6.3371388457155035e+02,  3.1788524122518612e-02,  2.9710651561921107e+01,  2.6058031209656268e-01,  9.9269261019564639e-02,  5.0183526266931233e-01,  6.3375947443318246e+01, -4.8607980174333387e-01, -1.5000006924269048e+04,  1.0019936761217265e+01,  2.6560682236058910e+00,  5.1253645397354879e-02, -2.4241496952987353e-02,  4.9668845654100208e-02, -2.8179430634738073e-01,  2.7433066213374246e-01,  2.2779230293172756e+00,  1.1896667673188555e+00,  7.0487197093637910e-01,  0.0000000000000000e+00, -6.6315280900218232e+00, -5.4411358542939176e+01, -3.9459886047298696e+00,  0.0000000000000000e+00
 1.0989010989010989e-01,  6.3371421396402070e+02,  3.3516667844695751e-02,  2.9698314525211302e+01,  2.5930872136214994e-01,  9.7294063336068173e-02,  5.0164418037476344e-01,  6.9713545774582443e+01, -5.3144536233813167e-01, -1.5000008335170347e+04,  1.0022775728246497e+01,  2.6561639292027825e+00,  5.6365799155341782e-02, -1.8159373787305999e-03,  5.8838493602270704e-02, -2.7494953373853437e-01,  2.7433066213374246e-01,  2.1345829289004534e+00,  6.2209063811962995e-01,  6.3955469110202812e-01,  0.0000000000000000e+00, -2.2065160013426315e+01, -5.9217382522745915e+01, -9.1305308181073030e+00,  0.0000000000000000e+00
 1.1988011988011987e-01,  6.3371455698556997e+02,  3.5217351651316044e-02,  2.9685774800373956e+01,  2.5173617713502278e-01,  9.4581668732467566e-02,  5.0162551264471045e-01,  7.6051145764527931e+01, -5.7622177858507517e-01, -1.5000009876267157e+04,  1.0025569598940002e+01,  2.6562360081200831e+00,  6.1472775035441594e-02,  1.8407512615453248e-02,  6.2098229033113787e-02, -2.6901599084084671e-01,  2.7433066213374246e-01,  1.9561157655967329e+00,  3.7724793010708982e-02,  5.3092455316976073e-01,  0.0000000000000000e+00, -1.3663966079978463e+01, -5.7772659668060122e+01, -1.2617222795932634e+01,  0.0000000000000000e+00
 1.2987012987012986e-01,  6.3371490102182713e+02,  3.6843646971648880e-02,  2.9673117394144281e+01,  2.3860530948838615e-01,  9.1838040818421868e-02,  5.0176135876483641e-01,  8.2388747426008422e+01, -6.2040941022327833e-01, -1.5000011546215814e+04,  1.0028259503299974e+01,  2.6562803097687850e+00,  6.6575480876728585e-02,  3.7267294701124186e-02,  5.9592235720366787e-02, -2.6434165055831937e-01,  2.7433066213374246e-01,  1.8353896725811933e+00, -5.2959733812309695e-01,  3.9214665369529145e-01,  0.0000000000000000e+00, -1.0505397741732006e+01, -5.5805230984927867e+01, -1.5166112678855983e+01,  0.0000000000000000e+00
 1.3986013986013987e-01,  6.3371523422748726e+02,  3.8351028591843563e-02,  2.9660505352084606e+01,  2.2030142210803558e-01,  8.9730409494046606e-02,  5.0204377596916971e-01,  8.8726350704338302e+01, -6.6400882171653297e-01, -1.5000013342408347e+04,  1.0030792013849386e+01,  2.6562994128837749e+00,  7.1675877859681644e-02,  5.5078634944747858e-02,  5.1516863636048904e-02, -2.6118089286491680e-01,  2.7433066213374246e-01,  1.6034934618850032e+00, -8.4284451825053619e-01,  2.3025074837059997e-01,  0.0000000000000000e+00, -3.5920223639645251e+01, -6.9068544765854103e+00, -1.7245447567147217e+01,  0.0000000000000000e+00
 1.4985014985014986e-01,  6.3371554486937930e+02,  3.9700917197545593e-02,  2.9648107585498845e+01,  1.9761273125322656e-01,  8.8642583475826653e-02,  5.0245375212069965e-01,  9.5063955492154477e+01, -7.0702075173639334e-01, -1.5000015261180008e+04,  1.0033118952203319e+01,  2.6563017091681616e+00,  7.6776835515770345e-02,  6.9305126107417986e-02,  4.2752185405670745e-02, -2.5974123600546023e-01,  2.7433066213374246e-01,  1.0302254232862513e+00, -8.1402639079604655e-01,  5.3652087890989464e-02,  0.0000000000000000e+00, -7.8848037687825311e+01,  1.2676243592974483e+01, -1.8109604260870842e+01,  0.0000000000000000e+00
