#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277382e+02,  2.2655162823548153e-02,  2.9850264791017313e+01,  1.8739188205516847e-02,  7.6494843230234755e-02,  5.0649111779815059e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975650e+00,  0.0000000000000000e+00,  5.2763314442607458e-03,  4.2903512643121471e-02, -2.6190755327598281e-01,  2.7433066213374385e-01, -1.8840698506422027e+00, -3.4684724177778148e-01, -1.2015630654415719e+00,  0.0000000000000000e+00, -2.4390987988925691e+01, -3.1393273887705419e+01,  1.9420931493476683e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371071302994847e+02,  2.2487429268977517e-02,  2.9848969927782445e+01,  2.0522373484188568e-02,  7.6776215152228322e-02,  5.0641367176694041e-01,  6.3375878900721201e+00, -5.1277366096011377e-02, -1.4999999999841271e+04,  1.0000428941689419e+01,  2.6561808123612125e+00,  5.1210709856974847e-03, -1.3545545185531487e-02,  3.9438505232754023e-02, -2.7391118030337114e-01,  2.7433066213374385e-01, -2.0059029574799934e+00, -5.0365680165642990e-01, -1.1045554156240061e+00,  0.0000000000000000e+00, -2.4390987988925691e+01, -3.1393273887705419e+01,  1.9420931493476683e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371066115380404e+02,  2.2398325771699940e-02,  2.9847807534432011e+01,  2.8084888487223608e-02,  7.7522454447157926e-02,  5.0617025123528803e-01,  1.2675179899510740e+01, -1.0198975963347978e-01, -1.4999999998808042e+04,  1.0000904250421677e+01,  2.6560608842420130e+00,  1.0241324410682791e-02, -3.4801649724170686e-02,  3.2840439682953040e-02, -2.8397659254918972e-01,  2.7433066213374385e-01, -2.1937960653758970e+00, -9.3883372988721736e-01, -8.8876865396361260e-01,  0.0000000000000000e+00, -1.3225212211834174e+01, -5.5729147144098221e+01,  2.3779578190934124e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371045994918620e+02,  2.2440912134491717e-02,  2.9846928709298247e+01,  4.1938501754425046e-02,  7.9238018868510174e-02,  5.0574071083862371e-01,  1.9012774924200642e+01, -1.5213700609273206e-01, -1.4999999995593478e+04,  1.0001486478947305e+01,  2.6559530120113166e+00,  1.5360244974609701e-02, -5.7377634403831118e-02,  2.0680588551690741e-02, -2.9166879576717958e-01,  2.7433066213374385e-01, -2.1227290328468613e+00, -1.1591185147240330e+00, -5.8407076066805075e-01,  0.0000000000000000e+00,  2.7452832124146983e+01,  1.1628133219767713e+01,  3.7220940046837327e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371009173349682e+02,  2.2666070002336627e-02,  2.9846505208698801e+01,  6.1807438931758663e-02,  8.2232466200521562e-02,  5.0512234149497304e-01,  2.5350371463838069e+01, -2.0171904918836847e-01, -1.4999999988196507e+04,  1.0002237881420054e+01,  2.6558692176436858e+00,  2.0478065677896798e-02, -7.7213818212619467e-02,  9.6812285995557766e-03, -2.9564633801708284e-01,  2.7433066213374385e-01, -1.6248484733432036e+00, -6.9088788652797239e-01, -2.2479896057316340e-01,  0.0000000000000000e+00,  7.2222855888485256e+01,  8.2111638545083622e+01,  3.4705274332159107e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370959918290748e+02,  2.3109590174416279e-02,  2.9846569771897705e+01,  8.6025899989436869e-02,  8.5937311865029536e-02,  5.0435594480027091e-01,  3.1687968110777984e+01, -2.5073586190134295e-01, -1.4999999974864431e+04,  1.0003211076719072e+01,  2.6558201576364500e+00,  2.5594968401110946e-02, -8.9842139365733292e-02,  6.8766347749080756e-03, -2.9616028349091911e-01,  2.7433066213374385e-01, -5.0876226148149306e-01, -9.7360185184652046e-02,  8.5979728554022097e-02,  0.0000000000000000e+00,  1.5121760372622927e+02,  3.6712607263849094e+01,  2.7512619231103432e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370907575476326e+02,  2.3779884470784430e-02,  2.9847033009276224e+01,  1.1136365499113009e-01,  8.9588561852670071e-02,  5.0354669646132932e-01,  3.8025564105275954e+01, -2.9918735637991539e-01, -1.4999999955033420e+04,  1.0004435453998417e+01,  2.6558087722183754e+00,  3.0710466471588604e-02, -8.7378898362099847e-02,  7.7359701543079839e-03, -2.9392846132269679e-01,  2.7433066213374385e-01,  7.4500194331893632e-01, -1.1177219962424313e-02,  3.3019445545373449e-01,  0.0000000000000000e+00,  9.9785990074816723e+01, -1.9458777626359083e+01,  2.1379169094219005e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370860780413022e+02,  2.4648581539870925e-02,  2.9847893352090530e+01,  1.3368677434855020e-01,  9.3393553475868515e-02,  5.0282191961785061e-01,  4.4363159623285782e+01, -3.4707354760608422e-01, -1.4999999928811532e+04,  1.0005900103843386e+01,  2.6558349687781804e+00,  3.5824827383293213e-02, -7.4956985653067229e-02,  6.6533136967377596e-03, -2.8956299167366167e-01,  2.7433066213374385e-01,  1.5324717610830167e+00,  4.6591266139077769e-01,  5.0593467769411127e-01,  0.0000000000000000e+00,  5.7865467441552163e+01,  1.1497217187327011e+02,  1.3804023398304427e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370823088105908e+02,  2.5674574804149107e-02,  2.9849064269419429e+01,  1.5103897358074875e-01,  9.6761572732118856e-02,  5.0222684546906793e-01,  5.0700755490657784e+01, -3.9439455526589129e-01, -1.4999999896501038e+04,  1.0007564046478235e+01,  2.6558987773211022e+00,  4.0939180404109446e-02, -5.6760081956844760e-02,  1.7044914437840009e-02, -2.8381987635378347e-01,  2.7433066213374385e-01,  1.9876809609411787e+00,  1.2773579098630148e+00,  6.0725405534167542e-01,  0.0000000000000000e+00,  3.3267414370051618e+01,  4.7479166870871587e+01,  6.4801160067378349e+00,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370793879099347e+02,  2.6806057770322467e-02,  2.9850291642139322e+01,  1.6206608558790186e-01,  9.8604147854596161e-02,  5.0179485758635733e-01,  5.7038352629042571e+01, -4.4115032016513572e-01, -1.4999999859783620e+04,  1.0009370307489855e+01,  2.6559895355244145e+00,  4.6053119697929676e-02, -3.5243080339557184e-02,  3.2174950257437343e-02, -2.7743004351498685e-01,  2.7433066213374385e-01,  2.1477616871351666e+00,  1.4688701203272543e+00,  6.3763060904324986e-01,  0.0000000000000000e+00, -1.2192529860149746e+00, -9.1384223359306080e+00, -3.9872995568253944e-01,  0.0000000000000000e+00
