#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277359e+02,  2.2655162823548160e-02,  2.9850264791017313e+01,  2.2396208344830245e-02,  7.9362740343737248e-02,  5.0605647407051857e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975646e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598281e-01,  2.7433066213374374e-01, -1.6416242608739957e+00, -1.6768570833303095e-01, -1.0984246189839162e+00,  0.0000000000000000e+00, -2.7286681716027896e+01, -3.1550817580751318e+01,  1.9070503393790435e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371069823116045e+02,  2.2547523763557838e-02,  2.9849264960263241e+01,  2.3694640557253940e-02,  7.9513970638086989e-02,  5.0598917679437039e-01,  6.3375878866586355e+00, -5.1277376184437853e-02, -1.4999999999903055e+04,  1.0000464677135012e+01,  2.6562093075547946e+00,  5.1217261081957172e-03, -1.1123511321713240e-02,  4.1228330741692590e-02, -2.7288082619290505e-01,  2.7433066213374374e-01, -1.7779213723426668e+00, -3.2528219974537520e-01, -1.0031673592746733e+00,  0.0000000000000000e+00, -2.7286681716027896e+01, -3.1550817580751318e+01,  1.9070503393790435e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371063261906625e+02,  2.2496821735902301e-02,  2.9848343459695997e+01,  2.9057488242367743e-02,  7.9919747161982913e-02,  5.0578033982708437e-01,  1.2675179874956134e+01, -1.0198984907232013e-01, -1.4999999999254827e+04,  1.0000961973036702e+01,  2.6561155149252764e+00,  1.0242457299610997e-02, -3.0246573098050279e-02,  3.6404367793064024e-02, -2.8195085715759466e-01,  2.7433066213374374e-01, -1.9968200994122307e+00, -7.6331866184082364e-01, -7.9827317702286449e-01,  0.0000000000000000e+00, -1.6536843443298743e+01, -5.6144082130757447e+01,  2.1949311893021701e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371041997424925e+02,  2.2546963140426753e-02,  2.9847629464683930e+01,  3.9444707298180573e-02,  8.1089215908151796e-02,  5.0541014760447278e-01,  1.9012774845904641e+01, -1.5213730937290432e-01, -1.4999999997039746e+04,  1.0001537442878586e+01,  2.6560293307408731e+00,  1.5361556728010217e-02, -5.1020016804475085e-02,  2.5977208626990822e-02, -2.8883034021933590e-01,  2.7433066213374374e-01, -1.9510606758961297e+00, -1.0016744400135305e+00, -5.2113381683831361e-01,  0.0000000000000000e+00,  2.5697880031222130e+01,  8.4252553405814954e+00,  3.3533988015925367e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371004393843759e+02,  2.2744121126902769e-02,  2.9847275917808275e+01,  5.4887750621418853e-02,  8.3352200843284985e-02,  5.0487469540736962e-01,  2.5350371287908207e+01, -2.0171974690696970e-01, -1.4999999991526969e+04,  1.0002242625161939e+01,  2.6559607854198446e+00,  2.0479147854987785e-02, -6.9228804384686232e-02,  1.6390892468118361e-02, -2.9236312123028824e-01,  2.7433066213374374e-01, -1.4833751118139689e+00, -5.8524875268800169e-01, -1.9948689341472378e-01,  0.0000000000000000e+00,  6.7932769898026322e+01,  7.4943167261989302e+01,  3.0859726053477289e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370954839785293e+02,  2.3122512240141630e-02,  2.9847306256708805e+01,  7.3755062516831199e-02,  8.6200880285228654e-02,  5.0420900159778448e-01,  3.1687967788859012e+01, -2.5073714230919053e-01, -1.4999999981170535e+04,  1.0003120689248201e+01,  2.6559189461114876e+00,  2.5595342586233787e-02, -8.0657881176382562e-02,  1.4283926855002774e-02, -2.9281609233551420e-01,  2.7433066213374374e-01, -4.8057682019413883e-01, -1.0453574874635155e-01,  7.4491203684482948e-02,  0.0000000000000000e+00,  1.3282744808426375e+02,  2.1295576127129049e+01,  2.3990688985783901e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370902737099914e+02,  2.3690594895765815e-02,  2.9847640880049561e+01,  9.3063024089306015e-02,  8.9004287555419295e-02,  5.0350253913096099e-01,  3.8025563594267417e+01, -2.9918938111728954e-01, -1.4999999965485204e+04,  1.0004192628007928e+01,  2.6559060833213310e+00,  3.0709643519313226e-02, -7.8830738854099594e-02,  1.4302266119539908e-02, -2.9087478549233653e-01,  2.7433066213374374e-01,  6.0308427216742388e-01, -1.5735251957748153e-01,  2.8824328194968024e-01,  0.0000000000000000e+00,  8.4121502606521133e+01, -3.1869493647521246e+01,  1.8802477082908609e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370856613588421e+02,  2.4423777834859398e-02,  2.9848313786231753e+01,  1.0947954580322240e-01,  9.2158461086816426e-02,  5.0286156290960871e-01,  4.4363158894864213e+01, -3.4707643777433361e-01, -1.4999999944434343e+04,  1.0005444463459877e+01,  2.6559231535177985e+00,  3.5822403367260378e-02, -6.8608245368841622e-02,  1.1140020369938207e-02, -2.8705698580305306e-01,  2.7433066213374374e-01,  1.2722056831978463e+00,  2.7170005566223671e-01,  4.4465143598098522e-01,  0.0000000000000000e+00,  4.9836603881769477e+01,  1.1776581921051284e+02,  1.2510435354158641e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370819794634019e+02,  2.5288455809344846e-02,  2.9849270314048876e+01,  1.2181165844431009e-01,  9.5114681584879707e-02,  5.0232134635695391e-01,  5.0700754529379218e+01, -3.9439838993027787e-01, -1.4999999918005147e+04,  1.0006840387527097e+01,  2.6559725454836207e+00,  4.0934909042848223e-02, -5.3412043885111650e-02,  1.9730838660243940e-02, -2.8199064091729187e-01,  2.7433066213374374e-01,  1.7184651323942852e+00,  1.1005582108315781e+00,  5.3906442988069625e-01,  0.0000000000000000e+00,  3.9504537847357462e+01,  4.8171583454389157e+01,  6.3910460245634440e+00,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370791544582119e+02,  2.6242371298442528e-02,  2.9850277362119236e+01,  1.2915731223642388e-01,  9.6754260853954110e-02,  5.0191673946237880e-01,  5.7038351425427912e+01, -4.4115512007720792e-01, -1.4999999887575643e+04,  1.0008335038517743e+01,  2.6560458177838919e+00,  4.6046841646813066e-02, -3.4273277688636139e-02,  3.3129195411528166e-02, -2.7628646772351867e-01,  2.7433066213374374e-01,  1.9427896719969324e+00,  1.2993959458621505e+00,  5.7251034843543580e-01,  0.0000000000000000e+00,  5.4052349810927467e+00, -8.3642689012683213e+00,  3.0482687009548254e-01,  0.0000000000000000e+00
