#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277370e+02,  2.2655162823548156e-02,  2.9850264791017313e+01,  1.2412818805021568e-02,  7.6156133318290978e-02,  5.0630357706524187e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975650e+00,  0.0000000000000000e+00,  5.2763314442607458e-03,  4.2903512643121471e-02, -2.6190755327598281e-01,  2.7433066213374380e-01, -1.8873985989367090e+00, -3.4195117910173312e-01, -1.1692384276995302e+00,  0.0000000000000000e+00, -2.2870153500852304e+01, -3.0830945356411345e+01,  1.9930488082803276e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371071548683665e+02,  2.2470555159721465e-02,  2.9848922688202975e+01,  1.4345202725707936e-02,  7.6184860871573556e-02,  5.0622725515932221e-01,  6.3375878900679483e+00, -5.1277383193605114e-02, -1.4999999999842112e+04,  1.0000366357489824e+01,  2.6561769016499355e+00,  5.1184806305586217e-03, -1.3578799414247835e-02,  3.9487416947799461e-02, -2.7358825684940469e-01,  2.7433066213374380e-01, -2.0016351299099973e+00, -4.9595190515773385e-01, -1.0696855401730403e+00,  0.0000000000000000e+00, -2.2870153500852304e+01, -3.0830945356411345e+01,  1.9930488082803276e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371066902484040e+02,  2.2355942370746770e-02,  2.9847661525493031e+01,  2.2047242053233714e-02,  7.6252496739793549e-02,  5.0598719216933175e-01,  1.2675179899522353e+01, -1.0198988947689340e-01, -1.4999999998825637e+04,  1.0000780522668585e+01,  2.6560485188662222e+00,  1.0235363602102258e-02, -3.4716378444050885e-02,  3.2994383668940974e-02, -2.8327989174097862e-01,  2.7433066213374380e-01, -2.1667894565312538e+00, -9.6181507646075004e-01, -8.4891133953986353e-01,  0.0000000000000000e+00, -1.0193742688723161e+01, -6.2434861538452509e+01,  2.4268506883958754e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371047883682536e+02,  2.2364481556827989e-02,  2.9846588959268370e+01,  3.5958412595948952e-02,  7.6871654056697380e-02,  5.0556865467763168e-01,  1.9012774927737087e+01, -1.5213743300402252e-01, -1.4999999995653054e+04,  1.0001302589100607e+01,  2.6559233746739226e+00,  1.5349437420434512e-02, -5.6871296048238908e-02,  2.0270332503029235e-02, -2.9054952237467668e-01,  2.7433066213374380e-01, -2.0671451015694977e+00, -1.2119736898480240e+00, -5.4637010446944190e-01,  0.0000000000000000e+00,  3.0142542552066576e+01,  1.2353107138320215e+01,  3.6300248377139631e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371013044343795e+02,  2.2548355186789805e-02,  2.9845845483109866e+01,  5.5717939846228554e-02,  7.8432223046515079e-02,  5.0497334229363533e-01,  2.5350371490943775e+01, -2.0172004695927603e-01, -1.4999999988242695e+04,  1.0001993538717459e+01,  2.6558098682116431e+00,  2.0460411306282948e-02, -7.6017978875009884e-02,  8.7791251305189173e-03, -2.9419637734476367e-01,  2.7433066213374380e-01, -1.5402477033423727e+00, -9.1319636662946724e-01, -1.9956338126262735e-01,  0.0000000000000000e+00,  7.5342316573003828e+01,  4.7462112970034816e+01,  3.3130457608864624e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370966943623262e+02,  2.2946127797485345e-02,  2.9845439521548212e+01,  7.9580903802856387e-02,  8.0419398612551207e-02,  5.0424194538729439e-01,  3.1687968218757305e+01, -2.5073776307906886e-01, -1.4999999974695334e+04,  1.0002903920671036e+01,  2.6557151880113228e+00,  2.5568007094455676e-02, -8.7645475935199404e-02,  2.0246508520908239e-03, -2.9453680271958432e-01,  2.7433066213374380e-01, -4.4173576202151665e-01, -7.1501072294271306e-01,  9.5339626521556656e-02,  0.0000000000000000e+00,  1.4457977407943162e+02, -7.7853471039465711e+00,  2.5909124549529011e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370918146774966e+02,  2.3568051105012963e-02,  2.9845366772885217e+01,  1.0433985041818294e-01,  8.2851273885113416e-02,  5.0347700630033887e-01,  3.8025564397065715e+01, -2.9919059206056420e-01, -1.4999999953804432e+04,  1.0004060543629226e+01,  2.6556429594995485e+00,  3.0671998624299431e-02, -8.4843868226089136e-02, -5.5068033998050183e-03, -2.9229148970197533e-01,  2.7433066213374380e-01,  7.4107148386855670e-01, -6.6383803986847167e-01,  3.2337719622857664e-01,  0.0000000000000000e+00,  9.2218236547761080e+01,  1.8030118255409665e+01,  1.9743996905816406e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370873187390862e+02,  2.4386421503432815e-02,  2.9845705991822847e+01,  1.2613366178939653e-01,  8.6181627773657760e-02,  5.0280556229855899e-01,  4.4363160133411228e+01, -3.4707870554316611e-01, -1.4999999924529411e+04,  1.0005451692423946e+01,  2.6556001862142047e+00,  3.5774040339071306e-02, -7.2838852880882585e-02, -1.1238846447978542e-02, -2.8807571987785452e-01,  2.7433066213374380e-01,  1.4975531444814361e+00, -7.0107051954360997e-02,  4.8203496458854289e-01,  0.0000000000000000e+00,  5.9229391906937401e+01,  1.0083482552499527e+02,  1.2019288319848835e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370834885409511e+02,  2.5359031956220392e-02,  2.9846418717636237e+01,  1.4307488500146945e-01,  8.9743506143651966e-02,  5.0228398953112185e-01,  5.0700756054339124e+01, -3.9440231904169032e-01, -1.4999999886310619e+04,  1.0007037509248125e+01,  2.6555931491338143e+00,  4.0876523993595502e-02, -5.4922726478208291e-02, -6.9075436985934499e-03, -2.8266042147842801e-01,  2.7433066213374380e-01,  1.9305360255737243e+00,  8.2802257576679184e-01,  5.6335639871134979e-01,  0.0000000000000000e+00,  2.7453780887738446e+01,  7.8970725944779502e+01,  4.2612627915370220e+00,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370803016786772e+02,  2.6433227812366449e-02,  2.9847329190849649e+01,  1.5385259096018952e-01,  9.2534364572235461e-02,  5.0194462219766078e-01,  5.7038352897378907e+01, -4.4116146904572107e-01, -1.4999999839960847e+04,  1.0008762282883882e+01,  2.6556188288594322e+00,  4.5980617578195167e-02, -3.4266704517771231e-02,  5.3050611597495606e-03, -2.7681984777572965e-01,  2.7433066213374380e-01,  2.0572306400362099e+00,  1.3455834636834163e+00,  5.7325786346323893e-01,  0.0000000000000000e+00, -2.0895190723486161e+00,  2.4644963816128879e+01, -2.2789895482087350e+00,  0.0000000000000000e+00
