#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277370e+02,  2.2655162823548156e-02,  2.9850264791017313e+01,  1.6442047792067871e-02,  7.7450411422940610e-02,  5.0644091225240306e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975650e+00,  0.0000000000000000e+00,  5.2763314442607458e-03,  4.2903512643121471e-02, -2.6190755327598281e-01,  2.7433066213374380e-01, -1.8941538556425004e+00, -3.4747255320370124e-01, -1.2023495061815352e+00,  0.0000000000000000e+00, -2.7623000288261679e+01, -3.1414584762792458e+01,  2.1170468516411198e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371070810960100e+02,  2.2476666653367214e-02,  2.9849073923571826e+01,  1.8286937626075164e-02,  7.7723878258253123e-02,  5.0635746695667960e-01,  6.3375878897140856e+00, -5.1277380556087111e-02, -1.4999999999849011e+04,  1.0000406319430516e+01,  2.6561902668748605e+00,  5.1222062664497258e-03, -1.3646284496223774e-02,  3.9432258365362217e-02, -2.7391903685421992e-01,  2.7433066213374380e-01, -2.0321308800593920e+00, -5.0438856100985741e-01, -1.0966029101954653e+00,  0.0000000000000000e+00, -2.7623000288261679e+01, -3.1414584762792458e+01,  2.1170468516411198e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371065143972771e+02,  2.2371159711185602e-02,  2.9848013956742015e+01,  2.5991670665859071e-02,  7.8463394525911348e-02,  5.0608363124926437e-01,  1.2675179897612313e+01, -1.0198987160498212e-01, -1.4999999998853738e+04,  1.0000859916002556e+01,  2.6560797569773502e+00,  1.0243401365222553e-02, -3.5325684141341490e-02,  3.2825819116450994e-02, -2.8381770133183626e-01,  2.7433066213374380e-01, -2.1904059001373928e+00, -9.3999982854812025e-01, -8.5948994173933246e-01,  0.0000000000000000e+00, -4.0636587313540380e+00, -5.5794790998367716e+01,  2.6299547768506624e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371044560951577e+02,  2.2397017561416613e-02,  2.9847236229862606e+01,  4.0021123695126316e-02,  8.0174068781563926e-02,  5.0559281924038135e-01,  1.9012774919443974e+01, -1.5213736541207967e-01, -1.4999999995726612e+04,  1.0001422253429219e+01,  2.6559813316016010e+00,  1.5362784559692765e-02, -5.7410638145322525e-02,  2.0651043009755423e-02, -2.9109166306279799e-01,  2.7433066213374380e-01, -1.9818072345816171e+00, -1.1601282708811329e+00, -5.3606098930297352e-01,  0.0000000000000000e+00,  4.5825111575620255e+01,  1.1725076843298572e+01,  3.8450928509252421e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371007305155661e+02,  2.2607667854300066e-02,  2.9846912727769833e+01,  5.9592506309146427e-02,  8.3165321657148447e-02,  5.0490843627511961e-01,  2.5350371455968325e+01, -2.0171986128220457e-01, -1.4999999988482903e+04,  1.0002153685297278e+01,  2.6559070681930410e+00,  2.0480391972115555e-02, -7.4922232284830345e-02,  9.6464330848599275e-03, -2.9452821060861895e-01,  2.7433066213374380e-01, -1.3842520711231314e+00, -6.7694104849925651e-01, -1.6820385190857187e-01,  0.0000000000000000e+00,  7.3805432148768531e+01,  8.5009005077553013e+01,  3.5194070397106771e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370957663362140e+02,  2.3038185124343993e-02,  2.9847074527360736e+01,  8.2880416842871243e-02,  8.6856614741221277e-02,  5.0410285375348762e-01,  3.1687968102659408e+01, -2.5073736287529974e-01, -1.4999999975386374e+04,  1.0003100654510531e+01,  2.6558675844345223e+00,  2.5596536250271550e-02, -8.5068022183746733e-02,  7.1257473354446009e-03, -2.9445237938464758e-01,  2.7433066213374380e-01, -3.3151837323977151e-01, -3.7599655840811624e-02,  1.4174106643204618e-01,  0.0000000000000000e+00,  1.3695185416748021e+02,  4.2987141732667659e+01,  2.6856902254684961e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370904992639771e+02,  2.3691709070749738e-02,  2.9847620754138831e+01,  1.0662328929403640e-01,  9.0423124230040536e-02,  5.0330246961961889e-01,  3.8025564102018855e+01, -2.9918977105964512e-01, -1.4999999955926733e+04,  1.0004285863395095e+01,  2.6558653788592412e+00,  3.0711071250386895e-02, -8.1545976005904700e-02,  8.8951912099186365e-03, -2.9169622126931732e-01,  2.7433066213374380e-01,  8.7181301687065360e-01,  8.9449354425702662e-02,  3.7386373875779871e-01,  0.0000000000000000e+00,  1.0395509013262694e+02, -1.7551929877311480e+01,  1.9614056744930711e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370857979607365e+02,  2.4536552758768652e-02,  2.9848531784825738e+01,  1.2719773802305348e-01,  9.4016073588487070e-02,  5.0261525288805886e-01,  4.4363159628083054e+01, -3.4707704768679271e-01, -1.4999999930338696e+04,  1.0005694586774387e+01,  2.6558992698153792e+00,  3.5824483207977868e-02, -6.7649180687829574e-02,  8.9129472240700291e-03, -2.8698257441446179e-01,  2.7433066213374380e-01,  1.7037483565529759e+00,  5.3832412431127696e-01,  5.2818310339240837e-01,  0.0000000000000000e+00,  6.2598364871773988e+01,  1.0741665880840344e+02,  1.1280680054918133e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370820218329220e+02,  2.5524471946490705e-02,  2.9849713301430207e+01,  1.4217795597561589e-01,  9.7084081902384850e-02,  5.0209915543853245e-01,  5.0700755503690985e+01, -3.9439925324157615e-01, -1.4999999899066499e+04,  1.0007282240830270e+01,  2.6559680564299897e+00,  4.0938031542366381e-02, -4.7505049801050032e-02,  1.9650917969384712e-02, -2.8114311231042804e-01,  2.7433066213374380e-01,  2.0477234752862468e+00,  1.2951604742623202e+00,  6.0010100776346542e-01,  0.0000000000000000e+00,  6.2654538986266299e+00,  4.4101978451795290e+01,  3.1172844001674127e+00,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370791053399648e+02,  2.6600270067959050e-02,  2.9850915968842266e+01,  1.5074851901931521e-01,  9.8615217256386348e-02,  5.0177609740398932e-01,  5.7038352646425295e+01, -4.4115628329287759e-01, -1.4999999863839585e+04,  1.0008987404640308e+01,  2.6560605620645954e+00,  4.6051627285223863e-02, -2.6735624738054433e-02,  3.4790279377163329e-02, -2.7499254428931763e-01,  2.7433066213374380e-01,  2.0489650421573313e+00,  1.4695655845520146e+00,  5.9857512383042610e-01,  0.0000000000000000e+00, -6.0168922110353007e+00, -9.1860753717982799e+00, -3.4227663635617929e+00,  0.0000000000000000e+00
