#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277961e+02,  2.2655162823548954e-02,  2.9850264791017644e+01,  3.5772013193182253e+00,  8.8648634038057006e-02,  5.0275138655397644e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975069e+00,  0.0000000000000000e+00,  5.2763314442606799e-03,  4.2903512643120804e-02, -2.6190755327597554e-01,  2.7433066213374896e-01,  4.3781273266009869e+01,  1.0616611123683006e-02, -2.0016381932488225e+00,  6.4573901781272980e-09, -2.0663310855738885e+02,  1.4527823696039444e+00, -1.6905064304076154e+03,  5.7972743272571847e-06
 1.0000000000000000e-02,  6.3371067154499633e+02,  4.0958763162162515e-02,  2.9850239757877148e+01,  3.4298282644084632e+00,  8.8918973152247685e-02,  5.0402407944014849e-01,  6.3439255029213317e+00, -5.1328506553452447e-02, -1.5000000000008473e+04,  1.0035378698812856e+01,  2.6563050048453518e+00,  5.1140237028654461e-03,  4.4308906410435939e-01,  4.3009678754357634e-02, -2.8192393520846376e-01,  2.7433066219832286e-01,  4.2748107723222930e+01,  1.7880522971702728e-02, -1.0454170345286901e+01,  3.5443761814413222e-08, -2.0663310855738885e+02,  1.4527823696039444e+00, -1.6905064304076154e+03,  5.7972743272571847e-06
 2.0000000000000000e-02,  6.3371066942308005e+02,  5.7422057414130423e-02,  2.9850189260415277e+01,  3.1592960715474785e+00,  8.9094913209049734e-02,  5.0892476527721175e-01,  1.2687855524154472e+01, -1.0209402955175052e-01, -1.5000000000476073e+04,  1.0068661333474015e+01,  2.6562979455832183e+00,  1.0259040052983217e-02,  8.6023848590871921e-01,  4.3261123102554859e-02, -4.7099096018171355e-01,  2.7433066284262420e-01,  4.0365347642132527e+01,  2.7065544802249573e-02, -2.4235753480082725e+01,  1.7857971212897897e-07, -2.6991890766069179e+02,  3.8422199650542399e-01, -1.0658101965515486e+03,  2.2829915735655966e-05
 2.9999999999999999e-02,  6.3371066314794439e+02,  7.1068458799913109e-02,  2.9850106474373074e+01,  2.7753044206083888e+00,  8.9138647640254809e-02,  5.1723365876679928e-01,  1.9031789948315417e+01, -1.5230033944498564e-01, -1.5000000002064480e+04,  1.0098666334851703e+01,  2.6562774412084189e+00,  1.5469489496430337e-02,  1.2503960169470099e+00,  4.3550989650402626e-02, -7.6663900481011815e-01,  2.7433066576991710e-01,  3.6104905025983051e+01,  2.5126357076684508e-02, -3.0222236741177010e+01,  5.6547745930224380e-07, -5.8216961556920239e+02, -7.7205954161843615e-01, -1.3148645566730954e+02,  5.4549633698997013e-05
 4.0000000000000001e-02,  6.3371065110857921e+02,  8.1019486908842364e-02,  2.9849983644045039e+01,  2.2928993681548522e+00,  8.9016965091666789e-02,  5.2860430195718033e-01,  2.5375728632273958e+01, -2.0195091463772755e-01, -1.5000000005432805e+04,  1.0124327057822418e+01,  2.6562364443376438e+00,  2.0777193487836867e-02,  1.5823365864283803e+00,  4.3763650244088549e-02, -1.0754356950052537e+00,  2.7433067415217338e-01,  2.8901881294105298e+01,  1.1794886146852463e-02, -3.1424199878931919e+01,  1.3110248109349241e-06, -8.5843513080634716e+02, -1.8942346443479716e+00, -1.0890617188367364e+02,  9.4559836627539044e-05
 5.0000000000000003e-02,  6.3371063315868332e+02,  8.6582672107011871e-02,  2.9849813474536955e+01,  1.7353519985778187e+00,  8.8718153742498404e-02,  5.4244996046167171e-01,  3.1719671420111744e+01, -2.5104868970761324e-01, -1.5000000011177675e+04,  1.0144770838547073e+01,  2.6561685629232508e+00,  2.6209272475741129e-02,  1.8284336428291159e+00,  4.3786887373339675e-02, -1.3951230023887566e+00,  2.7433069199041332e-01,  1.8668256102837745e+01, -1.1852837785000099e-02, -3.2367699493028837e+01,  2.4616494315177211e-06, -1.1882899074471648e+03, -2.8353101420225411e+00, -7.9793750935708317e+01,  1.3556508748902024e-04
 5.9999999999999998e-02,  6.3371061052328935e+02,  8.7322110782818610e-02,  2.9849589363605244e+01,  1.1338043718482684e+00,  8.8251138630716833e-02,  5.5793763940530794e-01,  3.8063618160570726e+01, -2.9959572853720984e-01, -1.5000000019753015e+04,  1.0159397078803035e+01,  2.6560687238540353e+00,  3.1785846442139366e-02,  1.9557017084851351e+00,  4.3526593488388547e-02, -1.7227896848658304e+00,  2.7433072338516201e-01,  3.5987754667811780e+00, -4.3396099233692843e-02, -3.2971308284306623e+01,  3.9827646292067689e-06, -1.8256062197641456e+03, -3.4733421477160089e+00, -4.0928007319851446e+01,  1.6865795204878956e-04
 7.0000000000000007e-02,  6.3371058647406016e+02,  8.3190415813559335e-02,  2.9849304997620024e+01,  5.3531584856566716e-01,  8.7647807453408236e-02,  5.7374949619238913e-01,  4.4407568729113407e+01, -3.4759273454716511e-01, -1.5000000031364129e+04,  1.0167983742817526e+01,  2.6559339963195665e+00,  3.7516836178051773e-02,  1.9004091521647395e+00,  4.2918965388665818e-02, -2.0545491680748893e+00,  2.7433077164570591e-01, -1.2966236060103718e+01, -7.9305478696264559e-02, -3.3169435856125411e+01,  5.7380089679703863e-06, -1.4873960856128281e+03, -3.7085337447983324e+00,  1.3024929560945246e+00,  1.8239091570393376e-04
 8.0000000000000002e-02,  6.3371056585045585e+02,  7.4590729660628005e-02,  2.9848955036163186e+01, -1.0050067896328427e-02,  8.6955624893001821e-02,  5.8843834867898559e-01,  5.0751523056152308e+01, -3.9503839299260679e-01, -1.5000000045837187e+04,  1.0170822202990097e+01,  2.6557645643745809e+00,  4.3397841278686525e-02,  1.6963769872830607e+00,  4.1940483914463256e-02, -2.3861784019883387e+00,  2.7433083814534137e-01, -2.5563716226903832e+01, -1.1559510184659087e-01, -3.2955107239275165e+01,  7.5071145744232160e-06, -1.0320999477471903e+03, -3.5493908852669187e+00,  4.1563230413959083e+01,  1.7143020558663144e-04
 8.9999999999999997e-02,  6.3371055368382099e+02,  6.2235981651476986e-02,  2.9848536388068890e+01, -4.6621293437412742e-01,  8.6225614839984255e-02,  6.0091724168566962e-01,  5.7095481135967894e+01, -4.4192966667287220e-01, -1.5000000062660218e+04,  1.0168635212775545e+01,  2.6555634298198409e+00,  4.9412050387233501e-02,  1.3891348276266631e+00,  4.0607063351734002e-02, -2.7136513128603923e+00,  2.7433092178799739e-01, -3.3248983584027606e+01, -1.4864977479518701e-01, -3.2368210585676373e+01,  9.0413027981073296e-06, -5.0495352367756908e+02, -3.0615437044523284e+00,  7.5816100305794407e+01,  1.3540743915019243e-04
 1.0000000000000001e-01,  6.3371055447141100e+02,  4.7026326576260130e-02,  2.9848048976718360e+01, -8.1202155485301963e-01,  8.5505847444504221e-02,  6.1049841634222779e-01,  6.3439443023234872e+01, -4.8826237076835866e-01, -1.5000000081081713e+04,  1.0162431593935731e+01,  2.6553356660839933e+00,  5.5533997471527069e-02,  1.0313973156025085e+00,  3.8967488418559515e-02, -3.0335426137018664e+00,  2.7433101897139733e-01, -3.5473995783202085e+01, -1.7570675664532356e-01, -3.1482115222668632e+01,  1.0110114934125390e-05,  5.9951083842673086e+01, -2.3498526655749825e+00,  1.0140297229575430e+02,  7.8354988053419520e-05
 1.1000000000000000e-01,  6.3371057120502940e+02,  2.9901945051523233e-02,  2.9847496328140632e+01, -1.0442430167169212e+00,  8.4833608110515296e-02,  6.1699262584625381e-01,  6.9783408819882368e+01, -5.3403182155712692e-01, -1.5000000100229772e+04,  1.0153345612677386e+01,  2.6550874969198044e+00,  6.1733862678756433e-02,  6.7965491196262129e-01,  3.7092928218827530e-02, -3.3432936173137651e+00,  2.7433112399029608e-01, -3.4090419989060727e+01, -1.9518035470492562e-01, -3.0390122795037694e+01,  1.0541247502660061e-05,  2.1676407498560280e+02, -1.5448669463453983e+00,  1.1699551323043801e+02,  7.8715256535133533e-06
 1.2000000000000000e-01,  6.3371060554386190e+02,  1.1744140997952920e-02,  2.9846884842929722e+01, -1.1700142761983860e+00,  8.4233095660612933e-02,  6.2050825821087630e-01,  7.6127378654573434e+01, -5.7923348715039757e-01, -1.5000000119236043e+04,  1.0142479178400951e+01,  2.6548253226573149e+00,  6.7981829114729414e-02,  3.4958891582129425e-01,  3.5063881324461005e-02, -3.6413450696026199e+00,  2.7433122979634739e-01, -3.1486104167228252e+01, -2.0666519006730177e-01, -2.9192926015753422e+01,  1.0225282534581657e-05,  3.0409908938088910e+02, -7.5210012612986177e-01,  1.2244384262641178e+02, -7.1064519269192745e-05
 1.3000000000000000e-01,  6.3371065836945127e+02, -6.6390377660649124e-03,  2.9846222531769879e+01, -1.1995237015994518e+00,  8.3715757803411506e-02,  6.2124799683924492e-01,  8.2471352671009200e+01, -6.2386318907337401e-01, -1.5000000137284256e+04,  1.0130846516009299e+01,  2.6545552876164455e+00,  7.4249661027833147e-02,  4.9932828618056126e-02,  3.2959624417481494e-02, -3.9271521376288336e+00,  2.7433132849594677e-01, -2.8219560265914666e+01, -2.1074250012201068e-01, -2.7987914024593618e+01,  9.0981416789315177e-06,  3.4920969088182477e+02, -6.3361884811985347e-02,  1.1855855560554552e+02, -1.5436365186083351e-04
 1.4000000000000001e-01,  6.3371072993241796e+02, -2.4528304515190422e-02,  2.9845517697832349e+01, -1.1446765362107247e+00,  8.3279744172744016e-02,  6.1947302877237953e-01,  8.8815331019145844e+01, -6.6791716969054693e-01, -1.5000000153635932e+04,  1.0119350418617367e+01,  2.6542830149617749e+00,  8.0511430495631600e-02, -2.1480228949699948e-01,  3.0849031322020787e-02, -4.2011033500944928e+00,  2.7433141175918097e-01, -2.3842316505487595e+01, -2.0883275307330637e-01, -2.6860831434166236e+01,  7.1347981744907008e-06,  5.2623906120359641e+02,  4.4531129455287244e-01,  1.0685796247993828e+02, -2.3830504902733220e-04
