#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277291e+02,  2.2655162823548184e-02,  2.9850264791017317e+01,  6.7332518572698175e-02, -1.0721460982350748e-02,  5.0591833163644473e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975637e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598270e-01,  2.7433066213374335e-01,  4.3515232795537728e-01, -1.3663036620478359e+00,  3.4622233048577278e+00,  0.0000000000000000e+00, -2.4231798784794791e+00,  1.1355489504167298e+00,  5.0593343711319420e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371078436362768e+02,  2.2769477645425671e-02,  2.9839145890386487e+01,  6.6220976204797610e-02, -9.8047726342715431e-03,  5.0598953850410633e-01,  6.3375874305901503e+00, -5.1277214877052404e-02, -1.5000000000995842e+04,  1.0000902396613615e+01,  2.6553262559511452e+00,  4.9650051294117615e-03,  9.6235075477110674e-03,  2.9254125409876357e-02, -2.2731990787280859e-01,  2.7433066213374335e-01,  4.2304853235857670e-01, -1.3606315893684315e+00,  3.7149373094097742e+00,  0.0000000000000000e+00, -2.4231798784794791e+00,  1.1355489504167298e+00,  5.0593343711319420e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371022036396096e+02,  2.2854645614916010e-02,  2.9828455968891536e+01,  6.4636917657285201e-02, -7.9279164456990594e-03,  5.0609500359177462e-01,  1.2675178005221419e+01, -1.0198970123867465e-01, -1.5000000001848701e+04,  1.0001800894763212e+01,  2.6543603809219096e+00,  9.9332391810495729e-03,  1.3728849573303236e-02,  1.5718066302093867e-02, -1.8768303160945374e-01,  2.7433066213374335e-01,  3.8972739865118938e-01, -1.3558443340077697e+00,  3.2605591238191263e+00,  0.0000000000000000e+00, -4.2477110897394770e+00, -1.7714042721218232e-01, -1.4155985646656760e+02,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3370897282795295e+02,  2.2905414693613242e-02,  2.9818313709275888e+01,  6.2536202136556113e-02, -5.1602666838008590e-03,  5.0624169464836299e-01,  1.9012770370444478e+01, -1.5213805751692233e-01, -1.4999999999262163e+04,  1.0002689809838994e+01,  2.6534170821406193e+00,  1.4906750328343122e-02,  1.7410268759523041e-02,  2.1643285266042408e-03, -1.6217387143286602e-01,  2.7433066213374335e-01,  3.6050835482133248e-01, -1.3374061714406340e+00,  2.8294831458294012e+00,  0.0000000000000000e+00, -1.6019414849978586e+00,  3.8684605731526696e+00,  5.5258445673024688e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370706260284055e+02,  2.2918425380497504e-02,  2.9808823029634688e+01,  5.9878399144818170e-02, -1.5815668696233976e-03,  5.0641691544532996e-01,  2.5350362395083700e+01, -2.0172289451366146e-01, -1.4999999989834529e+04,  1.0003562881772750e+01,  2.6525045450358005e+00,  1.9887428629743856e-02,  2.0931813705597591e-02, -1.1003335724692028e-02, -1.3114990182265251e-01,  2.7433066213374335e-01,  3.1759288937646113e-01, -1.2549441564676986e+00,  2.9798189686894703e+00,  0.0000000000000000e+00, -6.9897346970653693e+00,  1.2640434824428930e+01, -2.5161213936438774e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370453742001871e+02,  2.2890117909751453e-02,  2.9800066383423079e+01,  5.6656761843604950e-02,  2.6909286812905756e-03,  5.0661891129981684e-01,  3.1687951311272844e+01, -2.5074481978242569e-01, -1.4999999970162111e+04,  1.0004413081694045e+01,  2.6516301156169124e+00,  2.4876897308896802e-02,  2.3755781034777011e-02, -2.2909480793429703e-02, -1.0263702890160786e-01,  2.7433066213374335e-01,  2.4941753239553435e-01, -1.1185667968989368e+00,  2.4684853677725145e+00,  0.0000000000000000e+00, -6.6589717705161906e+00,  1.4662312561237268e+01, -7.7207772967135924e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370146938545315e+02,  2.2810771878581267e-02,  2.9792094654333940e+01,  5.2994259562563491e-02,  7.4525436427253918e-03,  5.0688274380326281e-01,  3.8025533881111130e+01, -2.9920444729337603e-01, -1.4999999937003256e+04,  1.0005234046920505e+01,  2.6507994660351759e+00,  2.9876723377930518e-02,  2.5915180986227648e-02, -3.3352322675719734e-02, -8.1829514854170712e-02,  2.7433066213374335e-01,  1.9409822684262648e-01, -9.3950674235488119e-01,  1.7519681933953475e+00,  0.0000000000000000e+00, -4.4159532011759524e+00,  2.1185510358482606e+01, -6.6238965343172779e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3369795210264988e+02,  2.2674245909840171e-02,  2.9784926847663716e+01,  4.8961323475283383e-02,  1.2461899913684996e-02,  5.0721622661081611e-01,  4.4363106584605674e+01, -3.4710236259353383e-01, -1.4999999887374885e+04,  1.0006020130167411e+01,  2.6500160940984996e+00,  3.4888253224524178e-02,  2.7633867485179139e-02, -4.1680844277043716e-02, -6.7632669393209305e-02,  2.7433066213374335e-01,  1.6244978979920374e-01, -7.9937088920721966e-01,  1.2669832939878207e+00,  0.0000000000000000e+00, -1.9200638949172775e+00,  6.8696874416792308e+00, -3.0855011518214145e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3369409634594638e+02,  2.2476282377873458e-02,  2.9778548825043426e+01,  4.4588645592779183e-02,  1.7506932239815649e-02,  5.0759692187933858e-01,  5.0700665824404958e+01, -3.9443907839812220e-01, -1.4999999818640794e+04,  1.0006766232779203e+01,  2.6492810123504200e+00,  3.9912363008671459e-02,  2.9160931032165785e-02, -4.9323769013526322e-02, -5.6515163325942523e-02,  2.7433066213374335e-01,  1.4649143466228867e-01, -7.6957963397302454e-01,  1.9564639476210792e+00,  0.0000000000000000e+00, -1.2747988034931390e+00, -9.0547814379327551e-01,  1.6888903837559229e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3369002277248899e+02,  2.2217179315848750e-02,  2.9772962933433817e+01,  3.9838436158439926e-02,  2.2673688252252772e-02,  5.0800017533474229e-01,  5.7038208132238026e+01, -4.4121503156157854e-01, -1.4999999728393868e+04,  1.0007467153859249e+01,  2.6485947939321974e+00,  4.4949482800984555e-02,  3.0560769276633457e-02, -5.7057060740041202e-02, -2.8542480629551399e-02,  2.7433066213374335e-01,  1.2113087387377665e-01, -7.7363604221514692e-01,  4.0375607179614050e+00,  0.0000000000000000e+00, -3.8023854663669505e+00,  9.3385213720267729e-02,  2.4774653504654125e+02,  0.0000000000000000e+00
