#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277302e+02,  2.2655162823548177e-02,  2.9850264791017317e+01,  6.8878306263753571e-03, -1.9851124944018004e-02,  5.0624041562540201e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975642e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598270e-01,  2.7433066213374346e-01,  7.5356084544783916e-02, -1.3978090099620410e+00,  3.0118121330948515e+00,  0.0000000000000000e+00, -5.0316878189934666e-01,  3.0003548148736914e+00,  6.0103911369971755e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371079956728499e+02,  2.2417422259609871e-02,  2.9838569359927213e+01,  6.1234543088476171e-03, -1.8188171138238503e-02,  5.0631893577106912e-01,  6.3375873918354007e+00, -5.1277567609292744e-02, -1.4999999999044467e+04,  1.0000299631133705e+01,  2.6552391742132695e+00,  4.9528987063804800e-03,  6.0291394816711736e-03,  2.8939386669474706e-02, -2.3181951997833183e-01,  2.7433066213374346e-01,  7.2842753965866092e-02, -1.3828222226749598e+00,  3.3120314706071992e+00,  0.0000000000000000e+00, -5.0316878189934666e-01,  3.0003548148736914e+00,  6.0103911369971755e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371023638828899e+02,  2.2153114315906483e-02,  2.9827406689633865e+01,  5.1346682459797455e-03, -1.5091646617662770e-02,  5.0640392389109001e-01,  1.2675177850019161e+01, -1.0199110742788307e-01, -1.4999999994074105e+04,  1.0000600215452385e+01,  2.6541960249205632e+00,  9.9105751556509015e-03,  6.7317311238984292e-03,  1.5274697005260135e-02, -1.9573309831879590e-01,  2.7433066213374346e-01,  6.9464392987815482e-02, -1.3721844628323474e+00,  3.1577262074076220e+00,  0.0000000000000000e+00, -1.7317908590638945e-01, -8.7067529438262403e-01, -9.0995825062527530e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3370897282507042e+02,  2.1861679930845829e-02,  2.9816944220046651e+01,  3.9377389863875607e-03, -1.0653018522371450e-02,  5.0649847222950850e-01,  1.9012770016527320e+01, -1.5214121055217947e-01, -1.4999999981856858e+04,  1.0000898952144725e+01,  2.6531898049610061e+00,  1.4875588992824205e-02,  7.4170394414676865e-03,  1.5231136858114250e-03, -1.6872808726289484e-01,  2.7433066213374346e-01,  6.8057674708872501e-02, -1.3349565245439847e+00,  2.6517991165987640e+00,  0.0000000000000000e+00, -1.0844591353799225e-01,  8.3237085397127917e+00, -1.0290778517405736e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370702730781977e+02,  2.1544341957941304e-02,  2.9807330276854263e+01,  2.5319929517064205e-03, -5.0004207707101019e-03,  5.0660041783106258e-01,  2.5350361749092528e+01, -2.0172847944857661e-01, -1.4999999959069981e+04,  1.0001192803806545e+01,  2.6522330372825076e+00,  1.9850323309548983e-02,  8.0915248243754023e-03, -1.1397761027586712e-02, -1.4275009898615326e-01,  2.7433066213374346e-01,  6.1096888886719589e-02, -1.2520388741562773e+00,  2.1902644129671391e+00,  0.0000000000000000e+00, -1.2851034080570181e+00,  8.2764050679061665e+00, -8.2108469149645373e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370444600533926e+02,  2.1199362305653151e-02,  2.9798688592043984e+01,  9.6297229309551019e-04,  1.7166425127880468e-03,  5.0672596281724758e-01,  3.1687950259651455e+01, -2.5075351974672444e-01, -1.4999999922433270e+04,  1.0001478676961550e+01,  2.6513367537789083e+00,  2.4836999030453995e-02,  8.6377565021414048e-03, -2.3492648035592721e-02, -1.2496656053028467e-01,  2.7433066213374346e-01,  5.1922418605383984e-02, -1.1660222647459941e+00,  1.4255718487100328e+00,  0.0000000000000000e+00, -5.5162554226637417e-01,  8.9441201360326357e+00, -7.0982982214627228e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370129988417864e+02,  2.0829094061243014e-02,  2.9791120470715349e+01, -7.5322838369427816e-04,  9.3473531293252841e-03,  5.0686189973379969e-01,  3.8025532287378034e+01, -2.9921691501753855e-01, -1.4999999868775116e+04,  1.0001753587432793e+01,  2.6505105696587727e+00,  2.9837591847625758e-02,  9.1289357855219352e-03, -3.4694909174359814e-02, -1.1426714496597279e-01,  2.7433066213374346e-01,  1.1972440751017104e-02, -1.0641498086578609e+00,  9.0107950675518156e-01,  0.0000000000000000e+00, -7.4463600241778698e+00,  1.1450745572811526e+01, -3.4020384644733952e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3369768136482378e+02,  2.0430542752320403e-02,  2.9784706403579172e+01, -2.4897124619464909e-03,  1.7759601446128974e-02,  5.0704026631634591e-01,  4.4363104283133914e+01, -3.4711920900817206e-01, -1.4999999795108031e+04,  1.0002014939789957e+01,  2.6497626871450524e+00,  3.4853796284212521e-02,  8.8769661075563319e-03, -4.4754382474311225e-02, -1.0696297398172959e-01,  2.7433066213374346e-01, -3.0068130694782813e-02, -8.8465563438127071e-01,  1.2970645040931996e+00,  0.0000000000000000e+00, -9.7016237927127136e-01,  2.4483988117361825e+01,  1.1329658111180528e+02,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3369369976195730e+02,  1.9990002057947761e-02,  2.9779490503952239e+01, -4.0889211486501249e-03,  2.6730645267671826e-02,  5.0732179123413979e-01,  5.0700662608164784e+01, -3.9446097366276711e-01, -1.4999999698743064e+04,  1.0002261918796963e+01,  2.6490995956824346e+00,  3.9887680409057831e-02,  8.5281739334783224e-03, -5.2370346424734857e-02, -8.8351770258815951e-02,  2.7433066213374346e-01, -3.4278221599495139e-02, -6.7213127171186660e-01,  2.9850531241915843e+00,  0.0000000000000000e+00,  1.2730218014786920e-01,  1.8063389289052985e+01,  2.2463874063189132e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3368947564395455e+02,  1.9499550768923495e-02,  2.9775480562615936e+01, -5.5402088507009927e-03,  3.6019829331081415e-02,  5.0769976080204782e-01,  5.7038203715619233e+01, -4.4124271778120916e-01, -1.4999999577447836e+04,  1.0002494300211218e+01,  2.6485253577839529e+00,  4.4940972349145326e-02,  8.1920865551188670e-03, -5.8183578712310551e-02, -4.7321552918960702e-02,  2.7433066213374346e-01,  5.9990229406759188e-03, -5.8165251406228380e-01,  4.3051115351715223e+00,  0.0000000000000000e+00,  7.9362021767943700e+00,  5.0457992393427860e-02,  3.9636953246292919e+01,  0.0000000000000000e+00
