#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277177e+02,  2.2655162823548219e-02,  2.9850264791017317e+01,  2.6953031613568344e-02, -2.8978464672933298e-02,  5.0647550221278825e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975624e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121464e-02, -2.6190755327598247e-01,  2.7433066213374269e-01,  2.1633022507017602e-01, -1.4961979221123436e+00,  2.3601804848805248e+00,  0.0000000000000000e+00, -3.3912559173982944e+00,  2.3608217812062877e+00,  9.0366391134349726e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371119840935046e+02,  2.2496368171838380e-02,  2.9832090464091142e+01,  2.5520920847237595e-02, -2.7188362456649309e-02,  5.0652586596571647e-01,  6.3375879411118783e+00, -5.1272755252382993e-02, -1.5000000026329119e+04,  1.0000496535322709e+01,  2.6551494858079980e+00,  4.9395132198181433e-03,  7.4374725538529120e-03,  2.7956480454186961e-02, -2.3832932665379941e-01,  2.7433066213374269e-01,  1.9939088482343129e-01, -1.4844056055229018e+00,  2.8115610599771763e+00,  0.0000000000000000e+00, -3.3912559173982944e+00,  2.3608217812062877e+00,  9.0366391134349726e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371099879450071e+02,  2.2308684975537441e-02,  2.9814822182368530e+01,  2.3502642140997100e-02, -2.3860379730125031e-02,  5.0659143141715701e-01,  1.2675180025869018e+01, -1.0197223729479349e-01, -1.5000000100872912e+04,  1.0000985673222544e+01,  2.6540183752654287e+00,  9.8842673018939581e-03,  9.2601653068667637e-03,  1.3245058986320229e-02, -2.0573250712259233e-01,  2.7433066213374269e-01,  1.6826683607142828e-01, -1.4930977369432221e+00,  2.9748362266343102e+00,  0.0000000000000000e+00, -2.8397786427527123e+00, -4.1009864915543304e+00, -5.7678702769591638e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371006543999727e+02,  2.2089246707744852e-02,  2.9798632361048455e+01,  2.1010031564008630e-02, -1.9063294902652857e-02,  5.0667309508526281e-01,  1.9012774863989481e+01, -1.5209959479526780e-01, -1.5000000216949276e+04,  1.0001461479340655e+01,  2.6529270068985729e+00,  1.4837044313870154e-02,  1.0799447300534795e-02, -1.8756421620612269e-03, -1.7889203940835866e-01,  2.7433066213374269e-01,  1.3764669175739838e-01, -1.4866022844210378e+00,  2.2988061197465925e+00,  0.0000000000000000e+00, -3.2903742489160694e+00,  5.4013760864955369e+00, -7.7662524629329411e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370841867998581e+02,  2.1837347524223415e-02,  2.9783676495605821e+01,  1.8141175089114038e-02, -1.2888127448643649e-02,  5.0676890442265554e-01,  2.5350370280620101e+01, -2.0165597576875297e-01, -1.5000000367859348e+04,  1.0001918733201625e+01,  2.6518893451197885e+00,  1.9800496960220557e-02,  1.2010348958363235e-02, -1.6457284358755455e-02, -1.5980231491986321e-01,  2.7433066213374269e-01,  1.1098703381814959e-01, -1.3855849860340956e+00,  1.7063958872192775e+00,  0.0000000000000000e+00, -2.0468892705215338e+00,  1.4822287050570274e+01, -4.0938003922638998e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370610625201402e+02,  2.1550552941413902e-02,  2.9770078293089409e+01,  1.4997144272242177e-02, -5.5122224917256470e-03,  5.0689270390434960e-01,  3.1687963451152630e+01, -2.5064250557543671e-01, -1.5000000547067884e+04,  1.0002352988664514e+01,  2.6509180289565002e+00,  2.4777102522931940e-02,  1.3016970453744578e-02, -2.9559657867038167e-02, -1.4479821548789357e-01,  2.7433066213374269e-01,  9.6815572169973399e-02, -1.2717028056068918e+00,  1.1306214630594711e+00,  0.0000000000000000e+00, -7.9023735144334706e-01,  7.9769254709560267e+00, -7.4332035794154336e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370320086170466e+02,  2.1230387094807287e-02,  2.9757930609299322e+01,  1.1611837017397462e-02,  2.8794168251273368e-03,  5.0702622345552439e-01,  3.8025551064599114e+01, -2.9906025498741079e-01, -1.5000000748366794e+04,  1.0002760263601509e+01,  2.6500237141117906e+00,  2.9768999273341000e-02,  1.3944726024696369e-02, -4.1865931823428612e-02, -1.3721247549809557e-01,  2.7433066213374269e-01,  5.7256097074603718e-02, -1.1506034586481124e+00,  3.8581469489102721e-01,  0.0000000000000000e+00, -7.1295695626496540e+00,  1.6267163790191525e+01, -7.4778279193168061e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3369979705574781e+02,  2.0877504553495324e-02,  2.9747301206137315e+01,  8.1096667864453756e-03,  1.2141284754173642e-02,  5.0718139835400167e-01,  4.4363129512652208e+01, -3.4691020701581893e-01, -1.5000000965912517e+04,  1.0003136985006670e+01,  2.6492156685077193e+00,  3.4777869821306651e-02,  1.4160948417273124e-02, -5.2548737959907547e-02, -1.3708963017538553e-01,  2.7433066213374269e-01, -1.7818414282867224e-03, -9.6904626689450624e-01,  7.2206049343923628e-01,  0.0000000000000000e+00, -4.6898257256290092e+00,  2.0080585998880398e+01,  1.4209468806251951e+02,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3369600618805077e+02,  2.0477947285527608e-02,  2.9738217622176126e+01,  4.7039397463771952e-03,  2.2029884412451406e-02,  5.0743366168135584e-01,  5.0700695084835729e+01, -3.9419331934950563e-01, -1.5000001194438208e+04,  1.0003481495064355e+01,  2.6485011036772672e+00,  3.9805646957814467e-02,  1.3909124797357973e-02, -6.1227495597544625e-02, -1.2278569241239654e-01,  2.7433066213374269e-01, -2.2939833525511578e-02, -7.4717629250988615e-01,  2.3444806469960531e+00,  0.0000000000000000e+00,  4.5399570776459802e-01,  2.4337782872920670e+01,  1.8271382667955496e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3369195054527063e+02,  2.0022964707895954e-02,  2.9730684282920226e+01,  1.4551800126279628e-03,  3.2309382096219988e-02,  5.0778405406769345e-01,  5.7038244154162498e+01, -4.4091049139122268e-01, -1.5000001429285912e+04,  1.0003793520429996e+01,  2.6478849205536719e+00,  4.4854152767398521e-02,  1.3702610085095070e-02, -6.7477335212852319e-02, -9.0246860005634241e-02,  2.7433066213374269e-01,  1.3808663530856757e-02, -6.0972422706413920e-01,  3.7096754829061420e+00,  0.0000000000000000e+00,  6.9030534029203388e+00,  3.1801206293178015e+00,  9.0598179469645189e+01,  0.0000000000000000e+00
 9.9900099900099903e-02,  6.3368775818956954e+02,  1.9514455921156186e-02,  2.9724688978036660e+01, -1.7411348979230518e-03,  4.2841867003042031e-02,  5.0816144246718042e-01,  6.3375773356337540e+01, -4.8706250423077041e-01, -1.5000001666393408e+04,  1.0004072634615218e+01,  2.6473699310077983e+00,  4.9924588225909013e-02,  1.4185022170601864e-02, -7.3409797836588367e-02, -4.8666302144541533e-02,  2.7433066213374269e-01,  7.0408974969734806e-02, -6.6915699704715015e-01,  4.9096619308157186e+00,  0.0000000000000000e+00,  4.4283289471430454e+00, -1.5078561179916589e+01,  1.4963910740185182e+02,  0.0000000000000000e+00
 1.0989010989010989e-01,  6.3368355561889655e+02,  1.8977739067114779e-02,  2.9720242538425936e+01, -5.0737262479638619e-03,  5.3756822064017773e-02,  5.0840753458453536e-01,  6.9713279756692046e+01, -5.3264992905314612e-01, -1.5000001902072116e+04,  1.0004316874393137e+01,  2.6469592546826579e+00,  5.5016895115687373e-02,  1.5109382811763099e-02, -8.0847105383624551e-02,  7.8482834672072947e-03,  2.7433066213374269e-01,  9.0361301329185698e-02, -8.0654666915849971e-01,  5.2011247793082616e+00,  0.0000000000000000e+00, -4.3387320998099133e-01, -1.2426851176775484e+01, -9.1288245133645475e+01,  0.0000000000000000e+00
 1.1988011988011987e-01,  6.3367946097689708e+02,  1.8447403134278506e-02,  2.9717378007851906e+01, -8.5957229940744687e-03,  6.5242237492415811e-02,  5.0840912422667062e-01,  7.6050760978431626e+01, -5.7767313498468587e-01, -1.5000002132871989e+04,  1.0004523100840231e+01,  2.6466580402941560e+00,  6.0129930191598013e-02,  1.5990442776579600e-02, -8.9524616401193746e-02,  5.5252274864614481e-02,  2.7433066213374269e-01,  4.9556492284900069e-02, -9.3595779241436738e-01,  5.3528570870240522e+00,  0.0000000000000000e+00, -7.7352495606849949e+00, -1.3481255699049251e+01,  1.2166505313834685e+02,  0.0000000000000000e+00
 1.2987012987012986e-01,  6.3367558049032345e+02,  1.7947715885660010e-02,  2.9716153193730278e+01, -1.2155564176770295e-02,  7.7548960019147933e-02,  5.0819296436439743e-01,  8.2388215296612614e+01, -6.2213237834427793e-01, -1.5000002355592595e+04,  1.0004688764178304e+01,  2.6464736400583675e+00,  6.5262329183683895e-02,  1.6099522517755108e-02, -9.9547560776518995e-02,  1.1479847501613935e-01,  2.7433066213374269e-01,  2.7335293069310051e-02, -9.2256666590811598e-01,  6.3634304470994545e+00,  0.0000000000000000e+00,  3.2865654777238693e+00,  1.6162159225600487e+01,  8.0651733548750343e+01,  0.0000000000000000e+00
 1.3986013986013987e-01,  6.3367200565359087e+02,  1.7497339404481890e-02,  2.9716617535456194e+01, -1.5701312058770699e-02,  9.0714437108678284e-02,  5.0777465999972471e-01,  8.8725641711934472e+01, -6.6602793377184921e-01, -1.5000002567387102e+04,  1.0004813203829750e+01,  2.6464151518777350e+00,  7.0413620942862049e-02,  1.6536602478264117e-02, -1.0795751681893834e-01,  1.8239374233912917e-01,  2.7433066213374269e-01,  5.8177066759754767e-03, -7.2394022733673669e-01,  4.7979405203431380e+00,  0.0000000000000000e+00, -7.5943862736694472e+00,  2.3602853776389619e+01, -3.9406281688536467e+02,  0.0000000000000000e+00
