#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277313e+02,  2.2655162823548174e-02,  2.9850264791017317e+01, -3.1746312019095065e-02, -2.4466218423069744e-02,  5.0534370290436581e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975642e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598270e-01,  2.7433066213374346e-01, -1.5864371303932709e-01, -1.4480572266149414e+00,  3.1582784359776714e+00,  0.0000000000000000e+00,  2.2544292431369684e+00,  2.8929663123259730e+00,  5.9981624673391430e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371093033803550e+02,  2.2318504162269440e-02,  2.9838077578549349e+01, -3.1278737264300763e-02, -2.2738535797916126e-02,  5.0541702071199013e-01,  6.3375879188504598e+00, -5.1277580346098334e-02, -1.4999999999008374e+04,  9.9999184822158593e+00,  2.6551956123127902e+00,  4.9361033824006119e-03,  3.6914791661455892e-03,  2.8437406483132047e-02, -2.3035632014933263e-01,  2.7433066213374346e-01, -1.4738282770897260e-01, -1.4336068454344921e+00,  3.4578869508297752e+00,  0.0000000000000000e+00,  2.2544292431369684e+00,  2.8929663123259730e+00,  5.9981624673391430e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371050619554558e+02,  2.1966208448502632e-02,  2.9826446297261935e+01, -3.0412858231164654e-02, -1.9518537632326746e-02,  5.0548488181710705e-01,  1.2675180011775462e+01, -1.0199116281276044e-01, -1.4999999993855075e+04,  9.9998533941499463e+00,  2.6541098750362768e+00,  9.8770613347044980e-03,  2.3316196019236303e-03,  1.4260019227846903e-02, -1.9281890290975343e-01,  2.7433066213374346e-01, -1.1824978228634211e-01, -1.4240182134649479e+00,  3.3038956352664246e+00,  0.0000000000000000e+00,  3.5780064504736568e+00, -9.7332219202313164e-01, -9.0810686049174009e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3370938991108608e+02,  2.1600572565931973e-02,  2.9815544667224163e+01, -2.9242045843857801e-02, -1.4897257858598197e-02,  5.0555776516749684e-01,  1.9012775004182728e+01, -1.5214135019104000e-01, -1.4999999981198589e+04,  9.9998076370666986e+00,  2.6530626347325983e+00,  1.4825451709864500e-02,  1.3288461534314616e-03, -1.4505873809963713e-05, -1.6434441934480867e-01,  2.7433066213374346e-01, -8.2995410238720466e-02, -1.3888233727393249e+00,  2.7989978976433409e+00,  0.0000000000000000e+00,  3.4799188334601978e+00,  8.0193293052927874e+00, -1.0269841022967251e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370759991159753e+02,  2.1223848337917055e-02,  2.9805527431684901e+01, -2.7886834389461039e-02, -9.0014045554051899e-03,  5.0563993243499061e-01,  2.5350370841228944e+01, -2.0172876879269819e-01, -1.4999999957610635e+04,  9.9997826977626527e+00,  2.6520670026672337e+00,  1.9783744329432622e-02,  6.7336964710404076e-04, -1.3488699508203545e-02, -1.3689486899080555e-01,  2.7433066213374346e-01, -5.5919695675556276e-02, -1.3075744154249946e+00,  2.3384022269793978e+00,  0.0000000000000000e+00,  1.9406392220852717e+00,  8.2467119490360936e+00, -8.1941412243954048e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370518222573435e+02,  2.0834356230684817e-02,  2.9796525023651530e+01, -2.6409617320159392e-02, -1.9782492331494048e-03,  5.0575258765973619e-01,  3.1687964826285366e+01, -2.5075406023141222e-01, -1.4999999919708300e+04,  9.9997788692759073e+00,  2.6511346111758702e+00,  2.4754306202766127e-02,  2.1156951655721028e-04, -2.6139868819364306e-02, -1.1762309612843708e-01,  2.7433066213374346e-01, -3.5320392060095247e-02, -1.2119689009852650e+00,  1.4735360972375600e+00,  0.0000000000000000e+00,  2.1833413617300277e+00,  1.0893512041797850e+01, -9.1204786930362076e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370220753683168e+02,  2.0434374633053805e-02,  2.9788643348486495e+01, -2.4886873611937817e-02,  6.0095838227531510e-03,  5.0588446427401756e-01,  3.8025553791885464e+01, -2.9921785039116949e-01, -1.4999999864225341e+04,  9.9997955505423040e+00,  2.6502756424671814e+00,  2.9739290742306201e-02, -3.2332491958801165e-05, -3.7703862365051993e-02, -1.0745358832671845e-01,  2.7433066213374346e-01, -4.7656733203111527e-02, -1.1004563314366602e+00,  9.5011088110562669e-01,  0.0000000000000000e+00, -4.6530768585618869e+00,  1.1431304381832756e+01, -1.3584941339250884e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3369876791346894e+02,  2.0020438622444153e-02,  2.9781965669221528e+01, -2.3276663046710378e-02,  1.4818601151607921e-02,  5.0606999526736984e-01,  4.4363134282738706e+01, -3.4712072195740201e-01, -1.4999999788104113e+04,  9.9998316602471764e+00,  2.6494987019717029e+00,  3.4740552165895729e-02, -7.4061296502343972e-04, -4.8127008308608270e-02, -9.8639861740712265e-02,  2.7433066213374346e-01, -6.1932314630872801e-02, -9.1104279818394540e-01,  1.4470196119180374e+00,  0.0000000000000000e+00,  1.7951054567240816e+00,  2.6489284975360743e+01,  1.1306606924789548e+02,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3369497171643184e+02,  1.9576864973005311e-02,  2.9776537825430001e+01, -2.1503227226548922e-02,  2.4213191933027525e-02,  5.0637153075344232e-01,  5.0700702750420199e+01, -3.9446328829480193e-01, -1.4999999688599490e+04,  9.9998870610415178e+00,  2.6488106046580469e+00,  3.9760338957185136e-02, -1.2697413756925235e-03, -5.5906515675420536e-02, -7.8542107569115296e-02,  2.7433066213374346e-01, -4.4744990845830009e-02, -6.7963461058740449e-01,  2.9804837582933006e+00,  0.0000000000000000e+00,  1.6457967650414920e+00,  1.9838634181466865e+01,  1.9393345285643201e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3369093836821878e+02,  1.9095192682146284e-02,  2.9772365848089937e+01, -1.9624438943445018e-02,  3.3930148437456967e-02,  5.0677606481291537e-01,  5.7038255729660833e+01, -4.4124609852224589e-01, -1.4999999563453563e+04,  9.9999614207228849e+00,  2.6482155392865456e+00,  4.4800500903784464e-02, -1.6346187761289339e-03, -6.1706121407257702e-02, -3.9089736699887107e-02,  2.7433066213374346e-01,  7.9576463176255566e-03, -5.7779787795922732e-01,  4.0497635066822442e+00,  0.0000000000000000e+00,  8.9052711950823031e+00,  5.4907969069411422e-01,  2.0136352771035082e+01,  0.0000000000000000e+00
